"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1951 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:39:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Opening balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Produced assets","K160011","987,358.0","1,084,080.0","1,129,955.0","1,164,224.0","1,209,261.0","1,304,992.0","1,414,440.0","1,480,193.0","1,525,907.0","1,581,389.0","1,630,287.0","1,688,302.0","1,763,594.0","1,822,745.0","1,934,621.0","2,066,079.0","2,240,906.0","2,406,248.0","2,635,530.0"
"21","2","  Fixed assets","K160021","872,954.0","956,736.0","1,011,090.0","1,047,196.0","1,094,221.0","1,189,073.0","1,289,752.0","1,352,360.0","1,394,385.0","1,448,315.0","1,493,851.0","1,548,486.0","1,616,161.0","1,672,801.0","1,780,143.0","1,896,688.0","2,055,295.0","2,211,490.0","2,427,472.0"
"22","3","    Private","K160031","662,746.0","720,648.0","758,239.0","788,480.0","820,078.0","893,291.0","961,082.0","1,009,648.0","1,033,609.0","1,077,254.0","1,109,220.0","1,144,515.0","1,186,025.0","1,221,881.0","1,306,958.0","1,393,285.0","1,511,419.0","1,623,793.0","1,789,361.0"
"23","4","    Government","K160041","210,208.0","236,088.0","252,851.0","258,716.0","274,143.0","295,782.0","328,670.0","342,712.0","360,776.0","371,061.0","384,631.0","403,971.0","430,136.0","450,920.0","473,185.0","503,403.0","543,876.0","587,697.0","638,111.0"
"24","5","  Private inventories \1\","K160051","114,404.0","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0"
"25",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","Gross fixed investment","K160061","67,876.0","72,820.0","78,480.0","78,268.0","85,024.0","90,985.0","94,058.0","91,336.0","103,918.0","103,926.0","106,515.0","115,321.0","121,775.0","131,862.0","144,549.0","157,456.0","161,710.0","175,763.0","190,539.0"
"27","7","  Private \2\","K160071","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0"
