"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:36:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Current receipts","W023RC1","7,072.0","7,271.0","7,149.0","6,769.0","6,681.0","8,098.0","8,667.0","8,201.0","8,584.0","8,688.0","9,068.0","9,394.0","9,800.0","10,056.0","10,398.0","10,669.0","11,110.0","12,638.0","14,879.0","16,750.0","18,299.0","19,956.0","21,926.0","23,715.0","25,489.0","26,921.0","29,387.0","32,368.0","35,016.0","37,074.0","40,647.0","44,458.0","48,065.0","51,997.0","56,026.0","61,260.0","66,532.0","74,934.0","82,520.0","93,517.0","105,454.0"
"20","2","Current tax receipts","W070RC1","6,382.0","6,606.0","6,370.0","6,189.0","5,762.0","6,026.0","6,478.0","6,969.0","7,359.0","7,522.0","7,656.0","8,085.0","8,528.0","8,604.0","8,807.0","9,011.0","9,467.0","10,462.0","12,043.0","13,709.0","14,996.0","16,466.0","18,118.0","19,664.0","21,139.0","22,247.0","24,396.0","26,993.0","29,027.0","30,589.0","33,826.0","36,954.0","39,653.0","42,779.0","45,767.0","49,773.0","53,855.0","58,768.0","63,973.0","73,397.0","82,460.0"
"21","3","  Personal current taxes","W071RC1","550.0","526.0","471.0","443.0","422.0","445.0","499.0","563.0","617.0","627.0","632.0","672.0","709.0","724.0","750.0","787.0","829.0","859.0","997.0","1,140.0","1,357.0","1,480.0","1,680.0","1,838.0","1,936.0","2,092.0","2,389.0","2,678.0","2,892.0","3,063.0","3,823.0","4,230.0","4,556.0","5,026.0","5,414.0","6,084.0","6,596.0","7,776.0","8,575.0","10,552.0","12,806.0"
"22","4","    Income taxes","B245RC1","139.0","110.0","74.0","64.0","67.0","87.0","121.0","167.0","204.0","208.0","201.0","232.0","258.0","291.0","330.0","366.0","402.0","409.0","488.0","570.0","718.0","776.0","905.0","1,002.0","1,042.0","1,135.0","1,345.0","1,574.0","1,723.0","1,829.0","2,229.0","2,536.0","2,800.0","3,180.0","3,432.0","4,018.0","4,417.0","5,422.0","6,112.0","7,841.0","9,769.0"
"23","5","    Other","B247RC1","411.0","416.0","397.0","379.0","355.0","358.0","378.0","396.0","413.0","419.0","431.0","440.0","451.0","433.0","420.0","421.0","427.0","450.0","509.0","570.0","639.0","704.0","775.0","836.0","894.0","957.0","1,044.0","1,104.0","1,169.0","1,234.0","1,594.0","1,694.0","1,756.0","1,846.0","1,982.0","2,066.0","2,179.0","2,354.0","2,463.0","2,711.0","3,037.0"
"24","6","  Taxes on production and imports","W072RC1","5,687.0","5,982.0","5,824.0","5,689.0","5,281.0","5,481.0","5,848.0","6,249.0","6,577.0","6,761.0","6,868.0","7,214.0","7,542.0","7,530.0","7,599.0","7,759.0","8,183.0","9,141.0","10,442.0","11,898.0","13,034.0","14,216.0","15,555.0","17,000.0","18,394.0","19,382.0","21,039.0","23,271.0","25,116.0","26,522.0","28,841.0","31,475.0","33,807.0","36,251.0","38,700.0","41,845.0","45,282.0","48,762.0","52,773.0","59,535.0","66,044.0"
"25","7","    Sales taxes","B248RC1","439.0","525.0","571.0","578.0","669.0","934.0","1,156.0","1,396.0","1,518.0","1,583.0","1,653.0","1,835.0","2,073.0","2,033.0","1,965.0","2,002.0","2,266.0","2,899.0","3,508.0","4,115.0","4,333.0","4,801.0","5,366.0","5,847.0","6,264.0","6,469.0","7,103.0","7,989.0","8,590.0","9,979.0","11,132.0","12,156.0","13,020.0","14,013.0","14,975.0","16,454.0","18,185.0","19,953.0","21,370.0","25,057.0","28,562.0"
"26","8","    Property taxes","B249RC1","4,543.0","4,727.0","4,539.0","4,424.0","3,962.0","3,907.0","4,023.0","4,058.0","4,162.0","4,277.0","4,285.0","4,407.0","4,449.0","4,397.0","4,494.0","4,565.0","4,642.0","4,836.0","5,346.0","5,938.0","6,642.0","7,143.0","7,696.0","8,385.0","9,096.0","9,673.0","10,448.0","11,453.0","12,609.0","13,764.0","14,812.0","16,238.0","17,580.0","18,958.0","20,245.0","21,687.0","23,187.0","24,535.0","26,964.0","29,896.0","32,763.0"
"27","9","    Other","W073RC1","705.0","730.0","714.0","687.0","650.0","640.0","669.0","795.0","897.0","901.0","930.0","972.0","1,020.0","1,100.0","1,140.0","1,192.0","1,275.0","1,406.0","1,588.0","1,845.0","2,059.0","2,272.0","2,493.0","2,768.0","3,034.0","3,240.0","3,488.0","3,829.0","3,917.0","2,779.0","2,897.0","3,081.0","3,207.0","3,280.0","3,480.0","3,704.0","3,910.0","4,274.0","4,439.0","4,582.0","4,719.0"
"28","10","  Taxes on corporate income","B102RC1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"29","11","Contributions for government social insurance","B104RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","5.0","5.0","4.0","155.0","175.0","201.0","194.0","223.0","242.0","278.0","306.0","324.0","337.0","370.0","397.0","395.0","413.0","461.0","492.0","548.0","629.0","682.0","758.0","821.0","877.0","942.0","1,026.0"
"30","12","Income receipts on assets","W074RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","388.0","439.0","458.0","484.0","538.0","611.0","656.0","725.0","804.0","859.0","979.0","1,085.0","1,141.0","1,132.0","1,323.0","1,417.0","1,538.0","1,637.0","1,911.0","2,199.0","2,620.0","3,007.0","3,482.0","4,337.0"
"31","13","  Interest receipts \1\","B112RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","276.0","316.0","308.0","318.0","335.0","393.0","418.0","467.0","499.0","559.0","655.0","744.0","763.0","854.0","1,047.0","1,061.0","1,113.0","1,245.0","1,485.0","1,752.0","2,093.0","2,371.0","2,765.0","3,570.0"
"32","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties","S230541","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","278.0","276.0","356.0","425.0","392.0","426.0","447.0","527.0","636.0","717.0","767.0"
"34","16","Current transfer receipts","W075RC1","485.0","456.0","583.0","381.0","712.0","1,840.0","1,913.0","929.0","909.0","865.0","1,078.0","930.0","848.0","979.0","1,057.0","1,090.0","1,031.0","1,231.0","1,835.0","2,041.0","2,228.0","2,297.0","2,470.0","2,608.0","2,764.0","2,874.0","2,957.0","3,157.0","3,636.0","4,086.0","4,158.0","4,473.0","5,173.0","5,755.0","6,371.0","7,252.0","8,028.0","11,118.0","13,117.0","14,187.0","16,162.0"
"35","17","  Federal grants-in-aid","B089RC1","117.0","125.0","313.0","134.0","502.0","1,633.0","1,706.0","724.0","701.0","653.0","875.0","727.0","645.0","766.0","851.0","876.0","805.0","1,025.0","1,595.0","1,720.0","1,856.0","1,901.0","2,045.0","2,156.0","2,274.0","2,328.0","2,407.0","2,540.0","2,921.0","3,338.0","3,775.0","4,003.0","4,514.0","5,038.0","5,643.0","6,450.0","7,167.0","10,080.0","11,737.0","12,706.0","14,565.0"
"36","18","  From business (net)","W076RC1","57.0","59.0","62.0","65.0","62.0","60.0","63.0","63.0","67.0","68.0","67.0","69.0","68.0","75.0","69.0","74.0","75.0","56.0","61.0","79.0","89.0","114.0","122.0","136.0","144.0","172.0","170.0","184.0","193.0","221.0","107.0","169.0","228.0","226.0","255.0","258.0","335.0","308.0","457.0","484.0","530.0"
"37","19","  From persons","B246RC1","311.0","272.0","208.0","182.0","148.0","147.0","144.0","142.0","141.0","144.0","136.0","134.0","135.0","138.0","137.0","140.0","151.0","150.0","179.0","242.0","283.0","282.0","303.0","316.0","346.0","374.0","380.0","433.0","522.0","527.0","276.0","301.0","431.0","491.0","473.0","544.0","526.0","730.0","923.0","997.0","1,067.0"
"38","20","Current surplus of government enterprises","B115RC1","105.0","107.0","90.0","88.0","101.0","127.0","166.0","192.0","199.0","181.0","216.0","256.0","301.0","337.0","401.0","428.0","468.0","402.0","387.0","341.0","397.0","432.0","485.0","509.0","555.0","672.0","838.0","869.0","871.0","863.0","1,118.0","1,247.0","1,330.0","1,377.0","1,622.0","1,642.0","1,692.0","1,607.0","1,546.0","1,509.0","1,469.0"
"39","21","    Current expenditures","W024RC1","5,564.0","5,933.0","6,182.0","6,109.0","6,312.0","6,885.0","7,520.0","5,913.0","6,565.0","6,723.0","7,047.0","7,440.0","7,886.0","8,545.0","8,933.0","9,094.0","9,516.0","11,152.0","13,450.0","15,520.0","16,841.0","18,644.0","19,356.0","20,727.0","21,994.0","23,691.0","25,880.0","27,968.0","30,824.0","34,195.0","36,868.0","40,160.0","43,781.0","46,758.0","50,324.0","54,874.0","60,003.0","67,176.0","75,531.0","86,025.0","97,475.0"
