"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191BX1","282,986.0","282,552.0","282,320.0","286,601.0","291,155.0","296,515.0","298,109.0","298,567.0","294,421.0","293,345.0","296,636.0","293,852.0","305,729.0","315,033.0","327,361.0","333,120.0","337,330.0","342,926.0","349,759.0","350,352.0","353,877.0","354,267.0","356,641.0","368,421.0","375,315.0","378,155.0","375,856.0","369,906.0","368,141.0","368,603.0","372,759.0","380,224.0","391,176.0","397,648.0","402,961.0","405,211.0","403,362.0","406,534.0","406,023.0","412,658.0","415,194.0","414,192.0","418,182.0","413,783.0","402,581.0","405,052.0","414,543.0","424,209.0","432,789.0","443,720.0","443,191.0","444,742.0","454,721.0","452,596.0","453,336.0","447,522.0","450,181.0","458,603.0","466,014.0","475,501.0","484,029.0","489,374.0","493,899.0","495,099.0"
"21","2","Personal consumption expenditures","DPCEBX1","184,734.0","187,801.0","188,407.0","188,467.0","189,409.0","191,612.0","191,892.0","193,421.0","193,729.0","196,692.0","197,136.0","200,021.0","203,346.0","206,693.0","217,299.0","210,751.0","215,850.0","209,757.0","212,199.0","213,437.0","213,913.0","218,112.0","219,174.0","226,915.0","229,617.0","231,009.0","230,475.0","228,940.0","229,774.0","232,772.0","235,930.0","240,885.0","246,289.0","251,004.0","254,107.0","257,300.0","257,720.0","258,580.0","259,166.0","262,732.0","264,545.0","265,015.0","267,121.0","267,256.0","263,620.0","265,784.0","270,136.0","273,707.0","278,774.0","283,066.0","286,013.0","286,336.0","289,079.0","292,737.0","291,571.0","291,959.0","291,876.0","296,219.0","297,656.0","303,618.0","306,845.0","310,617.0","313,136.0","317,577.0"
"22","3","  Goods","DGDSBX1","110,617.0","112,605.0","113,356.0","113,782.0","113,947.0","114,983.0","114,867.0","115,623.0","115,447.0","117,979.0","118,576.0","121,223.0","123,576.0","124,892.0","134,242.0","127,166.0","129,969.0","123,375.0","124,732.0","125,736.0","125,133.0","127,939.0","127,804.0","134,265.0","136,035.0","136,297.0","135,151.0","134,327.0","134,244.0","135,553.0","136,991.0","140,811.0","145,133.0","149,222.0","151,298.0","152,368.0","151,693.0","151,468.0","150,837.0","153,000.0","154,428.0","153,871.0","155,161.0","153,943.0","150,268.0","150,725.0","153,570.0","156,533.0","160,170.0","162,707.0","163,992.0","162,661.0","164,295.0","166,592.0","165,522.0","164,527.0","162,968.0","165,433.0","166,510.0","170,215.0","172,207.0","173,906.0","175,236.0","177,976.0"
"23","4","    Durable goods","DDURBX1","23,983.0","24,486.0","24,827.0","26,441.0","26,307.0","26,485.0","26,931.0","26,551.0","26,064.0","28,324.0","29,676.0","30,855.0","32,038.0","32,309.0","39,967.0","35,025.0","36,129.0","30,946.0","30,384.0","30,288.0","30,461.0","31,055.0","29,212.0","34,245.0","35,397.0","35,194.0","34,974.0","33,995.0","32,937.0","34,534.0","34,679.0","36,814.0","40,121.0","42,297.0","43,666.0","42,516.0","40,571.0","40,628.0","39,911.0","41,194.0","41,948.0","40,960.0","40,677.0","40,203.0","37,529.0","36,954.0","37,721.0","39,103.0","41,225.0","42,777.0","43,605.0","41,522.0","42,856.0","43,831.0","43,482.0","42,390.0","40,062.0","40,893.0","41,892.0","43,922.0","44,872.0","46,075.0","46,411.0","48,455.0"
"24","5","    Nondurable goods","DNDGBX1","86,648.0","88,132.0","88,539.0","87,379.0","87,666.0","88,522.0","87,980.0","89,128.0","89,465.0","89,709.0","88,920.0","90,370.0","91,524.0","92,583.0","94,183.0","92,094.0","93,789.0","92,420.0","94,365.0","95,471.0","94,680.0","96,879.0","98,582.0","100,028.0","100,649.0","101,110.0","100,182.0","100,327.0","101,292.0","101,018.0","102,292.0","104,014.0","105,095.0","107,034.0","107,754.0","109,941.0","111,181.0","110,902.0","110,976.0","111,866.0","112,543.0","112,967.0","114,535.0","113,788.0","112,764.0","113,786.0","115,866.0","117,457.0","118,985.0","119,971.0","120,429.0","121,174.0","121,478.0","122,805.0","122,087.0","122,171.0","122,896.0","124,541.0","124,636.0","126,330.0","127,379.0","127,888.0","128,882.0","129,606.0"
"25","6","  Services","DSERBX1","74,095.0","75,166.0","75,001.0","74,614.0","75,414.0","76,597.0","77,007.0","77,782.0","78,273.0","78,672.0","78,509.0","78,743.0","79,721.0","81,742.0","83,006.0","83,531.0","85,812.0","86,393.0","87,474.0","87,693.0","88,779.0","90,165.0","91,362.0","92,667.0","93,613.0","94,735.0","95,316.0","94,609.0","95,489.0","97,144.0","98,832.0","100,031.0","101,203.0","101,942.0","102,992.0","105,043.0","106,054.0","107,070.0","108,196.0","109,606.0","110,027.0","110,974.0","111,791.0","113,017.0","112,910.0","114,542.0","116,078.0","116,776.0","118,283.0","120,044.0","121,655.0","123,123.0","124,239.0","125,620.0","125,472.0","126,689.0","127,956.0","129,823.0","130,216.0","132,509.0","133,765.0","135,765.0","136,935.0","138,661.0"
"26","7","Gross private domestic investment","A006BX1","44,546.0","40,960.0","39,647.0","47,860.0","53,047.0","56,543.0","57,148.0","54,305.0","45,858.0","39,442.0","42,897.0","40,554.0","50,727.0","56,404.0","61,484.0","69,655.0","62,310.0","63,850.0","58,917.0","53,899.0","55,159.0","50,579.0","53,270.0","57,091.0","58,228.0","58,425.0","57,054.0","52,562.0","52,119.0","51,939.0","54,595.0","57,106.0","63,198.0","67,191.0","68,153.0","69,629.0","67,287.0","66,524.0","65,743.0","64,967.0","63,920.0","63,833.0","65,358.0","59,897.0","55,447.0","54,134.0","58,599.0","63,885.0","67,489.0","73,126.0","68,037.0","70,420.0","78,034.0","70,137.0","69,719.0","61,106.0","62,669.0","67,336.0","72,977.0","74,209.0","78,633.0","77,873.0","79,266.0","76,605.0"
"27","8","  Fixed investment","A007BX1","43,873.0","42,711.0","44,158.0","48,046.0","49,664.0","49,621.0","49,087.0","48,518.0","45,747.0","44,293.0","44,184.0","45,768.0","48,668.0","53,183.0","57,153.0","55,965.0","53,886.0","51,405.0","50,575.0","50,051.0","50,643.0","51,344.0","48,193.0","51,861.0","53,945.0","54,238.0","54,279.0","53,693.0","52,848.0","53,713.0","55,858.0","57,107.0","59,413.0","61,967.0","63,335.0","63,398.0","62,050.0","62,548.0","62,447.0","62,017.0","62,016.0","61,418.0","62,037.0","60,901.0","57,130.0","55,509.0","56,301.0","59,770.0","63,437.0","65,492.0","66,292.0","65,410.0","67,694.0","66,332.0","64,555.0","64,289.0","63,484.0","64,417.0","65,969.0","68,190.0","69,649.0","71,762.0","72,340.0","71,984.0"
"28","9","    Nonresidential","A008BX1","30,228.0","29,750.0","29,159.0","30,100.0","31,967.0","30,855.0","30,932.0","31,725.0","30,224.0","29,032.0","27,589.0","27,117.0","27,886.0","30,380.0","33,105.0","33,062.0","32,203.0","32,648.0","33,015.0","32,329.0","32,457.0","32,821.0","29,854.0","32,541.0","34,325.0","34,562.0","35,346.0","34,920.0","33,878.0","33,520.0","34,435.0","34,334.0","34,949.0","37,146.0","39,045.0","40,121.0","39,374.0","39,990.0","40,311.0","40,215.0","40,503.0","40,396.0","41,249.0","40,177.0","37,271.0","35,661.0","35,124.0","36,433.0","37,565.0","38,713.0","39,939.0","39,783.0","41,315.0","41,956.0","40,910.0","40,684.0","39,828.0","40,651.0","40,989.0","42,372.0","43,356.0","44,649.0","45,227.0","44,918.0"
"29","10","      Structures","B009BX1","10,501.0","10,445.0","10,516.0","10,365.0","10,580.0","10,875.0","11,200.0","11,360.0","11,146.0","10,885.0","10,404.0","10,118.0","10,601.0","11,135.0","11,780.0","12,082.0","12,121.0","12,533.0","12,457.0","11,978.0","11,992.0","12,079.0","12,179.0","12,646.0","13,027.0","13,277.0","13,351.0","13,586.0","13,725.0","13,820.0","13,790.0","13,731.0","14,156.0","14,508.0","14,989.0","15,360.0","15,837.0","16,401.0","16,505.0","16,465.0","16,323.0","16,312.0","16,315.0","16,222.0","15,918.0","15,390.0","15,039.0","15,271.0","15,218.0","15,689.0","16,156.0","16,033.0","16,702.0","16,900.0","16,932.0","17,577.0","17,497.0","17,205.0","17,215.0","17,124.0","17,446.0","18,081.0","18,557.0","18,107.0"
"30","11","      Equipment and software","B010BX1","19,718.0","19,300.0","18,648.0","19,737.0","21,401.0","19,976.0","19,723.0","20,357.0","19,072.0","18,145.0","17,187.0","16,998.0","17,291.0","19,239.0","21,307.0","20,970.0","20,080.0","20,116.0","20,557.0","20,351.0","20,466.0","20,743.0","17,675.0","19,893.0","21,296.0","21,283.0","22,001.0","21,335.0","20,154.0","19,707.0","20,642.0","20,599.0","20,789.0","22,631.0","24,047.0","24,750.0","23,527.0","23,582.0","23,803.0","23,746.0","24,173.0","24,077.0","24,924.0","23,948.0","21,376.0","20,298.0","20,105.0","21,168.0","22,327.0","23,003.0","23,760.0","23,722.0","24,586.0","25,024.0","23,976.0","23,159.0","22,403.0","23,470.0","23,789.0","25,220.0","25,881.0","26,545.0","26,661.0","26,783.0"
"31","12","    Residential","A011BX1","13,728.0","13,045.0","15,044.0","17,952.0","17,738.0","18,773.0","18,175.0","16,829.0","15,564.0","15,295.0","16,606.0","18,645.0","20,761.0","22,774.0","24,026.0","22,894.0","21,678.0","18,758.0","17,562.0","17,724.0","18,188.0","18,523.0","18,337.0","19,321.0","19,622.0","19,678.0","18,931.0","18,769.0","18,966.0","20,200.0","21,433.0","22,783.0","24,475.0","24,836.0","24,306.0","23,275.0","22,660.0","22,525.0","22,083.0","21,737.0","21,426.0","20,909.0","20,627.0","20,597.0","19,782.0","19,832.0","21,278.0","23,545.0","26,224.0","27,155.0","26,642.0","25,865.0","26,607.0","24,419.0","23,678.0","23,647.0","23,738.0","23,824.0","25,111.0","25,953.0","26,421.0","27,248.0","27,225.0","27,189.0"
"32","13","  Change in private inventories","A014BX1","1,585.0","-1,134.0","-4,387.0","-719.0","3,738.0","7,000.0","8,175.0","6,342.0","-666.0","-5,692.0","-1,261.0","-5,705.0","2,412.0","3,520.0","4,591.0","14,666.0","9,123.0","13,273.0","8,771.0","3,780.0","4,729.0","-1,161.0","5,219.0","5,271.0","4,237.0","4,185.0","2,526.0","-2,186.0","-1,940.0","-3,097.0","-2,469.0","-891.0","3,669.0","5,420.0","4,946.0","6,809.0","5,744.0","3,993.0","3,095.0","2,739.0","1,493.0","2,135.0","3,102.0","-2,903.0","-3,639.0","-3,168.0","1,601.0","4,235.0","3,411.0","8,663.0","1,037.0","5,086.0","12,690.0","3,620.0","5,111.0","-5,960.0","-2,718.0","2,347.0","7,784.0","6,457.0","10,199.0","6,419.0","7,525.0","4,458.0"
"33","14","Net exports of goods and services","A019BX1","11,391.0","10,912.0","11,026.0","8,191.0","6,085.0","4,016.0","3,774.0","3,406.0","5,629.0","5,651.0","4,683.0","2,393.0","1,852.0","1,373.0","-1,140.0","-36.0","719.0","2,782.0","4,449.0","4,632.0","4,058.0","2,087.0","-108.0","-1,382.0","-1,229.0","-1,982.0","-1,307.0","-986.0","-732.0","-13.0","459.0","1,054.0","746.0","-616.0","210.0","-362.0","-277.0","1,119.0","1,633.0","3,481.0","3,440.0","2,584.0","2,334.0","1,600.0","-839.0","-1,613.0","-1,230.0","-2,380.0","-1,654.0","-2,048.0","-1,586.0","-1,576.0","251.0","1,615.0","1,676.0","3,308.0","3,240.0","2,613.0","981.0","1,184.0","370.0","2,289.0","381.0","-517.0"
"34","15","  Exports","A020BX1","21,883.0","21,607.0","20,511.0","18,187.0","17,357.0","15,735.0","16,105.0","15,537.0","17,396.0","17,247.0","15,806.0","13,683.0","13,457.0","13,620.0","13,973.0","15,105.0","15,860.0","17,421.0","17,849.0","17,681.0","18,622.0","16,576.0","15,267.0","15,371.0","15,111.0","15,205.0","15,815.0","15,294.0","14,608.0","16,706.0","16,170.0","16,914.0","17,543.0","17,134.0","18,258.0","18,340.0","19,211.0","20,505.0","21,188.0","22,138.0","23,582.0","22,883.0","22,241.0","21,576.0","19,434.0","19,526.0","19,589.0","19,528.0","20,818.0","21,511.0","22,194.0","21,601.0","24,306.0","25,851.0","25,198.0","25,721.0","25,544.0","25,189.0","25,052.0","25,827.0","25,764.0","28,236.0","26,657.0","26,081.0"
"35","16","    Goods","A253BX1","18,961.0","18,431.0","17,414.0","15,261.0","14,629.0","13,159.0","13,498.0","12,959.0","14,667.0","14,455.0","13,302.0","11,483.0","11,121.0","11,249.0","11,623.0","12,588.0","13,099.0","14,404.0","14,742.0","14,476.0","15,285.0","13,421.0","12,449.0","12,642.0","12,189.0","12,405.0","13,017.0","12,546.0","11,835.0","13,955.0","13,240.0","13,970.0","14,516.0","14,062.0","14,976.0","15,020.0","15,830.0","16,931.0","17,567.0","18,360.0","19,636.0","18,998.0","18,344.0","17,146.0","15,837.0","15,674.0","15,777.0","15,594.0","14,740.0","15,160.0","16,659.0","15,886.0","18,420.0","19,318.0","19,658.0","19,689.0","19,819.0","18,462.0","19,424.0","19,769.0","19,529.0","20,802.0","20,839.0","19,751.0"
"36","17","    Services","A646BX1","2,889.0","3,133.0","3,064.0","2,924.0","2,716.0","2,580.0","2,605.0","2,582.0","2,721.0","2,788.0","2,501.0","2,197.0","2,330.0","2,365.0","2,347.0","2,514.0","2,758.0","3,011.0","3,100.0","3,207.0","3,336.0","3,155.0","2,818.0","2,732.0","2,917.0","2,799.0","2,802.0","2,750.0","2,768.0","2,765.0","2,931.0","2,951.0","3,034.0","3,074.0","3,285.0","3,322.0","3,385.0","3,580.0","3,629.0","3,789.0","3,961.0","3,899.0","3,907.0","4,406.0","3,596.0","3,839.0","3,801.0","3,918.0","6,032.0","6,286.0","5,484.0","5,654.0","5,843.0","6,478.0","5,520.0","5,995.0","5,696.0","6,671.0","5,598.0","6,017.0","6,186.0","7,346.0","5,817.0","6,283.0"
"37","18","  Imports","A021BX1","10,493.0","10,695.0","9,485.0","9,996.0","11,272.0","11,719.0","12,331.0","12,131.0","11,767.0","11,596.0","11,123.0","11,290.0","11,606.0","12,246.0","15,113.0","15,141.0","15,141.0","14,640.0","13,400.0","13,050.0","14,564.0","14,488.0","15,375.0","16,753.0","16,340.0","17,188.0","17,122.0","16,280.0","15,340.0","16,720.0","15,711.0","15,860.0","16,797.0","17,750.0","18,048.0","18,702.0","19,488.0","19,386.0","19,555.0","18,657.0","20,141.0","20,298.0","19,907.0","19,976.0","20,273.0","21,139.0","20,818.0","21,908.0","22,472.0","23,559.0","23,781.0","23,176.0","24,055.0","24,236.0","23,522.0","22,413.0","22,304.0","22,576.0","24,071.0","24,643.0","25,393.0","25,948.0","26,277.0","26,598.0"
"38","19","    Goods","A255BX1","8,474.0","8,667.0","7,502.0","7,602.0","8,883.0","9,231.0","9,430.0","9,400.0","9,148.0","8,854.0","8,606.0","8,890.0","9,086.0","9,637.0","12,427.0","12,204.0","11,982.0","11,456.0","9,895.0","9,165.0","10,386.0","10,494.0","10,873.0","11,599.0","11,393.0","12,052.0","11,702.0","10,718.0","10,309.0","11,337.0","10,393.0","10,318.0","11,427.0","11,541.0","11,576.0","12,743.0","13,256.0","12,811.0","12,665.0","12,780.0","13,066.0","13,242.0","13,025.0","13,669.0","13,081.0","13,355.0","13,508.0","14,547.0","15,346.0","16,302.0","16,450.0","15,854.0","16,185.0","16,410.0","15,527.0","14,786.0","14,630.0","14,880.0","16,454.0","16,852.0","17,465.0","18,012.0","18,335.0","18,304.0"
"39","20","    Services","B656BX1","2,034.0","2,051.0","1,971.0","2,337.0","2,370.0","2,467.0","2,833.0","2,683.0","2,575.0","2,671.0","2,472.0","2,384.0","2,498.0","2,592.0","2,718.0","2,936.0","3,136.0","3,145.0","3,491.0","3,898.0","4,180.0","3,993.0","4,501.0","5,154.0","4,949.0","5,136.0","5,418.0","5,561.0","5,031.0","5,381.0","5,324.0","5,554.0","5,366.0","6,220.0","6,492.0","5,954.0","6,226.0","6,583.0","6,909.0","5,867.0","7,092.0","7,070.0","6,893.0","6,299.0","7,195.0","7,789.0","7,325.0","7,387.0","7,156.0","7,279.0","7,342.0","7,334.0","7,888.0","7,845.0","8,011.0","7,639.0","7,681.0","7,703.0","7,644.0","7,820.0","7,968.0","7,987.0","8,000.0","8,332.0"
"40","21","Government consumption expenditures and gross investment","A822BX1","42,026.0","42,291.0","42,679.0","42,048.0","42,880.0","44,944.0","45,818.0","47,745.0","49,109.0","51,332.0","51,848.0","50,746.0","49,897.0","50,714.0","49,740.0","52,910.0","58,566.0","66,620.0","74,178.0","78,316.0","80,739.0","83,478.0","84,305.0","85,816.0","88,727.0","90,680.0","89,584.0","89,304.0","86,915.0","83,840.0","81,817.0","81,320.0","81,221.0","80,415.0","80,904.0","79,151.0","79,106.0","80,765.0","80,001.0","82,080.0","83,767.0","83,246.0","83,884.0","85,411.0","84,457.0","86,573.0","87,113.0","88,971.0","88,394.0","89,742.0","90,872.0","89,882.0","88,112.0","88,827.0","90,967.0","91,601.0","92,800.0","93,022.0","94,846.0","96,930.0","98,645.0","99,180.0","101,438.0","101,585.0"
"41","22","  Federal","A823BX1","24,618.0","24,670.0","24,684.0","23,822.0","24,633.0","26,134.0","26,666.0","28,112.0","28,678.0","29,756.0","29,428.0","27,970.0","26,639.0","27,231.0","26,264.0","29,348.0","35,094.0","42,607.0","49,971.0","54,116.0","56,477.0","58,714.0","60,223.0","61,170.0","63,553.0","65,554.0","63,765.0","62,840.0","59,495.0","56,309.0","53,508.0","52,885.0","51,612.0","50,441.0","50,973.0","49,066.0","48,700.0","49,976.0","49,067.0","50,824.0","51,727.0","50,943.0","51,128.0","51,845.0","49,985.0","51,591.0","51,389.0","52,589.0","51,722.0","52,959.0","54,054.0","53,266.0","50,870.0","50,676.0","52,249.0","52,439.0","52,371.0","52,860.0","54,345.0","55,303.0","57,333.0","57,569.0","59,302.0","58,983.0"
"42","23","    National defense","A824BX1","19,960.0","18,652.0","19,616.0","19,750.0","19,698.0","19,535.0","19,243.0","20,204.0","20,737.0","21,113.0","21,053.0","19,727.0","18,931.0","19,096.0","20,351.0","23,169.0","29,368.0","36,403.0","43,887.0","47,830.0","49,473.0","52,141.0","53,345.0","54,297.0","55,968.0","56,415.0","55,677.0","54,605.0","50,944.0","48,802.0","46,285.0","44,694.0","44,455.0","42,843.0","43,295.0","41,840.0","41,681.0","42,793.0","42,655.0","44,024.0","44,273.0","44,641.0","45,008.0","44,464.0","43,971.0","44,406.0","44,387.0","44,718.0","43,475.0","42,946.0","44,040.0","43,476.0","42,708.0","42,081.0","43,428.0","42,925.0","44,062.0","43,787.0","45,045.0","45,826.0","47,533.0","47,016.0","47,767.0","47,210.0"
