"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,703,117.0","13,087,981.0"
"20","2","Business \1\","A195RX1","2,930,698.0","2,929,986.0","3,042,571.0","3,238,522.0","3,465,483.0","3,413,718.0","3,381,800.0","3,605,165.0","3,805,805.0","4,045,610.0","4,179,898.0","4,132,778.0","4,247,743.0","4,119,129.0","4,340,975.0","4,717,912.0","4,937,016.0","5,121,201.0","5,289,776.0","5,516,558.0","5,720,913.0","5,808,817.0","5,757,853.0","5,985,079.0","6,178,096.0","6,480,953.0","6,663,308.0","6,966,800.0","7,327,472.0","7,693,819.0","8,123,718.0","8,491,403.0","8,559,516.0","8,726,814.0","9,001,619.0","9,362,976.0","9,680,060.0","9,973,961.0","10,172,458.0","10,038,359.0","9,550,285.0","9,923,894.0"
"21","3","  Nonfarm \2\","A358RX1","2,907,603.0","2,904,444.0","3,014,808.0","3,215,179.0","3,450,884.0","3,400,291.0","3,344,809.0","3,579,324.0","3,778,749.0","4,027,936.0","4,154,971.0","4,110,292.0","4,197,786.0","4,062,354.0","4,323,586.0","4,679,251.0","4,880,906.0","5,070,350.0","5,239,285.0","5,478,274.0","5,671,735.0","5,753,402.0","5,700,528.0","5,914,638.0","6,121,262.0","6,406,978.0","6,610,380.0","6,901,627.0","7,253,173.0","7,624,840.0","8,051,520.0","8,408,308.0","8,482,314.0","8,646,144.0","8,910,489.0","9,265,096.0","9,578,043.0","9,874,558.0","10,082,094.0","9,934,234.0","9,430,814.0","9,804,671.0"
"22","4","  Farm","B359RX1","27,540.0","28,306.0","29,797.0","29,802.0","29,473.0","28,810.0","34,317.0","32,728.0","34,495.0","33,303.0","36,325.0","35,213.0","46,521.0","48,818.0","31,886.0","43,281.0","52,911.0","50,750.0","51,254.0","45,610.0","52,286.0","56,019.0","56,939.0","66,241.0","57,837.0","70,525.0","56,392.0","65,281.0","72,511.0","69,387.0","72,759.0","83,536.0","77,731.0","81,172.0","91,551.0","97,915.0","102,018.0","99,131.0","90,348.0","101,746.0","117,064.0","116,456.0"
"23","5","Households and institutions","A193RX1","501,165.0","510,248.0","531,661.0","554,759.0","574,632.0","597,731.0","617,942.0","628,211.0","637,484.0","666,377.0","695,313.0","730,947.0","754,139.0","778,870.0","800,988.0","826,804.0","841,217.0","863,368.0","895,799.0","937,230.0","974,808.0","1,009,611.0","1,038,543.0","1,071,410.0","1,106,853.0","1,139,988.0","1,175,538.0","1,199,841.0","1,240,469.0","1,280,237.0","1,325,502.0","1,376,242.0","1,406,971.0","1,417,341.0","1,417,820.0","1,457,434.0","1,506,420.0","1,539,820.0","1,571,920.0","1,628,622.0","1,622,986.0","1,630,617.0"
"24","6","  Households","B701RX1","285,923.0","292,640.0","305,875.0","319,053.0","330,573.0","344,997.0","354,179.0","360,910.0","364,951.0","387,354.0","404,983.0","430,617.0","444,053.0","452,062.0","460,541.0","476,353.0","487,432.0","493,661.0","506,766.0","525,706.0","542,017.0","555,680.0","572,047.0","589,015.0","603,523.0","631,892.0","651,346.0","665,374.0","687,580.0","703,747.0","740,322.0","774,082.0","793,050.0","789,872.0","787,088.0","821,652.0","864,389.0","897,971.0","914,206.0","954,773.0","944,839.0","943,182.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","214,904.0","216,665.0","224,487.0","234,384.0","242,665.0","251,035.0","262,477.0","265,841.0","271,285.0","276,743.0","287,836.0","297,095.0","306,775.0","324,273.0","338,498.0","348,303.0","351,240.0","368,002.0","388,020.0","411,054.0","432,937.0","454,872.0","467,410.0","483,450.0","504,901.0","508,670.0","524,810.0","535,038.0","553,515.0","577,832.0","585,302.0","601,814.0","613,427.0","627,684.0","631,132.0","635,852.0","642,031.0","642,047.0","657,848.0","674,229.0","678,252.0","687,198.0"
"26","8","General government \4\","A765RX1","947,160.0","950,794.0","952,358.0","950,642.0","954,913.0","974,360.0","990,109.0","998,727.0","1,009,168.0","1,028,535.0","1,039,482.0","1,054,419.0","1,060,241.0","1,071,044.0","1,077,882.0","1,091,273.0","1,122,505.0","1,150,133.0","1,175,304.0","1,205,843.0","1,234,618.0","1,266,206.0","1,279,389.0","1,283,684.0","1,286,516.0","1,286,821.0","1,287,733.0","1,289,812.0","1,299,609.0","1,314,342.0","1,326,304.0","1,349,371.0","1,373,704.0","1,401,420.0","1,418,246.0","1,426,818.0","1,436,476.0","1,444,976.0","1,462,495.0","1,492,266.0","1,520,135.0","1,527,894.0"
"27","9","  Federal","A766RX1","467,098.0","447,087.0","426,497.0","405,846.0","390,675.0","389,440.0","387,269.0","387,924.0","388,983.0","393,883.0","393,458.0","399,690.0","405,851.0","412,459.0","422,047.0","431,593.0","443,881.0","451,756.0","463,602.0","469,347.0","475,139.0","483,816.0","486,731.0","476,535.0","467,410.0","452,197.0","435,118.0","423,153.0","415,184.0","410,432.0","407,070.0","410,480.0","412,106.0","420,227.0","431,532.0","435,827.0","438,743.0","438,448.0","441,759.0","459,037.0","485,908.0","503,686.0"
"28","10","  State and local","A767RX1","489,966.0","511,687.0","532,531.0","550,931.0","570,230.0","590,940.0","608,926.0","616,940.0","626,396.0","641,001.0","652,447.0","661,245.0","660,926.0","665,167.0","662,495.0","666,441.0","685,577.0","705,438.0","719,007.0","743,613.0","766,424.0","789,241.0","799,395.0","812,976.0","824,163.0","838,464.0","855,128.0","868,376.0","885,577.0","904,593.0","919,526.0","938,977.0","961,322.0","980,900.0","986,673.0","990,991.0","997,733.0","1,006,537.0","1,020,755.0","1,033,284.0","1,034,647.0","1,024,963.0"
"29","11","Residual","A961RX1","-134,800.0","-134,500.0","-124,500.0","-111,400.0","-101,800.0","-119,700.0","-116,600.0","-106,600.0","-91,800.0","-87,400.0","-79,900.0","-100,100.0","-79,900.0","-99,400.0","-108,100.0","-73,800.0","-58,500.0","-59,600.0","-61,000.0","-66,200.0","-61,200.0","-65,900.0","-74,600.0","-62,800.0","-62,900.0","-45,700.0","-47,100.0","-33,100.0","-21,700.0","-16,000.0","-5,800.0","-800.0","-2,400.0","-2,900.0","-2,100.0","-500.0","200.0","-100.0","-600.0","4,700.0","11,600.0","7,700.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","364,608.0","376,582.0","393,630.0","412,523.0","427,820.0","448,480.0","462,204.0","469,345.0","481,164.0","503,177.0","523,004.0","554,995.0","576,709.0","592,276.0","605,359.0","624,559.0","649,050.0","661,120.0","676,803.0","696,403.0","712,187.0","730,201.0","754,560.0","776,662.0","789,070.0","821,733.0","846,893.0","860,429.0","885,563.0","900,940.0","942,313.0","977,818.0","997,847.0","988,509.0","969,321.0","1,008,358.0","1,054,010.0","1,098,560.0","1,132,409.0","1,183,896.0","1,184,590.0","1,189,539.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
