"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W005RU1","14,018.0","9,202.0","9,875.0","9,719.0","14,204.0","9,115.0","9,794.0","9,265.0","11,964.0","8,079.0","9,344.0","8,475.0","12,428.0","10,558.0","12,916.0","12,903.0","19,540.0","14,430.0","14,360.0","14,588.0","19,777.0","15,028.0","15,639.0","15,370.0","21,024.0","15,836.0","17,124.0","14,625.0","19,199.0","13,584.0","15,097.0","14,634.0","17,882.0","18,512.0","17,739.0","16,943.0","19,517.0","20,235.0","18,303.0","17,791.0","20,796.0","21,665.0","19,384.0","17,477.0","18,784.0","19,855.0","18,908.0","18,515.0","21,080.0","24,222.0","21,349.0","20,314.0","23,754.0","26,710.0","22,662.0","20,810.0","22,200.0","26,908.0","23,369.0","23,004.0","25,143.0","29,945.0","24,977.0","23,547.0","26,994.0","31,760.0","27,112.0","25,924.0","27,649.0","32,173.0","26,919.0","25,052.0","29,286.0","35,582.0","28,817.0","27,277.0","32,305.0","40,069.0","33,237.0","32,362.0","36,323.0","40,765.0","36,020.0","33,795.0","39,605.0","46,929.0","43,729.0","41,007.0","46,601.0","54,806.0","47,733.0","43,515.0"
"21","2","Current tax receipts","W006RU1","12,322.0","7,621.0","8,561.0","8,617.0","12,922.0","7,881.0","8,591.0","8,249.0","10,603.0","6,713.0","8,098.0","7,430.0","10,972.0","9,099.0","11,546.0","11,704.0","17,722.0","12,595.0","12,740.0","13,184.0","17,751.0","13,220.0","13,987.0","13,903.0","18,911.0","13,938.0","15,398.0","13,244.0","16,782.0","11,395.0","13,171.0","13,078.0","15,506.0","15,773.0","15,545.0","15,147.0","16,777.0","17,100.0","16,031.0","15,920.0","17,578.0","18,107.0","16,764.0","15,449.0","15,634.0","16,284.0","16,283.0","16,442.0","17,356.0","19,933.0","18,249.0","17,707.0","18,901.0","21,243.0","18,693.0","17,615.0","17,066.0","21,404.0","19,356.0","19,632.0","19,169.0","23,568.0","20,512.0","20,026.0","20,127.0","24,576.0","22,045.0","21,842.0","20,474.0","24,739.0","21,623.0","20,897.0","21,778.0","27,719.0","23,332.0","22,771.0","23,335.0","30,277.0","25,372.0","25,723.0","26,127.0","29,565.0","27,461.0","26,671.0","28,329.0","34,891.0","34,009.0","32,452.0","33,704.0","41,417.0","36,735.0","34,114.0"
"22","3","  Personal current taxes","A074RU1","7,893.0","3,291.0","4,078.0","3,531.0","8,385.0","3,074.0","3,542.0","3,064.0","6,340.0","2,513.0","3,596.0","2,927.0","6,084.0","3,139.0","4,092.0","4,117.0","9,429.0","4,907.0","5,627.0","5,412.0","10,817.0","6,088.0","6,925.0","6,337.0","11,290.0","5,930.0","7,569.0","6,517.0","10,466.0","4,813.0","6,713.0","6,076.0","8,281.0","7,758.0","7,652.0","6,779.0","9,059.0","8,986.0","8,367.0","7,501.0","9,578.0","9,901.0","8,823.0","7,692.0","9,147.0","9,308.0","8,925.0","8,105.0","9,293.0","10,532.0","9,705.0","8,936.0","10,122.0","12,092.0","10,417.0","9,207.0","9,545.0","12,521.0","10,726.0","9,902.0","10,650.0","14,022.0","11,504.0","10,353.0","11,370.0","14,176.0","12,300.0","11,292.0","10,970.0","13,677.0","11,314.0","10,024.0","11,240.0","16,034.0","12,767.0","11,027.0","12,720.0","17,923.0","14,077.0","13,882.0","15,599.0","17,921.0","16,460.0","14,406.0","16,231.0","21,192.0","20,821.0","18,191.0","20,718.0","27,132.0","23,539.0","20,311.0"
"23","4","  Taxes on production and imports","W007RU1","1,852.0","1,798.0","1,902.0","2,112.0","1,843.0","1,894.0","2,010.0","2,081.0","1,854.0","1,923.0","2,077.0","2,016.0","1,877.0","2,065.0","2,516.0","2,276.0","2,363.0","2,162.0","2,250.0","2,415.0","2,347.0","2,509.0","2,552.0","2,713.0","2,600.0","2,710.0","2,713.0","2,684.0","2,370.0","2,392.0","2,295.0","2,450.0","2,384.0","2,658.0","2,640.0","2,746.0","2,523.0","2,675.0","2,726.0","3,042.0","2,750.0","2,939.0","2,885.0","2,926.0","2,623.0","2,867.0","2,713.0","2,995.0","2,812.0","3,139.0","3,036.0","3,224.0","3,134.0","3,503.0","3,095.0","3,340.0","2,957.0","3,474.0","3,153.0","3,577.0","3,244.0","3,723.0","3,379.0","3,785.0","3,345.0","3,937.0","3,505.0","3,899.0","3,413.0","4,192.0","3,686.0","4,133.0","3,902.0","4,231.0","3,428.0","3,866.0","3,067.0","4,053.0","3,506.0","3,823.0","3,372.0","3,914.0","3,727.0","4,151.0","3,846.0","4,250.0","4,219.0","4,557.0","4,112.0","4,628.0","4,435.0","4,637.0"
"24","5","  Taxes on corporate income","B075RU1","2,577.0","2,532.0","2,581.0","2,974.0","2,694.0","2,913.0","3,039.0","3,104.0","2,409.0","2,277.0","2,425.0","2,487.0","3,011.0","3,895.0","4,938.0","5,311.0","5,930.0","5,526.0","4,863.0","5,357.0","4,587.0","4,623.0","4,510.0","4,853.0","5,021.0","5,298.0","5,116.0","4,043.0","3,946.0","4,190.0","4,163.0","4,552.0","4,841.0","5,357.0","5,253.0","5,622.0","5,195.0","5,439.0","4,938.0","5,377.0","5,250.0","5,267.0","5,056.0","4,831.0","3,864.0","4,109.0","4,645.0","5,342.0","5,230.0","6,241.0","5,487.0","5,526.0","5,623.0","5,623.0","5,157.0","5,044.0","4,538.0","5,382.0","5,449.0","6,122.0","5,243.0","5,787.0","5,592.0","5,848.0","5,368.0","6,415.0","6,191.0","6,604.0","6,046.0","6,825.0","6,578.0","6,692.0","6,587.0","7,403.0","7,084.0","7,825.0","7,494.0","8,247.0","7,729.0","7,958.0","7,097.0","7,670.0","7,212.0","8,047.0","8,181.0","9,373.0","8,886.0","9,615.0","8,779.0","9,559.0","8,660.0","9,066.0"
"25","6","  Taxes from the rest of the world","W008RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","21.0","21.0","21.0","21.0","22.0","25.0","24.0","24.0","26.0","27.0","28.0","31.0","32.0","36.0","37.0","40.0","44.0","48.0","49.0","47.0","45.0","45.0","45.0","48.0","49.0","51.0","53.0","53.0","54.0","54.0","60.0","60.0","59.0","60.0","62.0","67.0","71.0","76.0","83.0","89.0","95.0","98.0","101.0","100.0"
"26","7","Contributions for government social insurance","W780RU1","1,613.0","1,506.0","1,241.0","1,029.0","1,203.0","1,155.0","1,122.0","935.0","1,280.0","1,285.0","1,165.0","966.0","1,401.0","1,404.0","1,313.0","1,141.0","1,752.0","1,769.0","1,553.0","1,336.0","1,956.0","1,738.0","1,580.0","1,393.0","2,040.0","1,824.0","1,652.0","1,307.0","2,338.0","2,110.0","1,849.0","1,479.0","2,294.0","2,659.0","2,112.0","1,715.0","2,646.0","3,041.0","2,180.0","1,780.0","3,124.0","3,464.0","2,526.0","1,933.0","3,051.0","3,472.0","2,527.0","1,976.0","3,677.0","4,206.0","3,099.0","2,479.0","4,573.0","5,064.0","3,652.0","2,728.0","4,843.0","5,171.0","3,711.0","2,840.0","5,595.0","5,930.0","4,100.0","3,001.0","6,403.0","6,674.0","4,599.0","3,430.0","6,648.0","6,900.0","4,737.0","3,497.0","6,837.0","7,203.0","4,897.0","3,805.0","8,384.0","9,080.0","7,339.0","5,817.0","9,564.0","10,461.0","7,875.0","6,202.0","10,402.0","11,129.0","8,885.0","7,481.0","12,139.0","12,575.0","10,290.0","8,310.0"
"27","8","Income receipts on assets \1\","W009RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5.0","5.0","6.0","7.0","288.0","320.0","357.0","404.0","315.0","359.0","355.0","443.0","357.0","443.0","397.0","475.0","395.0","447.0","428.0","502.0","424.0","467.0","470.0","461.0","457.0","506.0","456.0","478.0","452.0","537.0","499.0","622.0","526.0","626.0","615.0","738.0","687.0","720.0","749.0","784.0","601.0","660.0","641.0","777.0"
"28","9","Current transfer receipts","W011RU1","83.0","75.0","73.0","73.0","79.0","79.0","81.0","81.0","81.0","81.0","81.0","79.0","55.0","55.0","57.0","58.0","66.0","66.0","67.0","68.0","70.0","70.0","72.0","74.0","73.0","74.0","74.0","74.0","79.0","79.0","77.0","77.0","82.0","80.0","82.0","81.0","94.0","94.0","92.0","91.0","94.0","94.0","94.0","95.0","99.0","99.0","98.0","97.0","94.0","96.0","94.0","95.0","98.0","102.0","106.0","112.0","116.0","117.0","123.0","126.0","127.0","129.0","131.0","133.0","141.0","153.0","146.0","151.0","147.0","137.0","224.0","241.0","254.0","262.0","273.0","280.0","282.0","286.0","289.0","294.0","261.0","272.0","283.0","289.0","280.0","278.0","268.0","265.0","275.0","283.0","288.0","295.0"
"29","10","Current surplus of government enterprises \2\","B097RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-18.0","-99.0","26.0","-106.0","-19.0","-146.0","-49.0","-140.0","-143.0","-176.0","-37.0","-105.0","-125.0","-163.0","-88.0","-72.0","-90.0","-106.0","-1.0","-44.0","-70.0","-135.0","-44.0","-40.0","-108.0","-141.0","-57.0","-148.0","-111.0","-262.0","-94.0","-155.0","-159.0","-214.0","-105.0","-93.0","-89.0","-182.0","25.0","-118.0","-129.0","-221.0","19.0"
"30","11","    Current expenditures","W013RU1","9,167.0","9,609.0","9,640.0","9,082.0","8,730.0","9,444.0","9,785.0","10,766.0","10,947.0","11,026.0","10,693.0","10,794.0","12,598.0","10,464.0","9,153.0","11,025.0","11,603.0","12,990.0","13,876.0","14,777.0","14,159.0","15,266.0","15,775.0","16,892.0","16,170.0","17,131.0","15,716.0","17,801.0","15,840.0","16,290.0","15,148.0","16,922.0","15,845.0","15,771.0","16,628.0","17,151.0","15,993.0","17,394.0","16,114.0","18,835.0","18,140.0","19,049.0","18,681.0","20,201.0","18,929.0","20,377.0","20,537.0","21,663.0","19,671.0","21,354.0","21,165.0","21,513.0","20,636.0","21,772.0","21,724.0","22,681.0","22,283.0","23,960.0","22,490.0","24,198.0","24,326.0","25,642.0","24,959.0","26,265.0","25,886.0","26,333.0","27,330.0","26,952.0","26,924.0","28,238.0","28,249.0","27,477.0","27,271.0","29,054.0","30,592.0","30,801.0","30,962.0","33,479.0","35,925.0","35,354.0","37,451.0","38,775.0","39,837.0","40,153.0","40,739.0","44,187.0","44,000.0","44,783.0","42,924.0","46,503.0","47,999.0","46,673.0"
"31","12","Consumption expenditures","A957RU1","5,189.0","5,480.0","5,079.0","5,086.0","4,549.0","5,102.0","5,335.0","6,171.0","5,951.0","5,733.0","5,728.0","5,872.0","5,606.0","5,042.0","4,962.0","6,425.0","6,965.0","8,033.0","9,487.0","9,865.0","9,858.0","10,659.0","11,184.0","12,457.0","11,594.0","12,326.0","11,215.0","13,151.0","10,946.0","11,094.0","10,169.0","11,702.0","10,386.0","10,377.0","11,315.0","11,832.0","10,421.0","11,620.0","10,367.0","12,614.0","11,936.0","12,094.0","11,936.0","13,492.0","11,836.0","12,774.0","12,310.0","13,934.0","11,315.0","13,064.0","12,799.0","12,768.0","11,561.0","12,389.0","12,716.0","13,068.0","12,166.0","13,344.0","12,491.0","13,609.0","13,431.0","15,036.0","14,320.0","15,027.0","14,302.0","15,057.0","15,813.0","15,598.0","14,792.0","16,404.0","16,065.0","15,536.0","14,798.0","16,287.0","16,706.0","17,906.0","17,011.0","18,931.0","20,062.0","19,739.0","20,644.0","22,128.0","21,399.0","22,785.0","22,668.0","24,609.0","22,960.0","25,056.0","23,094.0","25,326.0","25,112.0","24,783.0"
"32","13","Current transfer payments","W014RU1","2,795.0","2,789.0","3,500.0","2,863.0","3,083.0","3,054.0","3,322.0","3,299.0","3,765.0","3,991.0","3,798.0","3,636.0","5,694.0","3,938.0","2,915.0","3,170.0","3,180.0","3,353.0","3,215.0","3,354.0","2,907.0","3,098.0","3,274.0","3,133.0","3,175.0","3,362.0","3,150.0","3,364.0","3,610.0","3,648.0","3,687.0","3,948.0","4,155.0","4,039.0","3,897.0","3,986.0","4,123.0","4,238.0","4,174.0","4,315.0","4,592.0","4,927.0","4,756.0","5,127.0","5,554.0","6,031.0","5,910.0","6,012.0","6,726.0","6,542.0","6,500.0","6,586.0","6,783.0","7,010.0","6,766.0","7,020.0","8,015.0","8,086.0","7,688.0","7,605.0","8,383.0","8,144.0","7,900.0","8,034.0","8,974.0","8,661.0","8,254.0","8,325.0","9,160.0","8,977.0","8,630.0","8,592.0","9,333.0","9,750.0","9,873.0","9,515.0","10,711.0","11,223.0","10,878.0","11,601.0","13,041.0","13,098.0","13,396.0","13,276.0","14,133.0","15,503.0","14,824.0","15,209.0","15,629.0","16,826.0","16,110.0","16,887.0"
"33","14","  Government social benefits","W015RU1","1,997.0","1,865.0","2,533.0","1,988.0","1,905.0","1,821.0","1,650.0","1,810.0","2,032.0","2,090.0","1,999.0","2,079.0","4,257.0","2,417.0","1,696.0","1,857.0","1,933.0","1,982.0","1,980.0","1,999.0","1,977.0","1,922.0","2,076.0","2,106.0","2,204.0","2,144.0","2,098.0","2,256.0","2,606.0","2,707.0","2,592.0","2,775.0","2,963.0","2,931.0","2,772.0","2,836.0","3,094.0","3,128.0","2,998.0","3,080.0","3,470.0","3,737.0","3,516.0","3,808.0","4,451.0","4,791.0","4,539.0","4,410.0","4,826.0","4,630.0","4,473.0","4,649.0","5,030.0","4,986.0","4,934.0","5,163.0","6,076.0","5,949.0","5,731.0","5,627.0","6,175.0","5,905.0","5,785.0","5,937.0","6,668.0","6,172.0","6,010.0","6,118.0","6,712.0","6,344.0","6,208.0","6,245.0","6,864.0","6,626.0","7,273.0","6,952.0","7,469.0","7,209.0","7,486.0","8,183.0","9,214.0","9,164.0","9,318.0","9,379.0","10,228.0","10,660.0","10,685.0","10,844.0","11,508.0","11,628.0","11,456.0","11,749.0"
