"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2007 9:57:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Personal consumption expenditures","A002RX1",4770.3,4778.4,4934.8,5099.8,5290.7,5433.5,5619.4,5831.8,6125.8,6438.6,6739.4,6910.4,7099.3,7295.3,7577.1,7841.2
"9","2","Durable goods","B003RX1",453.5,427.9,453,488.4,529.4,552.6,595.9,646.9,720.3,804.6,863.3,900.7,964.8,1020.6,1085.7,1145.3
"10","3","  Motor vehicles and parts","A165RX1",256.1,226.6,244.9,259.2,276.2,272.3,285.4,304.7,339,372.4,386.5,405.8,429,442.1,450.4,452.9
"11","4","    New autos (70)","A136RX1",102.5,79.8,84.2,86.4,88.3,82.2,80.6,81,87,97.5,103.6,103.7,103.4,100.6,101.7,107
"12","5","    Net purchases of used autos (71)","A137RX1",42.4,44.8,47.8,48.4,53.5,52.8,54.8,57.4,61.3,61.7,60.7,58.7,58.1,56.3,56,57.2
"13","6","    Other motor vehicles (72)","AOAURX1",79.6,72.7,83.2,91.7,98.6,99.8,110.2,124.7,146.9,166.1,173.2,195.6,219.6,236.1,241.5,234.5
"14","7","    Tires, tubes, accessories, and other parts (73)","ATBARX1",29.3,28.6,29.4,32.1,35.5,37.2,39.7,41.5,43.8,47.2,49,47.9,48.2,49.5,51.4,54.3
"15","8","  Furniture and household equipment","A166RX1",119.9,121.1,127.8,141.1,156.8,173.3,193.4,216.3,244.7,280.7,312.9,331.8,364.3,397.8,446,490.6
"16","9","    Furniture, including mattresses and bedsprings (29)","BFNRRX1",41.8,41,41.4,43.8,46.4,48.7,51.8,56,59.2,63.2,67.6,68.3,71.6,73.9,79.7,84.4
"17","10","    Kitchen and other household appliances (30)","BAPPRX1",22.2,22,23.1,23.9,24.2,25.1,25.3,25.2,26.6,28.9,30.4,31,32.7,34.6,38.1,39.6
"18","11","    China, glassware, tableware, and utensils (31)","BCHNRX1",17.8,17.6,18.7,19.8,21.1,22.5,23.9,25,26.3,28.9,31,31.9,34.5,36.8,38.9,40.8
"19","12","    Video and audio goods, including musical instruments, and computer goods (91)","BRADRX1",18.6,20.3,22.5,27.1,32.8,39.6,48.9,60.5,76.9,97,116.6,132.3,155.6,179.2,212.1,248.5
"20","13","      Video and audio goods, including musical instruments (92)","BVAMRX1",32.2,32.1,33.7,37,41.9,45.9,48.8,50.8,56.5,64.4,72.8,77.5,84.5,91.5,104.6,117.9
"21","14","      Computers, peripherals, and software (93) \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Other durable house furnishings (32)","AODHRX1",39.2,37.3,38.4,41.2,45.2,47.9,51,54.3,57.6,63.1,67.3,68.6,72.1,77.7,85.4,91.6
"23","16","  Other","A167RX1",92.7,88.8,90.2,97,104.2,111.2,119.6,127.3,137.6,151.7,163.9,163.2,172.4,183.2,195.6,212.6
"24","17","    Ophthalmic products and orthopedic appliances (46)","BOPTRX1",17.3,15.3,15.3,15.3,16.3,16.4,17.9,19.7,20.8,21.4,22.1,20.1,21.1,21.5,22,22.9
"25","18","    Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","AWHGRX1",30.4,29.4,29.5,32.5,35,37.9,40.4,43.1,46.9,52,57.6,59.7,63.1,68.3,75.1,86.1
"26","19","    Jewelry and watches (18)","BJRYRX1",26.5,25.6,26.5,28.7,30.5,32.6,35.8,37.5,41.7,46.8,50.6,49.2,52.7,56.3,59.8,63.3
"27","20","    Books and maps (87)","BBKSRX1",19.2,18.9,19.3,20.7,22.7,24.5,25.6,27.2,28.2,31.4,33.7,34.2,35.6,37.4,39.2,40.9
"28","21","Nondurable goods","B004RX1",1484,1480.5,1510.1,1550.4,1603.9,1638.6,1680.4,1725.3,1794.4,1876.6,1947.2,1986.7,2037.1,2103,2179.2,2276.8
"29","22","  Food","A168RX1",784.4,783.3,787.9,802.2,821.8,827.1,834.7,845.2,865.6,893.6,925.2,940.2,954.6,977.7,1011,1065.7
"30","23","    Food purchased for off-premise consumption (3)","AOPFRX1",485.7,484.9,483.9,488.9,503.4,507.1,513.2,518.3,528.4,548.8,566.7,578.6,586.6,598.7,619,659.2
"31","24","    Purchased meals and beverages (4)","APMBRX1",289.6,289.4,295,304.3,309.4,310.8,312.3,317.7,327.8,335.3,348.8,351.8,358.2,368.7,381.6,395.8
"32","25","    Food furnished to employees (including military) and food produced and consumed on farms (5+6)","A483RX1",8.9,8.9,8.9,9,9.1,9.1,9.2,9.2,9.3,9.5,9.7,9.8,9.9,10.2,10.3,10.8
"33","26","    Addenda: Food excluding alcoholic beverages(8)","BFXARX1",681.7,685.7,692.3,707,725.2,730,736.5,745.5,763.3,789.1,816.5,830.9,844.5,864.8,892.4,937.7
"34","27","             Alcoholic beverages purchased for off-premise consumption (9)","BAOPRX1",61.8,57.1,53.8,55.2,58.3,60,62.5,64.7,66.5,68.1,71.2,72.1,72.3,74.1,79.3,87.8
"35","28","             Other alcoholic beverages (10)","BAPMRX1",41.2,40.8,42.3,40.4,38.6,37.2,35.8,35.1,35.8,36.4,37.5,37.2,37.9,38.8,39.3,40.4
"36","29","  Clothing and shoes","A169RX1",188.2,188.8,199.2,207.4,218.5,227.4,238.7,246,263.1,282.7,297.7,303.7,318.3,334.2,350.9,372.7
"37","30","    Shoes (12)","BSHURX1",30.4,29.5,30.3,31.5,33.7,35.4,37.5,38.7,41.3,44.7,47,48.1,50.5,52.1,53.9,54.8
"38","31","    Women's and children's clothing and accessories except shoes (14)","AWCLRX1",99,99.8,106.2,110.1,114.2,118.7,124.4,127,136.6,148,156.7,159.3,166.6,175,184.6,198.5
"39","32","    Men's and boys' clothing and accessories except shoes (15+16)","A484RX1",58.7,59.3,62.5,65.7,70.5,73.3,76.8,80.3,85.2,90,94,96.3,101.1,107.2,112.5,119.7
"40","33","  Gasoline, fuel oil, and other energy goods","A173RX1",158.4,156.7,162.8,166.9,169.7,173,176.2,179.7,186.3,192.7,191.5,193.4,197.4,198.5,200.5,199.5
"41","34","    Gasoline and oil (75)","C170RX1",141.8,140.3,146,149.7,151.7,154.5,157.9,162.8,170.3,176.3,175.7,178.3,181.9,183.2,186,185.9
"42","35","    Fuel oil and coal (40)","A171RX1",16.7,16.6,17,17.4,18.2,18.7,18.4,16.9,16,16.4,15.8,15.2,15.5,15.4,14.6,13.7
"43","36","  Other","A172RX1",361,359.3,366,379,397.7,414.1,432.9,456.6,481.1,508.6,532.9,549.2,567.1,593.2,618.5,643.9
"44","37","    Tobacco products (7)","BTOBRX1",87.7,81.4,84.9,83.2,84.2,85.5,86.7,86.7,84.3,79.5,78.5,78.1,76.3,74.1,72.3,70.7
"45","38","    Toilet articles and preparations (21)","BTLGRX1",41.1,40.8,41,43,45.4,47.9,50.9,53.8,54,54.6,55,53.9,54,56.1,58.3,61.6
"46","39","    Semidurable house furnishings (33)","BSDHRX1",20.1,20.8,22.7,23.8,25.2,26.5,28.1,29.5,31.6,34.2,36.5,37.4,39.9,44.5,49.1,53.2
"47","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","ACLPRX1",46.2,45.9,47.3,50.1,53.4,54.5,56,58.1,59.4,61.8,61.6,62.2,63.5,67.1,70.6,73.8
"48","41","    Drug preparations and sundries (45)","BDRGRX1",90.1,91.7,92.3,95.2,99.2,105.6,112.7,122.8,138.1,154.3,169.4,184.2,195.5,208.6,218.3,224.2
"49","42","    Nondurable toys and sport supplies (89)","BTOYRX1",28.3,29.6,30.8,32.6,35,37.4,39.1,41,45.6,51.6,56.6,60,65.3,70.7,77,86
"50","43","    Stationery and writing supplies (35)","BSTYRX1",17.2,17.5,17.8,18.1,18.4,17.8,17.3,16.9,17.3,18.2,19,18.3,18.3,18.8,19.8,20.6
"51","44","    Net foreign remittances (111 less 113)","A485RX1",2.4,2,0.5,0.7,0.9,0.9,1.1,2.6,2.9,2.7,3.2,3.4,3.7,3.5,3.2,2.9
"52","45","    Magazines, newspapers, and sheet music (88)","BMAGRX1",29.3,28.2,27,28,29.7,30.8,31.7,33.2,33.4,34.1,35,34.3,33.8,34.3,36.3,39.1
"53","46","    Flowers, seeds, and potted plants (95)","BFLORX1",11.5,11.1,11.7,12.6,13.3,13.5,15,16.2,16.7,17.9,18,17.5,17.4,17.4,17.3,18.6
"54","47","Services","B005RX1",2851.7,2900,3000.8,3085.7,3176.6,3259.9,3356,3468,3615,3758,3928.8,4023.2,4100.4,4178.8,4323.9,4436.6
"55","48","  Housing","A174RX1",802.2,820.1,832.7,841.8,869.3,887.5,901.1,922.5,948.8,978.6,1006.5,1033.7,1042.1,1051.9,1091.6,1122.6
"56","49","    Owner-occupied nonfarm dwellings--space rent (24)","AOWNRX1",551.6,567.4,575.5,583.9,604.8,615.9,626.7,642.4,663.7,688.2,712.2,740.2,748.9,764.9,804.2,831.9
"57","50","    Tenant-occupied nonfarm dwellings--rent (25)","ATENRX1",199.9,201.7,203.8,204.9,209.9,216.5,217.1,218.8,222.8,226.7,227.5,230.7,228.8,220.4,218.1,218.6
