"","Table 7#3#6# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2007 8:55:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","Farm output","A2000X1",164.5,166.6,175.6,171.5,187.4,179.6,183.3,198.4,198.4,200.5,203.6,200.7,201.4,207.9,211.9,215.1
"9","2","  Cash receipts from farm marketings","A2001X1",159,164.1,167.4,173.3,173.3,183.5,172.1,189.2,189.2,192,196.6,190.1,194.1,195.5,192.3,200.4
"10","3","    Crops","B1005X1",77.2,80.8,82.3,86.3,84.1,92.3,82.7,94.6,94,94.3,97,91.9,93.4,96,93.6,99.8
"11","4","    Livestock","B1006X1",81.9,83.4,85.2,87,89.5,90.9,90,94.4,95.1,97.8,99.5,98.1,100.7,99.2,98.5,100.5
"12","5","  Farm products consumed on farms","B1008X1",0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4
"13","6","  Other farm income","B1009X1",4.8,5,4.6,5,4.9,5.8,5.2,6.5,7.9,9.5,8.4,9.4,10.1,10.7,11.5,12.7
"14","7","  Change in farm finished goods inventories","W248RX1",2.1,-1.3,4.5,-5.8,10,-8.8,6,2.5,0.9,-1.8,-2,0.6,-3.6,0.6,6.2,0.4
"15","8","    Crops","B1010X1",1.6,-2.1,3.5,-6.3,7.9,-7.4,5.5,2.4,1,-1,-1.3,1,-2.8,1.2,6,-1
"16","9","    Livestock","B1011X1",0.4,0.9,0.9,1,1.1,0.3,-1.3,-0.4,-0.3,-0.7,-0.6,-0.4,-0.6,-0.7,0.5,1.3
"17","10","Less: Intermediate goods and services consumed","A2003X1",117.5,118.8,117.9,123.5,126.7,134.4,128.5,133.7,137.5,138.1,132.1,135.3,131.3,131.7,129.4,131.7
"18","11","      Other than rent","W249RX1",105.9,107.2,104.8,111.7,112.8,121.3,113.8,119.7,123.6,126.7,120.5,123.5,120.3,121.8,119.9,122
"19","12","        Intermediate goods and services purchased, other than rent","B1012X1",105.9,107.1,106.2,111.4,114.2,119.3,114.7,120,124.1,125.5,121.1,122.9,121.5,121.5,119.7,121.8
"20","13","        Less: Change in farm materials and supplies inventories","W250RX1",NA,-0.2,1.5,-0.3,1.4,-2,0.9,0.4,0.5,-1.2,0.6,-0.6,1.2,-0.2,-0.2,-0.2
"21","14","      Rent paid to nonoperator landlords","B1013X1",11.7,11.7,13,11.8,13.9,13.1,14.7,14,14,11.4,11.6,11.8,11,9.9,9.5,9.7
"22","15","Equals: Gross farm value added","B359RX1",49.3,50,57.5,50.6,60.9,49.6,56.1,64.4,61.6,62.9,71.5,65.6,70.1,76,81.6,82.4
"23","16","Less: Consumption of fixed capital","B366RX1",23,22.8,22.2,21.6,21.4,21.3,21.1,21.3,21.6,21.6,21.3,27,26.2,26.5,27.3,27.9
"24","17","Equals: Net farm value added","A365RX1",29.4,30.1,36.7,31.2,40.1,30.4,36,42.9,40.2,41.5,50.2,39,44.2,49.7,54.3,54.6
"25","18","  Change in farm inventories \1\","B018RX1",2.1,-1.5,5.8,-6.1,11.2,-10.6,6.8,2.9,1.4,-3,-1.3,0,-2.5,0.4,6.1,0.2
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2000) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2000 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
