"","Table 2#5#3# Real Personal Consumption Expenditures by Type of E","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2007 9:57:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Personal consumption expenditures","B002RA3",9.814,9.29,9.005,8.206,8.028,8.595,9.123,10.046,10.417,10.249,10.819,11.382,12.195,11.917,12.258,12.615,13.395,15.03,15.307,15.646,16.077,17.105,17.378,17.928,18.78,19.162,20.558,21.151,21.674,21.846,23.067,23.702,24.191,25.389,26.436,28.02,29.791,31.484,32.422,34.284,35.558,36.381,37.77,40.082,42.048,41.729,42.688,45.041,46.95,49.012,50.204,50.065,50.779,51.493,54.436,57.325,60.303,62.749,64.84,67.468,69.369,70.782,70.903,73.224,75.672,78.504,80.623,83.382,86.533,90.896,95.537,100,102.537,105.34,108.249,112.43,116.349
"9","2","Food and tobacco","A495RA3",19.731,19.276,19.374,18.074,18.414,20.261,21.403,24.242,25.415,25.876,26.596,27.772,29.289,30.103,30.954,32.969,35.372,37.227,36.055,35.694,35.936,36.597,37.626,38.871,40.2,40.804,42.453,43.804,44.753,44.846,46.48,46.852,47.454,48.024,48.552,50.273,52.957,54.993,55.682,58.158,59.488,61.271,61.841,63.764,64.193,63.316,64.775,68.206,69.279,70.04,71.306,71.912,72.05,72.965,74.702,76.214,77.933,79.483,80.518,83.078,84.433,86.392,85.893,86.601,87.939,90.029,90.65,91.513,92.599,94.504,96.939,100,101.451,102.689,104.725,107.817,113.051
"10","3","  Food purchased for off-premise consumption (n.d.)","BOPFRA3",20.332,19.777,19.522,17.961,18.688,20.785,22.151,25.447,26.227,26.805,27.121,28.398,29.53,29.421,28.435,29.929,31.614,35.672,35.953,35.741,36.069,36.908,37.187,38.297,39.93,41.089,43.189,44.713,45.928,46.185,48.175,48.644,49.365,49.795,50.248,52.129,54.897,57.115,58.476,61.119,62.848,64.703,65.538,66.835,65.931,64.69,65.933,69.203,70.337,70.124,71.203,72.02,71.921,73.289,75.281,76.919,79.373,80.895,80.561,82.761,83.871,85.703,85.567,85.396,86.273,88.83,89.491,90.567,91.465,93.25,96.841,100,102.109,103.508,105.652,109.237,116.329
