"","Table 7#2#3A# Real Auto Output, Quantity Indexes                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2007 8:53:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RA3",18.713,21.039,27.548,35.732,29.223,25.157,35.194,32.356,46.93,35.138,38.119,27.633,34.806,39.11,32.047,40.32,44.963,46.234,56.993,55.595
"9","2","Final sales","A134RA3",19.026,21.313,28.169,36.337,30.131,25.943,35.251,33.735,45.937,36.716,38.186,29.283,35.599,38.126,34.357,41.14,45.304,47.545,56.418,55.403
"10","3","  Personal consumption expenditures","A135RA3",14.789,17.567,24.435,31.893,26.563,23.413,30.742,29.458,40.802,33.593,34.981,27.852,33.483,35.522,31.211,37.29,42.281,44.455,52.284,52.373
"11","4","    New autos","B136RA3",15.515,17.613,24.777,32.915,26.387,22.349,30.887,29.685,41.85,33.23,34.237,25.527,33.145,35.718,30.785,38.408,44.339,47.156,56.352,56.541
"12","5","    Net purchases of used autos","B137RA3",19.068,28.017,36.874,42.758,45.54,50.26,43.521,37.369,42.965,45.16,49.898,52.545,45.961,44.974,43.51,42.158,43.506,43.047,46.433,46.104
"13","6","  Private fixed investment","B280RA3",13.442,13.91,16.558,20.962,15.897,12.523,20.188,19.221,24.973,17.531,19.397,14.193,19.91,20.722,19.441,23.985,22.847,24.205,30.197,28.768
"14","7","    New autos","B139RA3",9.933,10.758,13.05,16.482,13.945,11.719,15.53,15.35,19.696,15.543,16.619,12.694,15.914,16.438,15.881,18.996,18.689,19.359,23.652,23.881
"15","8","    Net purchases of used autos","B140RA3",2.654,5.137,7.017,8.752,11.608,11.732,8.966,10.146,12.318,15.991,15.016,13.102,11.714,11.75,12.658,13.625,14.873,14.387,16.443,19.736
"16","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RA3",31.872,24.324,18.229,17.85,27.953,22.56,25.467,24.625,31.075,28.838,25.209,11.93,9.939,10.654,10.362,11.924,12.98,15.731,18.177,26.441
"18","11","    Imports","B143RA3",0.034,0.427,0.118,0.268,0.325,0.521,0.505,0.536,0.814,1.494,3.505,5.609,8.527,6.217,3.739,4.958,5.263,6.672,7.432,13.426
"19","12","  Gross government investment","B144RA3",16.151,14.537,13.287,16.445,20.686,20.907,21.601,20.917,25.188,26.436,27.179,28.407,28.257,31.641,35.191,38.016,45.266,44.375,45.775,48.044
"20","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RA3",24.24,26.68,35.175,46.013,37.111,31.321,44.346,40.833,59.72,43.965,47.846,32.57,41.838,48.192,39.98,51.265,57.735,59.239,73.973,71.796
"25","17","  Sales of imported new autos \2\","B149RA3",0.011,0.139,0.115,0.119,0.165,0.253,0.281,0.264,0.464,0.703,1.325,2.541,3.949,3.238,2.41,2.139,2.46,3.164,4.22,6.29
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
