"","Table 5#2#3U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"11","3","      Equals: Net domestic investment","W171RA3",95.82,105.816,100.976,99.336,87.868,87.732,80.699,70.925,75.925,77.12,77.018,76.116,75.157,75.626,82.207,87.851,87.403,95.172,96.332,98.463,101.168,96.544,97.789,104.5,106.637,105.768,100.664,92.914,89.153,92.976,90.038,83.72,76.397,73.518,64.118,44.112,20.446,9.929,9.348,20.86,26.576,32.961,38.875,34.561,29.734,33.51,34.398,46.324,46.842,46.422,48.238
"12","4","Gross private domestic investment","A006RA3",86.586,92.581,91.135,91.181,86.364,86.084,84.259,79.386,82.028,83.018,83.23,83.242,83.343,83.865,86.932,90.222,90.693,94.634,95.849,97.82,99.893,98.113,99.207,102.787,104.33,104.183,102.714,99.741,98.75,100.953,100.184,97.759,94.633,93.176,89.061,80.314,69.786,64.48,64.208,70.022,73.259,75.792,78.722,77.535,76.492,78.778,79.906,85.959,87.241,87.394,88.813
"13","5","Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.236,111.011,111.751,112.337,112.709,112.755,112.716,112.671,112.671,112.835,113.158,113.57,113.87,114.266,114.811,115.489,116.142,116.805,117.441
"14","6","Equals: Net private domestic investment","A557RA3",96.162,108.596,102.842,101.004,87.285,85.026,79.206,66.01,71.19,72.538,71.924,70.91,70.174,70.599,77.169,84.114,84.068,92.703,94.505,98.036,101.785,96.081,97.366,104.768,107.318,105.393,100.219,91.318,87.211,91.113,87.814,80.528,71.784,67.059,55.835,33.419,6.931,-6.213,-6.825,7.567,15.544,21.547,28.296,24.766,21.756,26.811,28.792,42.716,44.919,44.325,46.891
"15","7","  Fixed investment","A007RA3",87.955,90.167,90.487,90.764,90.227,88.816,87.875,85.649,84.863,84.535,84.429,83.82,83.937,86.121,88.919,90.584,90.405,93.193,95.158,96.765,97.949,99.692,100.977,101.381,103.749,103.277,101.952,100.52,100.223,101.096,100.749,99.491,97.363,96.078,92.989,86.48,79.032,75.092,74.501,73.352,73.18,75.696,75.515,76.913,76.66,78.942,81.835,83.807,85.785,86.724,86.879
"16","8","  Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.236,111.011,111.751,112.337,112.709,112.755,112.716,112.671,112.671,112.835,113.158,113.57,113.87,114.266,114.811,115.489,116.142,116.805,117.441
"17","9","  Equals: Net fixed investment","A560RA3",100.232,103.396,101.89,100.531,97.202,91.933,88.13,81.193,77.777,75.78,74.305,71.644,70.899,75.561,81.654,84.672,82.936,88.909,92.661,95.357,96.937,99.99,101.774,101.299,106.016,103.155,98.125,92.799,90.277,90.886,88.514,83.915,77.379,72.898,63.865,46.341,26.753,16.626,15.179,12.315,11.876,18.042,17.08,20.008,18.895,24.107,30.644,34.625,38.659,40.028,39.437
"18","10","    Nonresidential","A008RA3",94.085,97.556,98.638,99.027,98.096,95.517,93.924,90.921,88.755,87.33,86.944,85.419,85.193,87.543,89.572,90.851,90.128,92.565,95.089,97.178,98.055,99.498,100.921,101.526,105.886,107.797,108.938,109.488,111.223,114.118,116.631,118.185,117.944,117.269,114.238,107.05,98.291,93.667,91.786,90.285,90.749,93.411,95.162,97.269,96.954,100.297,104.746,107.156,109.108,110.065,109.446
"19","11","    Less: Consumption of fixed capital","A753RA3",79.088,80.742,82.33,83.781,85.212,86.405,87.383,88.236,89.191,89.951,90.747,91.469,92.145,92.716,93.388,94.194,95.036,95.772,96.605,97.552,98.53,99.47,100.487,101.513,102.398,103.546,104.695,105.867,107.118,108.263,109.317,110.311,111.098,111.97,112.805,113.461,113.868,113.888,113.805,113.715,113.683,113.852,114.215,114.693,115.033,115.487,116.122,116.915,117.67,118.435,119.165
"20","12","    Equals: Net nonresidential","A593RA3",147.304,157.227,156.512,153.131,143.819,127.85,117.138,100.446,87.211,78.031,73.451,63.948,60.524,69.184,76.033,78.988,72.711,81.181,89.71,95.852,96.369,99.594,102.463,101.573,118.263,122.88,123.992,122.338,125.794,134.893,142.584,146.13,142.237,136.071,119.323,84.299,43.013,21.907,13.644,7.136,9.364,20.871,27.548,35.437,32.796,46.392,64.375,72.525,78.723,80.364,74.956
"21","13","      Structures","B009RA3",118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.86,134.869,133.594,130.057,118.743,108.062,99.98,91.848,86.033,88.731,88.245,90.222,83.055,89.561,93.866,96.449,99.421,99.56,99.29
"22","14","      Less: Consumption of fixed capital","B188RA3",92.952,93.433,93.935,94.431,94.895,95.374,95.859,96.29,96.627,96.88,97.094,97.292,97.481,97.691,97.93,98.169,98.407,98.659,98.929,99.201,99.49,99.826,100.171,100.513,100.91,101.413,102.001,102.629,103.311,103.989,104.691,105.393,106.127,106.865,107.617,108.337,108.869,109.212,109.453,109.673,109.893,110.097,110.329,110.576,110.79,111.025,111.314,111.603,111.974,112.343,112.705
"23","15","      Equals: Net structures","A594RA3",181.821,197.522,212.259,212.874,199.581,199.955,201.213,159.043,136.938,116.258,100.17,94.763,91.017,100.284,98.979,96.84,94.311,97.556,100.282,99.93,105.321,103.198,95.128,96.353,110.437,127.594,135.414,135.312,143.561,166.955,188.666,194.965,194.135,202.638,196.455,182.617,142.639,105.279,77.056,48.712,28.293,37.025,34.803,40.968,15.938,37.619,51.643,59.777,69.044,68.627,66.826
"24","16","      Equipment and software","B010RA3",86.812,89.896,90.113,90.46,90.18,86.853,84.67,84.048,82.967,82.74,83.495,81.954,81.943,84.144,86.818,88.603,87.837,90.666,93.663,96.385,96.951,99.015,101.699,102.334,106.721,107.314,107.855,108.471,109.728,110.781,111.475,112.69,112.22,109.945,106.148,97.33,89.688,87.704,88.474,89.777,92.913,95.582,98.309,100.486,103.161,105.12,109.637,111.972,113.46,114.79,114.011
"25","17","      Less: Consumption of fixed capital","B189RA3",75.649,77.546,79.365,81.023,82.668,84.025,85.117,86.07,87.172,88.055,88.994,89.849,90.65,91.315,92.099,93.055,94.059,94.927,95.917,97.057,98.236,99.358,100.581,101.825,102.871,104.236,105.578,106.939,108.392,109.708,110.891,111.991,112.798,113.721,114.586,115.216,115.575,115.472,115.269,115.067,114.942,115.098,115.508,116.069,116.456,116.991,117.755,118.739,119.64,120.556,121.427
"26","18","      Equals: Net equipment and software","A747RA3",133.127,141.136,134.707,129.618,121.35,98.585,82.814,75.661,65.52,60.69,60.678,49.196,45.816,54.39,64.908,70.132,62.023,72.986,84.307,93.599,91.62,97.595,106.339,104.446,122.698,120.084,117.302,114.828,115.272,115.232,113.898,115.589,109.822,94.28,71.14,23.115,-17.725,-27.509,-22.708,-15.157,1.509,14.605,26.948,35.825,48,55.863,75.955,83.894,87.813,90.863,83.241
"27","19","    Residential","A011RA3",75.867,75.349,74.027,74.091,74.43,75.477,75.885,75.24,77.249,79.143,79.604,80.82,81.601,83.454,87.708,90.085,90.898,94.318,95.274,96.03,97.776,100.05,101.075,101.099,100.024,95.488,89.974,85.182,81.458,78.89,73.635,67.531,62.104,59.721,56.484,51.072,45.843,43.058,44.799,44.257,42.934,45.223,41.57,41.72,41.577,41.994,42.139,43.361,45.433,46.364,47.931
"28","20","    Less: Consumption of fixed capital","A754RA3",85.701,86.325,86.937,87.54,88.144,88.748,89.355,89.962,90.574,91.209,91.86,92.521,93.192,93.868,94.57,95.298,96.031,96.762,97.49,98.208,98.915,99.634,100.361,101.09,101.811,102.528,103.219,103.886,104.542,105.144,105.688,106.159,106.541,106.891,107.214,107.491,107.704,107.867,108.022,108.183,108.323,108.468,108.608,108.73,108.854,108.986,109.128,109.288,109.477,109.678,109.885
"29","21","    Equals: Net residential","A748RA3",71.464,70.435,68.247,68.069,68.289,69.535,69.854,68.648,71.283,73.741,74.117,75.582,76.411,78.792,84.636,87.75,88.599,93.224,94.281,95.055,97.266,100.236,101.394,101.103,99.224,92.336,84.044,76.808,71.123,67.135,59.284,50.237,42.208,38.602,33.77,25.812,18.145,14.041,16.492,15.636,13.658,16.906,11.555,11.718,11.455,11.999,12.146,13.843,16.758,18.016,20.192
"30","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","23","Gross government investment \1\","A782RA3",89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,103.436,105.156,105.441,105.907,106.725,110.419,111.693,110.445,108.816,111.444,111.805,109.971,107.488,111.166,111.903,109.025,103.613,102.489,100.717,100.867,97.555,98.104,97.394
"32","24","Less: Consumption of fixed capital","A264RA3",86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.665,105.477,106.311,107.201,107.619,108.528,109.41,110.277,111.157,111.964,112.747,113.509,114.353,115.162,115.914,116.602,117.254,117.863,118.434,118.964,119.421,119.901,120.406
"33","25","Equals: Net government investment","A889RA3",93.684,88.495,89.346,88.937,91.505,104.596,90.005,101.555,105.432,105.669,108.759,108.559,106.21,106.954,113.6,111.141,108.184,110.558,107.718,101.126,97.319,99.426,100.423,102.833,102.397,108.102,103.434,102.861,101.26,104.589,103.9,103.615,105.14,113.769,115.738,110.744,104.668,110.521,110.136,103.703,95.327,104.088,104.796,95.602,79.449,75.256,69.333,68.809,58.822,59.491,56.632
"34","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","          State and local","B893RA3",110.374,105.217,105.64,106.804,109.85,121.725,104.651,116.512,119.19,115.466,115.811,116.846,114.863,112.413,118.591,115.475,112.937,113.767,107.84,102.76,100.259,100.482,98.314,100.944,98.874,103.516,101.729,98.415,99.331,98.898,97.987,98.684,98.844,100.714,99.661,93.46,92.129,95.051,93.683,87.008,80.019,84.632,84.08,76.755,67.04,62.281,60.072,59.4,54.115,53.308,51.164
"38","30","  Structures","A760RA3",99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,99.83,100.419,99.624,99.53,99.188,101.527,102.239,100.833,100.42,102.176,102.414,99.063,96.089,100.369,100.521,96.424,91.582,88.398,86.406,85.477,82.11,81.003,79.525
"39","31","  Less: Consumption of fixed capital","B894RA3",89.515,89.966,90.427,90.88,91.34,91.809,92.289,92.791,93.298,93.816,94.337,94.854,95.393,95.924,96.438,96.967,97.491,97.997,98.48,98.94,99.378,99.8,100.213,100.609,100.634,101.042,101.469,101.903,102.326,102.763,103.182,103.611,103.905,104.144,104.468,104.864,105.34,105.806,106.241,106.651,107.042,107.423,107.798,108.14,108.483,108.791,109.086,109.355,109.599,109.855,110.115
"40","32","  Equals: Net structures","A895RA3",109.209,102.237,103.032,102.954,106.307,121.363,102.959,117.73,121.176,117.787,118.893,121.294,119.278,117.363,124.031,119.436,116.989,118.053,110.945,102.909,100.934,99.849,98.219,100.998,97.527,102.731,100.209,98.436,97.24,97.987,95.932,95.295,94.293,98.812,99.926,96.651,95.315,98.41,98.444,91.188,84.723,93.048,92.97,84.265,74.045,67.237,62.87,60.7,53.584,51.063,47.782
"41","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","            State and local","B899RA3",107.216,101.149,101.906,103.112,106.463,120.314,102.566,116.037,118.613,115.077,115.63,117.673,115.289,112.916,118.972,115.459,113.779,115.152,108.792,103.172,100.869,100.664,98.122,100.345,97.481,101.817,99.678,96.324,95.626,94.477,92.923,93.309,92.468,94.782,94.317,89.941,88.933,91.98,90.839,83.616,77.124,82.707,82.725,75.184,65.878,60.754,58.51,58.245,53.127,51.731,49.877
"45","37","  Equipment and software","A871RA3",74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,109.84,113.727,116.129,117.712,120.905,127.353,129.782,128.89,124.7,129.157,129.783,131.18,129.776,132.126,134.094,133.867,127.337,130.659,129.402,131.916,128.831,133.054,134.093
"46","38","  Less: Consumption of fixed capital","B900RA3",84.607,85.338,86.033,86.665,87.177,87.79,88.367,88.942,89.531,90.119,90.711,91.317,91.921,92.594,93.25,93.978,95.06,96.071,97.013,97.856,98.636,99.478,100.426,101.459,102.609,103.728,104.847,105.932,107.139,108.378,109.693,111.123,111.688,113.4,114.951,116.391,117.769,118.998,120.208,121.401,122.801,124.137,125.355,126.471,127.506,128.489,129.403,130.265,130.992,131.757,132.576
"47","39","  Equals: Net equipment and software","A901RA3",12.567,13.335,14.48,12.269,11.838,19.192,18.399,17.217,23.839,41.708,55.128,41.721,37.107,51.376,58.947,66.785,60.333,69.73,89.524,90.42,76.113,96.779,113.435,113.673,132.059,140.548,122.989,130.471,126.325,146.366,155.412,157.922,177.149,212.505,220.288,205.163,166.998,191.156,188.217,190.856,172.339,180.882,187.424,179.007,126.303,143.907,129.398,141.99,115.641,140.964,143.347
"48","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            State and local","B907RA3",181.59,186.817,180.788,181.554,181.01,164.507,146.539,135.139,140.758,130.119,125.818,106.399,111.08,105.189,116.416,119.506,96.573,85.306,86.766,92.875,85.377,95.939,102.982,115.702,134.501,146.208,154.867,154.773,200.608,221.244,240.435,250.636,281.893,269.255,251.777,195.658,186.11,182.016,175.622,194.278,180.479,149.632,132.189,141.418,131.474,145.361,147.785,134.991,132.768,153.519,145.552
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","44","  Gross domestic fixed investment","W172RA3",88.186,89.837,90.212,90.477,90.21,89.79,88.241,87.046,86.65,86.44,86.577,86.106,86.132,88.081,90.875,92.21,91.975,94.543,96.119,97.173,98.02,99.673,100.88,101.427,103.459,103.456,102.152,100.991,100.731,101.74,101.492,100.511,98.861,98.394,96.028,90.399,83.932,81.104,80.676,79.414,78.851,81.561,81.537,82.202,81.066,82.758,84.841,86.493,87.551,88.42,88.425
"54","45","  Less: Consumption of fixed capital","A262RA3",81.137,82.579,83.933,85.141,86.281,87.271,88.115,88.883,89.734,90.45,91.192,91.881,92.538,93.129,93.791,94.559,95.382,96.124,96.924,97.789,98.667,99.523,100.441,101.369,102.179,103.194,104.207,105.228,106.308,107.312,108.249,109.143,109.804,110.602,111.365,112,112.459,112.637,112.74,112.837,112.983,113.261,113.658,114.119,114.481,114.914,115.464,116.116,116.735,117.365,117.978
"55","46","  Equals: Net domestic fixed investment","W173RA3",99.28,101.23,100.067,98.845,96.374,93.774,88.403,84.153,81.798,80.125,79.314,77.01,76.033,80.125,86.298,88.52,86.607,92.057,94.85,96.196,96.993,99.908,101.578,101.522,105.49,103.875,98.897,94.262,91.873,92.879,90.751,86.779,81.415,78.84,71.407,55.703,38.08,30.276,28.983,25.601,24.008,30.552,29.832,30.997,27.699,31.543,36.269,39.594,41.591,42.858,41.937
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
