"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 30, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/29/2012 6:06:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Nonfarm industries","INF0",21819,22543,19127,11384,24500,19974,27336,19214,26862,-882,-18876,-33139,-28592,-29728,-11762,-22232,-10717,10287,27713,40925,35165,3982,-21844,-33239,-39335,7692,-7241,-26532,-38658,-57840,-48723,-67611,-46127,-30211,-47459,-68720,-23362,-47143,-49171,-32104,-65471,-48844,-32567,-99254,-156126,-191898,-75472,219879,106534,22798,-23532,-82803,-52588,-16783,-40729,-110812,-161548,-95621,-51510,-20711,-20032,24816,-32972
"10","2","Mining, utilities, and construction","ICMU0",916,2078,-691,-1437,5119,-943,1842,-500,-207,-5628,-3575,-288,-816,-6563,-1993,-10235,5450,7803,7860,-717,-872,-5664,-540,-6780,-12463,4324,896,-397,-8171,-6537,-3620,-11304,890,-3914,-15230,-28117,17551,10015,-1229,112,-9960,-5257,5109,-5911,-25926,-41270,649,38379,22785,10219,-5238,-10272,-16303,6265,-3008,736,-15252,-6354,-1167,1364,8148,6280,-4196
"11","3","Manufacturing industries","I300",8391,6781,7520,8119,5866,6958,11213,16023,14956,1521,-4234,-12610,-9615,-13976,-8878,-9196,-8245,6006,11459,11072,17420,5739,-5792,-13510,-13486,-2263,-5484,-10466,-19299,-29315,-27447,-23833,-25012,-12851,-12802,-19740,-18990,-28283,-23069,-6689,-18703,-20733,-16472,-31151,-48679,-73868,-40776,83696,37674,19001,-4238,-31574,-18794,-19111,-12197,-40740,-64586,-38734,-18330,-1636,-9260,6596,2424
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","I30D0",1913,4049,6749,8362,2371,4041,8229,11877,7204,693,-388,-4920,1412,-5874,-4344,-5845,-4016,3954,5489,6068,10231,3423,180,-5365,-1484,2653,-1120,-4310,-9144,-15893,-18850,-15307,-12219,-3405,-1256,-6060,-10229,-19625,-18153,-6946,-6580,-9879,-2163,-3440,-23267,-39226,-23549,23516,23270,17383,-1107,-15539,-6699,-15087,-2711,-11764,-25209,-16893,-7660,3576,-4688,2116,9324
"14","5","      Wood product manufacturing","I3210",-297,-300,-245,-177,476,518,190,-200,-109,-149,169,205,131,502,91,-259,151,157,118,251,-488,256,626,2,-97,3,-377,-453,-1345,-642,-86,124,-1042,124,397,-159,-50,-356,-140,334,-620,-240,-506,-546,-315,-439,-895,-432,377,336,41,-258,-139,-83,187,101,-191,199,489,-121,-80,-32,-80
"15","6","      Nonmetallic mineral product manufacturing","I3270",175,-167,-173,64,46,-176,-69,-96,-79,-77,-228,-268,-319,-172,-503,-542,-664,-71,40,139,194,19,86,-501,-519,-352,-282,553,366,-137,-696,-549,-860,-625,-367,-296,-594,-690,-566,-399,-31,-310,-339,-934,-481,-845,-1272,-620,-660,-406,-73,-330,-57,-279,-318,-270,-480,-608,-560,114,-456,-72,56
"16","7","      Primary metal manufacturing","I3310",-1920,954,839,398,1853,1294,1923,2174,2015,639,-452,-1166,-1709,-976,-132,963,-72,809,943,695,739,535,-499,-806,-792,127,-236,-1671,-2383,-3111,-3355,-4801,-2730,-327,170,-1096,-2951,-5360,-3395,-2194,-1433,-3809,370,456,-4655,-8297,-3871,9503,7484,4161,-1502,-4775,-2232,-2615,-842,-4460,-5274,-3128,-1629,1079,-560,1140,2404
"17","8","      Fabricated metal product manufacturing","I3320",-44,230,47,-185,62,-43,444,1209,1334,400,-379,-816,-1224,-692,-620,498,398,1233,566,762,583,73,-510,-645,-1610,-724,-503,1352,-1293,-3678,-5837,-4994,-2472,-18,787,-1945,-2498,-3783,-3307,-860,-3177,-2182,-172,-167,-4682,-10901,-6771,8381,8003,5208,-210,-3487,-2092,-4529,-725,-2015,-4344,-3969,-1751,467,-668,356,2492
"18","9","      Machinery manufacturing","I3330",1108,-1347,-481,873,-970,-724,55,1157,-324,-305,258,-565,581,-861,-563,-1289,-1472,528,845,1046,2274,992,-427,-1250,-414,88,-548,-1787,-1867,-2585,-2972,-2552,-2190,-1529,-1064,907,-2190,-2390,-2388,-837,-2603,-1978,-1092,50,-4619,-7862,-4800,3279,3560,3715,49,-2571,685,-2809,-1018,-1482,-4665,-2367,-880,-118,-780,52,1640
"19","10","      Computer and electronic product manufacturing","I3340",4146,5313,6210,4999,2995,2686,3937,4257,3758,917,208,-122,4715,-965,1056,-2890,-3132,628,3126,2570,2151,1925,1322,934,4598,3886,1346,-709,730,-337,158,870,1226,709,431,-911,-971,-1034,-799,356,2769,2049,1313,634,94,-1141,270,903,1360,2164,64,-1938,918,-628,1484,-1365,-2194,-987,319,1604,-620,436,560
"20","11","      Electrical equipment, appliance, and component manufacturing","I3350",-748,-143,171,680,622,659,367,44,272,-121,-218,-76,-43,-569,343,-440,-396,-235,221,606,173,-10,146,295,-131,-29,96,-244,-893,-809,-955,-868,-702,-323,-241,-910,-1091,-1866,-1126,-153,149,-1123,-158,-367,-2082,-1512,-212,1322,1437,443,-274,-546,-1146,-843,-485,-563,-1614,-1263,-663,169,-232,192,400
"21","12","      Transportation equipment manufacturing","I3360",-750,-302,356,2018,-2794,-351,1041,2787,424,-142,623,-2160,270,-2220,-3907,-2155,1699,1286,-797,-941,3972,-952,-876,-3305,-415,27,-60,-1849,-1162,-2905,-3797,-1946,-2043,-305,-793,-1823,1435,-2733,-5502,-2795,-82,-1496,-1014,-2590,-5038,-6399,-4049,264,476,836,-256,-1174,-2407,-1500,-223,-912,-5342,-2638,-1653,568,-944,204,988
"22","13","        Motor vehicle and parts manufacturing","I336MV0",652,-128,-257,951,-419,479,675,-193,-545,-47,1117,200,-1201,-340,-505,374,-591,460,-138,634,1237,-174,173,-988,-120,136,279,-359,-2207,-2087,-411,571,-2166,-811,203,282,11,-1123,-2230,-2,-980,-182,-52,-570,-1832,-3708,-1827,2284,2368,1746,-434,-1669,-3003,-858,1338,389,-2669,-640,-485,181,-504,668,596
"23","14","        Other transportation equipment manufacturing","I336OT0",-1402,-174,614,1067,-2375,-831,366,2980,969,-95,-494,-2360,1471,-1880,-3402,-2529,2289,827,-658,-1574,2735,-778,-1049,-2317,-295,-109,-338,-1490,1045,-818,-3386,-2517,124,506,-996,-2105,1424,-1610,-3272,-2794,898,-1314,-962,-2021,-3207,-2691,-2222,-2020,-1892,-909,178,495,596,-642,-1562,-1302,-2673,-1998,-1167,387,-440,-464,392
"24","15","      Furniture and related product manufacturing","I3370",-64,-137,32,65,-133,52,19,182,-98,-169,-146,172,-212,-207,129,256,-239,-490,246,763,400,320,-1,-329,-1065,-581,-457,547,-424,-703,-193,-7,-358,-125,-101,-140,-394,-177,41,114,-201,-96,-63,3,-686,-744,-426,252,411,331,8,-263,22,-680,-82,38,-543,-371,91,42,-44,-56,72
"25","16","      Miscellaneous durable goods manufacturing","I3390",307,-51,-7,-373,215,127,322,365,11,-301,-222,-124,-777,285,-237,13,-288,108,180,176,233,265,312,241,-1039,208,-100,-50,-873,-986,-1116,-585,-1048,-987,-474,313,-924,-1236,-973,-511,-1350,-694,-503,21,-801,-1085,-1523,664,823,596,1047,-198,-251,-1121,-690,-836,-560,-1762,-1425,-227,-304,-104,792
"26","17","    Nondurable goods industries","I30N0",6477,2731,772,-243,3495,2917,2984,4146,7752,828,-3846,-7690,-11027,-8102,-4534,-3352,-4229,2052,5970,5004,7189,2316,-5972,-8144,-12001,-4916,-4363,-6156,-10155,-13422,-8597,-8526,-12793,-9446,-11545,-13680,-8761,-8658,-4916,257,-12124,-10854,-14309,-27711,-25412,-34642,-17227,60181,14404,1618,-3131,-16035,-12095,-4023,-9486,-28976,-39377,-21841,-10671,-5212,-4572,4480,-6900
"27","18","      Food manufacturing","I3110",379,392,450,-633,924,124,54,502,1288,319,-738,-483,-1487,-1198,688,-983,-2070,-659,253,632,-816,856,-1639,376,-2617,-2383,-3075,-2004,-3280,-4080,3351,-1184,-470,342,118,-597,878,-313,-3178,-3843,-5829,-4471,-3790,-6144,-9950,-4114,461,8759,5511,139,3541,-3910,-1666,-4,-4183,-9353,-10535,-5290,-4356,1931,-156,1156,-8634
"28","19","      Beverage and tobacco product manufacturing","I3120",559,-84,-565,-654,-256,5,-159,-145,290,296,-136,-670,-377,-308,-150,23,-18,31,198,70,-777,-72,122,326,51,-206,-230,133,-854,-889,-693,-28,1241,1143,1092,921,282,73,-409,-618,-991,-853,-488,-129,-814,-680,-596,-419,-273,-59,-234,-294,-306,-314,-458,-817,-459,-352,-605,-506,-112,-140,-255
"29","20","      Textile mills","I3130",115,-2,69,53,-145,-67,74,231,784,254,27,-214,-214,-85,20,62,-628,590,775,895,406,246,-79,-165,-242,48,-62,77,139,-165,154,84,-54,12,-219,-299,-287,-42,7,128,-77,-81,-156,-263,-320,-253,-242,110,459,42,-44,-230,0,-111,-122,-259,-555,-198,-121,118,-4,32,143
"30","21","      Textile product mills","I3140",24,65,12,-5,9,99,123,86,343,135,88,10,-184,-199,-25,176,173,362,267,102,-43,-131,8,94,62,126,75,41,41,-167,-29,-16,-265,-26,-38,101,-224,-103,50,162,-128,-71,-62,-10,-41,-63,-298,-10,264,-25,-14,-19,-11,-80,-45,-130,-487,-248,-12,70,96,48,75
"31","22","      Apparel manufacturing","I3150",133,37,38,-57,2,203,212,191,1205,365,-273,-201,-47,-65,-16,12,-674,83,609,491,193,-50,-145,-119,102,-71,-255,468,-74,-118,-203,-106,-410,-226,232,243,-353,-307,103,181,-95,-168,-214,-128,-424,-211,-143,-240,-146,-180,-88,54,-1,-65,-22,-24,-177,-53,-11,-83,40,4,66
"32","23","      Leather and allied product manufacturing","I3160",-131,32,70,44,72,12,1,162,69,4,-51,-42,-139,23,-44,-76,-139,-27,45,109,-143,-28,-69,96,-76,14,-47,-22,7,-26,44,-74,29,-56,-24,62,60,-69,-12,-55,-91,-46,-35,-20,9,-156,-85,-32,9,27,46,-12,-7,-30,4,-15,-117,-51,-19,15,12,8,-19
