"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2014 3:46:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Current surplus of government enterprises","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-23.8,-27.7
"9","2","Federal","B097RC1",-1.3,-2.5,-2.8,-2.4,-3.4,-3.3,-4.4,-2.9,-3.4,-2.9,-2.7,-3.6,-2.6,-2.1,-1.9,-2.7,-1.6,-0.6,-0.5,0.7,1.1,-2.3,2.1,4.1,3.5,4,5,4.5,6.6,7.6,7.2,5.3,2.8,6.9,6.7,4.9,0.9,1.8,2,0.8,0.8,-3.1,-7.3,-13.4
"10","3","  Postal Service","L312101",-1.9,-3,-3.4,-3,-3.9,-3.8,-5,-3.4,-4,-3.5,-3.4,-4.6,-3.5,-3.2,-3.6,-4.7,-4.1,-3.1,-3.1,-1.7,-1.7,-4.7,-1.9,0.2,-1.2,-0.2,2.3,2.2,2,1.6,1,0.5,0,2.2,1.9,1,-0.9,-0.9,0,-0.5,-3,-4.1,-5.8,-5.6
"11","4","  Federal Housing Administration","L312121",0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.4,0.5,1,1.3,1.6,1.8,2.8,1.8,1.3,2,2.2,2.7,3.1,2.9,2.8,2.6,2.6,2.6,1.9,2.1,2.4,2.7,2.4,-0.4,-3.7,-9.6
"12","5","  Tennessee Valley Authority","L312131",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.3,0.3,0.6,0.7,0.6,0.7,0.9,1.1,1.5,1.6,1.8,1.8,1.6,0.7,2.1,2.4,1.8,1.9,1.5,1.8,2.2,2.6,2.7,1.6,0.2,1.9,1.9,1.8,1.9,2.1,1.8,0.9,1.9,1,0.8,0.8
"13","6","  Other \1\","L312141",0.5,0.4,0.4,0.4,0.3,0.6,0.6,0.6,0.1,0,-0.1,-0.2,-0.2,-0.2,0.3,0.4,0.5,0.3,0.4,0.1,0.1,0.4,0.4,-0.2,0.1,0.6,-0.1,-1.5,0.2,0.6,0.4,0.4,-0.1,0.2,0.3,-0.5,-2,-1.6,-2.2,-2.3,-0.6,0.3,1.4,0.9
"14","7","State and local","B115RC1",1.3,1.3,1.1,1.2,1.2,0.6,0.1,0.2,0.1,0,-0.5,-1.4,-2.6,-1.7,-0.4,1.3,2.9,2.6,2.7,4.4,5.6,5.6,5.7,5.8,7.3,7.8,10.6,12.4,10.9,8.7,9,5.4,2.4,0.1,-2.8,-6.7,-7.3,-11.1,-18.5,-22,-21.4,-19.8,-16.5,-14.3
"15","8","  Water and sewerage","L312181",0.1,0.2,0.2,0.2,0.2,-0.1,-0.4,-0.7,-0.9,-1,-1.1,-1.4,-1.8,-1.8,-1.2,-0.4,0.3,0.7,1.1,1.7,1.8,1.7,1.9,1.8,2.2,3,3.6,4.4,4.5,4.9,5.3,5,4.7,5.1,5.7,4.9,4.9,4.4,3.5,3,3.6,5.9,8.8,11.9
"16","9","  Gas and electricity","L312191",0.7,0.7,0.7,0.8,0.9,0.9,0.9,1.1,1.1,1.3,1.3,1.2,1.5,1.8,2.2,3,3.2,3.4,4.1,4.7,5,5.2,5.5,5.6,5.8,5.9,6.2,6.4,6.7,7.3,7.9,8.3,8.5,7.5,5.4,4.8,5.6,4.8,4.3,5.9,7.5,8,8.9,10
"17","10","  Toll facilities","L312201",0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.9,0.9,1,1.2,1.1,1.3,1.3,1.5,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.9,1.9,1.5,1.3,1.6,1.7,1.6,1.4,0.9,1.2,1.3,1.9,2.3,2.6
"18","11","  Liquor stores","L312211",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,1.1,1.3,1.3,1.2,1.1,1.1,1.1,1.1,1.3,1.4
"19","12","  Air and water terminals","L312221",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.9,1,1.2,1.2,1.3,1.5,1.5,1.7,1.9,2.1,2.2,2.4,2.5,2.2,1.8,1.9,1.9,2.2,2.1,1.9,1.4,0.8,1.3,1.8,2.1
"20","13","  Housing and urban renewal","L312231",0,0,0,0.1,-0.1,0.2,0.1,0.1,0.1,0.1,-0.1,-0.3,-0.3,0.4,0.7,0.3,0.1,-0.8,-1.9,-2.3,-2.2,-2,-1.7,-1.7,-2.1,-2.8,-1.8,-1.9,-4.4,-7.1,-7.6,-9.4,-11.2,-12.3,-14.1,-16,-17.9,-20.4,-23.7,-24.7,-24.2,-27.2,-28.6,-31
"21","14","  Public transit","L312241",-0.3,-0.4,-0.6,-0.8,-1,-1.5,-1.8,-1.6,-1.8,-2.1,-2.6,-3,-4.1,-4.7,-5.6,-6.2,-6.6,-7.5,-8.1,-8.5,-9,-10,-11.2,-11.9,-12.3,-13.4,-13.9,-14.4,-15,-16.2,-17.7,-19.3,-21.1,-23.1,-24.5,-26.6,-28.5,-30.5,-33.3,-35.9,-37.7,-37.9,-38.4,-39.6
"22","15","  Other \2\","L312251",-0.2,-0.2,-0.1,0,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.9,1.5,2.1,2.9,3.9,4.6,5.1,6.2,7.2,7.7,8,8.8,10.3,11.7,12.8,14,14.9,15.3,16,15.7,16.9,19,20.3,21.3,23.5,26,26.8,25.9,26.2,27.1,27.4,28.1
