"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:33:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","Gross domestic product","A191RX1",1932.6,1930.4,1928.4,1958.8,1987.6,2019.9,2031.2,2033.3,2005.6,1998.8,2020.8,2002.7,2082.5,2145.5,2228.2,2271.2,2302.3,2342.3,2390.5,2395.8,2421.1,2426.2,2443.7,2523.9,2570.9,2591,2576.4,2537.3,2525.6,2528.3,2556.9,2606.8,2681.2,2724.8,2761.5,2778.1,2767.4,2790.2,2787.9,2833.5,2851.8,2845.5,2873.2,2843.7,2770,2788.3,2852.7,2919.5,2973.8,3046.1,3040.2,3052.2,3120.2,3108.4,3116.1,3078.4,3099.3,3156.9,3209.6,3274.6,3333.6,3369.5,3401.6,3414.8,3452.8,3497.8,3566.1,3591.5,3669.2,3712.9,3763.3,3776.6,3869.8,3922.7,4002.4,4096.7,4197.9,4215.1,4245.2,4281.6,4320.9,4324.7,4362,4397.1,4486.4,4562.2,4595,4615.4,4687.1,4702.1
"10","2","Less: Exports of goods and services","A020RX1",90.7,89.5,85,75.3,71.9,65.2,66.7,64.4,72.1,71.5,65.5,56.7,55.8,56.4,57.9,62.6,65.7,72.2,73.9,73.3,77.2,68.7,63.2,63.7,62.6,63,65.5,63.4,60.5,69.2,67,70.1,72.7,71,75.6,76,79.6,85,87.8,91.7,97.7,94.8,92.1,89.4,80.5,80.9,81.2,80.9,86.3,89.1,91.9,89.5,100.7,107.1,104.4,106.6,105.8,104.4,103.8,107,106.7,117,110.4,108.1,110.6,123.5,116.9,122.8,130.3,132.5,131.5,135.4,120.8,143.4,135.2,145,142.5,148.7,143.1,147.9,150.7,149.3,145.7,149.9,154.2,157.3,166.5,164.4,144.7,177.1
"11","3","Plus: Imports of goods and services","A021RX1",54.8,55.9,49.5,52.2,58.9,61.2,64.4,63.4,61.5,60.6,58.1,59,60.6,64,78.9,79.1,79.1,76.5,70,68.2,76.1,75.7,80.3,87.5,85.4,89.8,89.4,85,80.1,87.3,82.1,82.8,87.7,92.7,94.3,97.7,101.8,101.3,102.1,97.5,105.2,106,104,104.3,105.9,110.4,108.7,114.4,117.4,123.1,124.2,121.1,125.6,126.6,122.9,117.1,116.5,117.9,125.7,128.7,132.6,135.5,137.3,138.9,135.7,138.9,142.4,142,141.8,145,148.9,152.9,147.4,164.8,165.5,173.6,178.1,182.5,192.7,194.9,197.9,196.4,199,209.4,221.8,225.2,238.7,236.7,214.4,256.7
