"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:34:57 PM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969
"8","1","      Gross domestic investment","W170RX1",822.5,855.6,878.7
"9","2","      Less: Consumption of fixed capital","A262RX1",433,456.7,480.6
"10","3","      Equals: Net domestic investment","W171RX1",404.6,411.4,406.4
"11","4","Gross private domestic investment","A006RX1",556.9,590.2,623.1
"12","5","Less: Consumption of fixed capital","B024RX1",295.1,312.1,330.7
"13","6","Equals: Net private domestic investment","A557RX1",261.9,278.1,292.4
"14","7","  Fixed investment","A007RX1",536.9,574.6,608.6
"15","8","  Less: Consumption of fixed capital","B024RX1",295.1,312.1,330.7
"16","9","  Equals: Net fixed investment","A560RX1",241.8,262.5,277.9
"17","10","    Nonresidential","A008RX1",318.4,333.7,356.8
"18","11","    Less: Consumption of fixed capital","A753RX1",210.1,223.1,237.3
"19","12","    Equals: Net nonresidential","A593RX1",108.3,110.6,119.6
"20","13","      Structures","B009RX1",294.3,298.4,314.5
"21","14","      Less: Consumption of fixed capital","B188RX1",131.2,135.6,140.1
"22","15","      Equals: Net structures","A594RX1",163.2,162.8,174.4
"23","16","      Equipment","Y033RX1",104.5,110.8,120
"24","17","      Less: Consumption of fixed capital","Y080RX1",89.7,95.6,102.1
"25","18","      Equals: Net equipment","Y081RX1",14.7,15.3,17.9
"26","19","      Intellectual property products","Y001RX1",42.6,45.8,48.3
"27","20","      Less: Consumption of fixed capital","Y083RX1",31.9,34.8,37.7
"28","21","      Equals: Net intellectual property products","Y084RX1",10.7,11,10.6
"29","22","    Residential","A011RX1",240.7,273.3,281.9
"30","23","    Less: Consumption of fixed capital","A754RX1",96.5,100.4,104.7
"31","24","    Equals: Net residential","A748RX1",144.2,172.9,177.2
"32","25","  Change in private inventories","A014RX1",37.3,33.9,33.3
"33","26","Gross government investment \1\","A782RX1",289.5,287.1,273.2
"34","27","Less: Consumption of fixed capital","A264RX1",146.8,153.8,159.2
"35","28","Equals: Net government investment","A889RX1",142.7,133.3,114
"36","29","    Federal","A890RX1",33.7,23.7,14.1
"37","30","      National defense","B891RX1",1.4,-6.6,-10.6
"38","31","      Nondefense","B892RX1",31.6,29.9,24.8
"39","32","    State and local","B893RX1",122.1,127,117.3
"40","33","  Structures","A760RX1",NA,NA,NA
"41","34","  Less: Consumption of fixed capital","B894RX1",NA,NA,NA
"42","35","  Equals: Net structures","A895RX1",NA,NA,NA
"43","36","      Federal","A896RX1",NA,NA,NA
"44","37","        National defense","B897RX1",NA,NA,NA
"45","38","        Nondefense","B898RX1",NA,NA,NA
"46","39","      State and local","B899RX1",NA,NA,NA
"47","40","  Equipment","Y054RX1",NA,NA,NA
"48","41","  Less: Consumption of fixed capital","Y085RX1",NA,NA,NA
"49","42","  Equals: Net equipment","Y086RX1",NA,NA,NA
"50","43","      Federal","Y087RX1",NA,NA,NA
"51","44","        National defense","Y088RX1",NA,NA,NA
"52","45","        Nondefense","Y089RX1",NA,NA,NA
"53","46","      State and local","Y090RX1",NA,NA,NA
"54","47","  Intellectual property products","Y055RX1",NA,NA,NA
"55","48","  Less: Consumption of fixed capital","Y091RX1",NA,NA,NA
"56","49","  Equals: Net intellectual property products","Y092RX1",NA,NA,NA
"57","50","      Federal","Y093RX1",NA,NA,NA
"58","51","        National defense","Y094RX1",NA,NA,NA
"59","52","        Nondefense","Y095RX1",NA,NA,NA
"60","53","      State and local","Y096RX1",NA,NA,NA
"61",NA,"Addenda:"," ",NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RX1",804.3,841.7,865.5
"63","55","  Less: Consumption of fixed capital","A262RX1",433,456.7,480.6
"64","56","  Equals: Net domestic fixed investment","W173RX1",384.5,395.8,391.9
"65",NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA
"67","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA
"68","Note. Most chained (2009) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA
"69","2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA
"70","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA
"71","usually not additive.  Chained (2009) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA
"72","consumption of fixed capital from gross investment",NA,NA,NA,NA,NA
