"","Table 7#3#3# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2014 4:00:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Farm output","A2000A3",47.192,48.468,50.348,51.662,52.571,49.537,52.727,53.695,56.087,58.739,62.254,59.623,64.115,65.132,55.291,63.825,68.245,66.952,69.629,66.775,70.801,73.893,74.93,78.828,76.985,84.066,80.644,82.231,87.99,88.516,90.548,91.694,90.382,90.008,92.643,95.33,96.469,97.12,96.995,96.41,100,101.114,96.299,95.026
"9","2","  Cash receipts from farm marketings","A2001A3",52.414,54.726,54.314,57.21,57.301,55.944,55.521,58.926,58.002,62.368,64.939,66.526,64.229,65.212,64.505,64.471,67.952,69.776,75.132,73.351,72.401,74.47,76.958,78.436,81.239,81.206,85.979,80.637,87.555,88.137,90.611,92.483,89.417,91.099,91.612,90.673,95.175,96.446,96.032,94.931,100,102.998,97.176,97.112
"10","3","    Crops","B1005A3",43.244,46.323,43.437,48.27,51.336,49.163,48.473,52.211,48.827,56.041,60.401,63.255,58.335,60.028,57.707,57.118,61.706,65.34,73.875,68.868,68.267,71.478,74.909,76.214,80.015,77.816,85.431,76.617,85.667,86.109,88.562,90.586,85.9,86.578,88.726,87.664,94.658,95.62,94.523,90.848,100,104.674,94.097,93.903
"11","4","    Livestock","B1006A3",61.888,63.45,65.63,66.495,63.405,63.286,63.278,66.12,68.485,69.244,69.846,70.008,70.895,71.044,72.255,72.923,75.024,74.894,77.104,78.762,77.412,78.277,79.814,81.491,83.251,85.616,86.995,86.104,90.337,91.089,93.605,95.335,93.863,96.661,95.274,94.45,96.528,98.131,98.483,100.643,100,100.799,101.12,101.237
"12","5","  Farm products consumed on farms","B1008A3",485.661,508.741,480.747,488.226,467.141,558.843,518.733,530.059,517.329,422.94,390.192,371.577,367.831,332.122,325.713,303.341,294.877,281.186,213.535,206.865,180.245,159.116,157.446,155.087,142.649,145.369,136.474,126.33,110.535,114.529,109.676,94.367,79.547,87.688,75.095,82.873,93,114.173,90.361,95.702,100,88.621,70.27,102.097
"13","6","  Other farm income","B1009A3",17.72,16.329,16.16,15.319,17.387,14.625,16.817,17.946,17.904,25.363,29.252,30.55,36.385,61.714,49.524,42.193,58.907,61.328,66.795,62.931,56.651,57.775,60.583,53.733,57.771,56.487,67.551,59.19,75.488,91.824,110.593,98.535,109.805,104.961,111.821,122.434,119.246,131.321,107.89,104.19,100,96.852,97.749,93.375
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
