"","Table 7#4#3# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2014 4:00:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Housing output \1\","A2007A3",30.896,32.04,33.555,35.327,37.092,39.073,40.185,41.335,42.383,44.532,46.361,48.035,49.161,49.523,50.466,52.433,54.598,56.245,57.675,59.481,60.976,62.575,63.94,65.657,67.131,69.519,71.865,73.38,75.308,77.778,80.286,82.957,85.74,86.076,87.19,89.753,93.85,96.365,97.215,98.716,100,101.079,102.85,104.185
"9","2","  Nonfarm housing","A2008A3",30.312,31.476,33.017,34.82,36.62,38.625,39.752,40.916,41.97,44.145,46.003,47.698,48.842,49.213,50.17,52.16,54.347,56.009,57.448,59.27,60.775,62.385,63.76,65.493,66.984,69.393,71.764,73.292,75.214,77.682,80.191,82.737,85.554,85.894,87.012,89.609,93.757,96.306,97.169,98.694,100,101.098,102.902,104.265
"10","3","    Owner-occupied","DOWNRA3",27.409,28.485,29.915,31.635,33.314,35.551,36.716,37.874,38.965,41.5,43.731,45.501,46.475,46.549,47.402,49.205,50.653,52.01,53.605,55.671,57.478,58.894,60.492,62.45,64.23,66.968,69.239,71.131,73.388,76.146,79.028,82.078,85.246,85.866,88.067,91.312,96.236,98.738,98.391,99.606,100,100.395,100.825,101.214
"11","4","    Tenant-occupied","DTENRA3",40.481,41.953,43.883,45.98,48.201,49.409,50.404,51.593,52.522,53.444,54.011,55.448,57.185,58.592,59.913,62.555,67.304,70.022,70.933,71.919,72.389,74.675,75.284,76.251,76.75,78.032,80.759,81.011,81.76,83.212,84.41,85.186,86.786,86.149,83.491,83.839,85.307,88.021,93.039,95.619,100,103.46,109.871,114.476
"12","5","  Farm housing","DFARRA3",76.182,76.356,76.536,76.859,76.902,77.841,78.263,78.636,79.473,80.102,80.013,80.301,80.099,79.642,79.263,78.953,78.624,78.445,78.601,78.261,78.452,78.794,78.82,78.709,78.43,78.784,78.872,79.264,81.646,84.202,86.591,101.2,100.521,100.459,101.206,100.711,100.791,100.749,100.634,100.38,100,99.634,99.04,98.472
"13","6","Less: Intermediate goods and services consumed","B1027A3",25.203,26.609,27.691,29.992,34.881,37.406,37.423,42.622,45.995,50.102,55.372,56.183,57.796,53.96,52.355,58.35,57.168,58.86,59.324,60.632,64.233,68.371,69.669,71.288,67.429,67.441,68.602,71.915,75.307,83.099,84.145,85.456,90.104,90.408,91.94,91.882,95.893,99.155,102.706,94.719,100,98.494,100.487,106.126
"14","7","Equals: Gross housing value added","A2009A3",31.966,33.068,34.662,36.347,37.581,39.476,40.779,41.246,41.907,43.733,44.986,46.805,47.855,48.848,50.163,51.544,54.25,55.893,57.475,59.358,60.536,61.764,63.138,64.868,67.068,69.783,72.291,73.56,75.288,77.037,79.739,82.588,85.124,85.464,86.523,89.442,93.55,95.959,96.427,99.253,100,101.417,103.159,103.919
