"","Table 5#5#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:35:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Private fixed investment in equipment","Y032RL1",-20.6,-32.9,-41.1,2.6,37.9,36,36.8,16.2,-30.1,15.3,29.3,17.3,-42.5,-11.1,33,43.3,26.1,36.2,5.2,-12.3,10.6,2.7,-2.8,9,-5.4,13.7,2.8,2.6,-14.3,12,3.6,-2,11.3,7.8,12.5,18.1,15.3,-1,6.3,8.4
"9","2","Nonresidential equipment","Y033RL1",-20.7,-33.3,-41.4,2.3,38.3,36.2,37.2,16.3,-30.4,15.4,29.6,17.2,-42.6,-10.2,33.7,43.2,24.7,35.9,5.2,-12.4,10.4,2.9,-2.9,9.1,-5.6,13.7,2.6,2.6,-14.6,11.9,3.8,-2.1,11.4,7.8,12.6,18.2,15.5,-1,6.1,8.3
"10","3","  Information processing equipment","Y034RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,2.4,-10.5,10.5,10.7,15,10.2,-10.1,15,15.5,13.4,-10.6,9.1,19.8,9.1,10.3,15.1,13.9,18.1,29.8,6.2,5.7,20.1
"11","4","    Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,0,50
"12","5","    Communication equipment \1\","C275RL1",-14.3,-24.4,-50.5,-21.9,43.7,44,28,59.6,-33,20.5,48.5,8.3,-37.4,-8.6,105.7,13,-60.3,35.4,-0.5,-10.8,11.3,11.4,30.3,15.2,-12.5,11.1,21.9,14,-14,18.3,28.5,19.9,14.1,-6.2,2.9,15.7,13.9,2.7,4.2,16.6
"13","6","    Medical equipment and instruments","W176RL1",-17.1,-22.8,-36.6,-2.2,18.2,21.2,27,61.3,-31,29.2,-19.1,-6.5,-48.3,104.4,3.3,173.7,152.3,45,-2.5,-10.1,9.4,13.4,1.9,-12.4,4.7,21.5,9,-3.4,-12.6,12.9,20.8,10.6,7,22.2,15.2,8.2,13,32.6,0.3,22.1
"14","7","    Nonmedical instruments","W177RL1",-11.2,-24.2,-35.8,0.4,4.8,36.6,23,50.3,-26,23.5,-17.8,-10.7,-48.6,116.7,7.1,166.4,17.9,36,3.9,-7.2,14.3,10.1,8.2,1.6,-27.1,36.5,7.8,2.2,-14.8,-0.8,0.6,-3.8,-8.1,5.2,5.3,14.2,8.1,7.4,-1.6,5.2
"15","8","    Photocopy and related equipment","C285RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3.2,-3.1,6.5,8.4,11.6,25.8,6,4,6.3,3.8,-17,32.1,19,2.1,24.4,59.2,53.1,18.4,27.4,-17.3,9.9,14.1
"16","9","    Office and accounting equipment","B936RL1",-29.2,-27,-27.9,4.7,22.2,34.2,19.7,19.8,-16.1,3.3,15.5,21.8,-25.9,-27.6,51.4,33.4,83.4,23.9,7.8,-13.5,9.3,8.1,3.3,9.2,-3.1,12.9,15,22.8,-3.3,-2.8,-0.7,-15.1,-11,5.2,-0.5,1.8,28.2,-4.9,-5.9,16.9
"17","10","  Industrial equipment","A680RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.3,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6
"18","11","    Fabricated metal products","C263RL1",-13.7,-18.7,-35.8,-15,21.6,11.2,20.9,13.8,-25.6,18.1,23.1,20.9,-7.8,24.7,18.4,21.6,45.3,29.9,-10.2,-19.1,7.6,19.8,14.1,5.5,6.3,-9.8,3.6,13.9,-7.1,-10.3,-5.3,-4.5,-8.1,10,16.6,18.3,15.6,-2.9,18.3,20.9
"19","12","    Engines and turbines","A668RL1",-11.8,-35.3,-53.8,-16.6,48.1,40.6,74,41,-31.2,22.6,10.2,-14.9,-56.8,87.4,86.7,112.1,-76.7,155.4,45.4,-3.1,33.8,-28.2,40.8,-7.5,44.6,-12.4,-9.8,25.9,-0.5,-13.9,-5,-11.9,-6,0.1,-0.1,4.4,20.3,33.6,17.2,12
"20","13","    Metalworking machinery","C271RL1",-30.7,-35.8,-57.1,7.4,67.5,82.6,48,23.2,-44.1,38.8,105.7,32.4,-7.9,-5.8,-18.3,23,20.3,25.7,-24,-36.3,43.2,30.4,6.6,26.3,9.3,-20.9,24.8,-5.8,-37.3,7.9,13.5,-10.2,10.3,20.6,5.2,25.9,21.3,23.8,-11.4,-1.9
"21","14","    Special industry machinery, n.e.c.","C272RL1",-24.7,-22.1,-30.9,12.2,7.1,22.1,36.2,7.8,-25.9,6.6,6.7,-0.3,-18.1,-21,53.8,45.6,34,49.3,-3.8,-22,13.7,4.9,-11.5,4.8,-12.5,17.2,9,-6.4,-11.8,6.1,13.3,-4.2,9.2,-1.1,13.4,27.5,8.3,-9,-0.4,3.5
"22","15","    General industrial, including materials handling, equipment","C273RL1",-23.9,-24.6,-36.1,-2,22.2,34.3,37.7,9.3,-28.2,16.7,11,5.7,-31.2,8,64.7,42.4,-2.9,18.6,-5.8,-28.6,2.1,10.4,-4.3,12.3,-0.7,15.6,7.4,-1.4,-12.9,4.2,8.3,-6,7.5,13.7,18.5,11.6,12.4,-10.2,-2.1,11.2
"23","16","    Electrical transmission, distribution, and industrial apparatus","C276RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,-7,-9.9,20.1,19.7,17.5,5.8,4.2,-1.3,12.3,6.1,-16.5,2.9,9.2,-0.1,3.1,0.9,13.5,11.9,19.8,-2.9,-4.7,4.9
"24","17","  Transportation equipment","A681RL1",-22.4,-38.8,-45.2,23,50.7,31.6,38.7,10.7,-39.1,25.7,36.1,14.8,-66.2,-10.4,4.2,61.3,69.7,40.8,4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.2,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4
"25","18","    Trucks, buses, and truck trailers","C279RL1",-22.3,-26.8,-42.8,29.8,61.3,32.1,30.5,-2.7,-37.9,38.8,14.2,18.2,-81.4,19.1,123.9,140.2,15.3,32.7,10.9,-18.7,18.7,4.4,-25.1,-0.7,-5.3,31.9,-2.4,-11.2,-15.7,22.9,0.5,3.6,28.7,6.6,4.3,22.8,15.7,-12,18.7,17.6
"26","19","      Light trucks (including utility vehicles) \2\","W178RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","20","      Other trucks, buses, and truck trailers \2\","W179RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
