"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/11/2014 2:45:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Housing output \1\","A2007G3",11.69,11.357,10.711,9.588,8.605,7.845,7.882,8.061,8.437,8.703,8.698,8.727,8.876,9.1,9.155,9.233,9.345,9.561,9.922,10.533,10.881,11.253,11.743,12.244,12.87,13.26,13.452,13.68,13.933,14.211,14.451,14.681,14.885,15.066,15.252,15.408,15.56,15.795,16.099,16.495,17.039
"9","2","  Nonfarm housing","A2008G3",12.202,11.876,11.245,10.097,9.035,8.135,8.125,8.317,8.699,8.985,8.986,9.024,9.176,9.378,9.387,9.406,9.444,9.502,9.807,10.457,10.916,11.298,11.758,12.235,12.898,13.344,13.535,13.783,14.032,14.299,14.494,14.715,14.9,15.076,15.244,15.388,15.538,15.757,16.042,16.435,16.956
"10","3","    Owner-occupied","DOWNRG3",12.286,11.957,11.322,10.166,8.761,8.202,8.183,8.376,8.761,9.049,9.051,9.088,9.241,9.455,9.454,9.474,9.511,9.57,9.878,10.532,10.994,11.379,11.842,12.323,12.996,13.44,13.632,13.882,14.133,14.402,14.598,14.823,15.006,15.181,15.349,15.498,15.646,15.866,16.158,16.553,17.076
