"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2014 3:39:50 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7,15761.3
"9","2","Business \1\","A195RX1",3128.2,3126.7,3245,3455.7,3694.8,3638.3,3603.1,3845.5,4064.2,4321.6,4471.6,4429.2,4560.1,4423.3,4665.5,5076.3,5310.4,5505.1,5699.7,5943.9,6172.3,6273.3,6236.2,6500.4,6686.4,7010.9,7229,7566.5,7968.3,8377.5,8860.6,9258.5,9315.5,9481.6,9782.3,10224.6,10612.8,10948.4,11180.6,11049.4,10596.7,10929.5,11191.9,11598.5,11886
"10","3","  Nonfarm \2\","A358RX1",3105.7,3101.7,3217.7,3433.2,3681.4,3626.1,3566.1,3820.4,4038,4305.4,4448.3,4408.6,4510.8,4366.8,4650.8,5039.7,5254.9,5455.2,5650.2,5907.5,6125.4,6219.8,6182.2,6433.3,6632.9,6939.9,7181,7505.8,7897.7,8313.6,8794.2,9178,9241.9,9404.7,9695.9,10131.5,10513.9,10849,11100.1,10957.2,10486.9,10818.2,11089.1,11499.7,11751.2
"11","4","  Farm","B359RX1",27.3,28.1,29.5,29.5,29.2,28.6,34,32.5,34.3,33.1,36,34.9,46.1,48.4,31.5,42.7,52.6,50.5,51,45.5,51.7,55.5,55.6,64.4,56.8,69,54.9,63.6,71.2,67.7,70.7,83.9,77.7,80.9,89.8,96.1,101.6,102.4,86.2,94.7,109.8,111.5,105.8,104.6,125.4
"12","5","Households and institutions","A193RX1",608.3,620,647.9,674.1,698,727.3,753.1,764,770.9,804.5,832.7,861.2,879.8,904.7,933.5,961.1,987.2,1019.4,1061.6,1118,1162.2,1199.7,1226,1260.1,1322.8,1365.4,1406.4,1434.8,1478.3,1528.4,1571.8,1633.5,1670.7,1697.7,1732,1775.3,1829.2,1855.2,1857.2,1909.8,1913.6,1930.5,1948.8,1960.3,1970.3
"13","6","  Households","B701RX1",353,361.7,379.6,395.9,409.8,428.8,441.6,448.3,449.1,475.1,490.4,507.6,515.1,520.4,532.8,548.6,570.2,582.9,601.6,626.3,644.8,657.6,669.3,687.2,718.6,752.9,779.2,795.4,817.3,839,873.2,912.8,943.5,951.3,976.9,1015.5,1066.4,1092.6,1084.7,1115.7,1110.1,1115.5,1119,1116,1119.6
"14","7","  Nonprofit institutions serving households \3\","B702RX1",254.7,257.1,266.6,276.2,286.1,296,309.3,313.4,320,326.6,339.5,350.7,362.2,383.1,400.2,411.9,415.7,435.8,460,492.7,519.2,545.1,560.1,576.5,608.4,615.5,629.9,642.1,664.1,693.3,701.4,723,728.5,748.5,756.6,760.6,762.9,762.4,772.4,794.1,803.5,815,829.7,844.2,850.5
"15","8","General government \4\","A765RX1",1141.9,1147.6,1150.2,1149.7,1156,1179.6,1198.2,1209.3,1222.7,1247,1262,1281.7,1291.5,1307.6,1319.6,1339.8,1381.4,1419.8,1455.4,1496.9,1534.2,1573.1,1589.6,1596.7,1600.8,1602.6,1605.3,1608.8,1621,1639,1653.8,1680.9,1711.2,1743.5,1765.2,1777.8,1794.1,1809,1834.7,1872.9,1907.6,1919.5,1912.2,1912.1,1905
"16","9","  Federal","A766RX1",496.7,480.8,463.6,446.4,434.1,434.8,433.7,435.5,437.9,444.4,446,454.1,462.4,471.7,484.3,497.7,514.7,528,545.2,556.2,565.2,575.6,579.2,570,560.7,545.3,528,515.7,507,501.7,498,500.9,503,511.6,525.3,533.4,540.8,545.3,553.1,574.2,603.6,624.3,630.5,630.1,619.2
"17","10","  State and local","A767RX1",613.3,640.7,667,690.2,714.5,740.5,763,773.1,785.1,803.6,818.3,829.6,829.5,835.1,831.9,837.1,861.2,886.3,903.8,934.8,963.7,992.6,1005.5,1022.7,1036.7,1054.8,1075.6,1092.3,1113.8,1137.6,1156.3,1180.7,1208.9,1232.6,1240.5,1244.8,1253.6,1264.1,1281.8,1298.9,1304,1295.2,1281.7,1281.9,1285.8
"18","11","Residual","A961RX1",-142.8,-152.4,-151,-142.6,-136.9,-164.6,-168.2,-153.9,-133.8,-127.8,-119.3,-142.1,-115.5,-141.2,-146.8,-100.5,-83.6,-86.6,-87.9,-97.6,-93,-100.8,-113,-97.4,-103.3,-82.7,-84.9,-65.4,-48.2,-39.5,-22.4,-14.1,-19.1,-19.9,-15,-7.9,-3.6,-0.6,-1.5,-1.2,0,-0.3,-3.4,-5.8,9.6
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",450.4,465.9,488.4,512.1,529.5,556.2,574.6,581.2,590.5,616.2,633.9,659.5,674.3,688.3,706.8,726.3,764.4,787.5,809.8,836.4,853,870.3,889.6,914,945,983.2,1018.6,1036.5,1060.8,1085.5,1123.5,1163.7,1199.4,1204.2,1219.1,1260.2,1318.1,1352.1,1358.7,1398.5,1409,1429,1453.5,1464.2,1474.8
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
