"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Goods","A353RC1",52.7,43.9,34.5,24.4,24.8,31.4,36.7,42.3,47.4,41.4,44.5,51.2,65.1,75.8,92.8,100.5,99.1,113.9,129.3,142.3,133.8,148.7,170.4,171.5,178.8,174.8,196.3,206.6,216.6,212.1,232.2,242.2,247,264.9,278.1,298.9,327.1,362.7,372.9,400.6,429.2
"12","5","    Final sales","A325RC1",51.1,44.1,35.6,26.7,26.2,32,35.6,41.1,44.8,41.9,44.3,48.8,60.8,73.9,93.5,101.4,100.6,107.9,129.8,136.7,136.5,142.9,160.5,168,176.9,176.7,191.3,202.7,215.8,212.5,228.3,239,244,258.8,272.5,294,317.8,349,363,391.6,420
"13","6","    Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2
"14","7","  Durable goods","A354RC1",18.7,12.5,8.7,4.4,5.7,8.2,10.2,13.2,15,11,13.8,17.8,27.1,32.2,46.3,49.6,41,41,50.2,53.2,51.8,63.1,73.3,71.8,79.5,73,88.9,92.7,98.1,88.2,104.6,108.9,108.9,122.9,130.8,144.1,160.6,181,182.3,197.2,213.3
"15","8","    Final sales","A326RC1",17.3,13.5,9.9,6.4,6.1,8,9.8,12.3,14.3,11.9,13.5,16.6,24,31.2,46.2,50.2,42.3,35.6,48.8,52.2,53.6,59.5,67.2,70.6,78,75.6,85.5,90.5,97.6,91,101.7,107.3,109,119.4,128.2,140.3,154.3,171,177.5,192.7,207.3
"16","9","    Change in private inventories \1\","A355RC1",1.4,-1,-1.2,-2,-0.5,0.1,0.3,0.9,0.8,-0.9,0.3,1.2,3.1,1,0,-0.6,-1.3,5.3,1.4,1,-1.8,3.6,6.1,1.2,1.5,-2.5,3.4,2.1,0.5,-2.8,2.9,1.7,-0.1,3.4,2.6,3.8,6.2,10,4.8,4.5,6
"17","10","  Nondurable goods","A356RC1",34,31.4,25.9,20,19.2,23.3,26.6,29.1,32.4,30.3,30.6,33.4,38.1,43.6,46.6,50.9,58.1,73,79.1,89.1,81.9,85.6,97.1,99.7,99.3,101.7,107.4,113.9,118.5,123.9,127.6,133.3,138,142,147.3,154.7,166.5,181.6,190.5,203.4,215.9
"18","11","    Final sales","A334RC1",33.9,30.6,25.7,20.3,20.1,24,25.8,28.8,30.5,30.1,30.7,32.2,36.8,42.7,47.3,51.2,58.3,72.3,81.1,84.4,82.8,83.4,93.3,97.3,98.9,101.1,105.8,112.1,118.2,121.5,126.6,131.7,135,139.3,144.3,153.7,163.5,178,185.5,198.9,212.7
"19","12","    Change in private inventories \1\","A357RC1",0.1,0.8,0.1,-0.3,-0.9,-0.7,0.8,0.2,1.9,0.3,-0.1,1.2,1.3,0.9,-0.8,-0.3,-0.2,0.7,-2,4.6,-0.9,2.1,3.8,2.4,0.4,0.6,1.6,1.8,0.3,2.4,1.1,1.6,3,2.7,3,1,3,3.6,5,4.5,3.2
"20","13","Services \2\","A341RC1",39.8,38.5,35.7,31,28.9,30.9,32.5,35.2,37.5,38.1,39.8,41.9,50.6,73.6,100,116.9,121.4,97,97.6,102.8,109,114.3,137.2,154.4,166.4,169.3,177.8,188.4,202.2,213.4,227.2,238.6,252.1,271.7,287.1,307.7,331,363.3,398,440.4,480.7
"21","14","Structures","A755RC1",12.1,9.8,7.2,4.2,3.5,4.5,5.1,7.4,8.1,7.9,9.2,9.8,13.6,16.6,10.3,7.1,7.7,16.8,23.1,29.6,30.1,37.3,39.8,41.8,44.5,47,52.1,55.1,56,56.5,63.1,62.5,64.2,68.5,73.4,79.3,85.6,89.1,90.9,101.4,110
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,43.8,44.7
"24","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,827,898.7,975.2
"25","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","19","  Research and development","Y694RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.9,1.1,1.4,2.1,2.1,2.2,2.4,2.7,2.7,3.1,3.5,4.3,5.1,5.6,6.3,8.4,9.6,10.4,11.4,12.7,13.9,15.4,17.6,19.3,20.8,23.2,24.9,26.6,28.2
"28","20","  Gross domestic product excluding research and development","Y695RC1",104.3,91.9,77.1,59.2,56.9,66.5,73.9,84.5,92.7,87,93,102.5,128.4,164.8,201.7,222.5,226.1,225.6,247.5,272.1,270.1,297.1,343.8,363.5,384.7,385.6,419.9,441.7,465.2,471.6,511.1,530.6,549.4,589.7,621,666.5,722.9,791.8,836.9,915.9,991.7
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
