"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","2","  Durable goods industries","KS30DW0",118921,119079,118836,118544,118602,118446,118264,118407,117847,117450,117948,119829,120692,121710,122869,124514,125422,126439,126604,128056,127304,128921,128278,128478,126265,126445,127355,126383,126418,125464,127484,126447,127131,127261,128047,127246,126634,127128,126577,126001,124676,124684,123537,122497,121846,121607,122485,121772,121501,120527,119744,120991,119640,118559,117701,117199,117624,116604,114804,112763,113627,113724,111399,110677,110640,111301,110721,110922,111336,110438,109976,112434,111755,112720,112294,112915,113012,111308,110785,110729,110350,111123,110445,111710,111336,111110,110448,110036,109707,110036,110246,109894,108536,108581,109759,109004,109716,111441,111550,110840,111904,111860,113730,113182,113976,114788,115497,116057,116718,115655,116505,117050,116745,117044,117348,115446,117123,117900,117375,118166,119346,119730,120036,120793,121658,121827,122418,123119,124125,125478,126599,128017,128303,128183,128759,128096,127389,126269,125718,125527,124507,125253,125559,126513,126798,125970,124701,124002,124050,123730,124265,122515,121929,123055,124088,123515,124708,125757,126077,127243,127589,128601,129280,130396,132501,133336,134439,136116,137003,137257,139813,140451,142231,142292,143067,143466,142682,143747,145201,145038,145665,146028,146025,146116,146628,147295,148396,149393,148831,148665,149044,148954,149186,149756,149722,150956,149887,150606,151196,149969,151352,151585,151279,151749,152853,154493,155915,156671,158932,160633,161528,163178,164982,166893,168548,169899
"12","3","    Wood product manufacturing","KS321W0",2020,2065,2018,1981,2024,2031,2067,2099,2103,2126,2125,2078,2056,2060,2193,2126,2197,2130,2121,2113,2129,2147,2207,2204,2216,2227,2227,2312,2239,2230,2234,2303,2287,2335,2341,2349,2536,2491,2467,2460,2423,2449,2448,2418,2398,2448,2500,2375,2350,2283,2218,2146,2173,2161,2149,2141,2586,2472,2384,2253,2252,2341,2306,2314,2318,2352,2332,2299,2314,2308,2334,2319,2322,2327,2338,2341,2327,2331,2309,2299,2318,2288,2329,2333,2362,2387,2400,2394,2411,2371,2403,2411,2468,2493,2459,2483,2534,2520,2632,2574,2610,2509,2458,2468,2441,2469,2505,2591,2562,2597,2580,2550,2687,2502,2537,2544,2524,2486,2458,2452,2429,2389,2377,2392,2483,2403,2404,2357,2318,2279,2296,2289,2264,2134,2094,2082,2046,2064,2068,2031,2043,2052,2029,1892,1856,1801,1754,1716,1671,1633,1660,1668,1650,1616,1577,1573,1584,1571,1602,1653,1627,1633,1624,1576,1650,1660,1657,1669,1692,1679,1683,1640,1676,1691,1647,1684,1672,1730,1737,1698,1702,1711,1686,1708,1687,1695,1714,1688,1712,1688,1685,1697,1656,1758,1752,1772,1790,1775,1800,1807,1806,1835,1849,1898,1981,1895,1909,1897,1900,1951,1908,1915,1934,1924,1976,1962
"13","4","    Nonmetallic mineral product manufacturing","KS327W0",1786,1841,1825,1786,1842,1706,1725,1810,1832,1827,1803,1787,1836,1891,1847,1781,1762,1741,1773,1737,1707,1719,1707,1729,1754,1715,1688,1721,1713,1721,1735,1788,1771,1799,1772,1786,1784,1781,1798,1868,1838,1796,1777,1779,1743,1739,1739,1844,1826,1809,1799,1782,1753,1747,1731,1677,1715,1737,1721,1659,1629,1581,1592,1614,1631,1648,1670,1659,1677,1691,1713,1713,1676,1809,1835,1752,1716,1716,1691,1664,1647,1626,1636,1652,1657,1670,1675,1610,1627,1611,1582,1610,1580,1584,1572,1575,1559,1557,1546,1520,1546,1541,1550,1540,1538,1501,1507,1518,1537,1515,1529,1554,1558,1571,1572,1579,1598,1605,1611,1615,1638,1634,1635,1654,1656,1628,1615,1621,1612,1609,1616,1633,1613,1654,1593,1578,1535,1530,1492,1468,1490,1499,1504,1494,1514,1445,1443,1425,1413,1392,1352,1370,1369,1354,1309,1261,1284,1303,1291,1257,1266,1291,1301,1300,1322,1337,1360,1351,1336,1301,1304,1311,1343,1343,1335,1326,1317,1327,1363,1364,1336,1337,1343,1385,1384,1400,1414,1433,1441,1438,1408,1418,1390,1426,1380,1374,1363,1379,1410,1441,1428,1443,1464,1450,1453,1446,1448,1423,1445,1461,1447,1456,1477,1500,1509,1537
"14","5","    Primary metal manufacturing","KS331W0",10274,10331,10494,10387,10481,10574,10549,10500,10504,10390,10471,10557,10764,10645,10633,10618,10588,10486,10620,10680,10733,10774,10894,10767,11002,10913,10887,10774,11116,11052,11083,11046,11006,11115,11233,11278,11322,11215,11026,11151,11096,11100,11027,11032,11018,10944,10816,10929,10577,10443,10269,10214,10077,9956,9914,9844,9821,9764,9614,9480,9347,9357,9151,9102,9107,9207,9238,9388,9392,9447,9554,9581,9592,9652,9509,9460,9383,9033,8987,8823,8572,8539,8461,8501,8671,8350,8721,8698,8408,8412,8340,8503,8702,8853,8833,8799,9241,9236,9112,9082,9314,9404,9342,9310,9360,9218,9217,9521,9461,9605,9580,9630,9604,9591,9519,9623,9707,9861,9986,9898,9948,10013,10044,9998,9884,10066,10056,9907,9747,9724,9835,10017,9985,10024,10123,9976,10165,10009,10033,9802,9758,9674,9462,9120,8638,8439,8185,7791,7616,7717,7768,8113,8238,7766,7764,7803,7995,8099,8163,8334,8646,8385,8506,8581,8650,8779,8770,8857,8992,8978,8919,9304,9370,9275,9358,9396,9345,9377,9616,9538,9448,9544,9443,9516,9527,9507,9444,9390,9245,9150,9122,9051,9068,9162,9215,9103,9131,9340,9261,9262,9384,9525,9419,9559,9547,9700,9513,9779,9797,9839,10000,10114,10264,10416,10609,10649
"15","6","    Fabricated metal product manufacturing","KS332W0",11989,12095,12167,12240,12188,12440,12417,12411,12425,12464,12531,12684,12547,12396,12637,12725,12738,12864,12734,12797,12728,12606,12577,12617,12572,12484,12538,12472,12634,12371,12491,12468,12547,12686,12862,12779,13022,13012,12919,12973,13074,13098,13082,13040,12953,12960,12860,12804,13059,12854,12758,12680,12697,12624,12483,12429,12721,12498,12445,12241,12000,12119,12197,12224,12232,12464,12383,12359,12415,12303,12354,12445,12096,12373,12292,12074,12059,11984,11793,11971,11884,12011,12037,12122,12190,12175,12195,12096,12113,12112,12010,11815,11694,11669,11839,12017,11936,12108,12341,12320,12506,12417,12521,12643,12746,12723,12890,12841,13031,12962,12979,13156,13114,13258,13331,13454,13423,13425,13562,13670,13926,13823,13701,13873,13938,13960,14054,14093,14268,14471,14104,14282,14259,14353,14353,14083,14099,14000,13980,13979,13298,13442,13449,13639,13548,13340,13215,13032,12906,12630,12638,12171,12286,12360,12568,12339,12354,12294,12342,12429,12175,12355,12475,12419,12463,12458,12588,12557,12589,12539,12672,12711,12778,12753,12890,12968,12929,12969,13176,13279,13357,13352,13262,13282,13373,13374,13369,13468,13412,13478,13454,13510,13432,13468,13579,13656,13667,13831,13815,13805,13920,13861,13937,13965,13993,14051,14247,14185,14238,14315,14460,14481,14314,14370,14323,14387
"16","7","    Machinery manufacturing","KS333W0",16658,16282,16464,16730,16549,16549,16373,16221,16112,16032,16178,16480,16465,16642,16474,16374,16411,16481,16329,16541,16584,16573,16573,16468,16220,15992,16013,16000,16241,15935,16151,16083,15809,16003,15777,15895,16155,16538,16096,15473,16153,16498,16473,16298,16437,16950,17093,17560,16955,16814,16829,16613,16473,16098,15965,15636,15502,15623,15153,14848,14807,14858,14685,14734,14505,14367,14194,14060,14002,13782,13702,14144,13635,13492,13423,13610,13370,13230,12991,13405,13522,13500,13317,13491,13387,13439,13267,13301,13468,13456,13566,13375,13240,13025,13268,13099,13347,13261,13354,13400,13432,13336,13558,13640,13561,13793,13904,13844,13782,13605,13903,13872,13948,14034,14168,13977,14144,14045,13674,14319,14197,14240,14293,14341,14348,14294,14154,14444,14449,14509,14418,14413,14360,14328,14595,14251,14022,13963,13977,14103,14562,14399,14122,14580,14723,14452,14177,13978,13995,13987,13616,13598,13427,13408,13297,13444,13487,13559,13558,13508,13267,13403,13788,14045,14285,14399,14398,14539,14547,14685,14934,14997,15628,15504,15673,15469,15432,16002,16256,16152,16643,16417,16436,16673,16494,16456,16621,16532,16346,16427,16583,16721,16624,16737,16775,16820,16857,16641,16963,17227,17274,17296,17299,17104,17401,17410,17326,17358,17483,18178,17568,17592,17981,18328,18196,18131
"17","8","    Computer and electronic product manufacturing","KS334W0",14265,14360,14526,14470,14551,14746,15049,15049,15139,14929,15200,15632,15519,15835,16138,16270,16191,16179,15809,15895,15532,15596,15577,15456,15422,15559,15571,15795,15868,15677,15588,15595,15521,15534,15325,15277,15566,15790,15657,16535,16601,16791,17193,17440,16567,17161,17942,18072,18392,18486,18593,18989,18122,18168,17464,17452,17082,16600,16349,15558,15758,15706,15804,15449,15463,15463,15458,15392,15866,15353,15361,15383,15447,15556,15605,15907,15850,15811,16036,16027,16166,16546,16766,17362,16860,16903,17273,17704,18181,18222,18284,18588,18697,18838,18867,18649,18680,18635,18776,18779,18956,19216,19832,19683,19771,20375,20535,20442,21068,20602,20193,20092,19905,19827,19538,19278,19185,19351,19141,18970,19127,19086,18691,18316,18681,18041,18112,18161,18257,18669,18809,18720,19074,19269,19361,20147,20323,20077,20573,20604,20748,21243,21515,21591,21635,21496,21568,21516,21497,20971,20781,20655,20656,20624,20794,21312,21098,21425,21165,21072,21242,21581,21411,21765,21744,21677,21611,21632,21435,21779,22245,22270,22492,22670,22513,22559,22592,22826,22766,22579,22670,22469,22506,22421,22089,22189,22501,22601,22561,22295,22382,22264,22182,21865,21839,21962,21752,21619,21483,21258,21476,21419,21423,21492,21170,21128,20994,20832,21151,21061,21052,20893,20777,20880,20888,20905
"18","9","    Electrical equipment, appliance, and component manufacturing","KS335W0",6432,6444,6475,6516,6556,6508,6581,6559,6533,6574,6565,6580,6607,6596,6527,6513,6479,6471,6544,6624,6641,6618,6604,6607,6536,6507,6568,6537,6544,6542,6417,6382,6580,6614,6592,6521,6493,6514,6381,6446,6488,6562,6594,6611,6612,6666,6693,6695,6671,6708,6673,6630,6530,6447,6421,6391,6397,6375,6291,6185,6162,6101,6135,6160,6150,6069,6002,5988,5958,5935,5933,6008,5982,5949,5925,5898,5870,5837,5830,5820,5828,5840,5858,5826,5817,5810,5758,5746,5790,5809,5731,5748,5721,5590,5679,5692,5717,5696,5677,5657,5630,5623,5636,5653,5688,5673,5638,5672,5670,5693,5749,5793,5781,5824,5798,5957,5872,5890,5885,6014,5989,6045,6083,6119,6114,6083,6111,5929,5931,6004,6200,6251,6270,6295,6227,6164,6140,6261,6125,6116,6165,6235,6223,6198,6010,6030,6002,5951,5884,5839,5782,5778,5742,5733,5734,5620,5647,5672,5566,5574,5594,5584,5620,5648,5672,5656,5664,5689,5721,5731,5726,5777,5776,5797,5802,5845,5802,5830,5879,5843,5971,5909,5868,5906,5936,5964,5935,5924,5990,5973,5923,5918,6011,6009,6033,6013,6006,6043,6050,5983,6041,5983,5988,6004,5981,5958,5948,5946,5946,5900,5938,6002,6226,6137,6207,6202
"19","10","    Transportation equipment manufacturing","KS336W0",51014,51271,50413,50162,50058,49377,48761,49042,48361,48337,48104,49005,50013,50646,51121,52756,53818,54849,55567,56671,56467,58205,57422,58042,55897,56281,57142,55926,55246,55139,57132,56039,56827,56548,57607,56740,55099,54967,55353,53749,51681,50988,49326,48112,48523,46976,46761,45467,45347,44587,44141,45299,45379,44832,45254,45374,45805,45770,45152,45099,46000,46094,43911,43488,43583,44156,43938,44270,43947,43940,43377,45299,45287,45878,45454,46033,46543,45317,44600,44375,44669,44915,43790,44063,44181,43999,42694,42366,41546,41776,42023,41458,40136,39919,40626,40096,40248,41681,41531,40579,41142,41157,42209,41517,42241,42396,42601,42848,42797,42315,43296,43644,43467,43801,44051,42212,43810,44336,44178,44479,45333,45731,46585,47577,47924,48780,49263,49988,50927,51528,52692,53794,53774,53568,53828,53446,52788,52099,51225,51233,50153,50396,50934,51576,52371,52450,51880,52298,52823,53436,54537,53100,52562,54206,54996,54096,55234,55758,56274,57195,57552,58112,58306,58838,60448,61107,62199,63614,64449,64323,66168,66230,66979,67114,67692,67999,67371,67515,68137,68332,68306,69053,69207,68946,69757,70350,71025,72007,71775,71849,72114,72004,72448,72951,72754,73805,72863,73542,73796,72509,73081,73390,73068,73501,74539,76114,77712,78430,80217,81218,82347,83882,85141,86467,87964,89233
"20","11","      Motor vehicle and parts manufacturing","KS3MVW0",8421,8525,8580,8832,9002,8744,8511,8700,9449,8613,8488,8576,8562,8520,9001,8554,8387,8127,8095,7850,7755,7236,7743,8148,7716,7208,8233,7374,7181,7313,7816,7707,7702,7954,8069,8251,7985,8084,7654,7873,8573,8209,8081,8174,8230,8293,8329,8284,8096,8010,7618,8075,7955,7784,7631,7502,7507,7357,7190,7110,7433,7040,6706,7052,7005,7374,7381,7361,7435,7491,7422,7463,7253,7798,7763,7969,7857,7512,7651,7621,7657,7651,7824,7767,7772,7722,7666,7560,7480,7626,7657,7638,7539,7463,7404,7409,7525,7538,7529,7530,7571,7724,7574,7557,7375,7765,7666,7743,7656,7328,7700,7952,7934,7996,7900,7723,7499,7493,7723,8026,7986,7823,7861,7830,7783,7627,7735,7679,7701,7931,7740,7545,7598,7394,7296,7104,6799,6851,6557,6535,6447,6273,6169,6014,5844,6053,5813,5738,5835,5620,5565,5643,5612,5568,5528,5654,5787,6007,5885,6156,6058,5978,6076,6025,6012,5987,6038,6319,6494,6348,6443,6454,6448,6414,6455,6289,6590,6615,6702,6673,6622,6744,6972,6643,6803,6949,7015,7065,7004,7053,7160,7050,7024,7184,7200,7198,7279,7215,7364,7589,7367,7431,7342,7295,7381,7008,7125,7071,7015,6888,6861,6864,6877,6819,6703,6736
"21","12","      Other transportation equipment manufacturing","KS3OTW0",42488,42637,41719,41206,40926,40508,40128,40216,38762,39600,39496,40309,41331,42006,41983,44083,45321,46629,47381,48741,48629,50891,49590,49794,48084,48973,48811,48453,47967,47728,49215,48232,49025,48495,49437,48391,47017,46785,47601,45780,43025,42692,41162,39860,40215,38610,38359,37112,37181,36507,36453,37152,37349,36974,37550,37798,38224,38340,37891,37915,38495,38974,37129,36369,36509,36716,36492,36841,36448,36386,35893,37765,37955,38015,37625,38000,38615,37730,36885,36691,36948,37197,35917,36242,36354,36221,34980,34757,34020,34106,34320,33777,32559,32417,33181,32646,32683,34101,33960,33008,33530,33394,34590,33918,34816,34588,34891,35060,35095,34938,35548,35645,35488,35758,36105,34443,36266,36796,36408,36406,37298,37859,38675,39700,40094,41109,41482,42265,43184,43548,44913,46218,46143,46144,46506,46323,45984,45232,44662,44692,43695,44117,44761,45563,46530,46398,46070,46564,46992,47821,48977,47461,46953,48639,49466,48443,49446,49750,50389,51036,51492,52134,52229,52813,54437,55121,56164,57295,57954,57976,59727,59779,60536,60705,61244,61721,60783,60902,61436,61661,61681,62307,62242,62297,62951,63403,64012,64943,64771,64798,64955,64957,65427,65769,65556,66609,65586,66329,66434,64925,65717,65963,65728,66209,67159,69102,70582,71352,73193,74319,75475,77005,78251,79632,81240,82475
"22","13","    Furniture and related product manufacturing","KS337W0",1629,1621,1587,1539,1565,1540,1594,1586,1587,1586,1580,1601,1602,1607,1661,1678,1696,1699,1743,1753,1750,1712,1707,1709,1768,1747,1734,1679,1694,1726,1712,1745,1672,1706,1754,1755,1769,1791,1800,1819,1806,1815,1811,1839,1832,1830,1845,1833,1848,1879,1907,1903,1881,1822,1794,1725,1704,1711,1695,1685,1740,1728,1747,1769,1808,1772,1797,1766,1847,1860,1815,1753,1821,1826,1843,1807,1711,1731,1731,1636,1638,1636,1641,1661,1699,1685,1670,1649,1611,1653,1653,1733,1653,1691,1726,1716,1753,1796,1750,1760,1759,1745,1712,1726,1714,1722,1762,1726,1735,1714,1715,1691,1753,1757,1745,1747,1782,1767,1785,1737,1729,1758,1696,1644,1704,1679,1716,1724,1695,1677,1691,1692,1694,1672,1649,1645,1627,1617,1581,1531,1595,1558,1540,1532,1601,1584,1618,1533,1476,1495,1471,1460,1427,1401,1399,1368,1341,1358,1368,1396,1395,1386,1381,1358,1369,1359,1367,1360,1362,1373,1377,1372,1384,1362,1360,1371,1364,1344,1355,1326,1336,1343,1341,1341,1357,1338,1346,1342,1357,1354,1362,1346,1333,1347,1359,1395,1380,1368,1374,1372,1377,1369,1378,1349,1350,1363,1366,1362,1358,1363,1364,1368,1359,1368,1369,1356
"23","14","    Miscellaneous durable goods manufacturing","KS339W0",4616,4446,4426,4326,4331,4379,4329,4313,4343,4373,4453,4359,4363,4309,4412,4425,4360,4396,4448,4365,4325,4273,4324,4232,4229,4254,4241,4263,4302,4255,4227,4244,4416,4285,4275,4366,4305,4356,4364,4450,4452,4479,4517,4519,4680,4661,4660,4623,4695,4779,4566,4553,4649,4687,4731,4680,4634,4533,4471,4406,4447,4382,4338,4415,4422,4417,4301,4370,4405,4452,4494,4489,4491,4454,4614,4454,4572,4639,5039,4947,4257,4295,4642,4630,4561,4692,4793,4389,4395,4439,4451,4420,4432,4686,4664,4678,4535,4778,4647,4985,4826,4701,4636,4757,4658,4609,4626,4760,4742,4742,4716,4817,4697,4652,4896,4867,4886,4922,4869,4836,4849,4825,4760,4739,4802,4770,4811,4819,4876,4962,4896,4887,4967,4830,4876,4703,4562,4558,4554,4583,4652,4742,4800,4924,4935,4971,4891,4784,4779,4647,4671,4617,4583,4616,4679,4732,4706,4742,4774,4842,4833,4902,4883,4891,4932,4931,4859,4893,4914,4913,4889,4874,4859,4865,4860,4911,4920,4902,4955,4965,4957,4931,4996,5011,5056,5064,5102,5088,5079,5095,5109,5125,5136,5120,5107,5142,5147,5124,5289,5333,5586,5488,5479,5459,5454,5432,5445,5439,5395,5329,5427,5443,5461,5453,5459,5483
"24","15","  Nondurable goods industries","KS30NW0",37187,37295,37366,37828,38413,38152,38230,38898,39256,39706,39925,40167,39445,39873,39575,40107,40225,39979,39882,39313,39131,39039,39558,39238,39437,39598,39675,40731,41151,40906,40391,39704,39859,40410,40877,41141,40730,40792,40731,41195,40996,41469,41887,41386,41226,42115,41627,41399,41511,41222,40783,40951,40986,40418,40219,40496,41116,40325,39774,39973,40366,40232,40093,39969,40052,39871,40445,41291,41449,41122,40987,40735,40419,40815,40936,40613,40604,41082,41498,41517,41351,41351,41781,40752,40789,41170,41522,41671,40933,41603,40996,41175,40572,40593,40701,41229,40487,41495,41988,41243,40689,41276,41319,41587,42148,42524,42643,42228,43991,42521,42654,43765,42582,44629,44445,44598,44021,44260,44681,44281,44343,44619,44945,44954,45593,45897,45637,45387,45907,46367,47109,47926,50258,51279,50844,50051,50947,50256,51071,50873,50404,48013,47206,45400,46158,45521,46149,45751,45635,45364,44830,45322,45248,45411,45354,45350,44789,44971,45167,44943,43923,43956,44111,44817,44586,45123,44926,45685,45468,45267,44866,46615,46279,46774,46383,45546,45477,46257,46446,46550,47262,47482,47106,46151,46835,46836,45869,46390,47938,47144,47345,47074,46672,47186,47245,48222,47315,47100,47396,47263,46989,46692,46398,46705,46652,46987,47181,47813,48529,48456,48129,48362,47914,46845,46269,45004
"25","16","    Food manufacturing","KS311W0",6611,6704,6612,6654,6801,6719,6687,6802,6768,6844,6853,6808,6626,6621,6469,6576,6602,6513,6505,6553,6412,6358,6364,6338,6429,6458,6444,6418,6368,6404,6406,6338,6426,6423,6541,6502,6502,6558,6651,6690,6770,6719,6707,6681,6684,6450,6555,6666,6664,6617,6552,6468,6455,6450,6251,6323,6397,6472,6498,6350,6394,6435,6285,6312,6320,6396,6533,6520,6422,6443,6421,6485,6372,6547,6617,6629,6595,6604,6647,6550,6559,6381,6319,6404,6413,6337,6298,6314,6328,6302,6343,6393,6333,6259,6179,6365,6051,6350,6418,6465,6451,6294,6233,6289,6330,6438,6516,6480,6501,6440,6430,6333,6393,6549,6533,6514,6401,6921,6804,6655,6645,6666,6619,6621,6694,6685,6806,6885,6806,6643,6522,6667,6831,6742,6689,6713,6671,6572,6525,6521,6736,6795,6732,6646,6760,6702,6976,6740,6718,6669,6675,6588,6625,6756,6687,6664,6531,6530,6491,6347,6367,6414,6389,6539,6566,6665,6667,6637,6521,6577,6471,6522,6570,6613,6665,6596,6611,6608,6708,6750,6755,6652,6671,6719,6749,6780,6747,6766,6616,6680,6694,6725,6826,6898,6875,7001,6793,6726,6723,6756,6933,6745,6776,6815,6797,6721,6914,6810,6866,6865,7037,6946,6916,6672,6780,6813
"26","17","    Beverage and tobacco product manufacturing","KS312W0",1004,1061,1203,1204,1348,1334,1480,1726,1769,1790,1727,1861,1873,1936,2033,2087,2015,2038,1989,1719,1578,1630,1712,1870,1919,1973,1882,1928,1865,1892,1807,1719,1554,1722,1678,1727,1841,1860,1854,2041,2024,2153,2213,2150,2160,2181,2184,2327,2256,2378,2269,2368,2408,2445,2557,2635,2654,2615,2609,2568,2651,2633,2607,2565,2536,2490,2431,2529,2647,2609,2596,2533,2481,2471,2412,2497,2470,2400,2516,2472,2565,2593,2619,2614,2612,2552,2425,2366,2392,2418,2301,2581,2652,2425,2245,2360,2401,2322,2313,2255,2439,2493,2514,2394,2356,2723,2777,2747,2693,2711,2664,2690,2599,2647,2623,2672,2609,2701,2769,2747,2688,2815,2829,2879,2899,2809,2828,2815,2804,2798,2815,2789,2825,2788,2763,2764,2744,2756,2762,2857,2907,2811,2815,2870,2964,3104,3219,3276,3295,3406,3382,3480,3555,3607,3549,3562,3522,3528,3509,3433,3500,3549,3521,3369,3203,3279,3279,3293,3294,3330,3322,3362,3389,3373,3432,3366,3288,3400,3417,3410,3438,3492,3582,3654,3664,3686,3776,3788,3870,4108,4084,4088,4112,4069,4024,4059,4070,4087,4021,3989,4043,4034,4130,4150,4160,4110,4179,4141,4111,4112,4089,4416,4440,4255,4133,4152
"27","18","    Textile mills","KS313W0",1892,1864,1827,1858,1853,1818,1829,1840,1833,1847,1840,1816,1800,1804,1804,1807,1747,1782,1810,1815,1814,1783,1781,1769,1777,1750,1780,1781,1758,1733,1756,1724,1735,1757,1778,1762,1743,1716,1697,1724,1725,1715,1637,1664,1648,1649,1620,1631,1683,1658,1619,1616,1548,1585,1540,1512,1526,1528,1545,1512,1506,1525,1505,1470,1460,1457,1443,1469,1379,1396,1388,1425,1453,1434,1406,1406,1455,1451,1436,1434,1426,1413,1395,1410,1408,1395,1412,1430,1387,1367,1371,1382,1393,1389,1385,1378,1375,1375,1357,1317,1330,1358,1364,1364,1360,1419,1397,1358,1383,1384,1412,1404,1354,1347,1364,1353,1348,1347,1329,1315,1311,1309,1244,1250,1233,1260,1263,1252,1243,1237,1231,1220,1202,1148,1179,1155,1170,1132,1172,1173,1161,1145,1151,1101,1067,1050,1051,1029,1030,995,970,975,966,970,978,967,969,961,955,963,964,967,959,965,975,965,965,960,959,962,957,974,973,970,978,970,963,985,976,968,954,950,946,933,921,934,929,942,945,936,943,938,925,934,940,941,936,942,935,924,927,933,926,945,986,956,958,962,958,957,967,963,969,964,965,962
"28","19","    Textile product mills","KS314W0",785,823,827,821,848,853,846,847,859,858,848,871,864,870,864,860,858,853,849,854,836,835,830,830,807,820,847,855,877,893,879,873,880,888,890,896,894,902,901,894,901,885,910,910,933,920,923,916,908,906,894,910,897,913,898,890,892,873,874,874,857,861,850,845,833,817,807,813,793,794,786,770,778,787,801,786,790,796,798,798,786,768,756,766,776,762,764,761,765,765,759,762,752,761,751,756,760,756,763,755,765,772,773,773,780,796,791,788,787,779,781,774,760,757,762,748,748,737,733,744,730,736,717,725,729,736,732,728,734,744,757,742,745,755,747,741,738,734,745,751,744,764,743,735,700,687,668,649,636,646,650,645,649,639,641,638,634,632,632,636,635,638,625,633,633,624,633,640,646,639,642,637,627,620,620,627,618,620,616,625,615,615,617,609,618,617,625,624,629,639,641,638,640,643,627,629,618,622,622,616,616,608,610,613,611,603,610,610,606,609,609,610,612,609,604,603
"29","20","    Apparel manufacturing","KS315W0",2002,2038,2053,2071,2088,2137,2192,2163,2150,2180,2197,2252,2190,2122,2101,2090,2149,2106,2118,2140,2123,2093,2102,2064,2017,2041,2050,2140,2138,2216,2212,2264,2218,2321,2314,2278,2314,2334,2337,2256,2286,2275,2310,2273,2262,2202,2236,2170,2198,2121,2054,2087,2023,1912,1804,1740,1731,1731,1700,1617,1638,1650,1643,1605,1704,1724,1743,1743,1624,1642,1694,1690,1712,1697,1691,1676,1652,1678,1687,1651,1614,1623,1661,1641,1621,1613,1606,1614,1593,1594,1592,1588,1587,1571,1553,1522,1519,1512,1514,1504,1495,1482,1483,1493,1501,1508,1476,1465,1460,1459,1512,1461,1461,1419,1414,1413,1401,1417,1433,1445,1404,1421,1440,1428,1417,1415,1413,1402,1400,1392,1379,1380,1416,1350,1331,1335,1330,1321,1317,1313,1301,1299,1290,1291,1275,1272,1268,1256,1249,1251,1250,1242,1246,1249,1257,1251,1259,1256,1253,1253,1263,1280,1274,1273,1278,1270,1268,1262,1265,1271,1261,1251,1261,1264,1264,1272,1251,1254,1256,1257,1255,1255,1269,1263,1265,1265,1272,1275,1275,1267,1270,1270,1249,1248,1240,1243,1239,1236,1234,1235,1226,1241,1238,1259,1256,1258,1260,1266,1270,1274,1274,1270,1276,1280,1280,1275
"30","21","    Leather and allied product manufacturing","KS316W0",375,388,400,409,405,405,384,387,395,407,433,402,406,416,394,392,387,376,382,372,370,372,380,383,378,374,359,372,365,373,375,372,390,405,398,383,375,376,356,359,364,377,363,371,390,365,370,358,366,346,356,345,340,333,327,332,332,322,321,312,270,358,335,321,304,297,303,271,276,262,289,283,270,267,270,265,268,265,269,260,266,268,276,263,266,259,252,250,247,244,238,244,246,253,252,258,260,261,262,263,260,260,250,273,274,246,252,257,278,271,267,265,262,263,259,259,254,244,247,247,251,254,252,255,254,257,240,239,243,244,243,247,242,236,239,293,282,270,261,260,258,256,253,239,229,226,230,225,224,223,228,225,226,223,225,227,236,230,226,224,226,232,234,235,237,240,237,242,242,244,242,245,245,247,241,246,244,247,248,251,244,240,238,241,241,245,250,233,240,241,247,241,246,244,237,235,233,233,237,232,228,231,232,229,228,225,226,227,225,224,222,219,219,218,216,217
