"","Table 4AU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","2","  Durable goods","STMDW0",72918,74823,76047,77780,78965,79616,80683,81982,83730,84071,85456,86701,85282,84799,84503,81848,81027,78695,78588,77467,77832,78380,79380,81002,84054,85851,88929,91287,93191,94054,93997,93888,92688,93117,91557,90684,89617,90065,90638,92372,92707,90969,93512,94876,97058,99270,100193,102885,103827,106798,108178,110627,111269,111532,110429,110280,111453,110482,110682,108953,106242,105830,104295,102932,99863,99802,99605,101398,104200,108800,112397,114883,114421,114305,114862,112361,112990,111939,110458,108541,108146,108798,111338,113064,114118,115732,115829,120255,122851,125937,126399,128012,129314,129754,131589,129671,128050,126509,124245,121677,119178,116033,113971,113391,113120,113837,114916,113832,115250,116205,117253,116975,117879,116616,116458,115648,116869,117997,118153,120341,119938,119147,119427,121678
"12","3","    Lumber and wood products","ST24W0",1466,1658,1762,1605,1805,1812,1686,1629,1546,1748,1969,2044,1973,2065,2228,2227,2439,2337,2252,2139,2100,2025,2072,2207,2359,2277,2267,2337,2470,2460,2542,2659,2656,2690,2720,2403,2407,2476,2544,2544,2398,2363,2532,2549,2520,2610,2604,2642,2720,2738,2611,2724,2870,2667,2515,2668,2653,2651,2570,2524,2507,2360,2365,2155,2208,2389,2474,2456,2473,2436,2508,2587,2558,2778,2749,2604,2635,2558,2609,2699,2857,2587,2626,2672,2692,2687,2590,2784,2606,2681,2632,2610,2674,2669,2857,2669,2513,2588,2598,2514,2477,2486,2381,2365,2467,2369,2479,2521,2527,2512,2529,2536,2567,2572,2581,2692,2656,2807,2778,2610,2694,2696,2750,2673
"13","4","    Furniture and fixtures","ST25W0",846,869,838,896,892,885,915,900,943,979,1033,1048,1101,1119,1126,1144,1127,1202,1223,1148,1259,1272,1325,1286,1363,1382,1363,1331,1369,1348,1324,1291,1240,1166,1161,1170,1202,1267,1241,1297,1283,1221,1338,1385,1387,1436,1484,1498,1534,1519,1452,1514,1455,1425,1484,1486,1516,1560,1513,1542,1478,1495,1511,1434,1406,1429,1455,1539,1591,1623,1687,1746,1768,1810,1937,1672,1830,1761,1646,1701,1686,1715,1710,1749,1808,1776,1809,1803,1837,1829,1761,1730,1738,1764,1771,1684,1576,1553,1575,1582,1548,1568,1525,1561,1707,1694,1596,1546,1603,1559,1573,1567,1519,1575,1563,1594,1543,1555,1589,1557,1569,1534,1581,1575
"14","5","    Stone, clay, and glass products","ST32W0",1132,1185,1144,1104,1047,905,871,1145,1156,1215,1189,1152,1151,1059,1156,1121,1160,1150,1165,1165,1103,1211,1238,1248,1284,1256,1288,1331,1322,1295,1403,1426,1449,1426,1378,1317,1349,1441,1426,1489,1430,1398,1452,1450,1499,1513,1528,1554,1603,1638,1555,1538,1554,1577,1559,1540,1687,1612,1752,1653,1593,1528,1561,1554,1469,1626,1525,1597,1601,1637,1672,1727,1778,1810,1919,1788,1773,1704,1707,1711,1637,1681,1729,1786,1817,1807,1805,1766,1788,1811,1756,1729,1677,1669,1646,1720,1739,1701,1736,1749,1718,1706,1725,1680,1669,1658,1683,1598,1542,1485,1396,1555,1630,1754,1774,1704,1727,1743,1712,1784,1816,1709,1839,1791
"15","6","    Primary metals","ST33W0",9715,10460,10594,10738,10523,10087,10146,10517,10481,10765,10818,10809,10477,10963,11082,11606,11917,11398,11441,11309,11854,12282,12583,12609,12615,12283,12371,12240,12372,12153,12301,12725,13717,14491,14144,14441,14430,14660,14713,15029,15071,14898,15042,14897,14709,15077,15580,16067,15335,15751,16117,16156,15453,16378,15269,15547,16375,16091,16419,16453,15904,14952,14689,13917,13125,12874,13192,13492,13668,14435,14172,13762,13498,12716,12202,11765,11651,11450,11352,11513,11215,11331,11546,12029,11995,12003,12351,12532,13022,13163,12763,12582,12156,12089,12439,12254,12510,12544,12238,11897,11678,11917,11488,11306,11425,11052,11644,11546,11467,11513,11440,11659,11423,11422,11412,11291,11503,11659,11712,12053,11895,11837,11781,11893
"16","7","    Fabricated metals","ST34W0",9382,9425,9247,9471,9310,9489,9572,10040,10411,10487,10260,10216,10033,10289,10391,9972,9650,9580,9538,9416,9761,9966,9549,9923,10481,10685,10736,10997,11006,11196,11100,11622,10985,11132,11468,11479,11382,11463,11550,11919,11700,11560,12376,12575,13402,13431,13351,13230,13191,13535,13223,13247,13219,12866,12752,13051,12631,12339,12155,12025,11951,11755,11449,10580,10473,10686,10880,10821,10973,11334,11401,11419,11287,11096,11227,11576,11326,11631,11734,11644,12037,11695,11716,11697,11716,11590,11864,11958,11881,11813,11868,11817,11891,11550,11296,11508,10922,10919,10958,10640,10809,10702,10778,10398,10507,10427,10429,9994,10191,10095,10163,10364,10581,10593,10628,10511,10457,10477,10629,10657,10736,10974,11113,11176
"17","8","    Industrial machinery","ST35W0",7935,8037,7974,8008,8023,7932,7981,8158,8503,8568,8817,8967,9108,9113,9110,8880,8608,8614,8498,8363,8237,8443,8740,9138,10028,10877,11670,12301,13072,13472,13730,13751,13494,13062,12907,12555,12249,12257,12320,12570,12744,12715,12836,13109,13532,13924,14244,14763,15070,15413,15775,16226,16607,16776,16790,16763,16829,16465,16696,16462,15709,15576,14962,14292,13865,13678,13543,13597,13788,14335,14416,14821,14731,14458,14768,14521,14473,14204,13929,13779,13738,14108,14201,14049,14342,14642,14739,15049,15279,15848,15762,16044,15749,15434,15709,15499,15504,15509,14928,15017,15045,14840,15122,15049,14659,15033,15921,16186,17021,17625,17940,17753,19293,19499,19477,19719,20372,20293,19798,20394,20519,20786,20707,20997
"18","9","    Electronic machinery","ST36W0",3912,4034,4178,4371,4484,4604,4657,4761,4922,5082,5185,5091,4937,4870,4876,4896,4704,4568,4467,4437,4448,4357,4509,4528,4993,5325,5679,6076,6240,6255,6193,5944,5592,5639,5571,5486,5534,5595,5605,5934,6021,6300,6535,6802,7104,7276,7471,7662,8101,8416,8870,9161,9184,9034,9048,9077,9310,9497,9607,9456,9298,9329,9146,9151,9001,9183,9119,9573,9661,9788,10160,10226,10097,10142,9986,9595,9456,9283,9148,8925,8817,8913,8968,9112,9025,8998,9079,9223,9325,9367,9361,9388,9377,9362,9404,9334,9230,9125,8889,8801,8747,8657,8903,9028,9217,9326,9376,9380,9659,10068,10450,10695,10822,10571,10714,11134,11428,11762,11846,11703,11812,11920,12327,12632
"19","10","    Transportation","ST37W0",40204,41598,43018,44527,46171,47296,48452,48575,49291,48581,49613,51150,49506,48041,47336,44459,44329,42042,42275,41335,41328,41079,41131,41818,41923,41639,43030,43133,43324,43568,42559,41780,41153,41805,40492,40176,39272,39043,39151,39081,39345,36854,37866,38214,38656,39864,39283,40840,41117,42916,43230,44866,45232,44866,44977,44006,44319,44116,43400,42020,41285,42229,42639,44237,42441,41875,41569,42155,44403,47331,50591,51911,51353,51646,51458,49896,51193,50599,48959,46943,46628,46622,48661,49951,51172,53413,53082,56379,58100,60505,61861,64576,66666,68108,69542,68088,67456,65634,64603,62168,59525,56498,53611,53392,53178,53668,53300,52454,52515,52207,52356,51569,50049,48546,47905,45652,45411,46115,46431,48308,47901,46627,45673,46665
"20","11","      Motor vehicles","ST371W0",6759,6472,6673,6658,6662,6688,6951,6832,6919,6808,7055,6975,6756,6320,6609,6570,6510,6167,6247,6289,6168,6440,6450,6500,6840,7155,7707,7461,7584,7261,7245,7016,6899,7190,6525,6387,6531,6707,6906,7528,7615,7971,7810,8135,8224,8346,8308,8611,8677,8508,7942,7505,7027,6602,6917,6331,5969,5866,5756,5394,5580,5545,5279,4805,5045,5252,5460,5754,5793,5782,5858,5866,5666,5714,5531,5251,5457,5387,4944,5218,5089,5091,5268,5319,5265,5324,5090,5503,5444,5401,5428,5184,5053,5105,5460,5491,5288,5199,5216,5034,5130,5232,5210,5024,5328,5708,5396,5803,5808,5969,6005,6372,6645,6729,6353,6264,5882,5796,6311,6251,6143,6143,6897,6210
"21","12","      Other","ST37XW0",33075,34787,35998,37531,39181,40285,41161,41414,42040,41448,42217,43850,42434,41437,40411,37557,37492,35567,35713,34715,34844,34285,34327,34964,34688,34047,34835,35213,35270,35879,34878,34351,33850,34174,33614,33455,32361,31920,31796,30997,31165,28202,29430,29399,29746,30836,30287,31519,31720,33761,34759,36962,37910,38041,37777,37477,38221,38136,37534,36554,35607,36615,37333,39481,37404,36610,36076,36353,38578,41547,44758,46079,45734,45977,45985,44711,45798,45275,44100,41763,41586,41577,43446,44693,45988,48190,48109,50990,52794,55273,56614,59623,61878,63280,64343,62837,62422,60677,59616,57352,54581,51420,48533,48508,47973,48065,48025,46743,46799,46321,46432,45259,43446,41846,41595,39422,39576,40372,40155,42107,41993,40619,39224,40544
"22","13","    Instruments","ST38W0",3662,3643,3689,3706,3646,3662,3673,3724,3774,3792,3760,3773,3804,3866,3845,3738,3704,3663,3703,3743,3748,3721,3825,3860,3904,3966,3991,4145,4140,4219,4281,4342,4344,4322,4222,4224,4235,4291,4380,4476,4466,4434,4561,4616,4719,4759,4826,4875,4903,4931,4964,4980,5104,5131,5062,5121,5124,5108,5125,5127,5083,5076,5034,5004,5011,5128,5099,5232,5396,5650,5940,6336,6607,6886,7125,7202,7243,7374,7564,7606,7609,7748,7971,8141,8006,7782,7688,8086,8386,8467,8466,8133,8295,8350,8351,8249,7963,8001,7972,7960,7856,7679,7658,7619,7469,7454,7332,7130,6995,7062,7037,7007,7241,7305,7497,7863,8015,7912,7992,7877,7892,7934,8088,8326
"23","14","    Other manufacturing","ST39W0",1311,1273,1273,1353,1464,1451,1455,1439,1443,1483,1552,1556,1579,1664,1637,1622,1705,1698,1746,1806,1769,1985,1937,1926,1907,1865,1834,1962,1946,1856,1932,1812,1743,1741,1693,1755,1768,1760,1866,1930,1971,2034,2041,2100,2081,2016,2069,2101,2070,2035,1960,1873,1903,2032,1938,1794,1863,1787,1802,1845,1814,1814,1739,1698,1523,1475,1562,1617,1719,1719,1646,1710,1735,1735,1763,1697,1689,1579,1711,1710,1683,1586,1704,1682,1717,1798,1572,1774,1717,1825,1755,1637,1714,1689,1766,1695,1689,1683,1631,1615,1627,1628,1594,1591,1568,1668,1589,1699,1704,1587,1631,1486,1404,1371,1300,1283,1305,1228,1252,1228,1199,1200,1183,1187
"24","15","  Nondurable goods","STMNW0",17768,17988,17875,18201,18223,18743,19188,19730,20099,19990,20442,20370,19960,20560,20312,20597,20919,21423,21571,21911,22665,22215,22484,22540,23024,22735,22180,22210,21982,22554,22471,22740,22402,22881,23648,24076,24973,25475,25698,25828,26203,26347,26968,27491,27298,27420,27640,28131,28164,28652,29228,28750,29562,29244,29020,29398,29293,28814,28459,28442,28327,28470,28316,27384,27724,27936,28753,28570,29376,30179,30001,29748,28927,28689,28877,29668,28714,29519,29318,30352,31033,31097,30865,31109,31395,31778,31646,32149,32451,32650,32753,32555,32869,32983,33213,33074,32664,33678,34280,34235,34815,35059,35306,35415,35510,35319,35328,35268,35750,35934,36103,36175,36277,36547,36667,36575,36910,37133,37133,37115,37039,37543,38899,39726
"25","16","    Food and kindred products","ST20W0",2640,2649,2679,2718,2748,2824,2909,3003,3023,3025,3102,3042,3178,3275,3160,3167,3134,3207,3341,3524,3600,3668,3713,3662,3801,3761,3620,3715,3611,3666,3590,3466,3410,3697,3738,3950,4186,4185,4560,4443,4362,4308,4307,4326,4222,4283,4483,4730,4605,4957,5261,5070,5327,5130,4943,4796,5003,4912,4729,4791,4487,4560,4623,4833,4689,4573,4472,4508,4496,4561,4727,4693,4560,4520,4426,4419,4566,4515,4512,4443,4531,4847,4810,4794,4774,5105,5215,5121,5201,5147,5191,5209,5315,5501,5518,5734,5681,5763,6006,5996,5896,6031,6226,6181,6272,6328,6321,6548,6535,6670,6634,6552,6696,6914,7002,7113,7326,7479,7669,7572,7410,7642,8102,8237
"26","17","    Tobacco products","ST21W0",161,132,128,142,188,312,220,147,138,67,114,127,54,55,96,116,152,208,132,132,97,89,112,116,178,185,137,137,134,99,115,146,105,128,146,134,171,190,166,129,158,163,161,160,203,251,176,212,126,143,154,139,129,164,211,248,246,275,310,231,253,189,294,204,284,173,145,154,142,161,152,187,153,176,143,200,193,216,213,190,168,143,132,187,208,256,238,195,238,210,206,177,147,146,128,147,134,141,168,141,203,140,146,167,181,231,229,223,261,259,307,278,265,266,384,270,202,182,180,304,275,309,439,482
"27","18","    Textile mill products","ST22W0",2106,2147,2204,2147,2211,2207,2222,2297,2378,2396,2398,2414,2389,2409,2443,2468,2519,2553,2598,2546,2613,2608,2569,2565,2533,2417,2336,2289,2280,2304,2322,2337,2324,2345,2372,2355,2432,2489,2477,2462,2552,2621,2657,2778,2755,2757,2807,2740,2750,2696,2691,2696,2739,2704,2682,2691,2690,2692,2669,2569,2459,2370,2309,2245,2312,2446,2556,2700,2745,2651,2675,2625,2541,2492,2479,2566,2487,2553,2527,2526,2720,2653,2664,2620,2566,2652,2541,2654,2653,2642,2633,2615,2656,2565,2565,2512,2476,2498,2547,2483,2488,2557,2574,2597,2547,2597,2611,2681,2735,2752,2768,2770,2818,2757,2769,2698,2708,2707,2708,2721,2668,2698,2700,2726
"28","19","    Apparel products","ST23W0",1386,1346,1326,1426,1415,1514,1489,1531,1551,1575,1529,1559,1420,1542,1565,1568,1662,1631,1716,1716,1845,1745,1743,1860,1935,1876,1841,1863,1762,1729,1724,1747,1472,1597,1762,1900,2042,2244,2023,1994,2023,2036,2070,2154,2167,2117,2129,2167,2225,2231,2260,2115,2132,2103,1984,2066,1995,2007,2062,2139,2135,2116,2043,1989,2037,2142,2327,2236,2521,2421,2241,2335,2239,2244,2573,2372,2294,2316,2194,2377,2553,2437,2389,2471,2422,2574,2389,2547,2527,2513,2668,2467,2405,2362,2452,2407,2258,2324,2318,2370,2420,2428,2398,2445,2513,2463,2420,2365,2373,2416,2468,2531,2597,2496,2401,2350,2188,2182,2176,2166,2169,2239,2289,2380
"29","20","    Paper and allied products","ST26W0",847,886,842,833,869,896,910,900,896,870,935,900,854,913,850,930,883,916,941,941,1014,862,981,1009,1090,1109,1091,1076,996,1060,1139,1231,1130,1127,1098,1111,1172,1247,1205,1200,1296,1250,1281,1346,1236,1309,1321,1284,1320,1296,1239,1345,1389,1415,1423,1424,1464,1466,1469,1459,1392,1477,1526,1395,1445,1515,1501,1553,1597,1600,1681,1764,1792,1767,1743,1774,1703,1670,1772,1771,1800,1802,1795,1751,1727,1720,1816,1854,1837,1881,1849,1824,1846,1808,1738,1771,1788,1789,1746,1754,1745,1690,1732,1774,1779,1791,1809,1769,1769,1810,1779,1762,1798,1822,1851,1871,1920,1940,1913,1876,1876,1861,1904,1924
"30","21","    Printing and publishing","ST27W0",1775,1818,1665,1733,1568,1564,1770,1887,1867,1879,1997,1905,1874,1940,1816,1812,1915,1897,1825,1904,2103,1986,2055,1997,1958,2028,2004,2001,1917,1909,1902,1848,1887,1827,1848,1893,1892,1940,1957,2045,2151,2040,2148,2111,2211,2316,2253,2122,2260,2215,2153,2232,2102,2067,2083,2128,2194,2153,2184,2147,1908,2080,2097,2093,2086,2215,2288,2283,2379,2387,2477,2591,2583,2381,2384,2631,2604,2692,2553,2683,2822,2909,2880,2769,2811,2792,2858,2853,2814,2875,2798,2832,2847,2901,2824,2823,2764,2786,2782,2884,3029,3069,3004,2888,2819,2645,2643,2675,2729,2816,2783,2747,2780,2772,2783,2629,2718,2915,2752,2744,2673,2720,2943,2935
"31","22","    Chemical and allied products","ST28W0",3498,3493,3482,3613,3673,3722,3907,4005,4246,4240,4386,4386,4083,4284,4320,4424,4600,4754,4652,4745,4781,4674,4714,4795,4894,4910,4939,4813,5061,4975,4847,5135,5196,5408,5483,5282,5339,5470,5610,5769,5854,5882,5974,6070,5994,6020,6242,6448,6441,6381,6725,6220,6705,6665,6628,6807,7046,6760,6682,6552,6474,6695,6427,6195,6197,6062,6236,6487,6445,7268,7514,7046,7160,7250,7360,7123,6842,7023,7111,7290,7336,7428,7307,7314,7725,7439,7372,7565,7621,7629,7935,7938,8024,8142,8126,8290,8369,8591,8722,8919,9022,9250,9373,9585,9689,9673,9748,9804,9819,9725,9797,9733,9611,9709,9863,9968,10091,10155,10059,10002,9982,10003,10071,10694
"32","23","    Petroleum products","ST29W0",2219,2551,2522,2754,2667,2865,2965,2907,3064,2633,2731,2911,3175,3107,3024,3178,2766,3296,3398,3372,3385,3321,3421,2989,2904,2694,2322,2484,2825,3903,3998,4283,4647,4105,4708,4995,5085,4831,4727,4760,4606,4950,5406,5427,5265,4919,4701,4964,5229,5412,5557,5756,5914,6094,6208,6346,5713,5581,5356,5570,6366,6040,6150,5747,6112,5960,6228,5510,5799,5785,5428,5308,4706,4827,4431,5393,4569,5595,5296,6150,5984,5758,5770,6100,6078,5849,6051,6249,6360,6736,6253,6493,6776,6679,7147,6534,6393,7299,7421,6884,7505,7231,7237,6927,6965,6846,6889,6144,6876,6501,6424,6915,6423,6645,6474,6776,6801,6473,6657,6737,7096,7268,7777,7957
"33","24","    Rubber and plastic products","ST30W0",1154,1204,1212,1184,1159,1237,1220,1309,1261,1297,1352,1325,1360,1360,1341,1326,1360,1387,1338,1387,1410,1449,1460,1536,1637,1637,1685,1696,1609,1608,1614,1609,1612,1672,1685,1631,1728,1753,1855,1913,1994,2003,2024,2080,2082,2146,2141,2195,2143,2226,2127,2152,2150,1949,2016,2079,2163,2148,2120,2122,2199,2234,2168,1981,1798,1977,2101,2155,2258,2525,2273,2276,2242,2236,2363,2292,2306,2172,2220,2317,2218,2157,2195,2324,2345,2408,2327,2339,2455,2417,2410,2355,2345,2363,2407,2409,2385,2456,2603,2562,2526,2513,2488,2573,2529,2596,2511,2528,2473,2537,2613,2633,2690,2686,2628,2710,2775,2708,2740,2722,2742,2822,2853,2843
"34","25","    Leather and leather products","ST31W0",691,667,662,672,653,607,657,675,671,666,653,666,644,622,583,596,557,566,574,590,603,603,596,568,571,597,584,587,600,612,594,547,551,538,566,592,606,574,579,619,581,608,600,620,673,654,628,650,550,596,618,591,625,647,583,576,579,572,596,586,462,540,523,546,606,593,591,584,538,526,530,505,501,443,488,509,470,494,513,488,522,527,503,512,520,514,532,495,522,534,546,551,518,508,467,481,474,462,429,450,412,439,442,466,454,397,430,400,411,406,427,402,423,456,414,373,371,363,386,404,400,404,391,398
