"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2016    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2016 11:31:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","S1       Retail and food services","T070013",80.742,82.374,83.849,85.125,86.817,87.6,86.808,87.863,90.073,90.504,90.182,90.703,92.696,95.242,97.188,98.969,101.892,100,102.295,106.325,107.994,107.984,107.964,105.225
"9","2","S1 Retail trade","T070023",82.985,84.68,86.212,87.461,89.155,89.786,88.655,89.612,91.856,92.038,91.418,91.807,93.751,96.292,98.152,99.76,102.546,100,102.442,106.685,108.195,107.909,107.556,104.097
"10","3","S1   Motor vehicle and parts dealers","T070033",84.147,87.216,90.75,94.077,95.784,96.222,95.818,96.725,97.622,98.545,98.554,96.949,96.821,98.609,99.579,99.921,99.237,100,104.668,107.714,109.293,110.101,110.372,110.639
"11","4","S4     Automobile dealers","T070043",84.994,88.663,92.717,96.462,98.379,98.903,98.453,99.446,100.323,101.121,100.962,98.956,98.655,100.384,100.965,100.961,99.554,100,105.209,108.234,109.71,110.547,110.846,111.106
"12","5","S4     Other motor vehicle dealers","T070053",81.966,83.151,85.516,87.872,88.98,88.881,89.068,90.462,91.929,93.02,93.098,92.759,93.529,95.588,97.826,98.708,99.423,100,102.519,105.294,106.882,108.095,108.577,108.98
"13","6","S2     Automotive parts, accessories and tire stores","T070063",77.902,77.048,76.991,77.455,77.799,77.807,77.485,77.439,78.175,80.09,81.583,82.712,83.479,85.596,89.058,92.147,96.642,100,101.813,105.189,107.642,107.937,107.795,108.029
"14","7","S1   Furniture, home furnishings, electronics and appliance stores","T070073",155.661,157.622,161.911,162.338,161.994,159.446,154.491,147.224,141.937,134.883,128.952,122.752,118.812,115.119,111.547,107.59,103.963,100,94.498,90.57,87.059,83.178,79.88,76.216
"15","8","S1     Furniture and home furnishings stores","T070083",99.289,100.363,102.595,103.445,104.517,104.794,105.358,105.105,105.323,104.589,103.206,101.221,100.825,100.885,101.389,100.708,100.172,100,96.345,95.344,94.776,92.894,90.659,89.429
"16","9","S4       Furniture Stores","T070093",101.164,102.768,105.446,106.562,107.911,107.857,107.697,107.353,106.967,105.321,103.297,101.977,101.761,101.044,101.877,101.088,100.12,100,95.895,94.748,95.489,93.964,91.192,90.046
"17","10","S4       Home furnishings stores","T070103",97.178,97.486,99.102,99.597,100.309,101.015,102.513,102.373,103.331,103.714,103.115,100.347,99.742,100.707,100.832,100.274,100.231,100,96.878,96.05,93.956,91.674,90.038,88.729
"18","11","S1     Electronics and appliance stores","T070113",248.257,251.901,260.118,259.339,255.691,247.073,230.531,209.503,193.775,175.367,161.822,149.016,139.758,130.821,122.01,114.243,107.422,100,92.926,86.612,80.803,75.418,71.35,65.91
"19","12","S1   Building material and garden equipment and supplies dealers","T070123",86.869,94.193,96.641,96.663,97.784,100.044,97.053,97.029,96.494,95.8,94.855,94.694,97.861,99.818,100.658,100.867,100.891,100,99.841,100.991,102.794,104.278,104.656,104.02
"20","13","S2     Building material and supplies dealers","T070133",85.633,94.08,96.534,96.231,96.474,99.205,96.788,97.247,96.137,95.031,94.35,94.23,97.849,99.919,100.782,100.965,100.99,100,100.066,101.32,103.411,105.225,105.853,105.352
"21","14","S3     Lawn and garden equipment and supplies stores","T070143",94.892,95.426,97.852,99.948,106.738,106.033,99.529,96.536,99.707,101.847,98.967,98.488,98.122,99.153,99.784,100.216,100.237,100,98.444,98.993,99.235,98.986,98.069,96.752
"22","15","S1   Food and beverage stores","T070153",65.333,66.408,67.345,68.626,70.953,72.441,73.618,75.479,77.581,79.955,81.346,82.978,85.847,87.656,89.189,92.644,98.371,100,101.152,105.367,108.279,109.496,111.764,112.488
"23","16","S1     Grocery stores","T070163",64.942,66.044,67.031,68.357,70.711,72.179,73.371,75.217,77.301,79.706,81.075,82.717,85.641,87.497,89.045,92.577,98.489,100,101.204,105.683,108.758,109.965,112.349,113.083
"24","17","S3     Specialty food stores","T070173",65.647,66.795,68.044,69.436,71.983,73.581,74.738,75.97,77.639,80.156,81.432,83.247,86.27,87.868,89.36,93.029,99.242,100,100.462,105.072,107.79,109.047,111.474,112.954
"25","18","S2     Beer, wine, liquor stores","T070183",70.954,71.522,71.439,71.926,73.667,75.399,76.347,78.731,81.307,83.157,84.918,86.317,88.314,89.604,90.955,93.325,96.539,100,100.824,101.706,102.781,104.094,104.992,105.253
"26","19","S1   Clothing and clothing accessories stores","T070193",118.185,117.66,116.283,113.948,112.347,111.65,109.398,107.847,106.426,104.914,102.289,99.625,99.275,98.426,98.601,98.711,99.093,100,99.731,102.206,104.972,105.506,105.225,103.764
"27","20","S2     Clothing stores","T070203",122.744,122.024,120.07,117.119,115.676,115.546,113.332,112.231,111.09,109.04,106.092,103.228,102.683,101.314,100.987,100.354,99.436,100,99.192,101.081,104.144,104.48,104.653,102.969
