"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:56:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","      Gross government fixed investment \1\","A782RX1",264.5,273.6,294,304.5,319.3,338.6,345.7
"9","2","        Federal","A787RX1",73.3,76.8,81,79.5,81.5,89.5,95.1
"10","3","          National defense","A788RX1",45.1,45.6,47.6,48.8,50.8,56.6,61.6
"11","4","          Nondefense","A798RX1",28.2,31.2,33.4,30.7,30.7,32.9,33.5
"12","5","        State and local","A799RX1",191.1,196.7,212.9,225,237.8,249.2,250.9
"13","6","Structures \2\","A760RX1",173.1,172.7,183.3,189.3,198.5,209.2,210.4
"14","7","  Federal","A801RX1",17.3,17,16.3,13.3,12.4,13.5,14.2
"15","8","    National defense","A808RX1",6.4,5.5,5.2,5,4.4,4.2,4.8
"16","9","      New","A814RX1",6.4,5.5,5.2,5,4.4,4.2,4.8
"17","10","        Residential","B816RX1",1.6,1.5,1.4,1.3,1.4,1.4,1.4
"18","11","        Industrial","B817RX1",0.5,0.3,0.2,0.3,0.4,0.3,0.8
"19","12","        Military facilities \3\","B818RX1",4.3,3.8,3.5,3.4,2.6,2.4,2.7
"20","13","      Net purchases of used structures","B819RX1",0,0,0,0,0,0,0
"21","14","    Nondefense","A830RX1",10.9,11.5,11.1,8.3,8,9.3,9.4
"22","15","      New","A831RX1",11.3,10.7,10.3,9.5,8.9,9.4,9.6
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RX1",2.1,2,1.8,1.6,1.4,1.3,1.7
"25","18","        Commercial","W183RX1",0.8,0.9,0.9,0.8,0.6,0.4,0.5
"26","19","        Health care","W184RX1",1.5,1.1,0.9,0.8,0.7,0.8,0.6
"27","20","        Educational","W185RX1",0.4,0.3,0.3,0.4,0.5,0.7,0.7
"28","21","        Public safety","W186RX1",2.3,2.2,2,1.7,1.2,1.3,0.7
