"","Table 6#13D# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:59:51 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Noncorporate capital consumption allowances","A1700C0",157543,177128,195292,228044,250631,282254
"9","2","Agriculture, forestry, fishing, and hunting","N1701C0",14870,15402,15525,19526,20108,20745
"10","3","  Farms \1\","N1702C0",13095,13364,13507,17551,18141,18748
"11","4","  Forestry, fishing, and related activities","N1703C0",1775,2038,2018,1975,1967,NA
"12","5","Mining","N1704C0",6979,7652,8967,10370,11267,12847
"13","6","Utilities","N1705C0",2882,3128,3226,4529,5433,6194
"14","7","Construction","N1706C0",7217,8312,9455,9585,12978,14990
"15","8","Manufacturing","N1707C0",11357,13418,15319,17351,18738,21101
"16","9","  Durable goods","N1708C0",4373,5368,5462,5441,6382,6907
"17","10","  Nondurable goods","N1709C0",6984,8050,9857,11910,12356,14194
"18","11","Wholesale trade","N1710C0",2355,2678,2993,3317,3906,4511
"19","12","Retail trade","N1711C0",5799,6684,6453,7728,8704,9561
"20","13","Transportation and warehousing","N1712C0",7840,8501,9610,9911,10616,11710
"21","14","Information","N1713C0",16538,20299,22706,31694,36756,44802
"22","15","Finance, insurance, real estate, rental, and leasing","N1714C0",54209,61621,67972,77832,81551,90028
"23","16","  Finance and insurance","N1715C0",4053,3620,4127,5700,6176,7398
"24","17","  Real estate and rental and leasing \2\","N1716C0",50156,58001,63845,72132,75376,82631
"25","18","Professional and business services","N1717C0",10871,11846,12620,14701,16142,18156
"26","19","  Professional, scientific, and technical services","N1718C0",7445,8077,8421,9662,10294,NA
"27","20","  Management of companies and enterprises; administrative and waste management services","N1719C0",3426,3769,4199,5039,5849,NA
"28","21","Educational services, health care, and social assistance","N1720C0",5439,6028,6449,7304,8698,9824
"29","22","  Educational services","N1721C0",391,515,542,569,674,NA
"30","23","  Health care and social assistance","N1722C0",5048,5513,5907,6735,8024,NA
"31","24","Arts, entertainment, recreation, accommodation, and food services","N1723C0",9446,9633,12156,12403,14242,16238
"32","25","  Arts, entertainment, and recreation","N1724C0",2590,2622,3473,3959,4592,NA
"33","26","  Accommodation and food services","N1725C0",6856,7011,8683,8444,9650,NA
"34","27","Other services, except government","N1726C0",1741,1926,1841,1792,1491,1545
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists of NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA
"39","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
