"","Table 6#7D# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:58:50 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Self-employed persons \1\","A4501C0",10341,10121,10233,10133,9963,10329
"9","2","Agriculture, forestry, fishing, and hunting","N4502C0",1007,985,996,975,990,937
"10","3","  Farms \2\","N4503C0",888,869,879,881,907,838
"11","4","  Forestry, fishing and related activities","N4504C0",118,116,117,94,83,99
"12","5","Mining","N4505C0",9,9,9,20,12,8
"13","6","Utilities","N4506C0",0,0,0,0,0,0
"14","7","Construction","N4507C0",1756,1719,1738,1685,1608,1727
"15","8","Manufacturing","N4508C0",327,320,324,355,315,325
"16","9","  Durable goods","N4509C0",210,206,208,227,192,200
"17","10","  Nondurable goods","N4510C0",117,115,116,128,123,125
"18","11","Wholesale trade","N4511C0",233,228,231,222,221,242
"19","12","Retail trade","N4512C0",1016,994,1005,985,955,1020
"20","13","Transportation and warehousing","N4513C0",352,344,348,375,368,357
"21","14","Information","N4514C0",136,134,135,126,142,152
"22","15","Finance and insurance, real estate, rental, and leasing","N4515C0",742,727,735,688,676,735
"23","16","Professional and business services \3\","N4516C0",1954,1912,1933,2009,1869,1915
"24","17","Educational services, health care, and social assistance","N4517C0",1124,1100,1112,1095,1125,1142
"25","18","Arts, entertainment, recreation, accommodation, and food services","N4518C0",672,658,665,637,634,690
"26","19","Other services, except government","N4519C0",1013,991,1002,961,1048,1079
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of active proprietors or partners who devote a majority of their working hours to",NA,NA,NA,NA,NA,NA,NA,NA
"29","their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA
"30","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"31","3. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA
"33","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
