"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 15,2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 12:07:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,"2002","2003"
"8","1","Revenue of nonprofit institutions, IRS \1\","W430RC1",682.1,728.1,764.5,849.1,917.8,987.3,997.1,1079,1149.8,1155.4,".....","....."
"9","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1",251.2,265,278.2,328.3,365.4,391.8,367.9,386.4,385.6,348.5,".....","....."
"10","3","      Capital gains or losses","W432RC1",19.5,23.3,23.6,41.3,59.1,76.2,64.6,77.7,31.5,-0.8,".....","....."
"11","4","      Adjustment for different accounting periods","W433RC1",8.2,4.5,4.8,1.7,7.4,2.8,10.1,9.2,13.5,8,".....","....."
"12","5","      Nonresident institutions","W434RC1",10.5,9.9,12.5,11.4,11.3,11.2,9.9,10.8,11.6,10.9,".....","....."
"13","6","      Government hospitals and schools \2\","W435RC1",50.2,55.1,62.8,67.9,64.8,64.2,67.9,62.1,80.6,85.9,".....","....."
"14","7","      Other out-of-scope activity \3\","W436RC1",137.5,145.3,148.4,178.3,190.6,201.7,173.7,179.6,193.9,186,".....","....."
"15","8","      Transfer receipts from nonprofit institutions \4\","W426RC1",25.4,26.8,26.2,27.7,32.1,35.6,41.8,47,54.5,58.5,"57.8","56.5"
"16","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1",29.5,29.7,32.3,32.5,35.6,33.9,35.3,35.5,39,41.5,".....","....."
"17","10","      Religious organizations \5\","W439RC1",27.6,28.3,31.2,31.2,34,32.4,33.3,33.4,36.9,38.9,".....","....."
"18","11","      Other organizations","W440RC1",1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,".....","....."
"19","12","      Other accounting differences \6\","W428RC1",0.4,-0.1,-0.5,-0.4,-0.2,-0.5,0.1,0.2,0.3,1,".....","....."
"20","13","Equals: IRS-derived nonprofit institution income and receipts from sales","W441RC1",460.3,492.8,518.6,553.3,587.9,629.3,664.5,728.1,803.2,848.5,".....","....."
"21","14","Nonprofit institution income, NIPAs \7\","W400RC1",128.9,132,139.5,147.9,167.5,186.3,200.6,222.7,249.8,239.7,"246.6","252.6"
"22","15","Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs \8\","W392RC1",315.3,337.6,351.9,366.9,382.5,407.4,427.5,447.6,474.7,510.1,"556.5","585.2"
"23","16","Equals: BEA-derived nonprofit institution income and receipts from sales","W442RC1",444.2,469.6,491.4,514.8,550,593.7,628.1,670.3,724.4,749.8,"803.1","837.7"
"24","17","    Gap, IRS less BEA nonprofit institution income and receipts from sales","W443RC1",16.2,23.2,27.2,38.5,38,35.6,36.5,57.8,78.8,98.7,".....","....."
"25","18","Expenses of nonprofit institutions, IRS \1\","W444RC1",633.6,673.6,700.7,764.2,809.7,862,882.7,933.5,1039.5,1116.3,".....","....."
"26","19","Less: Nonprofit institution expenses recorded by the IRS not included in nonprofit institution gross consumption expenditures and current transfer payments","W445RC1",221.7,233.2,241.6,268.8,293.4,309.6,290.9,301.7,344.8,360.4,".....","....."
"27","20","      Adjustment for different accounting periods","W446RC1",7.3,3.8,4.4,0.3,7,3.5,9.4,8.2,15.2,14.6,".....","....."
"28","21","      Nonresident institutions","W447RC1",9.3,9.4,11.7,10.1,10.2,10.5,11.3,10.1,11,10.5,".....","....."
"29","22","      Government hospitals and schools \2\","W448RC1",49.8,57.9,64.4,66.5,62.5,65.5,70.9,68.3,79.1,90.9,".....","....."
"30","23","      Other out-of-scope activity \3\","W449RC1",136,141.5,141.3,170.9,188.1,201.1,164.3,174,191.7,192.9,".....","....."
"31","24","      Transfer payments to nonprofit institutions \4\","W426RC1",25.4,26.8,26.2,27.7,32.1,35.6,41.8,47,54.5,58.5,"57.8","56.5"
"32","25","      Capital consumption adjustment \9\","W429RC1",-6.1,-6.2,-6.4,-6.7,-6.5,-6.6,-6.9,-5.9,-6.6,-7,".....","....."
"33","26","Plus: Nonprofit institution gross consumption expenditures and current transfer payments not recorded by the IRS","W451RC1",25.9,26.7,29.4,28.8,31.5,28.7,28.8,29.2,30.8,32.2,".....","....."
"34","27","      Religious organizations \5\","W453RC1",25.3,26.3,29,29.2,32,30.9,31.9,32.6,35.3,37.2,".....","....."
"35","28","      Other organizations","W454RC1",1.2,1.2,1.3,1.4,1.4,1.8,1.7,1.8,1.7,1.6,".....","....."
"36","29","      Adjustment for other accounting differences \10\","W452RC1",-0.7,-0.7,-0.9,-1.7,-1.9,-4,-4.8,-5.2,-6.2,-6.6,".....","....."
"37","30","Equals: IRS-derived nonprofit institution gross consumption expenditures and current transfer payments","W455RC1",437.7,467.1,488.6,524.2,547.9,581.1,620.6,661,725.5,788.2,".....","....."
"38","31","Nonprofit institution gross consumption expenditures, NIPAs \11\","W413RC1",407.1,430.3,451.7,470.4,494.5,514.7,547.5,576.3,620.3,665.8,"717.9","756.7"
"39","32","Plus: Nonprofit institution current transfer payments, NIPAs \12\","W419RC1",23.6,26.7,29,29.2,33.9,37.2,44.2,49.4,52.3,59.5,"63.8","67.2"
"40","33","Equals: BEA-derived nonprofit institution gross consumption expenditures and current transfer payments","W456RC1",430.7,457,480.7,499.6,528.4,551.9,591.6,625.7,672.6,725.3,"781.6","823.8"
"41","34","    Gap, IRS less BEA nonprofit institution gross consumption expenditures and current transfer payments","W457RC1",7,10.1,7.8,24.7,19.5,29.2,29,35.3,53,62.9,".....","....."
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. For 1996, includes an adjustment to account for some classes of tax-exempt institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","not included in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Primarily reflects adjustment for differences between IRS and BEA in sector definitions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and in treatment of scholarships and fellowships.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes activities of nonprofit institutions serving business, unrelated sales, secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","sales, and sales to business, government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","households through the support of other nonprofit institutions, plus their payments to affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Reflects partial coverage in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","6. Consists of imputed interest received for depositor and insurance services, net insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","settlements, and capital consumption adjustment for rental income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7. Estimates of income and outlays of nonprofit institutions serving households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","are provided in table 2.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","8. Equals table 2.9, line 64.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","9. IRS-reported capital consumption allowance less BEA-estimated consumption of fixed capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for structures and for equipment and software of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","10. Consists primarily of services furnished without payment by financial intermediaries except life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","insurance carriers for depositor and insurance services, less expenditures for computer software investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","11. Equals table 2.9, line 58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","12. Equals table 2.9, line 70.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
