"","Table 5#4#2B# Contributions to Percent Change in Real Private Fi","F2","F3","F4","F5","F6","F7","F8","F9"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:51:54 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.5,3.7
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",2.18,-0.18,2.74,-0.94,-7.31,-1.98
"12","3","  Commercial and health care","W001RW2",1.02,0.56,1.11,-0.96,-2.71,-1.05
"13","4","    Office \1\","W031RW2",1.1,0.45,0.86,-0.62,-2.24,-0.86
"14","5","    Health care","W032RW2",-0.05,-0.02,0.04,-0.12,0.36,0.08
"15","6","      Hospitals and special care","C311RW2",-0.04,-0.13,0.05,-0.02,0.33,-0.03
"16","7","        Hospitals","W033RW2",-0.16,-0.06,0.04,0.1,0.35,0.07
"17","8","        Special care","W034RW2",0.12,-0.06,0.01,-0.12,-0.01,-0.1
"18","9","      Medical buildings","W035RW2",-0.02,0.11,-0.01,-0.09,0.03,0.11
"19","10","    Multimerchandise shopping","W036RW2",0.08,0.21,-0.12,0.11,-0.16,-0.06
"20","11","    Food and beverage establishments","W037RW2",0.02,-0.17,0.02,-0.04,-0.13,0.03
"21","12","    Warehouses","W038RW2",-0.07,0.07,0.08,0.04,-0.51,0.01
"22","13","    Other commercial \2\","W039RW2",-0.06,0.02,0.24,-0.32,-0.04,-0.26
"23","14","  Manufacturing","C307RW2",0.21,-1.39,-0.28,-0.43,-1.74,-0.31
"24","15","  Power and communication","W003RW2",0.73,0.88,0.83,0.19,-0.2,-1.27
"25","16","    Power","W028RW2",0.72,-0.04,0.82,0.16,0.03,-0.49
"26","17","      Electric","C571RW2",0.14,0.31,0.94,0.14,-0.14,-0.52
"27","18","      Other power","W029RW2",0.59,-0.35,-0.12,0.02,0.16,0.04
"28","19","    Communication","C314RW2",0.01,0.92,0,0.03,-0.23,-0.78
"29","20","  Mining exploration, shafts, and wells","E318RW2",-0.31,-0.3,0.81,0.7,-1.31,0.86
"30","21","    Petroleum and natural gas","C319RW2",-0.25,-0.28,0.77,0.71,-1.29,0.81
"31","22","    Mining","C320RW2",-0.06,-0.02,0.04,-0.02,-0.01,0.05
"32","23","  Other structures","W004RW2",0.52,0.07,0.27,-0.43,-1.35,-0.21
"33","24","    Religious","C309RW2",0.1,0.07,0.04,0,-0.03,-0.01
"34","25","    Educational and vocational","W044RW2",0.12,-0.08,0.23,0.09,-0.01,-0.04
"35","26","    Lodging","W045RW2",0.29,0.09,-0.06,-0.39,-0.67,-0.13
"36","27","    Amusement and recreation","W046RW2",-0.04,0.11,-0.2,-0.2,-0.07,0.03
"37","28","    Transportation","W047RW2",0.15,-0.14,0.01,0,-0.05,-0.06
"38","29","      Air","W048RW2",0.02,0.02,0.07,0.01,-0.09,-0.04
"39","30","      Land \3\","W049RW2",0.13,-0.16,-0.06,-0.02,0.04,-0.01
"40","31","    Farm","C316RW2",0.05,0.09,0.1,-0.14,0.07,-0.08
"41","32","    Other \4\","W050RW2",0,-0.06,0.12,-0.15,-0.14,0.08
"42","33","    Brokers' commissions on sale of structures","C321RW2",0.02,0.01,0.02,-0.02,-0.04,-0.02
"43","34","    Net purchases of used structures","E322RW2",-0.18,-0.01,0,0.38,-0.41,0.01
"44","35","Residential","A012RW2",4.43,3.48,0.41,0.21,2.85,5.68
"45","36","  Permanent site","A943RW2",3.17,2.55,0.29,0.21,1.44,4.09
"46","37","    Single-family structures","A944RW2",3.21,2.26,0.36,0.05,1.23,3.94
"47","38","    Multifamily structures","C292RW2",-0.04,0.3,-0.07,0.16,0.2,0.15
"48","39","  Other structures","A863RW2",1.26,0.93,0.12,0,1.42,1.59
"49","40","    Manufactured homes","A945RW2",0.2,-0.12,-0.51,-0.3,-0.12,-0.2
"50","41","    Dormitories","C295RW2",0.02,0.04,0,0.02,-0.01,0.02
"51","42","    Improvements","A946RW2",0.08,0.51,0.39,0.2,0.81,0.68
"52","43","    Brokers' commissions on sale of structures","A758RW2",1.05,0.53,-0.05,0.11,0.86,1.07
"53","44","    Net purchases of used structures","A759RW2",-0.11,-0.03,0.28,-0.02,-0.13,0.03
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures \5\","W040RW2",5.81,2.81,2.9,-1.19,-4.74,2.61
"56","46","    Nonresidential structures","A771RW2",2.33,-0.18,2.72,-1.31,-6.86,-1.97
"57","47","    Residential structures","A756RW2",3.48,2.98,0.17,0.12,2.12,4.59
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA
