"","Table 5#4#6B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:52:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","    Private fixed investment in structures","A349RX1",662.6,706.4,729.7,752.7,747.2,713.8,740.3
"9","2","Nonresidential","B009RX1",280.1,294.5,293.2,313.2,306.1,251.6,237.4
"10","3","  Commercial and health care","W001RX1",118.6,125.4,129.4,137.6,130.3,109.8,102.1
"11","4","    Office \1\","W031RX1",43.4,50.8,54,60.2,55.5,38.5,32.2
"12","5","    Health care","W032RX1",22.1,21.7,21.6,21.9,21,23.7,24.4
"13","6","      Hospitals and special care","C311RX1",17,16.8,15.9,16.2,16.1,18.6,18.3
"14","7","        Hospitals","W033RX1",12.7,11.6,11.2,11.5,12.2,14.8,15.3
"15","8","        Special care","W034RX1",4.4,5.2,4.7,4.7,3.8,3.8,3.1
"16","9","      Medical buildings","W035RX1",5.1,5,5.7,5.7,5,5.2,6
"17","10","    Multimerchandise shopping","W036RX1",13,13.6,15,14.2,15,13.8,13.4
"18","11","    Food and beverage establishments","W037RX1",9.2,9.3,8.2,8.3,8,7,7.2
"19","12","    Warehouses","W038RX1",13.5,13,13.5,14.1,14.3,10.5,10.6
"20","13","    Other commercial \2\","W039RX1",17.4,17,17.1,18.9,16.4,16.1,14.2
"21","14","  Manufacturing","C307RX1",42.3,43.7,33.9,31.8,28.5,15.4,13.1
"22","15","  Power and communication","W003RX1",30.1,34.7,40.8,46.8,48.2,46.7,37.4
"23","16","    Power","W028RX1",17.6,22.3,22,28,29.2,29.4,25.9
"24","17","      Electric","C571RX1",12.1,13,15.2,22,23.1,22.1,18.2
"25","18","      Other power","W029RX1",5.5,9.3,6.8,6,6.1,7.4,7.6
"26","19","    Communication","C314RX1",12.5,12.6,18.8,18.8,19,17.2,11.5
"27","20","  Mining exploration, shafts, and wells","E318RX1",25.3,23.3,21.3,27.2,32,23.6,29
"28","21","    Petroleum and natural gas","C319RX1",23.7,22.1,20.2,25.8,30.8,22.5,27.6
