"","Table 5#4#1B# Percent Change From Preceding Period in Real Priva","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2005 11:51:45 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.5,3.7
"9","2","Nonresidential","B009RL1",5.1,-0.4,6.8,-2.3,-17.8,-5.6
"10","3","  Commercial and health care","W001RL1",5.8,3.2,6.3,-5.3,-15.8,-7
"11","4","    Office \1\","W031RL1",17.1,6.3,11.6,-7.9,-30.7,-16.3
"12","5","    Health care","W032RL1",-1.6,-0.6,1.3,-4,13,2.6
"13","6","      Hospitals and special care","C311RL1",-1.5,-5.4,2.2,-1.1,15.7,-1.2
"14","7","        Hospitals","W033RL1",-8.3,-3.9,2.7,6.4,21.3,3.3
"15","8","        Special care","W034RL1",18.4,-8.9,1,-19.1,-2.3,-18.6
"16","9","      Medical buildings","W035RL1",-2,15.7,-1.2,-12.4,4.2,15.9
"17","10","    Multimerchandise shopping","W036RL1",4.1,10.7,-5.7,5.8,-7.9,-3.1
"18","11","    Food and beverage establishments","W037RL1",1.6,-12.6,2.2,-3.9,-12.6,3.3
"19","12","    Warehouses","W038RL1",-3.5,3.9,4.2,2,-26.6,0.7
"20","13","    Other commercial \2\","W039RL1",-2.3,0.9,10,-12.9,-1.8,-11.8
"21","14","  Manufacturing","C307RL1",3.4,-22.5,-6.1,-10.3,-46.1,-14.7
"22","15","  Power and communication","W003RL1",15.3,17.4,14.7,3,-3.2,-19.9
"23","16","    Power","W028RL1",26.4,-1.3,27.3,4.3,0.8,-12.2
"24","17","      Electric","C571RL1",7.2,16.6,45.3,4.8,-4.5,-17.4
"25","18","      Other power","W029RL1",69.8,-26.5,-12.7,2.4,20.7,3.6
"26","19","    Communication","C314RL1",0.5,49.5,0.1,1.2,-9.4,-33.2
"27","20","  Mining exploration, shafts, and wells","E318RL1",-7.8,-8.8,27.8,17.8,-26.3,23.1
"28","21","    Petroleum and natural gas","C319RL1",-6.6,-8.6,27.7,19.1,-26.8,22.8
"29","22","    Mining","C320RL1",-26.2,-12.5,28.4,-8.8,-9.3,30.4
"30","23","  Other structures","W004RL1",5.4,0.8,2.9,-4.7,-15.3,-2.7
"31","24","    Religious","C309RL1",10.2,7.1,4.3,0.1,-2.5,-0.9
"32","25","    Educational and vocational","W044RL1",7.3,-4.6,15,5.4,-0.4,-1.9
"33","26","    Lodging","W045RL1",10.9,3.3,-2.2,-14.7,-29.2,-7.5
"34","27","    Amusement and recreation","W046RL1",-2.4,6.7,-12.1,-14.5,-6.2,2.7
"35","28","    Transportation","W047RL1",14.4,-13.2,1.5,-0.5,-6.3,-7
"36","29","      Air","W048RL1",11.5,10.8,38.7,5.6,-34.6,-24.3
"37","30","      Land \3\","W049RL1",14.9,-17.9,-8.6,-3.1,6.5,-2.2
"38","31","    Farm","C316RL1",8.4,13.3,13.3,-17.9,10.6,-11.2
"39","32","    Other \4\","W050RL1",0.4,-9.6,23.7,-24.6,-29.8,24.9
"40","33","    Brokers' commissions on sale of structures","C321RL1",7.3,2,5.3,-5.9,-14,-7.3
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",7.7,6,0.7,0.4,4.8,8.8
"43","36","  Permanent site","A943RL1",9.5,7.4,0.8,0.6,4,10.5
"44","37","    Single-family structures","A944RL1",10.9,7.4,1.1,0.1,3.9,11.3
"45","38","    Multifamily structures","C292RL1",-1.1,7.9,-1.7,4.3,5.3,3.5
"46","39","  Other structures","A863RL1",5.2,3.9,0.5,0,6.1,6.2
"47","40","    Manufactured homes","A945RL1",8.8,-5.2,-24.4,-20.1,-9.9,-18.3
"48","41","    Dormitories","C295RL1",17.9,27.6,1.7,9.2,-4.4,10.3
"49","42","    Improvements","A946RL1",0.6,3.6,2.7,1.4,5.6,4.3
"50","43","    Brokers' commissions on sale of structures","A758RL1",15.2,7.2,-0.7,1.5,11.2,11.9
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",6.2,3,3.1,-1.3,-5.2,2.9
"54","46","    Nonresidential structures","A771RL1",5.5,-0.4,6.8,-3.2,-16.9,-5.6
"55","47","    Residential structures","A756RL1",6.8,5.8,0.3,0.2,4.1,8.1
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA
