"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"21","3","Plus: Imports of goods and services","A021RX1","243,205.0","253,580.0","267,114.0","297,173.0","310,963.0","303,920.0","270,139.0","322,963.0","358,270.0","389,311.0","395,777.0","369,495.0","379,257.0","374,483.0","421,732.0","524,393.0","558,427.0","606,136.0","642,007.0","667,227.0","696,609.0","721,528.0","720,449.0","770,951.0","837,611.0","937,525.0","1,012,535.0","1,100,592.0","1,248,825.0","1,394,798.0","1,536,232.0","1,736,215.0","1,686,966.0","1,748,795.0","1,826,881.0","2,035,340.0","2,164,216.0","2,301,041.0","2,359,012.0","2,298,645.0","1,983,177.0","2,235,350.0","2,357,670.0","2,412,600.0","2,440,259.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,821,778.0","4,815,746.0","4,983,714.0","5,255,383.0","5,509,168.0","5,440,629.0","5,383,104.0","5,732,844.0","6,036,441.0","6,365,739.0","6,524,813.0","6,403,869.0","6,578,771.0","6,491,975.0","6,876,605.0","7,473,767.0","7,811,237.0","8,100,330.0","8,359,283.0","8,634,912.0","8,903,196.0","9,036,045.0","8,974,109.0","9,295,324.0","9,600,756.0","10,023,213.0","10,280,205.0","10,681,642.0","11,188,569.0","11,807,073.0","12,462,127.0","13,057,851.0","13,208,495.0","13,518,391.0","13,938,467.0","14,531,663.0","15,040,258.0","15,431,643.0","15,606,796.0","15,399,898.0","14,814,175.0","15,244,934.0","15,483,876.0","15,824,636.0","16,131,049.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","245,504.0","267,907.0","268,502.0","289,177.0","368,006.0","444,220.0","445,771.0","455,541.0","455,575.0","498,895.0","565,015.0","624,457.0","621,821.0","545,938.0","515,848.0","544,997.0","530,541.0","550,169.0","606,719.0","716,040.0","781,656.0","823,204.0","860,825.0","895,155.0","905,374.0","976,410.0","1,077,699.0","1,130,715.0","1,225,143.0","1,216,166.0","1,246,534.0","1,343,440.0","1,233,891.0","1,188,373.0","1,206,880.0","1,331,585.0","1,425,029.0","1,557,576.0","1,709,557.0","1,837,463.0","1,587,741.0","1,824,471.0","2,025,944.0","2,075,081.0","2,112,139.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","238,740.0","250,191.0","265,855.0","302,943.0","352,128.0","447,078.0","394,426.0","460,510.0","521,600.0","566,613.0","620,367.0","653,495.0","647,326.0","584,442.0","612,021.0","730,148.0","730,044.0","776,184.0","848,061.0","892,220.0","916,106.0","939,337.0","902,227.0","944,276.0","995,487.0","1,101,671.0","1,196,713.0","1,256,321.0","1,356,123.0","1,423,813.0","1,569,020.0","1,803,729.0","1,676,971.0","1,693,898.0","1,791,195.0","2,029,404.0","2,210,201.0","2,370,957.0","2,447,494.0","2,558,767.0","1,983,177.0","2,329,418.0","2,583,792.0","2,612,549.0","2,586,615.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,822,329.0","4,827,401.0","4,979,907.0","5,234,862.0","5,518,147.0","5,432,439.0","5,427,816.0","5,720,641.0","5,963,704.0","6,291,006.0","6,462,451.0","6,366,421.0","6,541,231.0","6,448,073.0","6,775,286.0","7,282,760.0","7,605,687.0","7,867,208.0","8,119,003.0","8,459,486.0","8,769,510.0","8,919,480.0","8,933,436.0","9,246,765.0","9,511,013.0","9,898,700.0","10,161,724.0","10,556,862.0","11,057,468.0","11,599,339.0","12,139,656.0","12,597,162.0","12,765,214.0","13,012,735.0","13,354,110.0","13,834,129.0","14,255,447.0","14,618,565.0","14,868,428.0","14,682,793.0","14,418,738.0","14,739,288.0","14,925,414.0","15,286,026.0","15,655,647.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","55,695.0","57,581.0","59,750.0","66,446.0","90,934.0","104,593.0","90,063.0","98,604.0","106,354.0","123,472.0","167,742.0","175,906.0","187,468.0","194,683.0","189,734.0","219,644.0","197,129.0","190,802.0","205,526.0","244,987.0","275,436.0","281,695.0","243,610.0","215,006.0","215,144.0","249,938.0","304,734.0","321,134.0","359,746.0","365,980.0","403,901.0","468,732.0","390,952.0","374,354.0","413,145.0","508,788.0","626,873.0","764,104.0","899,292.0","854,845.0","648,897.0","709,188.0","762,377.0","750,751.0","756,636.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","26,781.0","28,896.0","27,364.0","31,512.0","42,190.0","50,157.0","48,271.0","47,275.0","48,340.0","65,861.0","89,346.0","99,876.0","120,374.0","124,303.0","120,671.0","154,237.0","152,748.0","161,739.0","176,373.0","208,497.0","237,012.0","229,947.0","197,906.0","171,062.0","170,901.0","217,616.0","266,604.0","279,713.0","328,788.0","342,709.0","369,807.0","423,404.0","328,695.0","316,746.0","335,283.0","408,334.0","526,091.0","692,782.0","770,321.0","683,252.0","497,849.0","506,318.0","525,157.0","535,726.0","547,189.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,851,243.0","4,856,085.0","5,012,293.0","5,269,796.0","5,566,891.0","5,486,875.0","5,469,608.0","5,771,970.0","6,021,719.0","6,348,617.0","6,540,848.0","6,442,451.0","6,608,324.0","6,518,453.0","6,844,349.0","7,348,167.0","7,650,069.0","7,896,271.0","8,148,156.0","8,495,976.0","8,807,934.0","8,971,228.0","8,979,140.0","9,290,709.0","9,555,255.0","9,931,022.0","10,199,853.0","10,598,283.0","11,088,426.0","11,622,609.0","12,173,750.0","12,642,490.0","12,827,471.0","13,070,344.0","13,431,972.0","13,934,583.0","14,356,229.0","14,689,886.0","14,997,399.0","14,854,385.0","14,569,786.0","14,942,158.0","15,162,635.0","15,501,050.0","15,865,093.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","4,385,847.0","4,364,560.0","4,500,494.0","4,739,547.0","4,998,347.0","4,878,748.0","4,849,650.0","5,129,683.0","5,350,350.0","5,651,929.0","5,785,070.0","5,642,453.0","5,786,070.0","5,648,472.0","5,953,043.0","6,433,342.0","6,706,608.0","6,918,314.0","7,119,740.0","7,416,631.0","7,682,375.0","7,786,588.0","7,760,832.0","8,044,837.0","8,272,391.0","8,618,954.0","8,828,540.0","9,165,382.0","9,595,854.0","10,051,399.0","10,492,624.0","10,846,051.0","10,924,557.0","11,108,547.0","11,392,154.0","11,804,027.0","12,145,902.0","12,424,107.0","12,593,124.0","12,343,826.0","12,050,358.0","12,357,857.0","12,514,254.0","12,831,516.0","13,150,434.0"
"31","12","  Net domestic product","A362RX1","4,276,100.0","4,260,067.0","4,399,398.0","4,640,323.0","4,905,994.0","4,846,482.0","4,811,185.0","5,088,488.0","5,328,668.0","5,633,649.0","5,795,744.0","5,736,197.0","5,872,038.0","5,698,875.0","5,975,939.0","6,441,327.0","6,699,700.0","6,916,866.0","7,139,815.0","7,438,225.0","7,705,763.0","7,828,786.0","7,781,621.0","8,070,629.0","8,288,246.0","8,631,659.0","8,847,816.0","9,175,516.0","9,578,454.0","9,982,590.0","10,423,493.0","10,813,435.0","10,845,755.0","11,007,958.0","11,311,506.0","11,745,400.0","12,127,767.0","12,423,246.0","12,601,804.0","12,492,876.0","12,050,358.0","12,401,084.0","12,607,185.0","12,912,307.0","13,203,217.0"
"32","13","  Command-basis net national product \4\","C027RX1","4,415,812.0","4,394,272.0","4,534,038.0","4,775,714.0","5,048,787.0","4,935,142.0","4,893,101.0","5,183,081.0","5,410,746.0","5,711,969.0","5,866,769.0","5,721,618.0","5,855,978.0","5,721,844.0","6,024,777.0","6,501,085.0","6,752,459.0","6,948,333.0","7,149,798.0","7,454,222.0","7,721,872.0","7,839,630.0","7,807,588.0","8,089,646.0","8,317,445.0","8,651,848.0","8,867,353.0","9,207,452.0","9,627,241.0","10,074,960.0","10,527,090.0","10,891,816.0","10,987,314.0","11,166,500.0","11,470,304.0","11,904,773.0","12,247,086.0","12,495,770.0","12,722,610.0","12,515,678.0","12,201,406.0","12,560,143.0","12,750,454.0","13,045,513.0","13,359,052.0"
"33","14","  Net national product","A027RX1","4,314,043.0","4,297,640.0","4,440,717.0","4,684,608.0","4,964,145.0","4,911,882.0","4,862,937.0","5,149,532.0","5,396,844.0","5,701,593.0","5,885,774.0","5,825,296.0","5,951,013.0","5,780,873.0","6,056,020.0","6,517,964.0","6,754,783.0","6,955,658.0","7,176,766.0","7,482,671.0","7,751,433.0","7,886,687.0","7,831,441.0","8,118,983.0","8,337,272.0","8,668,936.0","8,890,149.0","9,220,934.0","9,613,314.0","10,009,312.0","10,460,544.0","10,862,193.0","10,911,205.0","11,068,649.0","11,392,321.0","11,849,060.0","12,231,670.0","12,497,661.0","12,733,675.0","12,667,360.0","12,201,406.0","12,587,974.0","12,827,438.0","13,110,312.0","13,395,285.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.566","102.459","102.330","102.204","101.976","100.887","101.026","101.037","100.675","100.604","100.161","98.939","99.135","99.527","99.939","100.158","100.344","100.284","99.927","99.921","99.907","99.715","99.931","99.887","99.999","100.033","99.976","100.062","100.315","100.747","100.619","100.309","100.675","100.825","100.648","100.452","100.151","100.036","99.967","98.968","100.000","99.692","99.371","99.466","99.658"
"36","16","    Terms of trade index \6\","W369RG3","148.849","145.922","142.556","139.434","134.406","115.742","117.764","118.074","112.932","111.911","107.070","94.678","96.490","100.316","104.633","106.523","106.869","105.064","101.280","101.607","101.089","98.826","100.758","100.188","101.124","101.351","100.859","101.279","103.071","106.356","104.847","102.380","104.512","105.158","103.770","102.589","100.875","100.276","100.068","94.736","100.000","98.498","97.383","97.763","98.654"
"37","17","      Terms of trade, goods \7\","W370RG3","166.467","162.904","159.103","151.705","149.386","126.337","129.563","129.417","122.872","121.831","116.958","101.601","103.036","106.144","109.968","111.691","110.450","109.278","104.641","106.315","104.768","101.903","103.758","102.653","103.226","103.574","103.280","103.230","104.703","107.919","106.359","102.788","105.176","106.264","105.273","104.020","100.952","100.170","100.000","94.152","100.000","98.400","97.306","97.153","97.754"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","115.836","112.979","110.671","105.235","104.515","104.902","105.729","106.943","101.157","97.991","100.061","97.089","101.261","102.660","104.396","106.137","104.575","95.432","92.510","91.759","91.823","91.310","91.070","89.688","89.456","89.151","89.479","91.084","92.280","92.768","93.089","93.948","94.670","96.038","96.801","98.091","99.000","101.311","102.800","102.755","100.000","102.859","106.760","107.030","107.026"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
