"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    National defense consumption expenditures and gross investment","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","788,396.0","801,286.0","805,088.0","785,271.0","770,364.0","767,941.0","789,779.0","746,731.0","725,548.0","721,772.0","722,566.0","701,015.0","693,869.0","695,351.0"
"21","2","Consumption expenditures \1\","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,663.0","630,701.0","636,663.0","616,935.0","610,174.0","604,913.0","628,110.0","591,005.0","577,569.0","575,632.0","576,368.0","557,445.0","562,300.0","559,520.0"
"22","3","  Gross output of general government","W085RX1","432,320.0","434,942.0","447,380.0","459,167.0","428,434.0","448,974.0","438,294.0","437,365.0","448,199.0","450,354.0","454,223.0","456,907.0","467,618.0","473,101.0","480,649.0","489,452.0","487,732.0","524,764.0","514,024.0","529,937.0","532,820.0","536,605.0","550,468.0","536,951.0","543,296.0","545,050.0","557,256.0","540,192.0","551,484.0","550,807.0","550,329.0","561,504.0","548,680.0","556,109.0","571,416.0","572,510.0","582,319.0","585,493.0","612,044.0","620,421.0","610,744.0","635,291.0","649,884.0","650,252.0","648,463.0","656,482.0","670,046.0","661,145.0","644,462.0","655,090.0","661,646.0","642,529.0","636,315.0","631,433.0","654,724.0","617,395.0","603,418.0","600,814.0","601,105.0","581,649.0","586,034.0","582,780.0"
"23","4","    Value added","W086RX1","312,947.0","311,459.0","311,389.0","310,501.0","308,168.0","308,657.0","308,161.0","307,343.0","307,963.0","308,046.0","308,242.0","307,994.0","310,495.0","312,215.0","313,273.0","312,791.0","317,609.0","320,766.0","322,039.0","322,934.0","326,109.0","326,324.0","329,340.0","331,535.0","332,803.0","332,926.0","334,081.0","335,491.0","333,337.0","333,794.0","337,169.0","338,628.0","337,724.0","338,135.0","341,815.0","343,607.0","346,650.0","350,244.0","356,847.0","362,112.0","365,656.0","371,634.0","376,830.0","379,688.0","382,394.0","384,590.0","386,470.0","388,251.0","389,258.0","390,369.0","391,415.0","392,813.0","389,880.0","388,411.0","387,488.0","385,488.0","383,284.0","381,878.0","375,525.0","375,510.0","376,950.0","375,965.0"
"24","5","      Compensation of general government employees","B237RX1","195,152.0","194,198.0","194,790.0","194,507.0","192,566.0","193,696.0","193,594.0","193,005.0","193,944.0","194,313.0","194,751.0","194,762.0","197,803.0","199,730.0","200,651.0","199,714.0","204,220.0","206,811.0","207,348.0","207,309.0","209,637.0","208,780.0","210,738.0","211,787.0","211,833.0","210,699.0","210,641.0","210,773.0","207,352.0","206,531.0","208,640.0","208,816.0","206,588.0","205,659.0","207,957.0","208,353.0","209,933.0","212,045.0","217,068.0","220,675.0","222,537.0","227,205.0","231,543.0","233,939.0","235,029.0","235,856.0","236,581.0","237,441.0","237,793.0","238,272.0","238,737.0","239,590.0","236,211.0","234,481.0","233,485.0","231,629.0","229,740.0","228,499.0","222,096.0","221,857.0","222,899.0","221,480.0"
"25","6","        Military","B4080X1","123,238.0","122,719.0","123,838.0","123,546.0","123,358.0","123,407.0","125,113.0","125,714.0","126,657.0","127,020.0","126,523.0","127,444.0","130,939.0","131,667.0","132,004.0","131,630.0","136,320.0","140,188.0","139,711.0","138,810.0","141,100.0","139,737.0","139,614.0","140,928.0","140,951.0","139,278.0","138,671.0","139,116.0","136,153.0","135,367.0","137,012.0","136,474.0","134,906.0","134,087.0","136,048.0","135,706.0","137,583.0","138,606.0","142,546.0","145,928.0","147,928.0","151,567.0","154,316.0","154,196.0","154,942.0","154,946.0","154,234.0","153,662.0","153,694.0","153,982.0","153,926.0","153,754.0","151,500.0","150,201.0","149,403.0","148,067.0","146,665.0","146,473.0","146,113.0","144,843.0","143,546.0","142,533.0"
"26","7","        Civilian","W090RX1","71,452.0","71,023.0","70,547.0","70,548.0","68,874.0","69,899.0","68,234.0","67,141.0","67,162.0","67,170.0","68,037.0","67,183.0","66,855.0","67,996.0","68,567.0","68,034.0","67,910.0","66,691.0","67,707.0","68,565.0","68,609.0","69,090.0","71,131.0","70,878.0","70,899.0","71,446.0","71,998.0","71,681.0","71,238.0","71,212.0","71,669.0","72,403.0","71,748.0","71,646.0","71,966.0","72,725.0","72,393.0","73,499.0","74,558.0","74,748.0","74,605.0","75,638.0","77,238.0","79,735.0","80,085.0","80,908.0","82,331.0","83,742.0","84,056.0","84,245.0","84,757.0","85,761.0","84,640.0","84,209.0","84,007.0","83,483.0","82,988.0","81,954.0","76,053.0","77,013.0","79,236.0","78,827.0"
"27","8","      Consumption of general government fixed capital \2\","B432RX1","116,772.0","116,238.0","115,778.0","115,263.0","114,726.0","114,336.0","114,007.0","113,756.0","113,596.0","113,399.0","113,243.0","113,027.0","112,829.0","112,802.0","112,999.0","113,340.0","113,876.0","114,521.0","115,228.0","116,087.0","116,968.0","117,944.0","119,003.0","120,110.0","121,268.0","122,460.0","123,629.0","124,865.0","126,053.0","127,313.0","128,579.0","129,837.0","131,134.0","132,477.0","133,858.0","135,249.0","136,711.0","138,194.0","139,775.0","141,440.0","143,124.0","144,429.0","145,286.0","145,745.0","147,355.0","148,731.0","149,891.0","150,816.0","151,478.0","152,115.0","152,699.0","153,245.0","153,706.0","153,975.0","154,051.0","153,912.0","153,602.0","153,439.0","153,488.0","153,715.0","154,112.0","154,546.0"
"28","9","    Intermediate goods and services purchased \3\","W087RX1","123,174.0","126,975.0","138,678.0","150,432.0","123,826.0","142,588.0","133,061.0","132,936.0","142,489.0","144,438.0","147,880.0","150,616.0","158,498.0","162,134.0","168,336.0","177,218.0","170,918.0","204,204.0","192,395.0","207,134.0","206,889.0","210,419.0","221,116.0","205,752.0","210,717.0","212,301.0","223,229.0","204,989.0","218,314.0","217,171.0","213,364.0","222,964.0","211,081.0","218,118.0","229,762.0","229,078.0","235,807.0","235,429.0","255,079.0","258,206.0","245,044.0","263,678.0","273,066.0","270,577.0","266,062.0","271,881.0","283,578.0","272,914.0","255,333.0","264,760.0","270,202.0","249,988.0","246,716.0","243,328.0","267,184.0","232,375.0","220,786.0","219,585.0","226,027.0","206,881.0","209,797.0","207,559.0"
"29","10","      Durable goods","A998RX1","21,838.0","24,822.0","26,546.0","23,948.0","24,352.0","24,213.0","24,329.0","23,299.0","22,734.0","24,652.0","26,187.0","23,296.0","23,682.0","25,022.0","26,757.0","25,395.0","24,561.0","28,198.0","28,928.0","29,106.0","29,342.0","30,462.0","32,157.0","30,597.0","29,672.0","30,515.0","31,646.0","31,670.0","32,512.0","32,702.0","33,770.0","35,470.0","34,130.0","35,805.0","38,309.0","39,422.0","40,199.0","42,461.0","44,690.0","45,266.0","41,586.0","45,602.0","48,756.0","47,284.0","43,564.0","45,842.0","48,067.0","50,313.0","41,820.0","44,129.0","45,372.0","47,062.0","42,585.0","42,873.0","44,587.0","43,116.0","37,372.0","38,538.0","38,143.0","36,836.0","34,035.0","33,752.0"
"30","11","        Aircraft","B999RX1","10,594.0","12,099.0","12,810.0","11,080.0","11,585.0","10,552.0","11,208.0","10,016.0","9,645.0","10,532.0","12,309.0","10,290.0","10,073.0","10,805.0","11,164.0","10,874.0","10,398.0","12,493.0","12,496.0","13,020.0","12,209.0","12,389.0","13,211.0","12,629.0","11,139.0","11,091.0","10,944.0","11,363.0","10,889.0","10,479.0","10,817.0","12,625.0","10,291.0","11,108.0","12,085.0","13,004.0","11,678.0","12,531.0","13,501.0","13,946.0","13,430.0","14,291.0","14,976.0","16,023.0","13,814.0","15,365.0","16,307.0","19,029.0","15,649.0","17,536.0","18,804.0","19,790.0","18,300.0","18,399.0","19,623.0","20,286.0","16,869.0","17,440.0","18,123.0","17,993.0","16,082.0","16,025.0"
"31","12","        Missiles","B277RX1","2,455.0","2,501.0","2,633.0","2,664.0","2,532.0","2,807.0","2,805.0","3,112.0","3,149.0","3,030.0","3,012.0","2,759.0","2,631.0","2,433.0","3,048.0","2,984.0","2,398.0","2,552.0","2,584.0","3,033.0","2,635.0","2,759.0","3,159.0","2,849.0","3,173.0","3,581.0","3,393.0","3,955.0","4,196.0","4,549.0","4,008.0","4,289.0","4,402.0","4,433.0","4,687.0","4,925.0","4,839.0","4,653.0","4,693.0","4,708.0","4,138.0","4,299.0","5,391.0","4,273.0","4,049.0","4,500.0","4,644.0","4,696.0","3,805.0","3,537.0","3,580.0","3,541.0","3,405.0","3,143.0","3,461.0","3,173.0","2,780.0","3,613.0","3,322.0","3,014.0","2,861.0","3,077.0"
"32","13","        Ships","B278RX1","1,200.0","1,470.0","1,581.0","1,345.0","1,551.0","1,629.0","1,547.0","1,394.0","1,366.0","1,537.0","1,507.0","1,241.0","1,412.0","1,507.0","1,680.0","1,339.0","1,409.0","1,496.0","1,515.0","1,433.0","1,415.0","1,693.0","1,818.0","1,480.0","1,470.0","1,542.0","1,705.0","1,310.0","1,720.0","1,449.0","1,398.0","1,418.0","1,519.0","1,468.0","865.0","914.0","778.0","912.0","860.0","746.0","708.0","784.0","816.0","572.0","751.0","777.0","824.0","776.0","668.0","727.0","732.0","732.0","681.0","727.0","748.0","724.0","656.0","761.0","704.0","741.0","530.0","632.0"
"33","14","        Vehicles","B288RX1","927.0","949.0","883.0","880.0","608.0","871.0","776.0","762.0","758.0","793.0","898.0","814.0","814.0","776.0","762.0","825.0","748.0","822.0","845.0","833.0","796.0","773.0","872.0","949.0","972.0","1,080.0","1,349.0","1,378.0","1,508.0","1,686.0","1,943.0","2,006.0","2,055.0","2,482.0","2,580.0","2,728.0","2,730.0","3,103.0","3,040.0","3,722.0","2,323.0","3,639.0","3,963.0","4,114.0","3,716.0","3,597.0","3,157.0","3,356.0","2,877.0","3,034.0","2,764.0","2,905.0","2,277.0","2,532.0","2,556.0","2,253.0","1,644.0","1,631.0","1,632.0","1,420.0","1,646.0","1,444.0"
"34","15","        Electronics","B388RX1","2,248.0","2,567.0","2,772.0","2,493.0","2,771.0","2,937.0","2,617.0","2,861.0","2,768.0","2,941.0","2,909.0","2,957.0","3,046.0","3,268.0","3,431.0","3,181.0","3,468.0","3,829.0","4,236.0","3,638.0","4,077.0","4,548.0","4,553.0","4,692.0","4,698.0","5,204.0","6,192.0","5,823.0","6,063.0","6,128.0","6,810.0","6,572.0","7,156.0","7,679.0","8,483.0","8,040.0","9,702.0","10,595.0","11,576.0","11,504.0","10,254.0","11,373.0","11,960.0","11,545.0","10,591.0","11,032.0","11,565.0","11,119.0","8,451.0","8,910.0","8,887.0","9,233.0","7,510.0","7,925.0","7,876.0","7,414.0","6,134.0","6,618.0","5,831.0","5,617.0","5,025.0","4,785.0"
"35","16","        Other durable goods","B389RX1","4,573.0","5,394.0","6,011.0","5,624.0","5,411.0","5,509.0","5,506.0","5,249.0","5,153.0","5,918.0","5,676.0","5,301.0","5,769.0","6,284.0","6,746.0","6,258.0","6,167.0","7,036.0","7,261.0","7,198.0","8,236.0","8,324.0","8,586.0","8,005.0","8,252.0","8,048.0","8,077.0","7,860.0","8,181.0","8,464.0","8,833.0","8,574.0","8,751.0","8,665.0","9,622.0","9,835.0","10,477.0","10,669.0","11,012.0","10,636.0","10,731.0","11,218.0","11,649.0","10,758.0","10,641.0","10,573.0","11,570.0","11,343.0","10,362.0","10,388.0","10,615.0","10,875.0","10,414.0","10,155.0","10,336.0","9,299.0","9,293.0","8,502.0","8,549.0","8,079.0","7,896.0","7,794.0"
"36","17","      Nondurable goods","A725RX1","13,166.0","14,547.0","17,552.0","14,646.0","17,427.0","16,681.0","14,491.0","14,257.0","14,921.0","16,559.0","15,696.0","17,475.0","17,447.0","18,848.0","17,821.0","19,735.0","20,332.0","21,435.0","17,541.0","20,659.0","23,293.0","22,891.0","25,152.0","19,622.0","21,063.0","23,822.0","24,159.0","22,517.0","21,924.0","21,490.0","23,373.0","22,723.0","23,060.0","22,643.0","23,119.0","21,696.0","22,760.0","23,256.0","23,225.0","24,224.0","22,840.0","24,740.0","26,365.0","23,850.0","24,032.0","24,129.0","22,955.0","23,173.0","24,143.0","23,347.0","24,178.0","24,921.0","23,972.0","23,261.0","23,001.0","22,079.0","20,858.0","19,852.0","20,046.0","18,499.0","18,476.0","18,327.0"
"37","18","        Petroleum products","B780RX1","7,640.0","8,780.0","10,874.0","6,673.0","8,749.0","7,747.0","7,654.0","7,203.0","8,625.0","8,707.0","9,017.0","10,295.0","9,931.0","10,698.0","9,512.0","12,083.0","12,793.0","11,542.0","6,629.0","9,980.0","12,013.0","10,860.0","13,054.0","7,257.0","8,250.0","11,673.0","11,539.0","10,596.0","9,579.0","9,806.0","11,456.0","10,757.0","10,308.0","10,543.0","10,318.0","9,986.0","10,036.0","10,570.0","10,324.0","10,631.0","9,692.0","10,193.0","11,288.0","10,664.0","10,677.0","10,885.0","10,455.0","10,385.0","11,070.0","10,469.0","10,896.0","11,328.0","11,247.0","10,643.0","10,165.0","9,483.0","9,177.0","8,301.0","8,008.0","7,009.0","7,239.0","7,386.0"
"38","19","        Ammunition","B781RX1","2,187.0","2,345.0","3,011.0","2,370.0","2,126.0","2,046.0","2,734.0","2,520.0","2,437.0","2,751.0","2,812.0","2,765.0","2,975.0","3,425.0","3,511.0","3,183.0","2,747.0","3,529.0","3,616.0","3,653.0","4,242.0","4,372.0","4,583.0","4,566.0","4,372.0","4,606.0","4,914.0","4,596.0","4,656.0","4,488.0","4,410.0","4,606.0","4,470.0","3,910.0","4,627.0","4,001.0","4,544.0","3,977.0","4,365.0","4,523.0","3,819.0","4,285.0","4,128.0","4,479.0","4,188.0","4,396.0","3,890.0","4,096.0","3,854.0","3,811.0","4,000.0","4,264.0","3,619.0","3,793.0","4,502.0","3,994.0","2,957.0","3,061.0","3,796.0","3,419.0","3,039.0","2,707.0"
"39","20","        Other nondurable goods","B783RX1","3,819.0","4,157.0","4,736.0","5,153.0","6,398.0","6,499.0","4,245.0","4,570.0","4,257.0","5,199.0","4,330.0","5,035.0","5,004.0","5,238.0","5,018.0","5,330.0","5,730.0","6,665.0","6,341.0","6,766.0","7,011.0","7,298.0","7,410.0","7,393.0","8,088.0","7,279.0","7,489.0","7,130.0","7,584.0","6,978.0","7,097.0","7,033.0","8,064.0","7,940.0","8,006.0","7,447.0","8,131.0","8,398.0","8,422.0","9,038.0","9,346.0","10,255.0","10,966.0","8,681.0","9,139.0","8,775.0","8,508.0","8,637.0","9,046.0","9,043.0","9,211.0","9,192.0","8,754.0","8,664.0","8,403.0","8,842.0","8,813.0","8,836.0","8,802.0","8,809.0","8,794.0","8,704.0"
"40","21","      Services","A489RX1","87,386.0","86,573.0","94,034.0","111,237.0","81,620.0","101,386.0","93,450.0","94,729.0","104,433.0","102,803.0","105,167.0","109,825.0","117,213.0","118,284.0","123,276.0","132,116.0","126,288.0","154,456.0","144,945.0","156,840.0","154,228.0","156,793.0","163,660.0","155,047.0","159,704.0","157,772.0","167,260.0","150,499.0","163,715.0","162,801.0","155,765.0","164,357.0","153,421.0","159,236.0","167,927.0","167,748.0","172,561.0","169,245.0","187,465.0","188,808.0","180,646.0","193,323.0","197,899.0","199,473.0","198,414.0","201,907.0","212,805.0","199,618.0","188,898.0","197,330.0","200,597.0","177,377.0","179,591.0","176,795.0","199,775.0","166,927.0","162,186.0","161,156.0","167,827.0","151,595.0","157,238.0","155,424.0"
"41","22","        Installation support","B911RX1","31,819.0","32,506.0","33,530.0","37,742.0","30,835.0","35,427.0","34,380.0","33,777.0","35,365.0","34,846.0","35,971.0","36,592.0","38,337.0","37,475.0","39,324.0","40,492.0","39,643.0","43,242.0","44,488.0","45,648.0","43,804.0","41,989.0","43,382.0","40,564.0","38,010.0","38,561.0","41,913.0","40,281.0","40,818.0","41,583.0","38,971.0","41,636.0","38,684.0","38,862.0","39,672.0","39,644.0","39,870.0","38,716.0","42,542.0","43,059.0","43,029.0","44,165.0","44,410.0","44,668.0","43,894.0","44,663.0","46,998.0","43,935.0","41,358.0","41,659.0","41,995.0","39,165.0","38,892.0","38,044.0","40,270.0","36,186.0","34,549.0","34,150.0","34,354.0","33,158.0","32,721.0","32,628.0"
"42","23","        Weapons support","B912RX1","11,995.0","12,088.0","13,992.0","18,907.0","9,773.0","16,239.0","14,949.0","16,175.0","18,563.0","17,970.0","16,878.0","17,628.0","19,152.0","18,628.0","22,090.0","25,989.0","21,494.0","26,878.0","27,552.0","28,013.0","26,050.0","24,854.0","28,684.0","26,235.0","27,532.0","27,240.0","32,100.0","27,442.0","28,120.0","30,425.0","26,567.0","32,268.0","28,051.0","29,744.0","31,341.0","30,498.0","30,736.0","28,187.0","34,457.0","32,592.0","29,422.0","32,125.0","33,930.0","34,996.0","33,365.0","35,815.0","40,010.0","36,012.0","32,014.0","35,185.0","36,399.0","31,092.0","32,053.0","31,541.0","34,985.0","28,161.0","25,824.0","25,271.0","25,544.0","24,019.0","24,064.0","24,131.0"
"43","24","        Personnel support","B913RX1","31,169.0","30,003.0","34,718.0","42,290.0","29,245.0","37,778.0","32,369.0","33,650.0","39,130.0","38,241.0","40,067.0","41,609.0","45,917.0","48,866.0","49,599.0","55,418.0","47,977.0","59,084.0","54,678.0","66,336.0","65,619.0","70,221.0","72,740.0","69,696.0","70,964.0","71,822.0","76,300.0","72,371.0","76,962.0","79,553.0","71,177.0","75,761.0","68,351.0","70,563.0","73,951.0","76,000.0","80,731.0","82,037.0","91,706.0","95,257.0","87,917.0","94,459.0","95,977.0","96,055.0","96,785.0","97,646.0","101,940.0","95,471.0","92,086.0","98,140.0","100,345.0","85,704.0","88,897.0","89,674.0","108,193.0","87,222.0","87,736.0","88,586.0","94,834.0","81,092.0","86,668.0","85,860.0"
