"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Gross government fixed investment \1\","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"20","2","        Federal","A787RC1","230.0","315.0","404.0","463.0","675.0","870.0","1,216.0","1,289.0","1,296.0","1,285.0","1,184.0","1,639.0","8,517.0","27,409.0","38,984.0","37,409.0","24,457.0","3,079.0","2,793.0","4,419.0","5,912.0","5,527.0","12,533.0","17,221.0","18,659.0","16,097.0","14,211.0","15,752.0","17,575.0","18,937.0","21,770.0","21,892.0","24,647.0","26,502.0","26,670.0","27,115.0","26,698.0","30,088.0","31,939.0","31,106.0","30,723.0"
"21","3","          National defense","A788RC1","53.0","86.0","108.0","100.0","119.0","137.0","126.0","286.0","351.0","348.0","358.0","839.0","7,409.0","26,365.0","38,083.0","36,754.0","23,989.0","2,741.0","2,152.0","3,257.0","4,264.0","3,661.0","10,639.0","15,252.0","16,931.0","14,619.0","12,972.0","14,042.0","15,366.0","16,237.0","18,929.0","18,272.0","20,364.0","21,145.0","19,486.0","18,335.0","16,667.0","18,713.0","21,301.0","19,919.0","19,450.0"
"22","4","          Nondefense","A798RC1","177.0","229.0","296.0","363.0","556.0","733.0","1,090.0","1,003.0","945.0","937.0","826.0","800.0","1,108.0","1,044.0","901.0","655.0","468.0","338.0","641.0","1,162.0","1,648.0","1,866.0","1,894.0","1,969.0","1,728.0","1,478.0","1,239.0","1,710.0","2,209.0","2,700.0","2,841.0","3,620.0","4,283.0","5,357.0","7,184.0","8,780.0","10,031.0","11,375.0","10,638.0","11,187.0","11,273.0"
"23","5","        State and local","A799RC1","2,672.0","2,938.0","2,681.0","1,797.0","1,354.0","1,800.0","1,635.0","2,937.0","2,602.0","3,008.0","3,410.0","2,798.0","2,279.0","1,576.0","908.0","740.0","851.0","1,629.0","2,890.0","4,069.0","5,397.0","5,925.0","7,038.0","7,398.0","7,996.0","9,294.0","10,145.0","11,384.0","12,656.0","13,684.0","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"24","6","Structures \2\","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,024.0","4,636.0","6,342.0","6,953.0","9,526.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"25","7","  Federal","A801RC1","162.0","218.0","283.0","343.0","527.0","638.0","830.0","955.0","962.0","891.0","770.0","1,171.0","4,177.0","10,717.0","6,226.0","2,675.0","1,834.0","284.0","497.0","1,047.0","1,455.0","1,568.0","3,107.0","4,377.0","4,380.0","3,632.0","2,736.0","3,027.0","3,414.0","4,019.0","4,017.0","3,898.0","4,229.0","4,111.0","3,959.0","3,824.0","3,893.0","4,092.0","3,412.0","3,328.0","3,380.0"
"26","8","    National defense","A808RC1","24.0","37.0","51.0","43.0","47.0","72.0","61.0","179.0","232.0","203.0","174.0","602.0","3,568.0","10,266.0","5,825.0","2,484.0","1,672.0","288.0","172.0","368.0","367.0","452.0","2,019.0","3,284.0","3,326.0","2,729.0","2,121.0","2,130.0","2,287.0","2,615.0","2,536.0","2,234.0","2,358.0","1,990.0","1,640.0","1,276.0","1,138.0","1,260.0","1,195.0","1,243.0","1,491.0"
"27","9","      New","A814RC1","24.0","37.0","51.0","43.0","47.0","72.0","57.0","103.0","146.0","124.0","187.0","664.0","3,596.0","10,297.0","5,889.0","2,520.0","1,718.0","607.0","377.0","478.0","418.0","484.0","2,021.0","3,286.0","3,328.0","2,742.0","2,265.0","2,130.0","2,218.0","2,429.0","2,478.0","2,139.0","2,170.0","1,799.0","1,614.0","1,292.0","1,291.0","1,336.0","1,286.0","1,389.0","1,585.0"
"28","10","        Buildings","A815RC1","0.0","0.0","0.0","0.0","2.0","12.0","11.0","68.0","100.0","46.0","27.0","168.0","1,506.0","3,818.0","2,599.0","1,443.0","839.0","366.0","126.0","237.0","216.0","245.0","997.0","1,717.0","1,813.0","1,530.0","744.0","495.0","653.0","787.0","817.0","636.0","671.0","444.0","346.0","266.0","309.0","249.0","234.0","334.0","405.0"
"29","11","          Residential","B816RC1","0.0","0.0","0.0","0.0","0.0","1.0","9.0","64.0","98.0","34.0","4.0","4.0","226.0","381.0","729.0","213.0","84.0","253.0","14.0","41.0","39.0","21.0","23.0","33.0","42.0","24.0","23.0","42.0","180.0","379.0","502.0","299.0","300.0","209.0","143.0","113.0","158.0","105.0","57.0","77.0","161.0"
"30","12","          Industrial","B817RC1","0.0","0.0","0.0","0.0","2.0","11.0","2.0","4.0","2.0","12.0","23.0","164.0","1,280.0","3,437.0","1,870.0","1,230.0","755.0","113.0","112.0","196.0","177.0","224.0","974.0","1,684.0","1,771.0","1,506.0","721.0","453.0","473.0","408.0","315.0","337.0","371.0","235.0","203.0","153.0","151.0","144.0","177.0","257.0","244.0"
"31","13","        Military facilities \3\","B818RC1","24.0","37.0","51.0","43.0","45.0","60.0","46.0","35.0","46.0","78.0","160.0","496.0","2,090.0","6,479.0","3,290.0","1,077.0","879.0","241.0","251.0","241.0","202.0","239.0","1,024.0","1,569.0","1,515.0","1,212.0","1,521.0","1,635.0","1,565.0","1,642.0","1,661.0","1,503.0","1,499.0","1,355.0","1,268.0","1,026.0","982.0","1,087.0","1,052.0","1,055.0","1,180.0"
"32","14","      Net purchases of used structures","B819RC1","0.0","0.0","0.0","0.0","0.0","0.0","4.0","76.0","86.0","79.0","-13.0","-62.0","-28.0","-31.0","-64.0","-36.0","-46.0","-319.0","-205.0","-110.0","-51.0","-32.0","-2.0","-2.0","-2.0","-13.0","-144.0","0.0","69.0","186.0","58.0","95.0","188.0","191.0","26.0","-16.0","-153.0","-76.0","-91.0","-146.0","-94.0"
"33","15","    Nondefense","A830RC1","138.0","181.0","232.0","300.0","480.0","566.0","769.0","776.0","730.0","688.0","596.0","569.0","609.0","451.0","401.0","191.0","162.0","-4.0","325.0","679.0","1,088.0","1,116.0","1,088.0","1,093.0","1,054.0","903.0","615.0","897.0","1,127.0","1,404.0","1,481.0","1,664.0","1,871.0","2,121.0","2,319.0","2,548.0","2,755.0","2,832.0","2,217.0","2,085.0","1,889.0"
"34","16","      New","A831RC1","138.0","181.0","232.0","300.0","480.0","566.0","765.0","700.0","644.0","609.0","608.0","630.0","636.0","482.0","465.0","226.0","207.0","314.0","530.0","789.0","1,139.0","1,147.0","1,089.0","1,095.0","1,056.0","915.0","758.0","897.0","1,058.0","1,219.0","1,471.0","1,659.0","1,867.0","2,114.0","2,311.0","2,546.0","2,748.0","2,828.0","2,211.0","2,080.0","1,885.0"
"35","17","        Buildings","A832RC1","26.0","43.0","65.0","133.0","92.0","53.0","57.0","72.0","80.0","73.0","57.0","69.0","77.0","63.0","39.0","41.0","53.0","43.0","95.0","117.0","286.0","275.0","209.0","187.0","157.0","135.0","81.0","130.0","127.0","199.0","354.0","409.0","442.0","544.0","694.0","919.0","1,006.0","854.0","412.0","435.0","424.0"
"36","18","          Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","          Industrial","B834RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.0","70.0","102.0","68.0","62.0","72.0","77.0","65.0","73.0","96.0","115.0"
"38","20","          Educational \4\","B835RC1","1.0","1.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","5.0","5.0","58.0","3.0","0.0","0.0","2.0","18.0","9.0","9.0","6.0","8.0","8.0","11.0","11.0","20.0","28.0","29.0","26.0","24.0","14.0","13.0","22.0","14.0","11.0"
"39","21","          Hospital","B836RC1","1.0","2.0","4.0","7.0","5.0","3.0","3.0","4.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","5.0","10.0","10.0","30.0","98.0","169.0","146.0","132.0","113.0","66.0","35.0","22.0","37.0","45.0","35.0","58.0","56.0","55.0","55.0","66.0","71.0","93.0","80.0","33.0","45.0","52.0"
"40","22","          Other \5\","B837RC1","24.0","40.0","59.0","122.0","84.0","48.0","52.0","66.0","74.0","67.0","52.0","63.0","71.0","57.0","33.0","32.0","38.0","28.0","7.0","16.0","117.0","129.0","75.0","56.0","82.0","91.0","53.0","85.0","74.0","153.0","232.0","263.0","257.0","392.0","540.0","752.0","822.0","696.0","284.0","280.0","246.0"
"41","23","        Highways and streets \6\","B838RC1","11.0","17.0","22.0","21.0","44.0","61.0","64.0","53.0","42.0","37.0","35.0","30.0","26.0","17.0","7.0","7.0","11.0","21.0","34.0","39.0","57.0","45.0","41.0","50.0","63.0","65.0","70.0","77.0","100.0","113.0","94.0","136.0","134.0","160.0","183.0","173.0","169.0","248.0","244.0","233.0","213.0"
"42","24","        Conservation and development","B839RC1","88.0","112.0","136.0","140.0","340.0","444.0","636.0","568.0","512.0","484.0","496.0","496.0","488.0","352.0","284.0","164.0","132.0","240.0","393.0","628.0","791.0","820.0","832.0","851.0","829.0","705.0","597.0","676.0","817.0","884.0","972.0","1,005.0","1,200.0","1,298.0","1,338.0","1,390.0","1,505.0","1,665.0","1,497.0","1,363.0","1,185.0"
"43","25","        Other \7\","B840RC1","13.0","9.0","9.0","6.0","4.0","8.0","8.0","7.0","10.0","15.0","20.0","35.0","45.0","50.0","135.0","14.0","11.0","10.0","8.0","5.0","5.0","7.0","7.0","7.0","7.0","10.0","10.0","14.0","14.0","23.0","51.0","109.0","91.0","112.0","96.0","64.0","68.0","61.0","58.0","49.0","63.0"
"44","26","      Net purchases of used structures","B841RC1","0.0","0.0","0.0","0.0","0.0","0.0","4.0","76.0","86.0","79.0","-12.0","-61.0","-27.0","-31.0","-64.0","-35.0","-45.0","-318.0","-205.0","-110.0","-51.0","-31.0","-1.0","-2.0","-2.0","-12.0","-143.0","0.0","69.0","185.0","10.0","5.0","4.0","7.0","8.0","2.0","7.0","4.0","6.0","5.0","4.0"
"45","27","  State and local","A842RC1","2,413.0","2,715.0","2,447.0","1,580.0","1,176.0","1,624.0","1,459.0","2,763.0","2,368.0","2,756.0","3,131.0","2,556.0","2,074.0","1,400.0","771.0","603.0","708.0","1,405.0","2,527.0","3,589.0","4,887.0","5,385.0","6,419.0","6,727.0","7,278.0","8,479.0","9,274.0","10,367.0","11,458.0","12,482.0","12,839.0","12,702.0","13,786.0","14,524.0","15,969.0","17,232.0","18,953.0","20,993.0","23,042.0","25,220.0","25,579.0"
"46","28","    New","A843RC1","2,331.0","2,649.0","2,388.0","1,529.0","1,132.0","1,585.0","1,419.0","2,721.0","2,322.0","2,705.0","3,050.0","2,446.0","2,000.0","1,364.0","742.0","578.0","668.0","1,368.0","2,479.0","3,527.0","4,781.0","5,242.0","6,274.0","6,593.0","7,103.0","8,284.0","8,946.0","10,004.0","11,083.0","12,069.0","12,346.0","12,241.0","13,269.0","13,956.0","15,356.0","16,485.0","18,048.0","20,043.0","22,061.0","24,238.0","24,651.0"
"47","29","      Buildings","A844RC1","633.0","617.0","547.0","282.0","136.0","299.0","269.0","625.0","468.0","590.0","951.0","578.0","504.0","367.0","146.0","98.0","129.0","324.0","594.0","1,099.0","1,909.0","2,218.0","2,894.0","2,925.0","2,959.0","3,302.0","3,658.0","3,766.0","4,254.0","4,534.0","4,318.0","4,487.0","4,915.0","5,001.0","5,308.0","5,802.0","6,433.0","7,639.0","8,991.0","9,503.0","10,227.0"
"48","30","        Residential","B845RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","61.0","196.0","215.0","182.0","45.0","8.0","0.0","126.0","194.0","121.0","323.0","330.0","580.0","641.0","537.0","334.0","264.0","273.0","351.0","489.0","472.0","428.0","551.0","735.0","390.0","457.0","453.0","570.0","673.0","686.0","907.0"
"49","31","        Industrial","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"50","32","        Educational \8\","B847RC1","388.0","363.0","283.0","126.0","49.0","146.0","151.0","364.0","251.0","309.0","466.0","154.0","156.0","126.0","61.0","37.0","54.0","96.0","229.0","615.0","934.0","1,133.0","1,511.0","1,601.0","1,705.0","2,125.0","2,436.0","2,548.0","2,817.0","2,864.0","2,645.0","2,798.0","3,024.0","2,955.0","3,451.0","3,766.0","4,270.0","5,320.0","5,966.0","6,047.0","5,857.0"
"51","33","        Hospital","B848RC1","100.0","116.0","106.0","76.0","44.0","48.0","35.0","70.0","69.0","93.0","124.0","50.0","38.0","31.0","40.0","53.0","75.0","75.0","47.0","115.0","289.0","353.0","395.0","382.0","303.0","298.0","278.0","263.0","309.0","355.0","370.0","345.0","314.0","342.0","337.0","367.0","402.0","381.0","540.0","629.0","709.0"
"52","34","        Other \5\","B849RC1","145.0","138.0","158.0","80.0","43.0","105.0","83.0","191.0","148.0","185.0","300.0","178.0","95.0","28.0","0.0","0.0","0.0","27.0","124.0","248.0","363.0","402.0","408.0","301.0","414.0","545.0","680.0","682.0","777.0","826.0","831.0","916.0","1,026.0","969.0","1,130.0","1,212.0","1,308.0","1,368.0","1,812.0","2,141.0","2,754.0"
"53","35","      Highways and streets \9\","B851RC1","1,255.0","1,499.0","1,333.0","937.0","803.0","939.0","781.0","1,309.0","1,184.0","1,384.0","1,346.0","1,272.0","1,040.0","717.0","439.0","355.0","387.0","743.0","1,307.0","1,624.0","1,962.0","2,089.0","2,315.0","2,627.0","2,959.0","3,645.0","3,785.0","4,338.0","4,833.0","5,432.0","5,667.0","5,301.0","5,720.0","6,205.0","6,901.0","6,960.0","7,381.0","8,157.0","8,347.0","9,088.0","9,039.0"
"54","36","      Conservation and development","B857RC1","29.0","26.0","21.0","11.0","21.0","73.0","63.0","89.0","95.0","67.0","75.0","33.0","12.0","7.0","0.0","0.0","0.0","20.0","30.0","41.0","59.0","61.0","58.0","46.0","61.0","68.0","100.0","149.0","153.0","134.0","149.0","170.0","184.0","226.0","357.0","360.0","513.0","529.0","627.0","610.0","593.0"
"55","37","      Sewer systems","B858RC1","127.0","142.0","114.0","69.0","45.0","102.0","101.0","230.0","209.0","235.0","243.0","184.0","118.0","76.0","37.0","26.0","37.0","97.0","185.0","300.0","353.0","383.0","425.0","432.0","520.0","568.0","615.0","701.0","781.0","836.0","906.0","882.0","914.0","1,072.0","947.0","1,325.0","1,195.0","1,300.0","1,058.0","1,551.0","1,344.0"
"56","38","      Water systems","B859RC1","126.0","201.0","156.0","87.0","50.0","71.0","74.0","112.0","102.0","120.0","128.0","154.0","134.0","93.0","70.0","53.0","60.0","97.0","163.0","235.0","265.0","276.0","350.0","355.0","363.0","414.0","470.0","574.0","563.0","551.0","561.0","605.0","667.0","682.0","882.0","956.0","1,266.0","1,066.0","1,270.0","1,514.0","1,336.0"
"57","39","      Other \7\","B860RC1","161.0","164.0","217.0","143.0","77.0","101.0","131.0","356.0","264.0","309.0","307.0","225.0","192.0","104.0","50.0","46.0","55.0","87.0","200.0","228.0","233.0","215.0","232.0","208.0","241.0","287.0","318.0","476.0","499.0","582.0","745.0","796.0","869.0","770.0","961.0","1,082.0","1,260.0","1,352.0","1,768.0","1,972.0","2,112.0"
"58","40","    Net purchases of used structures","B870RC1","82.0","66.0","59.0","51.0","44.0","39.0","40.0","42.0","46.0","51.0","81.0","110.0","74.0","36.0","29.0","25.0","40.0","37.0","48.0","62.0","106.0","143.0","145.0","134.0","175.0","195.0","328.0","363.0","375.0","413.0","493.0","461.0","517.0","568.0","613.0","747.0","905.0","950.0","981.0","982.0","928.0"
"59","41","Equipment","Y054RC1","265.0","240.0","261.0","222.0","221.0","316.0","471.0","405.0","461.0","528.0","567.0","573.0","4,221.0","16,360.0","31,962.0","33,318.0","21,236.0","1,612.0","1,270.0","2,258.0","3,245.0","2,616.0","7,942.0","11,140.0","12,313.0","10,238.0","8,760.0","8,896.0","9,479.0","9,693.0","11,995.0","11,571.0","13,077.0","14,097.0","12,807.0","12,413.0","11,213.0","13,078.0","15,027.0","13,642.0","12,858.0"
"60","42","  Federal","Y058RC1","35.0","47.0","59.0","37.0","72.0","170.0","328.0","267.0","265.0","316.0","329.0","372.0","4,060.0","16,227.0","31,865.0","33,221.0","21,138.0","1,437.0","956.0","1,828.0","2,790.0","2,139.0","7,394.0","10,545.0","11,681.0","9,523.0","7,999.0","8,001.0","8,417.0","8,641.0","10,914.0","10,359.0","11,829.0","12,770.0","11,298.0","10,702.0","9,377.0","11,038.0","12,857.0","11,300.0","10,277.0"
"61","43","    National defense","Y050RC1","12.0","23.0","33.0","24.0","42.0","41.0","42.0","80.0","92.0","115.0","151.0","201.0","3,631.0","15,739.0","31,537.0","32,952.0","20,995.0","1,227.0","792.0","1,588.0","2,561.0","1,906.0","7,117.0","10,145.0","11,377.0","9,299.0","7,814.0","7,797.0","8,196.0","8,468.0","10,691.0","10,098.0","11,486.0","12,454.0","10,911.0","10,134.0","8,863.0","10,430.0","12,225.0","10,804.0","9,716.0"
"62","44","      Aircraft","B874RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"63","45","      Missiles","B875RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"64","46","      Ships","B876RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"65","47","      Vehicles","B877RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"66","48","      Electronics","Y051RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"67","49","      Other equipment","B879RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"68","50","    Nondefense","Y066RC1","23.0","24.0","26.0","13.0","30.0","129.0","286.0","187.0","173.0","201.0","178.0","171.0","429.0","488.0","328.0","269.0","143.0","210.0","164.0","240.0","229.0","233.0","277.0","400.0","304.0","224.0","185.0","204.0","221.0","173.0","223.0","261.0","343.0","316.0","387.0","568.0","514.0","608.0","632.0","496.0","561.0"
"69","51","  State and local","Y070RC1","230.0","193.0","202.0","185.0","149.0","146.0","143.0","138.0","196.0","212.0","238.0","201.0","161.0","133.0","97.0","97.0","98.0","175.0","314.0","430.0","455.0","477.0","548.0","595.0","632.0","715.0","761.0","895.0","1,062.0","1,052.0","1,081.0","1,212.0","1,248.0","1,327.0","1,509.0","1,711.0","1,836.0","2,040.0","2,170.0","2,342.0","2,581.0"
"70","52","Intellectual property products \2\","Y055RC1","62.0","80.0","94.0","115.0","105.0","92.0","91.0","103.0","107.0","118.0","126.0","137.0","324.0","508.0","933.0","1,553.0","1,530.0","1,407.0","1,389.0","1,594.0","1,723.0","1,883.0","2,103.0","2,376.0","2,684.0","3,042.0","3,586.0","4,846.0","5,880.0","6,427.0","7,005.0","7,828.0","8,807.0","9,867.0","11,705.0","12,920.0","13,804.0","15,404.0","16,179.0","17,044.0","17,724.0"
"71","53","  Federal","Y059RC1","33.0","50.0","62.0","83.0","76.0","62.0","58.0","67.0","69.0","78.0","85.0","96.0","280.0","465.0","893.0","1,513.0","1,485.0","1,358.0","1,340.0","1,544.0","1,667.0","1,820.0","2,032.0","2,299.0","2,598.0","2,942.0","3,476.0","4,724.0","5,744.0","6,277.0","6,839.0","7,635.0","8,589.0","9,621.0","11,413.0","12,589.0","13,428.0","14,958.0","15,670.0","16,478.0","17,066.0"
"72","54","    National defense","Y052RC1","17.0","26.0","24.0","33.0","30.0","24.0","23.0","27.0","27.0","30.0","33.0","36.0","210.0","360.0","721.0","1,318.0","1,322.0","1,226.0","1,188.0","1,301.0","1,336.0","1,303.0","1,503.0","1,823.0","2,228.0","2,591.0","3,037.0","4,115.0","4,883.0","5,154.0","5,702.0","5,940.0","6,520.0","6,701.0","6,935.0","6,925.0","6,666.0","7,023.0","7,881.0","7,872.0","8,243.0"
