"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Net domestic product","A362RC1","895,015.0","939,101.0","1,018,905.0","1,121,552.0","1,250,469.0","1,342,657.0","1,451,386.0","1,618,378.0","1,797,617.0","2,031,508.0","2,261,010.0","2,436,498.0","2,725,910.0","2,810,675.0","3,077,591.0","3,446,359.0","3,710,081.0","3,907,992.0","4,142,265.0","4,470,242.0","4,821,583.0","5,092,760.0","5,242,918.0","5,579,574.0","5,875,120.0","6,253,183.0","6,541,277.0","6,924,181.0","7,368,560.0","7,778,897.0","8,259,763.0","8,770,539.0","9,017,845.0","9,315,446.0","9,783,450.0","10,443,229.0","11,111,770.0","11,719,869.0","12,213,285.0","12,355,209.0","12,050,357.0","12,582,781.0","13,067,283.0","13,632,973.0","14,140,813.0"
"20","2","Business \1\","A363RC1","706,613.0","732,022.0","790,723.0","872,754.0","982,920.0","1,053,122.0","1,132,740.0","1,276,526.0","1,429,770.0","1,627,566.0","1,820,332.0","1,945,692.0","2,179,761.0","2,211,153.0","2,429,237.0","2,743,803.0","2,952,287.0","3,094,880.0","3,266,122.0","3,515,132.0","3,787,797.0","3,970,742.0","4,044,525.0","4,302,267.0","4,532,529.0","4,844,424.0","5,067,385.0","5,391,755.0","5,763,925.0","6,085,589.0","6,461,840.0","6,855,018.0","6,983,056.0","7,152,119.0","7,503,741.0","8,045,172.0","8,605,660.0","9,100,781.0","9,482,342.0","9,446,600.0","9,022,645.0","9,482,307.0","9,906,164.0","10,421,779.0","10,864,133.0"
"21","3","  Nonfarm \2\","A364RC1","688,554.0","713,397.0","770,791.0","848,952.0","942,511.0","1,016,364.0","1,096,063.0","1,243,494.0","1,397,432.0","1,589,359.0","1,774,507.0","1,910,687.0","2,132,824.0","2,169,826.0","2,403,247.0","2,698,284.0","2,906,741.0","3,052,840.0","3,221,514.0","3,471,037.0","3,731,440.0","3,910,910.0","3,992,409.0","4,240,664.0","4,479,545.0","4,779,600.0","5,018,555.0","5,319,404.0","5,696,896.0","6,028,609.0","6,413,535.0","6,801,798.0","6,928,128.0","7,101,645.0","7,434,978.0","7,952,069.0","8,528,990.0","9,030,970.0","9,399,776.0","9,353,114.0","8,947,023.0","9,387,612.0","9,775,010.0","10,297,091.0","10,710,028.0"
"22","4","  Farm","A365RC1","18,059.0","18,625.0","19,932.0","23,802.0","40,409.0","36,758.0","36,677.0","33,032.0","32,338.0","38,207.0","45,825.0","35,005.0","46,937.0","41,327.0","25,990.0","45,519.0","45,546.0","42,040.0","44,608.0","44,095.0","56,357.0","59,832.0","52,116.0","61,603.0","52,984.0","64,824.0","48,830.0","72,351.0","67,029.0","56,980.0","48,305.0","53,220.0","54,928.0","50,474.0","68,763.0","93,103.0","76,670.0","69,811.0","82,566.0","93,486.0","75,622.0","94,695.0","131,154.0","124,688.0","154,105.0"
"23","5","Households and institutions","W503RC1","72,351.0","78,745.0","86,990.0","94,466.0","102,252.0","111,260.0","122,076.0","132,073.0","141,896.0","157,895.0","174,527.0","198,457.0","225,468.0","252,690.0","279,761.0","306,813.0","329,649.0","358,204.0","393,494.0","436,898.0","474,200.0","517,329.0","553,355.0","592,415.0","635,323.0","677,156.0","720,912.0","758,880.0","802,205.0","854,940.0","911,128.0","972,677.0","1,029,202.0","1,090,573.0","1,136,263.0","1,187,514.0","1,237,454.0","1,293,209.0","1,335,884.0","1,440,686.0","1,510,347.0","1,528,309.0","1,576,126.0","1,619,383.0","1,667,460.0"
"24","6","  Households","W504RC1","46,041.0","49,359.0","54,129.0","58,190.0","61,957.0","66,443.0","72,124.0","77,690.0","82,478.0","91,586.0","100,162.0","113,375.0","129,009.0","144,393.0","159,263.0","173,559.0","186,777.0","201,695.0","217,468.0","238,056.0","256,290.0","277,490.0","293,645.0","312,142.0","335,000.0","361,472.0","388,102.0","409,402.0","433,015.0","459,924.0","491,688.0","526,536.0","563,052.0","588,143.0","606,837.0","631,299.0","663,845.0","693,091.0","710,652.0","774,197.0","812,704.0","818,830.0","839,272.0","855,586.0","880,126.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","26,310.0","29,386.0","32,861.0","36,276.0","40,295.0","44,817.0","49,952.0","54,383.0","59,418.0","66,309.0","74,365.0","85,082.0","96,459.0","108,297.0","120,498.0","133,254.0","142,872.0","156,509.0","176,026.0","198,842.0","217,910.0","239,839.0","259,710.0","280,273.0","300,323.0","315,684.0","332,810.0","349,478.0","369,190.0","395,016.0","419,440.0","446,141.0","466,150.0","502,430.0","529,426.0","556,215.0","573,609.0","600,118.0","625,232.0","666,489.0","697,643.0","709,479.0","736,854.0","763,797.0","787,334.0"
"26","8","General government \4\","A194RC1","116,051.0","128,334.0","141,192.0","154,332.0","165,297.0","178,275.0","196,570.0","209,779.0","225,951.0","246,047.0","266,151.0","292,349.0","320,681.0","346,832.0","368,593.0","395,743.0","428,145.0","454,908.0","482,649.0","518,212.0","559,586.0","604,689.0","645,038.0","684,892.0","707,268.0","731,603.0","752,980.0","773,546.0","802,430.0","838,368.0","886,795.0","942,844.0","1,005,587.0","1,072,754.0","1,143,446.0","1,210,543.0","1,268,656.0","1,325,879.0","1,395,059.0","1,467,923.0","1,517,365.0","1,572,165.0","1,584,993.0","1,591,811.0","1,609,220.0"
"27","9","  Federal","B568RC1","51,433.0","55,172.0","58,823.0","62,622.0","64,575.0","67,770.0","72,534.0","76,454.0","80,865.0","87,130.0","91,950.0","100,753.0","112,226.0","121,997.0","127,713.0","136,537.0","144,950.0","149,079.0","153,078.0","161,932.0","168,456.0","176,006.0","186,491.0","189,571.0","188,055.0","186,073.0","183,338.0","182,172.0","183,457.0","185,846.0","191,682.0","202,444.0","211,183.0","236,362.0","266,924.0","284,247.0","303,686.0","314,780.0","329,561.0","350,247.0","375,491.0","404,756.0","413,579.0","411,072.0","402,827.0"
"28","10","  State and local","B251RC1","64,618.0","73,162.0","82,369.0","91,710.0","100,722.0","110,505.0","124,036.0","133,325.0","145,086.0","158,917.0","174,201.0","191,596.0","208,455.0","224,835.0","240,880.0","259,206.0","283,195.0","305,829.0","329,571.0","356,280.0","391,130.0","428,683.0","458,547.0","495,321.0","519,213.0","545,530.0","569,642.0","591,374.0","618,973.0","652,522.0","695,113.0","740,400.0","794,404.0","836,392.0","876,522.0","926,296.0","964,970.0","1,011,099.0","1,065,498.0","1,117,676.0","1,141,874.0","1,167,409.0","1,171,414.0","1,180,739.0","1,206,393.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
