"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","      Equals: Net domestic investment","W171RC1","9,692.0","4,495.0","142.0","-4,236.0","-3,689.0","-1,440.0","1,759.0","4,834.0","7,114.0","2,206.0","4,731.0","8,447.0","18,112.0","25,855.0","29,279.0","25,949.0","14,514.0","12,066.0","13,613.0","27,440.0","18,067.0","34,554.0","44,566.0","41,268.0","43,590.0","37,478.0","49,231.0","50,693.0","47,823.0","41,145.0","56,084.0","54,583.0","55,871.0","65,474.0","69,717.0","76,163.0","89,526.0","102,460.0","96,841.0","102,832.0","108,238.0"
"22","4","Gross private domestic investment","A006RC1","17,168.0","11,428.0","6,549.0","1,818.0","2,273.0","4,296.0","7,370.0","9,391.0","12,964.0","7,943.0","10,228.0","14,577.0","19,370.0","11,763.0","7,400.0","9,180.0","12,400.0","33,129.0","37,130.0","50,345.0","39,095.0","56,532.0","62,753.0","57,267.0","60,415.0","58,068.0","73,760.0","77,682.0","76,505.0","70,949.0","85,666.0","86,477.0","86,579.0","96,976.0","103,281.0","112,153.0","129,643.0","144,186.0","142,699.0","156,922.0","173,560.0"
"23","5","Less: Consumption of fixed capital","A024RC1","9,410.0","9,219.0","8,551.0","7,464.0","7,040.0","7,287.0","7,325.0","7,508.0","8,369.0","8,580.0","8,593.0","8,974.0","9,950.0","11,245.0","11,538.0","12,040.0","12,508.0","14,248.0","17,735.0","20,822.0","22,591.0","24,332.0","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"24","6","Equals: Net private domestic investment","A557RC1","7,758.0","2,209.0","-2,002.0","-5,646.0","-4,767.0","-2,991.0","45.0","1,883.0","4,595.0","-637.0","1,635.0","5,603.0","9,420.0","518.0","-4,138.0","-2,860.0","-108.0","18,881.0","19,395.0","29,523.0","16,504.0","32,200.0","35,007.0","27,725.0","29,069.0","25,110.0","38,768.0","38,873.0","34,248.0","26,038.0","38,848.0","38,269.0","36,797.0","45,184.0","49,123.0","54,878.0","68,077.0","77,016.0","69,373.0","76,320.0","84,127.0"
"25","7","  Fixed investment","A007RC1","15,628.0","11,651.0","7,661.0","4,169.0","3,676.0","4,876.0","6,230.0","8,230.0","10,339.0","8,518.0","10,021.0","12,184.0","15,040.0","9,857.0","8,146.0","10,104.0","13,876.0","27,118.0","37,680.0","44,687.0","41,787.0","50,762.0","52,844.0","53,753.0","58,467.0","60,005.0","68,772.0","73,732.0","75,728.0","71,315.0","81,749.0","83,245.0","83,605.0","90,875.0","97,660.0","107,332.0","120,396.0","130,550.0","132,833.0","147,869.0","164,387.0"
"26","8","  Less: Consumption of fixed capital","A024RC1","9,410.0","9,219.0","8,551.0","7,464.0","7,040.0","7,287.0","7,325.0","7,508.0","8,369.0","8,580.0","8,593.0","8,974.0","9,950.0","11,245.0","11,538.0","12,040.0","12,508.0","14,248.0","17,735.0","20,822.0","22,591.0","24,332.0","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"27","9","  Equals: Net fixed investment","A560RC1","6,218.0","2,432.0","-890.0","-3,295.0","-3,364.0","-2,411.0","-1,095.0","722.0","1,970.0","-62.0","1,428.0","3,210.0","5,090.0","-1,388.0","-3,392.0","-1,936.0","1,368.0","12,870.0","19,945.0","23,865.0","19,196.0","26,430.0","25,098.0","24,211.0","27,121.0","27,047.0","33,780.0","34,923.0","33,471.0","26,404.0","34,931.0","35,037.0","33,823.0","39,083.0","43,502.0","50,057.0","58,830.0","63,380.0","59,507.0","67,267.0","74,954.0"
"28","10","    Nonresidential","A008RC1","11,557.0","9,184.0","5,762.0","3,294.0","2,952.0","3,833.0","4,830.0","6,404.0","8,178.0","6,279.0","6,870.0","8,541.0","10,824.0","7,504.0","6,578.0","8,608.0","12,053.0","19,163.0","25,471.0","28,879.0","26,946.0","30,018.0","34,183.0","34,895.0","38,768.0","38,563.0","43,369.0","49,745.0","53,097.0","48,492.0","53,121.0","56,389.0","56,594.0","61,232.0","64,805.0","72,232.0","85,233.0","97,172.0","99,206.0","107,670.0","120,012.0"
"29","11","    Less: Consumption of fixed capital","A753RC1","7,506.0","7,335.0","6,839.0","6,084.0","5,695.0","5,795.0","5,844.0","5,956.0","6,646.0","6,796.0","6,787.0","7,086.0","7,855.0","8,986.0","9,114.0","9,411.0","9,704.0","11,133.0","13,813.0","16,364.0","17,882.0","19,286.0","22,070.0","23,464.0","24,959.0","26,265.0","27,832.0","31,099.0","34,198.0","36,551.0","38,034.0","38,939.0","40,108.0","41,684.0","43,629.0","46,122.0","49,571.0","54,208.0","59,420.0","65,378.0","72,373.0"
"30","12","    Equals: Net nonresidential","A593RC1","4,051.0","1,849.0","-1,077.0","-2,790.0","-2,743.0","-1,962.0","-1,014.0","448.0","1,532.0","-517.0","83.0","1,455.0","2,969.0","-1,482.0","-2,536.0","-803.0","2,349.0","8,030.0","11,658.0","12,515.0","9,064.0","10,732.0","12,113.0","11,431.0","13,809.0","12,298.0","15,537.0","18,646.0","18,899.0","11,941.0","15,087.0","17,450.0","16,486.0","19,548.0","21,176.0","26,110.0","35,662.0","42,964.0","39,786.0","42,292.0","47,639.0"
"31","13","      Structures","B009RC1","5,491.0","4,448.0","2,619.0","1,392.0","1,091.0","1,234.0","1,433.0","1,878.0","2,706.0","2,124.0","2,217.0","2,557.0","3,250.0","2,241.0","1,770.0","2,369.0","3,336.0","7,381.0","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"32","14","      Less: Consumption of fixed capital","B188RC1","2,557.0","2,486.0","2,314.0","2,027.0","1,999.0","2,046.0","2,086.0","2,113.0","2,379.0","2,350.0","2,327.0","2,376.0","2,562.0","2,870.0","3,084.0","3,108.0","3,233.0","3,658.0","4,518.0","5,161.0","5,237.0","5,426.0","6,194.0","6,548.0","6,871.0","7,016.0","7,392.0","8,296.0","8,963.0","9,109.0","9,433.0","9,686.0","9,874.0","10,223.0","10,545.0","10,980.0","11,664.0","12,555.0","13,410.0","14,554.0","16,006.0"
"33","15","      Equals: Net structures","A594RC1","2,934.0","1,962.0","305.0","-635.0","-908.0","-812.0","-653.0","-235.0","327.0","-226.0","-110.0","181.0","688.0","-629.0","-1,314.0","-739.0","103.0","3,723.0","3,619.0","4,365.0","3,941.0","4,531.0","5,760.0","5,676.0","6,699.0","6,849.0","7,765.0","9,884.0","9,987.0","8,520.0","8,716.0","9,882.0","9,841.0","10,555.0","10,654.0","12,757.0","16,657.0","18,794.0","18,101.0","19,003.0","21,692.0"
"34","16","      Equipment","Y033RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,876.0","28,345.0","29,679.0","28,904.0","32,056.0","34,367.0","38,684.0","45,779.0","53,023.0","53,693.0","58,532.0","65,163.0"
"35","17","      Less: Consumption of fixed capital","Y080RC1","4,604.0","4,491.0","4,162.0","3,703.0","3,365.0","3,402.0","3,385.0","3,434.0","3,812.0","3,963.0","3,938.0","4,141.0","4,630.0","5,304.0","5,083.0","5,259.0","5,371.0","6,251.0","7,845.0","9,587.0","10,961.0","12,070.0","13,895.0","14,775.0","15,684.0","16,572.0","17,439.0","19,365.0","21,305.0","23,048.0","23,761.0","23,923.0","24,415.0","25,142.0","26,242.0","27,639.0","29,739.0","32,564.0","35,866.0","39,372.0","43,374.0"
"36","18","      Equals: Net equipment","Y081RC1","888.0","-311.0","-1,519.0","-2,243.0","-1,929.0","-1,304.0","-552.0","447.0","958.0","-562.0","-55.0","1,026.0","1,813.0","-1,239.0","-1,412.0","-257.0","1,914.0","3,694.0","7,471.0","7,693.0","4,771.0","5,729.0","5,979.0","4,919.0","5,847.0","4,240.0","6,449.0","6,978.0","7,256.0","1,828.0","4,584.0","5,756.0","4,489.0","6,914.0","8,125.0","11,045.0","16,040.0","20,459.0","17,827.0","19,160.0","21,789.0"
"37","19","      Intellectual property products","Y001RC1","574.0","556.0","500.0","442.0","425.0","501.0","564.0","645.0","702.0","754.0","770.0","817.0","1,131.0","1,198.0","1,137.0","1,237.0","1,432.0","1,837.0","2,018.0","2,073.0","2,036.0","2,262.0","2,355.0","2,977.0","3,667.0","3,886.0","4,324.0","5,222.0","5,586.0","5,987.0","6,627.0","7,142.0","7,975.0","8,398.0","9,239.0","9,811.0","11,133.0","12,800.0","14,002.0","15,581.0","17,151.0"
"38","20","      Less: Consumption of fixed capital","Y083RC1","345.0","358.0","363.0","354.0","331.0","347.0","373.0","409.0","455.0","483.0","522.0","569.0","663.0","812.0","947.0","1,044.0","1,100.0","1,224.0","1,450.0","1,616.0","1,684.0","1,790.0","1,981.0","2,141.0","2,404.0","2,677.0","3,001.0","3,438.0","3,930.0","4,394.0","4,840.0","5,330.0","5,819.0","6,319.0","6,842.0","7,503.0","8,168.0","9,089.0","10,144.0","11,452.0","12,993.0"
"39","21","      Equals: Net intellectual property products","Y084RC1","229.0","198.0","137.0","88.0","94.0","154.0","191.0","236.0","247.0","271.0","248.0","248.0","468.0","386.0","190.0","193.0","332.0","613.0","568.0","457.0","352.0","472.0","374.0","836.0","1,263.0","1,209.0","1,323.0","1,784.0","1,656.0","1,593.0","1,787.0","1,812.0","2,156.0","2,079.0","2,397.0","2,308.0","2,965.0","3,711.0","3,858.0","4,129.0","4,158.0"
"40","22","    Residential","A011RC1","4,071.0","2,467.0","1,899.0","875.0","724.0","1,043.0","1,400.0","1,826.0","2,161.0","2,239.0","3,151.0","3,643.0","4,216.0","2,353.0","1,568.0","1,496.0","1,823.0","7,955.0","12,209.0","15,808.0","14,841.0","20,744.0","18,661.0","18,858.0","19,699.0","21,442.0","25,403.0","23,987.0","22,631.0","22,823.0","28,628.0","26,856.0","27,011.0","29,643.0","32,855.0","35,100.0","35,163.0","33,378.0","33,627.0","40,199.0","44,375.0"
"41","23","    Less: Consumption of fixed capital","A754RC1","1,905.0","1,886.0","1,710.0","1,380.0","1,347.0","1,493.0","1,481.0","1,554.0","1,725.0","1,783.0","1,803.0","1,889.0","2,095.0","2,260.0","2,425.0","2,626.0","2,803.0","3,115.0","3,922.0","4,456.0","4,707.0","5,048.0","5,676.0","6,080.0","6,385.0","6,693.0","7,163.0","7,711.0","8,061.0","8,360.0","8,785.0","9,270.0","9,673.0","10,110.0","10,529.0","11,154.0","11,998.0","12,965.0","13,907.0","15,224.0","17,059.0"
"42","24","    Equals: Net residential","A748RC1","2,166.0","581.0","189.0","-505.0","-623.0","-450.0","-81.0","272.0","436.0","456.0","1,348.0","1,754.0","2,121.0","93.0","-857.0","-1,130.0","-980.0","4,840.0","8,287.0","11,352.0","10,134.0","15,696.0","12,985.0","12,778.0","13,314.0","14,749.0","18,240.0","16,276.0","14,570.0","14,463.0","19,843.0","17,586.0","17,338.0","19,533.0","22,326.0","23,946.0","23,165.0","20,413.0","19,720.0","24,975.0","27,316.0"
"43","25","  Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"44","26","Gross government investment \1\","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"45","27","Less: Consumption of fixed capital","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"46","28","Equals: Net government investment","A889RC1","1,934.0","2,286.0","2,144.0","1,410.0","1,078.0","1,551.0","1,714.0","2,951.0","2,519.0","2,843.0","3,096.0","2,844.0","8,692.0","25,337.0","33,417.0","28,809.0","14,622.0","-6,815.0","-5,782.0","-2,083.0","1,563.0","2,354.0","9,559.0","13,543.0","14,521.0","12,368.0","10,463.0","11,820.0","13,575.0","15,107.0","17,236.0","16,314.0","19,074.0","20,290.0","20,594.0","21,285.0","21,449.0","25,444.0","27,468.0","26,512.0","24,111.0"
"47","29","    Federal","A890RC1","16.0","110.0","197.0","263.0","461.0","615.0","928.0","951.0","912.0","864.0","742.0","1,148.0","7,651.0","25,203.0","34,032.0","29,533.0","15,207.0","-6,873.0","-6,798.0","-4,014.0","-1,658.0","-1,393.0","5,142.0","8,941.0","9,417.0","6,031.0","3,475.0","4,063.0","4,863.0","5,535.0","7,501.0","6,754.0","8,636.0","9,354.0","8,354.0","7,941.0","6,728.0","9,070.0","9,521.0","6,993.0","4,947.0"
"48","30","      National defense","B891RC1","-112.0","-68.0","-40.0","-40.0","-24.0","-21.0","-36.0","112.0","160.0","147.0","149.0","612.0","6,858.0","24,537.0","33,528.0","29,365.0","15,196.0","-6,703.0","-6,867.0","-4,585.0","-2,677.0","-2,592.0","4,006.0","7,784.0","8,546.0","5,421.0","3,137.0","3,309.0","3,685.0","3,963.0","5,908.0","4,503.0","5,890.0","5,731.0","3,225.0","1,612.0","-395.0","1,187.0","2,936.0","493.0","-890.0"
"49","31","      Nondefense","B892RC1","128.0","178.0","237.0","303.0","485.0","636.0","964.0","839.0","752.0","717.0","593.0","536.0","793.0","666.0","504.0","168.0","11.0","-170.0","69.0","571.0","1,019.0","1,199.0","1,136.0","1,157.0","871.0","610.0","338.0","754.0","1,178.0","1,572.0","1,593.0","2,251.0","2,746.0","3,623.0","5,129.0","6,329.0","7,123.0","7,883.0","6,585.0","6,500.0","5,837.0"
"50","32","    State and local","A893RC1","1,918.0","2,175.0","1,946.0","1,146.0","617.0","936.0","786.0","2,000.0","1,607.0","1,979.0","2,355.0","1,697.0","1,041.0","134.0","-615.0","-724.0","-585.0","60.0","1,016.0","1,931.0","3,222.0","3,746.0","4,417.0","4,603.0","5,104.0","6,337.0","6,987.0","7,757.0","8,712.0","9,571.0","9,735.0","9,559.0","10,438.0","10,937.0","12,241.0","13,344.0","14,721.0","16,374.0","17,946.0","19,518.0","19,164.0"
"51","33","  Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,024.0","4,636.0","6,342.0","6,953.0","9,526.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"52","34","  Less: Consumption of fixed capital","A894RC1","719.0","709.0","674.0","571.0","666.0","808.0","801.0","915.0","977.0","1,022.0","1,042.0","1,091.0","1,279.0","1,654.0","1,955.0","1,978.0","1,998.0","2,287.0","2,721.0","3,002.0","3,014.0","2,922.0","3,489.0","3,731.0","3,847.0","3,894.0","4,072.0","4,586.0","4,987.0","5,181.0","5,373.0","5,504.0","5,742.0","6,060.0","6,419.0","6,758.0","7,196.0","7,817.0","8,408.0","9,168.0","10,198.0"
"53","35","  Equals: Net structures","A895RC1","1,856.0","2,224.0","2,056.0","1,352.0","1,037.0","1,454.0","1,488.0","2,803.0","2,353.0","2,625.0","2,859.0","2,636.0","4,972.0","10,463.0","5,042.0","1,300.0","544.0","-598.0","303.0","1,634.0","3,328.0","4,031.0","6,037.0","7,373.0","7,811.0","8,217.0","7,938.0","8,808.0","9,885.0","11,320.0","11,483.0","11,096.0","12,273.0","12,575.0","13,509.0","14,298.0","15,650.0","17,268.0","18,046.0","19,380.0","18,761.0"
"54","36","      Federal","A896RC1","50.0","113.0","184.0","256.0","431.0","522.0","708.0","807.0","790.0","701.0","578.0","962.0","3,905.0","10,264.0","5,566.0","1,943.0","1,061.0","-659.0","-625.0","-135.0","271.0","441.0","1,789.0","2,960.0","2,910.0","2,133.0","1,170.0","1,343.0","1,606.0","2,124.0","2,130.0","2,000.0","2,280.0","2,114.0","1,874.0","1,677.0","1,683.0","1,754.0","963.0","737.0","572.0"
"55","37","        National defense","B897RC1","-49.0","-29.0","-9.0","-8.0","-7.0","12.0","1.0","111.0","157.0","126.0","95.0","516.0","3,433.0","9,954.0","5,315.0","1,917.0","1,061.0","-445.0","-703.0","-547.0","-539.0","-395.0","1,004.0","2,191.0","2,191.0","1,573.0","912.0","834.0","892.0","1,146.0","1,091.0","793.0","899.0","514.0","135.0","-261.0","-423.0","-349.0","-483.0","-517.0","-390.0"
"56","38","        Nondefense","B898RC1","99.0","142.0","193.0","264.0","438.0","510.0","707.0","696.0","633.0","575.0","483.0","446.0","472.0","310.0","251.0","26.0","0.0","-214.0","78.0","412.0","810.0","836.0","785.0","769.0","719.0","560.0","258.0","509.0","714.0","978.0","1,039.0","1,207.0","1,381.0","1,600.0","1,739.0","1,938.0","2,106.0","2,103.0","1,446.0","1,254.0","962.0"
"57","39","      State and local","B899RC1","1,806.0","2,111.0","1,872.0","1,096.0","606.0","932.0","780.0","1,996.0","1,563.0","1,924.0","2,281.0","1,674.0","1,067.0","199.0","-524.0","-643.0","-517.0","61.0","928.0","1,769.0","3,057.0","3,590.0","4,248.0","4,413.0","4,901.0","6,084.0","6,768.0","7,465.0","8,279.0","9,196.0","9,353.0","9,096.0","9,993.0","10,461.0","11,635.0","12,621.0","13,967.0","15,514.0","17,083.0","18,643.0","18,189.0"
"58","40","  Equipment","Y054RC1","265.0","240.0","261.0","222.0","221.0","316.0","471.0","405.0","461.0","528.0","567.0","573.0","4,221.0","16,360.0","31,962.0","33,318.0","21,236.0","1,612.0","1,270.0","2,258.0","3,245.0","2,616.0","7,942.0","11,140.0","12,313.0","10,238.0","8,760.0","8,896.0","9,479.0","9,693.0","11,995.0","11,571.0","13,077.0","14,097.0","12,807.0","12,413.0","11,213.0","13,078.0","15,027.0","13,642.0","12,858.0"
"59","41","  Less: Consumption of fixed capital","Y085RC1","228.0","230.0","231.0","235.0","233.0","251.0","276.0","294.0","326.0","345.0","371.0","411.0","713.0","1,817.0","4,226.0","6,847.0","8,001.0","8,404.0","7,749.0","6,479.0","5,529.0","4,856.0","4,991.0","5,672.0","6,441.0","7,101.0","7,512.0","7,989.0","8,388.0","8,457.0","8,809.0","9,211.0","9,547.0","10,131.0","10,684.0","10,877.0","11,126.0","11,473.0","12,151.0","12,869.0","13,421.0"
"60","42","  Equals: Net equipment","Y086RC1","37.0","10.0","30.0","-13.0","-12.0","65.0","195.0","111.0","135.0","183.0","196.0","162.0","3,508.0","14,543.0","27,736.0","26,471.0","13,235.0","-6,792.0","-6,479.0","-4,221.0","-2,284.0","-2,240.0","2,951.0","5,468.0","5,872.0","3,137.0","1,248.0","907.0","1,091.0","1,236.0","3,186.0","2,360.0","3,530.0","3,966.0","2,123.0","1,536.0","87.0","1,605.0","2,876.0","773.0","-563.0"
"61","43","      Federal","Y087RC1","-65.0","-46.0","-33.0","-54.0","-16.0","68.0","198.0","118.0","101.0","138.0","133.0","148.0","3,543.0","14,613.0","27,825.0","26,548.0","13,303.0","-6,789.0","-6,573.0","-4,389.0","-2,448.0","-2,390.0","2,790.0","5,291.0","5,689.0","2,912.0","1,061.0","648.0","698.0","905.0","2,853.0","1,959.0","3,159.0","3,575.0","1,626.0","933.0","-530.0","912.0","2,201.0","89.0","-1,319.0"
