"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","      Gross investment \2\","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"22","4","        Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,024.0","4,636.0","6,342.0","6,953.0","9,526.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"23","5","        Equipment","Y054RC1","265.0","240.0","261.0","222.0","221.0","316.0","471.0","405.0","461.0","528.0","567.0","573.0","4,221.0","16,360.0","31,962.0","33,318.0","21,236.0","1,612.0","1,270.0","2,258.0","3,245.0","2,616.0","7,942.0","11,140.0","12,313.0","10,238.0","8,760.0","8,896.0","9,479.0","9,693.0","11,995.0","11,571.0","13,077.0","14,097.0","12,807.0","12,413.0","11,213.0","13,078.0","15,027.0","13,642.0","12,858.0"
"24","6","        Intellectual property products","Y055RC1","62.0","80.0","94.0","115.0","105.0","92.0","91.0","103.0","107.0","118.0","126.0","137.0","324.0","508.0","933.0","1,553.0","1,530.0","1,407.0","1,389.0","1,594.0","1,723.0","1,883.0","2,103.0","2,376.0","2,684.0","3,042.0","3,586.0","4,846.0","5,880.0","6,427.0","7,005.0","7,828.0","8,807.0","9,867.0","11,705.0","12,920.0","13,804.0","15,404.0","16,179.0","17,044.0","17,724.0"
"25","7","          Software","Y056RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","35.0","51.0","65.0","112.0","136.0","171.0","257.0","317.0","380.0","541.0"
"26","8","          Research and development","Y057RC1","62.0","80.0","94.0","115.0","105.0","92.0","91.0","103.0","107.0","118.0","126.0","137.0","324.0","508.0","933.0","1,553.0","1,530.0","1,407.0","1,389.0","1,594.0","1,723.0","1,883.0","2,103.0","2,376.0","2,684.0","3,042.0","3,586.0","4,846.0","5,880.0","6,427.0","7,004.0","7,793.0","8,756.0","9,802.0","11,593.0","12,784.0","13,633.0","15,147.0","15,862.0","16,664.0","17,183.0"
"27","9","Federal","A823RC1","1,877.0","1,988.0","2,045.0","1,983.0","2,439.0","3,435.0","3,550.0","5,760.0","5,274.0","5,903.0","6,222.0","6,828.0","19,098.0","56,680.0","89,469.0","100,118.0","87,305.0","32,061.0","25,813.0","27,102.0","30,471.0","29,455.0","49,977.0","64,822.0","70,266.0","63,256.0","61,010.0","63,112.0","68,448.0","71,494.0","73,548.0","72,841.0","77,354.0","85,492.0","87,834.0","90,223.0","93,149.0","106,543.0","119,959.0","127,917.0","131,146.0"
"28","10","    Consumption expenditures","A957RC1","1,647.0","1,673.0","1,641.0","1,520.0","1,764.0","2,565.0","2,334.0","4,471.0","3,978.0","4,618.0","5,038.0","5,189.0","10,581.0","29,271.0","50,485.0","62,709.0","62,848.0","28,982.0","23,020.0","22,683.0","24,559.0","23,928.0","37,444.0","47,601.0","51,607.0","47,159.0","46,799.0","47,360.0","50,873.0","52,557.0","51,778.0","50,949.0","52,707.0","58,990.0","61,164.0","63,108.0","66,451.0","76,455.0","88,020.0","96,811.0","100,423.0"
"29","11","    Gross investment","A787RC1","230.0","315.0","404.0","463.0","675.0","870.0","1,216.0","1,289.0","1,296.0","1,285.0","1,184.0","1,639.0","8,517.0","27,409.0","38,984.0","37,409.0","24,457.0","3,079.0","2,793.0","4,419.0","5,912.0","5,527.0","12,533.0","17,221.0","18,659.0","16,097.0","14,211.0","15,752.0","17,575.0","18,937.0","21,770.0","21,892.0","24,647.0","26,502.0","26,670.0","27,115.0","26,698.0","30,088.0","31,939.0","31,106.0","30,723.0"
"30","12","      Structures","A801RC1","162.0","218.0","283.0","343.0","527.0","638.0","830.0","955.0","962.0","891.0","770.0","1,171.0","4,177.0","10,717.0","6,226.0","2,675.0","1,834.0","284.0","497.0","1,047.0","1,455.0","1,568.0","3,107.0","4,377.0","4,380.0","3,632.0","2,736.0","3,027.0","3,414.0","4,019.0","4,017.0","3,898.0","4,229.0","4,111.0","3,959.0","3,824.0","3,893.0","4,092.0","3,412.0","3,328.0","3,380.0"
"31","13","      Equipment","Y058RC1","35.0","47.0","59.0","37.0","72.0","170.0","328.0","267.0","265.0","316.0","329.0","372.0","4,060.0","16,227.0","31,865.0","33,221.0","21,138.0","1,437.0","956.0","1,828.0","2,790.0","2,139.0","7,394.0","10,545.0","11,681.0","9,523.0","7,999.0","8,001.0","8,417.0","8,641.0","10,914.0","10,359.0","11,829.0","12,770.0","11,298.0","10,702.0","9,377.0","11,038.0","12,857.0","11,300.0","10,277.0"
"32","14","      Intellectual property products","Y059RC1","33.0","50.0","62.0","83.0","76.0","62.0","58.0","67.0","69.0","78.0","85.0","96.0","280.0","465.0","893.0","1,513.0","1,485.0","1,358.0","1,340.0","1,544.0","1,667.0","1,820.0","2,032.0","2,299.0","2,598.0","2,942.0","3,476.0","4,724.0","5,744.0","6,277.0","6,839.0","7,635.0","8,589.0","9,621.0","11,413.0","12,589.0","13,428.0","14,958.0","15,670.0","16,478.0","17,066.0"
"33","15","        Software","Y060RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","25.0","37.0","47.0","76.0","90.0","113.0","172.0","220.0","274.0","400.0"
"34","16","        Research and development","Y061RC1","33.0","50.0","62.0","83.0","76.0","62.0","58.0","67.0","69.0","78.0","85.0","96.0","280.0","465.0","893.0","1,513.0","1,485.0","1,358.0","1,340.0","1,544.0","1,667.0","1,820.0","2,032.0","2,299.0","2,598.0","2,942.0","3,476.0","4,724.0","5,744.0","6,277.0","6,839.0","7,610.0","8,552.0","9,574.0","11,337.0","12,499.0","13,315.0","14,786.0","15,450.0","16,204.0","16,666.0"
"35","17","  National defense","A824RC1","1,029.0","1,067.0","1,060.0","1,030.0","980.0","923.0","1,157.0","1,387.0","1,433.0","1,500.0","1,654.0","2,779.0","15,358.0","53,483.0","86,801.0","97,321.0","84,880.0","28,086.0","21,168.0","20,973.0","22,409.0","22,705.0","43,744.0","57,448.0","61,156.0","54,472.0","52,385.0","54,982.0","59,964.0","62,227.0","60,940.0","60,899.0","64,541.0","69,704.0","69,988.0","69,724.0","70,575.0","82,474.0","95,027.0","101,356.0","102,070.0"
"36","18","    Consumption expenditures","A997RC1","976.0","981.0","952.0","930.0","861.0","786.0","1,031.0","1,101.0","1,082.0","1,152.0","1,296.0","1,940.0","7,949.0","27,118.0","48,718.0","60,567.0","60,891.0","25,345.0","19,016.0","17,716.0","18,145.0","19,044.0","33,105.0","42,196.0","44,225.0","39,853.0","39,413.0","40,940.0","44,598.0","45,990.0","42,011.0","42,627.0","44,177.0","48,559.0","50,502.0","51,389.0","53,908.0","63,761.0","73,726.0","81,437.0","82,620.0"
"37","19","    Gross investment","A788RC1","53.0","86.0","108.0","100.0","119.0","137.0","126.0","286.0","351.0","348.0","358.0","839.0","7,409.0","26,365.0","38,083.0","36,754.0","23,989.0","2,741.0","2,152.0","3,257.0","4,264.0","3,661.0","10,639.0","15,252.0","16,931.0","14,619.0","12,972.0","14,042.0","15,366.0","16,237.0","18,929.0","18,272.0","20,364.0","21,145.0","19,486.0","18,335.0","16,667.0","18,713.0","21,301.0","19,919.0","19,450.0"
"38","20","      Structures","A808RC1","24.0","37.0","51.0","43.0","47.0","72.0","61.0","179.0","232.0","203.0","174.0","602.0","3,568.0","10,266.0","5,825.0","2,484.0","1,672.0","288.0","172.0","368.0","367.0","452.0","2,019.0","3,284.0","3,326.0","2,729.0","2,121.0","2,130.0","2,287.0","2,615.0","2,536.0","2,234.0","2,358.0","1,990.0","1,640.0","1,276.0","1,138.0","1,260.0","1,195.0","1,243.0","1,491.0"
"39","21","      Equipment","Y050RC1","12.0","23.0","33.0","24.0","42.0","41.0","42.0","80.0","92.0","115.0","151.0","201.0","3,631.0","15,739.0","31,537.0","32,952.0","20,995.0","1,227.0","792.0","1,588.0","2,561.0","1,906.0","7,117.0","10,145.0","11,377.0","9,299.0","7,814.0","7,797.0","8,196.0","8,468.0","10,691.0","10,098.0","11,486.0","12,454.0","10,911.0","10,134.0","8,863.0","10,430.0","12,225.0","10,804.0","9,716.0"
"40","22","      Intellectual property products","Y052RC1","17.0","26.0","24.0","33.0","30.0","24.0","23.0","27.0","27.0","30.0","33.0","36.0","210.0","360.0","721.0","1,318.0","1,322.0","1,226.0","1,188.0","1,301.0","1,336.0","1,303.0","1,503.0","1,823.0","2,228.0","2,591.0","3,037.0","4,115.0","4,883.0","5,154.0","5,702.0","5,940.0","6,520.0","6,701.0","6,935.0","6,925.0","6,666.0","7,023.0","7,881.0","7,872.0","8,243.0"
"41","23","        Software","Y053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17.0","12.0","18.0","30.0","36.0","44.0","73.0","87.0","106.0","140.0"
"42","24","        Research and development","Y076RC1","17.0","26.0","24.0","33.0","30.0","24.0","23.0","27.0","27.0","30.0","33.0","36.0","210.0","360.0","721.0","1,318.0","1,322.0","1,226.0","1,188.0","1,301.0","1,336.0","1,303.0","1,503.0","1,823.0","2,228.0","2,591.0","3,037.0","4,115.0","4,883.0","5,154.0","5,702.0","5,923.0","6,508.0","6,683.0","6,905.0","6,889.0","6,622.0","6,950.0","7,794.0","7,766.0","8,103.0"
"43","25","  Nondefense","A825RC1","848.0","921.0","985.0","953.0","1,459.0","2,512.0","2,393.0","4,373.0","3,841.0","4,403.0","4,568.0","4,049.0","3,740.0","3,197.0","2,668.0","2,797.0","2,425.0","3,975.0","4,645.0","6,129.0","8,062.0","6,750.0","6,233.0","7,374.0","9,110.0","8,784.0","8,625.0","8,130.0","8,484.0","9,267.0","12,608.0","11,942.0","12,813.0","15,788.0","17,846.0","20,499.0","22,574.0","24,069.0","24,932.0","26,561.0","29,076.0"
"44","26","    Consumption expenditures","A542RC1","671.0","692.0","689.0","590.0","903.0","1,779.0","1,303.0","3,370.0","2,896.0","3,466.0","3,742.0","3,249.0","2,632.0","2,153.0","1,767.0","2,142.0","1,957.0","3,637.0","4,004.0","4,967.0","6,414.0","4,884.0","4,339.0","5,405.0","7,382.0","7,306.0","7,386.0","6,420.0","6,275.0","6,567.0","9,767.0","8,322.0","8,530.0","10,431.0","10,662.0","11,719.0","12,543.0","12,694.0","14,294.0","15,374.0","17,803.0"
"45","27","    Gross investment","A798RC1","177.0","229.0","296.0","363.0","556.0","733.0","1,090.0","1,003.0","945.0","937.0","826.0","800.0","1,108.0","1,044.0","901.0","655.0","468.0","338.0","641.0","1,162.0","1,648.0","1,866.0","1,894.0","1,969.0","1,728.0","1,478.0","1,239.0","1,710.0","2,209.0","2,700.0","2,841.0","3,620.0","4,283.0","5,357.0","7,184.0","8,780.0","10,031.0","11,375.0","10,638.0","11,187.0","11,273.0"
"46","28","      Structures","A830RC1","138.0","181.0","232.0","300.0","480.0","566.0","769.0","776.0","730.0","688.0","596.0","569.0","609.0","451.0","401.0","191.0","162.0","-4.0","325.0","679.0","1,088.0","1,116.0","1,088.0","1,093.0","1,054.0","903.0","615.0","897.0","1,127.0","1,404.0","1,481.0","1,664.0","1,871.0","2,121.0","2,319.0","2,548.0","2,755.0","2,832.0","2,217.0","2,085.0","1,889.0"
"47","29","      Equipment","Y066RC1","23.0","24.0","26.0","13.0","30.0","129.0","286.0","187.0","173.0","201.0","178.0","171.0","429.0","488.0","328.0","269.0","143.0","210.0","164.0","240.0","229.0","233.0","277.0","400.0","304.0","224.0","185.0","204.0","221.0","173.0","223.0","261.0","343.0","316.0","387.0","568.0","514.0","608.0","632.0","496.0","561.0"
"48","30","      Intellectual property products","Y067RC1","16.0","24.0","38.0","50.0","46.0","38.0","35.0","40.0","42.0","48.0","52.0","60.0","70.0","105.0","172.0","195.0","163.0","132.0","152.0","243.0","331.0","517.0","529.0","476.0","370.0","351.0","439.0","609.0","861.0","1,123.0","1,137.0","1,695.0","2,069.0","2,920.0","4,478.0","5,664.0","6,762.0","7,935.0","7,789.0","8,606.0","8,823.0"
"49","31","        Software","Y068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","25.0","29.0","46.0","54.0","69.0","99.0","133.0","168.0","260.0"
"50","32","        Research and development","Y069RC1","16.0","24.0","38.0","50.0","46.0","38.0","35.0","40.0","42.0","48.0","52.0","60.0","70.0","105.0","172.0","195.0","163.0","132.0","152.0","243.0","331.0","517.0","529.0","476.0","370.0","351.0","439.0","609.0","861.0","1,123.0","1,137.0","1,687.0","2,044.0","2,891.0","4,432.0","5,610.0","6,693.0","7,836.0","7,656.0","8,438.0","8,563.0"
"51","33","State and local","A829RC1","7,748.0","8,292.0","8,140.0","6,976.0","6,451.0","7,299.0","7,621.0","7,663.0","7,874.0","8,307.0","8,981.0","8,780.0","8,784.0","8,802.0","8,599.0","8,628.0","9,255.0","11,137.0","14,216.0","16,863.0","19,554.0","21,281.0","23,566.0","25,004.0","26,747.0","29,494.0","32,248.0","35,406.0","39,088.0","43,037.0","45,333.0","48,183.0","52,490.0","55,439.0","60,045.0","65,303.0","71,736.0","79,849.0","88,107.0","98,841.0","109,255.0"
"52","34","  Consumption expenditures","A991RC1","5,076.0","5,354.0","5,458.0","5,179.0","5,097.0","5,499.0","5,985.0","4,726.0","5,272.0","5,298.0","5,571.0","5,981.0","6,505.0","7,226.0","7,691.0","7,888.0","8,403.0","9,508.0","11,326.0","12,794.0","14,157.0","15,356.0","16,528.0","17,606.0","18,752.0","20,200.0","22,103.0","24,022.0","26,433.0","29,353.0","31,247.0","34,076.0","37,238.0","39,342.0","42,276.0","46,029.0","50,571.0","56,370.0","62,385.0","70,713.0","80,438.0"
"53","35","  Gross investment","A799RC1","2,672.0","2,938.0","2,681.0","1,797.0","1,354.0","1,800.0","1,635.0","2,937.0","2,602.0","3,008.0","3,410.0","2,798.0","2,279.0","1,576.0","908.0","740.0","851.0","1,629.0","2,890.0","4,069.0","5,397.0","5,925.0","7,038.0","7,398.0","7,996.0","9,294.0","10,145.0","11,384.0","12,656.0","13,684.0","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"54","36","    Structures","A842RC1","2,413.0","2,715.0","2,447.0","1,580.0","1,176.0","1,624.0","1,459.0","2,763.0","2,368.0","2,756.0","3,131.0","2,556.0","2,074.0","1,400.0","771.0","603.0","708.0","1,405.0","2,527.0","3,589.0","4,887.0","5,385.0","6,419.0","6,727.0","7,278.0","8,479.0","9,274.0","10,367.0","11,458.0","12,482.0","12,839.0","12,702.0","13,786.0","14,524.0","15,969.0","17,232.0","18,953.0","20,993.0","23,042.0","25,220.0","25,579.0"
"55","37","    Equipment","Y070RC1","230.0","193.0","202.0","185.0","149.0","146.0","143.0","138.0","196.0","212.0","238.0","201.0","161.0","133.0","97.0","97.0","98.0","175.0","314.0","430.0","455.0","477.0","548.0","595.0","632.0","715.0","761.0","895.0","1,062.0","1,052.0","1,081.0","1,212.0","1,248.0","1,327.0","1,509.0","1,711.0","1,836.0","2,040.0","2,170.0","2,342.0","2,581.0"
"56","38","    Intellectual property products","Y071RC1","29.0","30.0","32.0","32.0","29.0","30.0","33.0","36.0","38.0","40.0","41.0","41.0","44.0","43.0","40.0","40.0","45.0","49.0","49.0","50.0","56.0","63.0","71.0","77.0","86.0","100.0","110.0","122.0","136.0","150.0","166.0","193.0","218.0","246.0","292.0","331.0","376.0","446.0","509.0","566.0","658.0"
"57","39","      Software","Y072RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","18.0","36.0","46.0","58.0","85.0","97.0","106.0","141.0"
"58","40","      Research and development","Y073RC1","29.0","30.0","32.0","32.0","29.0","30.0","33.0","36.0","38.0","40.0","41.0","41.0","44.0","43.0","40.0","40.0","45.0","49.0","49.0","50.0","56.0","63.0","71.0","77.0","86.0","100.0","110.0","122.0","136.0","150.0","165.0","183.0","204.0","228.0","256.0","285.0","318.0","361.0","412.0","460.0","517.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
