"","Table 6#7B# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2008 9:30:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Self-employed persons \1\","A4501C0",10211,10064,9996,9699,9637,9475,9329,9149,8981,8821,8611,8428,8305,8177,8009,7722,7652,7526,7271,7188,7115,7199,7097,7142,7234,7316,7527,7506,7495,7758,8118,8416,8658,8753,8923,9213,9412,9327,9369,9665
"9","2","Agriculture, forestry, and fishing","J4502C0",4553,4440,4335,4023,3946,3814,3811,3678,3482,3263,3068,2933,2776,2679,2587,2402,2310,2237,2050,2024,2005,1919,1838,1789,1823,1813,1797,1751,1678,1615,1662,1637,1682,1678,1677,1597,1586,1495,1488,1477
"10","3","  Farms","B4503C0",4410,4302,4194,3879,3794,3660,3658,3530,3336,3120,2928,2795,2639,2542,2450,2264,2171,2096,1909,1885,1866,1778,1692,1638,1662,1646,1627,1571,1498,1439,1455,1419,1458,1456,1414,1333,1318,1214,1185,1142
"11","4","  Agricultural services, forestry, and fishing","J4504C0",143,138,141,144,152,154,153,148,146,143,140,138,137,137,137,138,139,141,141,139,139,141,146,151,161,167,170,180,180,176,207,218,224,222,263,264,268,281,303,335
"12","5","Mining","J4505C0",35,33,33,35,35,36,39,37,36,36,33,32,29,28,26,24,23,20,19,20,19,15,14,15,13,15,16,16,24,20,21,21,28,26,34,29,25,20,26,27
"13","6","Construction","B4506C0",984,961,1004,960,918,885,783,729,727,724,692,695,686,684,686,680,679,682,658,664,666,694,698,723,760,824,888,854,890,963,1107,1167,1186,1166,1131,1171,1248,1312,1370,1386
"14","7","Manufacturing","J4507C0",440,409,398,413,422,411,379,362,347,332,315,311,309,303,298,292,284,278,260,267,256,268,271,249,248,266,266,279,293,312,330,346,363,366,358,375,364,351,384,368
"15","8","  Durable goods","J4508C0",248,233,230,246,254,253,231,222,213,204,195,191,190,186,181,176,171,169,165,172,162,166,172,168,167,167,175,177,183,201,206,213,221,221,215,220,217,214,223,213
