"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"43","36","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","Government consumption expenditures and gross investment","B822RG3",7.754,7.515,7.137,6.497,6.703,7.212,7.273,7.492,7.65,7.667,7.544,7.457,7.916,7.954,8.083,7.978,8.071,9.993,10.796,11.215,11.532,11.539,12.304,12.552,12.685,12.956,13.498,14.26,14.89,15.34,15.404,15.597,15.909,16.314,16.669,17.132,17.588,18.33,19.099,20.128,21.341,23.079,24.875,26.788,28.743,31.646,34.824,37.118,39.694,42.235,45.775,50.761,55.752,59.414,61.778,64.955,66.97,68.175,70.056,71.899,74.139,77.139,79.787,81.719,83.789,86.002,88.358,90.491,92.139,93.469,96.079,100,102.544,105.507,109.849,114.754,121.435,127.334,133.042
"45","38","  Federal","B823RG3",8.388,8.016,7.952,7.572,7.654,8.18,8.275,9.04,9.187,9.342,9.168,8.806,9.267,9.09,9.175,9.014,9.1,11.608,12.319,12.206,12.719,12.645,13.196,13.326,13.42,13.736,14.48,15.23,15.914,16.569,16.45,16.59,16.871,17.228,17.597,18.191,18.658,19.33,19.913,20.995,22.13,23.915,25.957,28.495,30.449,33.162,36.615,39.217,42.18,44.785,48.231,53.299,58.476,62.446,64.612,68.426,69.974,70.352,71.2,72.704,74.677,77.142,80.232,82.602,84.788,87.061,89.503,91.982,93.533,94.511,96.884,100,101.907,105.631,110.094,115.322,120.914,125.622,129.256
"46","39","    National defense","B824RG3",8.57,8.275,8.163,7.993,7.813,8.232,8.476,8.682,8.969,9.001,8.943,8.502,9.076,8.88,8.969,8.823,8.884,11.392,12.219,12.156,12.559,12.547,13.061,13.114,13.172,13.53,14.287,15.102,15.786,16.389,16.257,16.383,16.619,16.94,17.32,17.822,18.314,18.95,19.518,20.539,21.664,23.321,25.387,28.319,30.396,33.217,36.46,39.117,42.079,45.035,48.628,53.908,59.229,63.392,65.617,70.29,71.621,71.554,72.281,73.631,75.528,78.01,80.821,83.628,85.313,87.412,89.598,92.379,93.716,94.643,96.886,100,102.002,105.792,110.751,115.932,122.034,127.027,130.681
"47","40","      Consumption expenditures","B977RG3",7.334,7.099,7.052,6.954,6.786,7.095,7.305,7.495,7.598,7.636,7.597,7.032,7.343,7.123,7.204,7.359,7.718,10.175,10.86,10.745,11.118,11.065,11.406,11.408,11.57,11.95,12.714,13.338,13.91,14.529,14.32,14.468,14.69,15.002,15.4,15.961,16.488,17.131,17.687,18.694,19.721,21.241,23.186,25.471,27.437,30.17,33.271,35.685,38.407,41.109,44.596,49.814,54.883,58.768,60.928,65.957,67.782,68.449,69.868,71.512,73.486,76.101,79.079,82.232,83.792,85.783,87.919,91.05,92.856,94.038,96.396,100,102.495,107.018,112.731,118.48,125.274,130.776,134.834
"48","41","      Gross investment","B788RG3",16.392,15.103,13.698,12.374,12.344,13.757,14.171,14.374,15.833,15.819,15.653,15.99,17.636,17.405,17.534,16.327,15.101,16.871,19.597,20.789,21.281,21.782,23.755,24.137,23.581,23.832,24.543,26.683,28.14,28.516,28.962,28.951,29.288,29.672,29.919,29.901,29.987,30.393,30.919,31.728,33.44,35.861,38.15,50.819,52.721,54.731,58.071,62.512,67.029,71.705,75.388,79.98,86.475,92.335,94.827,96.543,94.707,90.456,87.439,87.18,88.662,90.454,92.36,93.191,95.646,98.449,100.972,101.472,99.599,98.703,100.16,100,98.763,97.835,98.033,99.711,101.698,103.76,105.127
"49","42","    Nondefense","B825RG3",8.398,7.936,7.918,7.332,7.609,8.189,8.227,9.192,9.292,9.491,9.277,8.941,9.213,9.479,9.226,8.649,9.651,11.784,12.107,11.821,12.616,12.358,13.016,13.699,14.055,14.065,14.668,14.96,15.589,16.549,16.591,16.798,17.296,17.808,18.116,19.036,19.408,20.19,20.815,22.116,23.251,25.478,27.4,28.78,30.394,32.819,36.746,39.209,42.152,43.983,47.099,51.683,56.516,60.02,62.038,63.577,65.74,67.395,68.616,70.609,72.826,75.26,79.1,80.411,83.728,86.375,89.351,91.216,93.192,94.268,96.88,100,101.739,105.345,108.898,114.218,118.807,122.959,126.553
"50","43","      Consumption expenditures","B542RG3",6.819,6.419,6.579,6.339,6.424,6.814,6.768,7.829,7.884,8.108,7.903,7.513,7.603,7.679,7.656,6.854,8.213,10.522,10.748,10.307,11.114,10.888,11.391,11.982,12.35,12.423,13.045,13.238,13.744,14.798,14.771,14.959,15.498,15.979,16.236,17.095,17.644,18.448,18.952,20.197,21.26,23.299,25.099,26.392,27.895,30.018,33.59,35.978,38.863,40.607,43.471,47.792,52.32,55.629,57.801,59.464,61.781,63.519,64.761,66.735,68.952,71.426,75.603,77.238,80.939,83.831,86.998,89.312,91.861,93.393,96.493,100,101.986,106.342,110.509,116.53,121.536,126.083,130.143
"51","44","      Gross investment","B798RG3",20.285,19.451,17.886,15.168,16.437,18.184,18.568,19.355,19.816,19.757,19.534,19.971,21.462,22.777,20.989,22.826,20.98,21.123,21.645,22.959,23.382,22.79,24.483,25.824,26.046,25.343,25.226,26.599,28.229,28.155,28.929,29.255,29.389,30.098,30.761,32.103,31.422,32.165,33.578,35.211,36.778,40.28,42.888,44.744,47.017,51.821,58.221,60.761,63.56,65.863,70.635,76.735,83.392,87.994,88.389,88.829,89.693,90.612,91.633,93.679,95.794,97.848,99.366,98.649,99.639,100.707,102.405,101.632,100.298,98.848,98.965,100,100.272,99.364,99.211,100.268,102.378,104.273,105.156
"52","45","  State and local","B829RG3",5.857,5.694,5.354,4.819,5.003,5.399,5.437,5.413,5.547,5.504,5.425,5.474,5.842,6.456,6.935,7.203,7.442,8.132,9.115,10.191,10.277,10.371,11.435,11.927,12.159,12.36,12.601,13.408,13.987,14.174,14.475,14.738,15.093,15.564,15.911,16.234,16.685,17.507,18.488,19.475,20.78,22.488,24.087,25.524,27.477,30.5,33.481,35.563,37.872,40.359,43.944,48.858,53.709,57.14,59.666,62.336,64.739,66.624,69.361,71.485,73.94,77.357,79.681,81.3,83.294,85.472,87.778,89.709,91.414,92.934,95.667,100,102.868,105.435,109.712,114.431,121.758,128.37,135.316
"53","46","      Consumption expenditures","B991RG3",5.061,5.01,4.83,4.536,4.574,4.828,4.927,4.736,4.862,4.819,4.779,4.849,5.099,5.546,5.961,6.229,6.459,7.059,7.839,8.769,8.921,9.154,9.923,10.421,10.74,11.134,11.426,11.989,12.542,12.893,13.301,13.727,14.182,14.701,15.077,15.441,15.885,16.732,17.843,18.847,20.108,21.748,23.261,24.688,26.568,28.989,31.727,34.017,36.435,38.869,42.27,46.913,51.454,54.745,57.546,60.611,63.253,65.09,67.868,70.01,72.588,76.249,78.82,80.723,82.773,84.963,87.175,89.165,90.895,92.489,95.403,100,103.034,105.774,110.726,115.403,122.451,128.822,135.331
"54","47","      Gross investment","B799RG3",8.767,8.243,7.389,6.006,6.859,7.984,7.684,8.311,8.487,8.435,8.231,8.219,9.097,10.618,11.349,11.12,11.056,12.093,14.153,15.798,15.542,15.033,17.27,17.73,17.622,17.15,17.242,18.897,19.599,19.273,19.259,19.008,19.052,19.398,19.678,19.895,20.401,21.21,21.87,22.876,24.418,26.471,28.487,30.019,32.356,38.267,42.476,43.485,45.173,47.913,52.438,58.727,65.172,69.305,70.105,70.477,71.59,73.698,76.2,78.217,80.053,82.31,83.487,83.783,85.51,87.626,90.366,92.021,93.616,94.813,96.763,100,102.199,104.081,105.711,110.597,119.042,126.623,135.338
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5142.272,4278.831,3340.826,2940.258,2625.76,2163.418,1762.728,1506.665,1284.11,1103.369,1022.621,954.345,857.283,759.724,635.681,533.174,468.309,387.645,289.664,217.188,156.688,117.988,100,79.226,65.822,56.569,51.421,44.427,38.284,34.151
"57","49","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.587,47.463,52.527,57.403,60.727,62.964,65.318,67.299,68.937,71.171,73.682,76.561,79.781,82.505,84.596,86.614,88.558,90.635,92.637,94.305,95.375,97.286,100,102.337,104.173,106.772,110.212,114.461,118.426,121.798
"58","50","  Food","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.917,65.282,67.4,68.5,70.315,72.601,74.5,78.079,81.736,84.463,85.397,86.707,88.114,89.987,92.429,94.387,95.94,97.734,100,102.921,104.853,106.882,110.211,112.622,115.165,119.617
"59","51","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.772,79.112,79.843,80.406,69.533,70.482,70.774,75.074,81.806,81.762,81.903,82.555,82.622,83.343,87.541,88.187,80.318,83.837,100,102.29,96.012,108.747,121.596,144.756,161.36,171.41
"60","52","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.221,64.685,67.106,69.232,71.474,73.716,76.429,79.151,82.109,84.942,87.169,89.211,91.213,93.176,94.616,95.865,96.797,98.165,100,101.882,103.796,105.749,108.587,111.924,115.203,117.927
"61","53","  Gross domestic product","B191RG3",11.943,11.48,10.334,9.15,8.91,9.351,9.534,9.644,9.998,9.81,9.688,9.771,10.405,11.255,11.885,12.165,12.478,13.934,15.488,16.372,16.364,16.493,17.626,18.009,18.24,18.434,18.709,19.36,20.039,20.512,20.754,21.044,21.281,21.572,21.801,22.134,22.538,23.18,23.897,24.916,26.153,27.538,28.916,30.171,31.854,34.721,38.007,40.202,42.758,45.762,49.553,54.062,59.128,62.738,65.214,67.664,69.724,71.269,73.204,75.706,78.569,81.614,84.457,86.402,88.39,90.265,92.115,93.859,95.415,96.475,97.868,100,102.402,104.193,106.409,109.462,113.005,116.568,119.668
"62","54","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.598,47.278,51.698,56.635,60.174,62.69,65.216,67.353,68.977,70.98,73.493,76.363,79.457,82.332,84.384,86.496,88.45,90.477,92.543,94.445,95.882,97.628,100,102.688,104.697,107.084,110.247,113.991,117.76,121.048
"63","55","      Food","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.923,70.208,72.523,75.056,78.827,82.08,84.645,85.546,86.905,88.16,90.274,93.459,94.881,96.046,97.75,100,103.083,105.084,107.356,110.928,112.943,115.475,120.542
"64","56","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.236,77.186,75.941,79.397,82.183,87.272,89.847,90.404,93.238,94.728,94.167,95.619,97.773,95.507,94.502,100,109.921,101.115,109.783,116.171,126.321,135.39,140.2
"65","57","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.357,71.146,73.17,75.627,78.376,81.31,84.201,86.339,88.374,90.342,92.252,93.834,95.383,96.551,97.993,100,102.079,104.199,106.198,109.089,112.601,116.118,118.956
"66","58","  Final sales of domestic product","B190RG3",11.671,11.222,10.114,8.976,8.762,9.218,9.407,9.514,9.866,9.725,9.606,9.687,10.313,11.149,11.772,12.052,12.365,13.809,15.31,16.187,16.201,16.332,17.436,17.833,18.08,18.273,18.551,19.193,19.87,20.34,20.581,20.872,21.108,21.398,21.629,21.963,22.368,23.01,23.729,24.752,25.988,27.369,28.741,29.994,31.673,34.517,37.789,39.987,42.546,45.551,49.322,53.806,58.859,62.489,64.958,67.399,69.494,71.06,72.985,75.519,78.383,81.44,84.286,86.237,88.226,90.108,91.965,93.736,95.32,96.428,97.847,100,102.406,104.197,106.43,109.487,113.04,116.603,119.692
"67","59","  Final sales to domestic purchasers","B713RG3",11.435,10.965,9.894,8.758,8.537,8.972,9.153,9.271,9.632,9.484,9.389,9.453,10.05,10.842,11.446,11.704,12.019,13.512,14.968,15.846,15.887,16.074,17.205,17.566,17.778,17.988,18.251,18.871,19.514,19.951,20.194,20.475,20.692,20.966,21.215,21.555,21.933,22.555,23.221,24.216,25.416,26.796,28.175,29.442,31.162,34.343,37.546,39.725,42.425,45.455,49.443,54.624,59.631,63.053,65.267,67.564,69.534,71.133,73.312,75.86,78.752,81.974,84.67,86.667,88.57,90.431,92.338,94.027,95.348,96.012,97.533,100,101.998,103.586,105.986,109.259,113.261,116.956,120.093
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
