"","Table 6#15C# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 6, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2008 9:33:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Net interest","B060RC0",358692,378913,425884,435391,410939,381147,358483,359157,360068,367588,406378,478653,486783,547616
"9","2","Domestic industries","A1850C0",387455,411392,465522,474387,454294,421600,400154,406016,412989,430322,479973,555710,569310,649797
"10","3","  Agriculture, forestry, and fishing","B1851C0",12312,11391,11183,10944,9884,8816,8388,8849,9493,9697,9872,10150,10417,11471
"11","4","  Mining","B1852C0",2733,2688,2878,2571,2726,1981,1851,2014,2181,2228,2265,3163,3510,4775
"12","5","  Construction","B1853C0",1822,2701,4040,3489,2848,1838,2209,2176,2361,2244,2691,3575,4067,5505
"13","6","  Manufacturing","A1854C0",28878,34960,48173,52513,47532,37662,34647,35076,40379,34347,37095,47762,57411,66617
"14","7","    Durable goods","B1855C0",7891,9287,13614,16385,15583,8833,7736,7058,9025,3704,4871,12092,17092,22326
"15","8","    Nondurable goods","B1856C0",20987,25673,34559,36128,31949,28829,26912,28018,31355,30643,32224,35669,40319,44292
"16","9","  Transportation and public utilities","A1857C0",32169,33229,38436,39974,41187,38288,35842,34548,37111,38825,42135,48357,54738,64897
"17","10","    Transportation","B1858C0",4218,4791,6036,6260,6286,5983,5455,5346,5977,5766,6484,7463,9367,10240
"18","11","    Communications","B1859C0",8102,9549,11631,12685,13211,11349,10694,9816,11431,12777,14738,18721,22483,26635
"19","12","    Electric, gas, and sanitary services","B1860C0",19849,18889,20769,21028,21690,20956,19693,19386,19703,20283,20913,22172,22888,28023
"20","13","  Wholesale trade","B1861C0",6430,8920,10743,10215,8425,5901,4280,5674,8530,8145,11267,13723,14561,16652
"21","14","  Retail trade","B1862C0",11044,15261,22469,21211,17953,12513,10904,11151,15216,16273,17166,17852,17201,23534
"22","15","  Finance, insurance, and real estate","A1863C0",276406,285260,303330,308620,301108,296310,285477,290473,280269,300446,336507,386998,380158,424886
"23","16","    Finance","B1864C0",14374,2314,-4164,-15343,-27666,-24925,-21333,-9466,-32875,-19378,9043,37840,14430,26039
"24","17","    Real estate","B1865C0",264915,287615,311544,329130,335424,326781,310655,304821,323985,333183,351968,371004,394529,435292
"25","18","    Other","B1866C0",-2883,-4669,-4050,-5167,-6650,-5545,-3845,-4882,-10841,-13359,-24504,-21845,-28801,-36445
"26","19","  Services","A1867C0",15660,16982,24270,24850,22631,18291,16556,16056,17448,18117,20976,24131,27247,31461
"27","20","Rest of the world","A1627C0",-28763,-32480,-39639,-38996,-43355,-40452,-41671,-46858,-52921,-62734,-73595,-77058,-82526,-102182
"28","21","  Receipts from the rest of the world","A2067C0",63281,79545,101132,107018,92091,72562,65468,80838,104526,107293,125527,137719,141262,177245
"29","22","  Less:  Payments to the rest of the world","B1869C0",92043,112025,140770,146014,135446,113015,107140,127697,157447,170027,199121,214777,223789,279427
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
