"","Table 2#2B# Wages and Salaries by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Wages and salaries","A034RC1","4,982,752.0","4,963,812.0","4,936,556.0","4,934,625.0","4,952,510.0","5,000,689.0","5,010,898.0","5,021,548.0","5,030,941.0","5,101,977.0","5,166,852.0","5,251,617.0","5,281,311.0","5,383,640.0","5,492,131.0","5,530,649.0","5,579,901.0","5,639,690.0","5,737,267.0","5,810,977.0","5,976,129.0","6,015,222.0","6,060,872.0","6,177,385.0","6,347,916.0","6,370,925.0","6,393,888.0","6,467,943.0","6,539,004.0","6,531,596.0","6,543,928.0","6,512,949.0","6,230,589.0","6,256,301.0","6,238,939.0","6,279,753.0","6,239,577.0","6,365,530.0","6,426,378.0","6,478,615.0","6,583,638.0","6,615,540.0","6,689,604.0","6,643,854.0","6,841,081.0","6,878,522.0","6,906,838.0","7,094,622.0","6,991,399.0","7,098,528.0","7,143,920.0","7,223,750.0","7,350,000.0","7,414,537.0","7,513,900.0","7,632,649.0","7,682,442.0","7,791,773.0","7,869,981.0","7,995,444.0","8,087,937.0"
"21","2","Private industries","A132RC1","4,178,242.0","4,148,271.0","4,108,004.0","4,095,236.0","4,090,874.0","4,130,271.0","4,133,051.0","4,138,829.0","4,126,128.0","4,189,555.0","4,251,252.0","4,331,216.0","4,339,519.0","4,433,040.0","4,536,457.0","4,568,059.0","4,597,416.0","4,652,044.0","4,742,801.0","4,809,529.0","4,957,279.0","4,987,090.0","5,020,083.0","5,125,280.0","5,271,760.0","5,288,474.0","5,301,480.0","5,363,572.0","5,411,446.0","5,393,739.0","5,392,914.0","5,352,954.0","5,063,703.0","5,080,313.0","5,061,257.0","5,099,726.0","5,052,143.0","5,168,723.0","5,236,069.0","5,288,800.0","5,391,980.0","5,416,761.0","5,491,238.0","5,453,633.0","5,641,111.0","5,682,392.0","5,710,672.0","5,893,926.0","5,788,145.0","5,893,524.0","5,938,802.0","6,006,571.0","6,126,575.0","6,180,342.0","6,270,739.0","6,384,445.0","6,425,947.0","6,526,725.0","6,595,777.0","6,716,118.0","6,797,283.0"
"22","3","  Goods-producing industries","N231RC1","1,069,788.0","1,054,290.0","1,032,975.0","1,020,474.0","1,013,217.0","1,017,037.0","1,009,341.0","1,005,490.0","996,669.0","1,001,567.0","1,007,149.0","1,036,452.0","1,021,291.0","1,047,329.0","1,074,101.0","1,069,430.0","1,082,946.0","1,090,902.0","1,111,451.0","1,118,305.0","1,170,153.0","1,167,379.0","1,164,165.0","1,182,748.0","1,205,448.0","1,211,138.0","1,205,393.0","1,213,262.0","1,217,359.0","1,210,776.0","1,198,134.0","1,180,988.0","1,091,196.0","1,056,822.0","1,039,898.0","1,043,931.0","1,023,365.0","1,050,742.0","1,064,339.0","1,074,851.0","1,092,291.0","1,095,389.0","1,112,315.0","1,103,273.0","1,147,082.0","1,152,863.0","1,151,725.0","1,170,282.0","1,173,023.0","1,186,733.0","1,194,092.0","1,206,488.0","1,233,642.0","1,250,356.0","1,266,590.0","1,292,913.0","1,287,997.0","1,303,243.0","1,311,537.0","1,336,150.0","1,346,452.0"
"23","4","    Manufacturing","N552RC1","740,163.0","722,516.0","701,490.0","689,315.0","680,553.0","686,702.0","678,704.0","674,327.0","668,307.0","668,549.0","669,570.0","690,525.0","674,701.0","689,602.0","707,280.0","702,793.0","705,633.0","706,732.0","713,503.0","715,606.0","739,629.0","735,840.0","733,655.0","741,564.0","753,542.0","753,794.0","749,634.0","749,828.0","750,216.0","746,535.0","739,666.0","725,907.0","674,067.0","659,194.0","649,442.0","662,311.0","649,186.0","672,759.0","682,060.0","692,215.0","705,443.0","704,539.0","710,882.0","705,978.0","730,077.0","734,078.0","732,949.0","740,042.0","739,736.0","745,016.0","748,321.0","754,211.0","770,463.0","775,093.0","781,424.0","796,460.0","792,104.0","801,710.0","804,125.0","821,822.0","827,889.0"
"24","5","  Services-producing industries","N233RC1","3,108,453.0","3,093,979.0","3,075,028.0","3,074,765.0","3,077,657.0","3,113,232.0","3,123,710.0","3,133,340.0","3,129,460.0","3,187,989.0","3,244,101.0","3,294,764.0","3,318,228.0","3,385,712.0","3,462,355.0","3,498,631.0","3,514,470.0","3,561,143.0","3,631,349.0","3,691,225.0","3,787,126.0","3,819,713.0","3,855,918.0","3,942,534.0","4,066,311.0","4,077,336.0","4,096,086.0","4,150,309.0","4,194,086.0","4,182,963.0","4,194,782.0","4,171,966.0","3,972,506.0","4,023,494.0","4,021,358.0","4,055,795.0","4,028,776.0","4,117,979.0","4,171,732.0","4,213,950.0","4,299,690.0","4,321,372.0","4,378,924.0","4,350,361.0","4,494,029.0","4,529,529.0","4,558,947.0","4,723,644.0","4,615,122.0","4,706,790.0","4,744,710.0","4,800,083.0","4,892,933.0","4,929,986.0","5,004,149.0","5,091,532.0","5,137,951.0","5,223,482.0","5,284,240.0","5,379,967.0","5,450,831.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,987.0","849,171.0","844,031.0","840,476.0","842,072.0","847,514.0","849,367.0","848,096.0","851,546.0","855,500.0","864,851.0","880,659.0","880,165.0","899,019.0","918,174.0","922,850.0","927,750.0","936,386.0","949,398.0","959,203.0","982,801.0","988,383.0","995,287.0","1,009,625.0","1,031,804.0","1,045,309.0","1,040,420.0","1,051,218.0","1,053,309.0","1,047,944.0","1,044,229.0","1,035,730.0","990,683.0","983,368.0","979,008.0","985,366.0","976,441.0","996,949.0","1,007,664.0","1,014,637.0","1,034,281.0","1,041,130.0","1,052,341.0","1,050,348.0","1,084,554.0","1,083,543.0","1,091,248.0","1,111,129.0","1,102,723.0","1,114,063.0","1,122,442.0","1,134,721.0","1,153,764.0","1,165,688.0","1,179,179.0","1,203,289.0","1,210,925.0","1,229,113.0","1,243,462.0","1,262,572.0","1,273,135.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,255,466.0","2,244,808.0","2,230,997.0","2,234,289.0","2,235,585.0","2,265,718.0","2,274,343.0","2,285,244.0","2,277,914.0","2,332,489.0","2,379,250.0","2,414,105.0","2,438,063.0","2,486,693.0","2,544,181.0","2,575,781.0","2,586,720.0","2,624,757.0","2,681,951.0","2,732,022.0","2,804,325.0","2,831,330.0","2,860,631.0","2,932,909.0","3,034,507.0","3,032,027.0","3,055,666.0","3,099,091.0","3,140,777.0","3,135,019.0","3,150,553.0","3,136,236.0","2,981,823.0","3,040,126.0","3,042,350.0","3,070,429.0","3,052,335.0","3,121,030.0","3,164,068.0","3,199,313.0","3,265,409.0","3,280,242.0","3,326,583.0","3,300,013.0","3,409,475.0","3,445,986.0","3,467,699.0","3,612,516.0","3,512,399.0","3,592,727.0","3,622,268.0","3,665,362.0","3,739,169.0","3,764,299.0","3,824,970.0","3,888,242.0","3,927,026.0","3,994,369.0","4,040,777.0","4,117,396.0","4,177,696.0"
"27","8","Government","B202RC1","804,510.0","815,541.0","828,552.0","839,389.0","861,636.0","870,418.0","877,847.0","882,719.0","904,813.0","912,422.0","915,600.0","920,401.0","941,792.0","950,600.0","955,674.0","962,590.0","982,485.0","987,646.0","994,466.0","1,001,448.0","1,018,850.0","1,028,132.0","1,040,789.0","1,052,105.0","1,076,156.0","1,082,451.0","1,092,408.0","1,104,371.0","1,127,558.0","1,137,857.0","1,151,014.0","1,159,995.0","1,166,886.0","1,175,988.0","1,177,682.0","1,180,027.0","1,187,434.0","1,196,807.0","1,190,309.0","1,189,815.0","1,191,658.0","1,198,779.0","1,198,366.0","1,190,221.0","1,199,970.0","1,196,129.0","1,196,166.0","1,200,695.0","1,203,254.0","1,205,004.0","1,205,118.0","1,217,179.0","1,223,424.0","1,234,194.0","1,243,161.0","1,248,205.0","1,256,494.0","1,265,048.0","1,274,204.0","1,279,326.0","1,290,654.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","rental and leasing; professional, scientific, and technical services; management of companies and enterprises,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","administrative and support and waste management and remediation services; educational services; health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","care and social assistance; arts, entertainment, and recreation; accommodation and food services; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
