"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2016      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 2:44:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product (GDP)","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,155,255.0","16,663,160.0","17,348,071.0","17,946,980.0"
"21","2","    Gross domestic income (GDI)","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,294.0","12,283,513.0","13,129,207.0","14,073,170.0","14,460,142.0","14,619,183.0","14,343,412.0","14,915,164.0","15,556,259.0","16,358,511.0","16,840,801.0","17,560,109.0","18,153,938.0"
"22","3","    Average of GDP and GDI \1\","LA0000091","1,019,073.0","1,073,212.0","1,163,029.0","1,278,882.0","1,425,495.0","1,545,121.0","1,682,302.0","1,867,358.0","2,076,323.0","2,344,996.0","2,609,749.0","2,840,540.0","3,192,600.0","3,341,605.0","3,611,056.0","4,021,362.0","4,321,106.0","4,551,782.0","4,849,940.0","5,252,866.0","5,625,604.0","5,933,911.0","6,129,854.0","6,483,848.0","6,802,551.0","7,240,346.0","7,618,781.0","8,071,917.0","8,602,369.0","9,119,243.0","9,679,377.0","10,334,516.0","10,679,317.0","11,013,903.0","11,517,482.0","12,279,221.0","13,111,467.0","13,964,529.0","14,468,889.0","14,668,883.0","14,381,076.0","14,939,768.0","15,537,093.0","16,256,883.0","16,751,980.0","17,454,090.0","18,050,459.0"
"23","4","    Net domestic product \2\","A362RC1","895,015.0","939,101.0","1,018,905.0","1,121,552.0","1,250,469.0","1,342,657.0","1,451,386.0","1,618,378.0","1,797,617.0","2,031,508.0","2,261,010.0","2,436,498.0","2,725,910.0","2,810,675.0","3,077,591.0","3,446,359.0","3,710,081.0","3,907,992.0","4,142,265.0","4,470,242.0","4,821,583.0","5,092,760.0","5,242,918.0","5,579,574.0","5,875,120.0","6,253,183.0","6,541,277.0","6,924,181.0","7,368,560.0","7,778,897.0","8,259,763.0","8,770,539.0","9,017,845.0","9,315,446.0","9,783,450.0","10,443,229.0","11,111,770.0","11,719,869.0","12,213,285.0","12,355,209.0","12,050,357.0","12,582,781.0","13,067,283.0","13,621,047.0","14,030,328.0","14,601,363.0","15,125,668.0"
"24","5","    Net domestic income \2\","W256RC1","893,405.0","933,756.0","1,009,422.0","1,114,418.0","1,244,361.0","1,335,249.0","1,438,144.0","1,597,920.0","1,778,361.0","2,008,358.0","2,216,222.0","2,392,567.0","2,689,197.0","2,803,902.0","3,023,429.0","3,407,697.0","3,658,824.0","3,831,246.0","4,101,710.0","4,470,715.0","4,757,405.0","5,001,403.0","5,154,539.0","5,468,671.0","5,722,786.0","6,116,364.0","6,450,718.0","6,867,612.0","7,356,268.0","7,839,046.0","8,297,268.0","8,870,012.0","9,132,830.0","9,388,224.0","9,797,074.0","10,451,814.0","11,147,251.0","11,937,151.0","12,195,792.0","12,255,810.0","11,975,030.0","12,533,573.0","13,105,616.0","13,824,305.0","14,207,973.0","14,813,399.0","15,332,627.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","    Gross national product","A001RC1","1,025,993.0","1,082,277.0","1,175,364.0","1,291,007.0","1,441,168.0","1,564,345.0","1,701,927.0","1,894,434.0","2,106,243.0","2,378,152.0","2,664,074.0","2,896,690.0","3,243,891.0","3,381,501.0","3,675,222.0","4,076,983.0","4,372,099.0","4,607,112.0","4,887,705.0","5,275,286.0","5,682,482.0","6,014,281.0","6,205,629.0","6,570,376.0","6,910,716.0","7,332,620.0","7,692,818.0","8,131,983.0","8,632,617.0","9,107,402.0","9,687,755.0","10,321,786.0","10,673,627.0","11,026,113.0","11,577,784.0","12,364,060.0","13,186,295.0","13,923,488.0","14,603,216.0","14,890,593.0","14,569,787.0","15,170,341.0","15,764,565.0","16,392,828.0","16,913,520.0","17,611,180.0","18,160,580.0"
"27","7","    Gross national income","A023RC1","1,024,383.0","1,076,932.0","1,165,881.0","1,283,873.0","1,435,060.0","1,556,937.0","1,688,685.0","1,873,976.0","2,086,987.0","2,355,002.0","2,619,286.0","2,852,759.0","3,207,178.0","3,374,728.0","3,621,060.0","4,038,321.0","4,320,842.0","4,530,366.0","4,847,150.0","5,275,759.0","5,618,304.0","5,922,924.0","6,117,250.0","6,459,473.0","6,758,382.0","7,195,801.0","7,602,259.0","8,075,414.0","8,620,325.0","9,167,551.0","9,725,260.0","10,421,259.0","10,788,612.0","11,098,891.0","11,591,408.0","12,372,645.0","13,221,776.0","14,140,770.0","14,585,723.0","14,791,194.0","14,494,460.0","15,121,133.0","15,802,898.0","16,596,084.0","17,091,162.0","17,823,218.0","18,367,538.0"
"28","8","    Net national product \2\","A027RC1","901,130.0","945,494.0","1,026,499.0","1,130,110.0","1,263,088.0","1,358,177.0","1,464,390.0","1,635,225.0","1,817,909.0","2,053,089.0","2,292,941.0","2,470,683.0","2,758,845.0","2,847,185.0","3,114,676.0","3,482,649.0","3,735,446.0","3,924,949.0","4,159,753.0","4,492,899.0","4,846,372.0","5,127,452.0","5,274,504.0","5,610,651.0","5,907,118.0","6,277,048.0","6,570,035.0","6,955,963.0","7,392,662.0","7,797,131.0","8,286,894.0","8,807,546.0","9,069,648.0","9,364,045.0","9,850,564.0","10,532,361.0","11,204,339.0","11,787,469.0","12,338,866.0","12,527,220.0","12,201,405.0","12,788,750.0","13,313,922.0","13,858,621.0","14,280,688.0","14,864,472.0","15,339,268.0"
"29","9","    National income \3\","A032RC1","899,520.0","940,149.0","1,017,016.0","1,122,976.0","1,256,980.0","1,350,769.0","1,451,148.0","1,614,767.0","1,798,653.0","2,029,939.0","2,248,153.0","2,426,752.0","2,722,132.0","2,840,412.0","3,060,514.0","3,443,987.0","3,684,189.0","3,848,203.0","4,119,198.0","4,493,372.0","4,782,194.0","5,036,095.0","5,186,125.0","5,499,748.0","5,754,784.0","6,140,229.0","6,479,476.0","6,899,394.0","7,380,370.0","7,857,280.0","8,324,399.0","8,907,019.0","9,184,633.0","9,436,823.0","9,864,188.0","10,540,946.0","11,239,820.0","12,004,751.0","12,321,373.0","12,427,821.0","12,126,078.0","12,739,542.0","13,352,255.0","14,061,878.0","14,458,333.0","15,076,508.0","15,546,226.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","10","    Gross domestic purchases","A712RC1","1,018,447.0","1,071,934.0","1,167,148.0","1,285,821.0","1,424,438.0","1,549,639.0","1,672,945.0","1,879,218.0","2,109,044.0","2,381,937.0","2,654,689.0","2,875,561.0","3,223,476.0","3,364,965.0","3,689,779.0","4,143,417.0","4,460,753.0","4,722,022.0","5,014,987.0","5,362,021.0","5,744,434.0","6,057,444.0","6,202,658.0","6,574,039.0","6,943,892.0","7,401,241.0","7,753,818.0","8,196,577.0","8,710,485.0","9,251,877.0","9,917,255.0","10,660,574.0","10,990,507.0","11,403,978.0","12,014,325.0","12,894,098.0","13,814,911.0","14,626,835.0","15,196,177.0","15,441,649.0","14,814,175.0","15,477,029.0","16,097,921.0","16,720,917.0","17,171,559.0","17,878,067.0","18,475,885.0"
"32","11","    Final sales to domestic purchasers \4\","A713RC1","1,009,274.0","1,069,933.0","1,158,892.0","1,276,714.0","1,408,560.0","1,535,649.0","1,679,201.0","1,862,102.0","2,086,720.0","2,356,146.0","2,636,705.0","2,881,892.0","3,193,667.0","3,379,879.0","3,695,530.0","4,078,012.0","4,438,929.0","4,715,451.0","4,987,838.0","5,343,539.0","5,716,741.0","6,042,897.0","6,203,052.0","6,557,711.0","6,923,078.0","7,337,457.0","7,722,645.0","8,165,777.0","8,639,545.0","9,188,158.0","9,856,439.0","10,606,029.0","11,028,790.0","11,385,477.0","11,995,039.0","12,830,238.0","13,755,332.0","14,559,863.0","15,161,725.0","15,473,645.0","14,961,745.0","15,415,501.0","16,056,158.0","16,659,123.0","17,099,767.0","17,800,939.0","18,366,647.0"
"33","12","    Final sales to private domestic purchasers \5\","LA0000031","768,875.0","815,738.0","889,559.0","988,466.0","1,102,187.0","1,192,534.0","1,296,262.0","1,456,281.0","1,650,964.0","1,878,758.0","2,111,167.0","2,291,047.0","2,538,928.0","2,669,859.0","2,929,788.0","3,252,839.0","3,530,503.0","3,740,982.0","3,957,077.0","4,265,372.0","4,564,824.0","4,804,531.0","4,904,893.0","5,212,338.0","5,557,012.0","5,933,717.0","6,270,487.0","6,669,330.0","7,085,390.0","7,574,639.0","8,130,401.0","8,771,604.0","9,070,029.0","9,290,544.0","9,774,193.0","10,472,836.0","11,261,638.0","11,917,672.0","12,359,796.0","12,470,458.0","11,872,654.0","12,241,485.0","12,887,419.0","13,500,537.0","13,985,519.0","14,648,833.0","15,183,256.0"
"34",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
