"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"31","12","  Rental income of persons with capital consumption adjustment","A048RC1","20,247.0","20,314.0","20,474.0","20,465.0","20,487.0","20,274.0","20,915.0","21,220.0","21,191.0","21,776.0","22,151.0","22,600.0","23,207.0","20,259.0","23,981.0","23,856.0","23,633.0","23,485.0","22,482.0","23,433.0","23,676.0","23,079.0","23,432.0","23,170.0","22,898.0","22,642.0","22,484.0","22,092.0","21,949.0","20,767.0","20,336.0","19,434.0","17,133.0","16,625.0","15,760.0","15,264.0","16,494.0","16,188.0","17,398.0","17,558.0","17,767.0","15,588.0","15,350.0","17,572.0","19,963.0","14,130.0","17,014.0","27,830.0","26,167.0","24,423.0","24,108.0","26,959.0","27,578.0","24,048.0","25,948.0","26,983.0","27,437.0","27,433.0","27,416.0","27,668.0","26,887.0","25,162.0","27,624.0","31,867.0","30,170.0","29,176.0","30,252.0","28,425.0","24,779.0","24,247.0","20,495.0","18,096.0","18,819.0","17,365.0","20,972.0","23,673.0","22,984.0","22,630.0","23,929.0","30,918.0","26,818.0","24,713.0","22,724.0","23,399.0","25,898.0","30,152.0","34,830.0","34,550.0","36,152.0","38,583.0","43,040.0","50,244.0","53,948.0","61,050.0","68,031.0","74,278.0","83,217.0","91,889.0","96,265.0","103,181.0","112,742.0","117,371.0","120,745.0","119,027.0","122,205.0","126,095.0","130,154.0","138,290.0","143,930.0","146,040.0","147,975.0","149,860.0","148,962.0","149,865.0","152,564.0","156,795.0","161,504.0","167,196.0","172,609.0","178,146.0","180,789.0","184,119.0","183,944.0","183,565.0","184,223.0","184,349.0","186,936.0","195,379.0","201,730.0","207,523.0","210,105.0","210,814.0","215,191.0","217,416.0","216,829.0","219,771.0","226,843.0","233,983.0","239,922.0","251,339.0","254,579.0","258,696.0","254,552.0","253,839.0","246,135.0","242,931.0","231,585.0","233,109.0","223,240.0","211,898.0","204,270.0","190,677.0","177,916.0","189,605.0","192,871.0","197,247.0","225,321.0","249,954.0","273,390.0","299,757.0","310,792.0","325,036.0","344,381.0","354,589.0","380,460.0","397,251.0","408,312.0","424,995.0","460,080.0","477,973.0","491,552.0","511,576.0","517,018.0","522,985.0","527,276.0","534,017.0","547,927.0","556,549.0","569,695.0","579,400.0","590,954.0","605,506.0","618,436.0","628,443.0","636,976.0","654,102.0","663,585.0","671,744.0","684,995.0"
"32","13","  Personal income receipts on assets","W210RC1","93,683.0","96,920.0","100,243.0","103,899.0","107,424.0","110,846.0","115,011.0","117,318.0","120,034.0","121,399.0","123,306.0","124,620.0","128,090.0","131,035.0","135,027.0","139,042.0","142,336.0","146,867.0","153,792.0","159,557.0","165,350.0","172,385.0","178,581.0","185,157.0","190,842.0","192,936.0","196,815.0","200,544.0","204,156.0","209,997.0","215,023.0","221,289.0","226,291.0","238,451.0","249,331.0","259,615.0","266,868.0","273,683.0","281,279.0","290,091.0","300,235.0","310,310.0","321,681.0","341,150.0","367,744.0","380,537.0","385,602.0","410,078.0","429,443.0","457,358.0","495,152.0","509,483.0","526,780.0","542,865.0","545,491.0","549,926.0","560,813.0","569,992.0","593,313.0","613,040.0","628,610.0","654,997.0","683,347.0","693,438.0","703,915.0","710,137.0","710,938.0","726,253.0","749,464.0","757,358.0","757,618.0","756,939.0","759,241.0","769,358.0","785,824.0","804,987.0","812,636.0","821,912.0","847,863.0","875,062.0","921,565.0","949,159.0","963,216.0","973,851.0","986,398.0","989,521.0","995,721.0","993,113.0","986,308.0","985,734.0","987,806.0","982,021.0","979,532.0","984,418.0","980,954.0","983,689.0","991,011.0","988,780.0","986,683.0","987,938.0","994,073.0","1,016,080.0","1,038,121.0","1,069,334.0","1,092,552.0","1,108,054.0","1,120,380.0","1,135,127.0","1,145,018.0","1,164,497.0","1,186,744.0","1,209,613.0","1,227,255.0","1,248,037.0","1,267,414.0","1,291,107.0","1,324,430.0","1,350,677.0","1,357,317.0","1,337,767.0","1,310,445.0","1,316,180.0","1,329,289.0","1,362,761.0","1,417,007.0","1,450,143.0","1,472,404.0","1,474,493.0","1,463,672.0","1,451,855.0","1,434,744.0","1,414,993.0","1,392,042.0","1,390,411.0","1,383,694.0","1,395,549.0","1,407,508.0","1,411,299.0","1,421,084.0","1,442,058.0","1,451,666.0","1,468,205.0","1,484,626.0","1,610,464.0","1,577,627.0","1,641,863.0","1,684,217.0","1,762,101.0","1,847,628.0","1,917,518.0","1,969,009.0","2,019,450.0","2,069,177.0","2,168,866.0","2,213,427.0","2,215,124.0","2,228,343.0","2,186,399.0","2,173,630.0","2,079,836.0","1,965,878.0","1,846,225.0","1,756,646.0","1,703,218.0","1,706,032.0","1,719,703.0","1,739,393.0","1,793,453.0","1,854,204.0","1,897,154.0","1,932,243.0","1,971,861.0","2,026,014.0","2,081,418.0","2,085,985.0","2,301,632.0","2,040,265.0","2,057,668.0","2,076,884.0","2,066,758.0","2,102,684.0","2,121,846.0","2,114,977.0","2,130,616.0","2,145,529.0","2,178,328.0","2,202,780.0","2,195,277.0","2,195,626.0"
"33","14","    Personal interest income","A064RC1","69,719.0","72,796.0","75,975.0","79,299.0","82,916.0","86,586.0","90,771.0","93,098.0","94,986.0","96,443.0","98,138.0","99,684.0","101,986.0","104,607.0","107,923.0","111,334.0","113,964.0","117,587.0","123,416.0","128,065.0","132,834.0","139,109.0","145,045.0","151,737.0","157,946.0","160,292.0","164,003.0","167,208.0","168,036.0","171,929.0","175,143.0","179,473.0","183,659.0","194,555.0","203,747.0","212,835.0","218,652.0","224,291.0","229,571.0","236,495.0","244,887.0","253,450.0","263,725.0","281,566.0","306,052.0","316,349.0","321,038.0","344,630.0","360,871.0","384,794.0","419,380.0","431,871.0","449,235.0","466,495.0","468,508.0","470,576.0","479,936.0","488,068.0","509,149.0","526,852.0","540,185.0","564,308.0","592,455.0","600,872.0","608,660.0","613,296.0","612,785.0","626,942.0","646,374.0","651,138.0","650,277.0","649,470.0","650,549.0","659,671.0","672,672.0","687,918.0","691,084.0","695,664.0","715,239.0","736,513.0","773,727.0","793,640.0","802,336.0","806,900.0","816,421.0","819,798.0","825,975.0","827,263.0","811,406.0","805,906.0","805,026.0","798,851.0","794,778.0","796,699.0","790,420.0","790,491.0","794,984.0","788,244.0","779,675.0","772,573.0","769,138.0","783,042.0","798,874.0","825,687.0","845,608.0","855,648.0","859,650.0","863,258.0","859,927.0","867,073.0","878,420.0","891,752.0","901,011.0","913,795.0","925,466.0","941,833.0","968,859.0","992,448.0","1,000,534.0","986,583.0","967,468.0","975,863.0","984,211.0","1,005,536.0","1,042,730.0","1,064,613.0","1,083,481.0","1,089,908.0","1,090,843.0","1,084,903.0","1,069,142.0","1,043,757.0","1,006,684.0","993,080.0","981,651.0","985,767.0","997,865.0","1,000,192.0","986,441.0","968,441.0","937,857.0","926,812.0","937,538.0","964,465.0","1,023,113.0","1,072,672.0","1,109,669.0","1,147,111.0","1,162,475.0","1,201,571.0","1,236,459.0","1,258,410.0","1,289,624.0","1,348,607.0","1,382,261.0","1,380,042.0","1,363,279.0","1,359,281.0","1,376,237.0","1,347,655.0","1,299,610.0","1,283,875.0","1,251,117.0","1,222,403.0","1,201,469.0","1,195,575.0","1,184,197.0","1,198,871.0","1,217,237.0","1,236,083.0","1,234,745.0","1,238,418.0","1,270,325.0","1,295,036.0","1,289,789.0","1,300,153.0","1,271,337.0","1,262,905.0","1,270,079.0","1,281,063.0","1,320,210.0","1,309,961.0","1,288,131.0","1,289,828.0","1,282,571.0","1,313,418.0","1,334,979.0","1,318,346.0","1,321,362.0"
"34","15","    Personal dividend income","B703RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,372.0","29,280.0","30,376.0","31,492.0","32,516.0","33,276.0","33,536.0","33,420.0","32,896.0","32,644.0","32,812.0","33,336.0","36,120.0","38,068.0","39,880.0","41,816.0","42,632.0","43,896.0","45,584.0","46,780.0","48,216.0","49,392.0","51,708.0","53,596.0","55,348.0","56,860.0","57,956.0","59,584.0","61,692.0","64,188.0","64,564.0","65,448.0","68,572.0","72,564.0","75,772.0","77,612.0","77,545.0","76,370.0","76,983.0","79,350.0","80,877.0","81,924.0","84,164.0","86,188.0","88,425.0","90,689.0","90,892.0","92,566.0","95,255.0","96,841.0","98,153.0","99,311.0","103,090.0","106,220.0","107,341.0","107,469.0","108,692.0","109,687.0","113,152.0","117,069.0","121,552.0","126,248.0","132,624.0","138,549.0","147,838.0","155,519.0","160,880.0","166,951.0","169,977.0","169,723.0","169,746.0","165,850.0","174,902.0","179,828.0","182,780.0","183,170.0","184,754.0","187,719.0","190,534.0","193,198.0","196,027.0","200,536.0","207,008.0","215,365.0","224,935.0","233,038.0","239,247.0","243,647.0","246,944.0","252,406.0","260,730.0","271,869.0","285,091.0","297,424.0","308,324.0","317,861.0","326,244.0","334,242.0","341,948.0","349,274.0","355,571.0","358,229.0","356,783.0","351,184.0","342,977.0","340,317.0","345,078.0","357,225.0","374,277.0","385,530.0","388,923.0","384,585.0","372,829.0","366,952.0","365,602.0","371,236.0","385,358.0","397,331.0","402,043.0","409,782.0","409,643.0","411,107.0","434,643.0","473,617.0","513,809.0","541,393.0","547,088.0","645,999.0","554,514.0","569,191.0","574,548.0","614,990.0","685,153.0","715,947.0","732,550.0","761,040.0","779,553.0","820,259.0","831,166.0","835,082.0","865,064.0","827,118.0","797,393.0","732,181.0","666,268.0","562,350.0","505,529.0","480,815.0","504,563.0","524,128.0","555,196.0","594,582.0","636,967.0","661,071.0","697,498.0","733,443.0","755,689.0","786,383.0","796,196.0","1,001,480.0","768,928.0","794,763.0","806,804.0","785,695.0","782,473.0","811,885.0","826,845.0","840,788.0","862,958.0","864,909.0","867,801.0","876,932.0","874,264.0"
"35","16","  Personal current transfer receipts","A577RC1","60,444.0","61,536.0","62,896.0","64,340.0","66,104.0","76,080.0","76,348.0","80,120.0","82,024.0","89,584.0","89,568.0","91,256.0","94,348.0","94,896.0","96,040.0","106,396.0","109,056.0","111,452.0","113,296.0","116,468.0","121,876.0","129,888.0","137,120.0","144,292.0","155,904.0","171,544.0","174,824.0","177,640.0","181,767.0","180,031.0","186,731.0","188,819.0","190,964.0","191,420.0","196,564.0","199,340.0","203,344.0","205,128.0","213,892.0","217,196.0","222,723.0","227,387.0","242,991.0","249,135.0","259,405.0","264,553.0","296,565.0","299,989.0","306,475.0","309,935.0","328,471.0","331,055.0","336,297.0","345,529.0","362,145.0","377,889.0","380,734.0","386,910.0","382,490.0","387,046.0","393,892.0","398,264.0","401,000.0","409,388.0","420,042.0","422,622.0","427,938.0","430,886.0","443,237.0","449,074.0","456,077.0","457,833.0","463,135.0","468,093.0","469,178.0","472,157.0","489,929.0","493,527.0","499,611.0","506,772.0","531,446.0","538,802.0","547,876.0","558,839.0","579,492.0","590,463.0","600,004.0","617,509.0","641,638.0","661,400.0","670,778.0","698,754.0","727,000.0","745,591.0","757,598.0","761,959.0","781,622.0","786,043.0","799,949.0","804,342.0","818,144.0","822,856.0","826,877.0","847,973.0","873,953.0","883,461.0","890,388.0","886,017.0","916,037.0","936,385.0","931,785.0","932,606.0","950,228.0","949,995.0","956,173.0","963,061.0","974,685.0","981,068.0","984,507.0","995,380.0","1,014,552.0","1,017,836.0","1,030,925.0","1,041,385.0","1,056,726.0","1,083,723.0","1,098,014.0","1,110,775.0","1,155,645.0","1,187,392.0","1,192,201.0","1,235,156.0","1,259,921.0","1,281,652.0","1,291,551.0","1,305,595.0","1,323,666.0","1,340,435.0","1,361,632.0","1,363,564.0","1,398,687.0","1,416,303.0","1,424,560.0","1,445,767.0","1,489,254.0","1,512,998.0","1,527,460.0","1,537,213.0","1,589,389.0","1,604,474.0","1,629,100.0","1,635,406.0","1,706,709.0","1,708,392.0","1,732,871.0","1,764,381.0","1,804,113.0","2,148,010.0","1,943,336.0","1,930,844.0","2,039,848.0","2,177,616.0","2,178,280.0","2,194,394.0","2,301,094.0","2,308,643.0","2,336,165.0","2,352,859.0","2,364,027.0","2,361,781.0","2,353,763.0","2,362,272.0","2,343,413.0","2,364,384.0","2,368,496.0","2,389,059.0","2,406,037.0","2,415,911.0","2,438,251.0","2,446,350.0","2,475,998.0","2,513,128.0","2,556,535.0","2,571,028.0","2,625,791.0","2,651,322.0","2,675,664.0","2,698,043.0","2,728,378.0"
"36","17","    Government social benefits to persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,719.0","173,051.0","180,075.0","182,727.0","185,496.0","186,416.0","191,704.0","194,312.0","197,700.0","198,952.0","207,144.0","209,912.0","214,871.0","219,195.0","234,595.0","240,675.0","251,229.0","256,225.0","287,853.0","290,685.0","296,119.0","298,963.0","316,987.0","319,167.0","324,265.0","333,233.0","349,665.0","365,153.0","367,954.0","373,738.0","368,510.0","371,794.0","376,284.0","379,016.0","380,432.0","387,904.0","398,094.0","400,474.0","405,606.0","408,274.0","419,897.0","425,617.0","433,069.0","435,845.0","441,861.0","447,533.0","449,449.0","452,809.0","470,329.0","473,417.0","478,849.0","484,861.0","508,175.0","515,671.0","524,683.0","535,751.0","556,212.0","567,520.0","578,132.0","596,832.0","622,484.0","643,468.0","653,752.0","682,324.0","710,499.0","729,131.0","741,327.0","746,043.0","766,502.0","771,682.0","786,278.0","791,278.0","805,336.0","810,068.0","813,628.0","833,800.0","857,940.0","865,620.0","870,744.0","864,604.0","893,239.0","912,859.0","908,543.0","910,659.0","930,508.0","931,268.0","937,220.0","942,676.0","951,841.0","955,981.0","957,393.0","966,445.0","983,370.0","985,006.0","996,118.0","1,004,314.0","1,016,905.0","1,042,261.0","1,054,713.0","1,065,625.0","1,107,772.0","1,139,088.0","1,145,216.0","1,191,244.0","1,220,840.0","1,246,455.0","1,259,297.0","1,275,349.0","1,294,060.0","1,312,422.0","1,336,167.0","1,341,604.0","1,381,187.0","1,400,879.0","1,408,826.0","1,427,341.0","1,465,751.0","1,486,581.0","1,500,293.0","1,511,453.0","1,567,199.0","1,583,994.0","1,608,479.0","1,612,783.0","1,680,229.0","1,678,718.0","1,700,666.0","1,730,313.0","1,768,846.0","2,111,718.0","1,906,203.0","1,893,046.0","2,001,956.0","2,139,295.0","2,139,373.0","2,154,736.0","2,260,531.0","2,266,775.0","2,292,909.0","2,306,745.0","2,314,621.0","2,310,713.0","2,302,679.0","2,312,865.0","2,297,696.0","2,321,265.0","2,327,055.0","2,348,377.0","2,365,196.0","2,374,878.0","2,396,993.0","2,404,836.0","2,434,196.0","2,471,135.0","2,514,446.0","2,528,939.0","2,583,402.0","2,608,425.0","2,632,228.0","2,654,036.0","2,683,862.0"
"37","18","      Social security \2\","W823RC1","25,956.0","26,280.0","26,548.0","26,744.0","27,088.0","34,148.0","31,952.0","32,332.0","32,820.0","38,700.0","37,216.0","37,732.0","38,284.0","38,748.0","39,284.0","47,476.0","49,096.0","50,332.0","51,216.0","52,016.0","52,464.0","56,916.0","59,804.0","61,244.0","62,000.0","62,888.0","69,012.0","69,680.0","70,960.0","71,416.0","76,996.0","78,632.0","79,228.0","80,364.0","86,256.0","87,108.0","87,776.0","87,912.0","94,276.0","95,556.0","96,528.0","97,848.0","107,624.0","108,324.0","109,348.0","109,988.0","126,932.0","128,076.0","130,716.0","131,096.0","146,284.0","146,480.0","146,772.0","147,528.0","157,636.0","162,896.0","162,144.0","164,008.0","163,980.0","167,572.0","170,936.0","172,680.0","172,444.0","176,048.0","181,540.0","181,976.0","185,252.0","184,332.0","191,100.0","192,104.0","195,880.0","195,440.0","198,912.0","201,652.0","201,436.0","201,980.0","213,484.0","213,536.0","214,156.0","214,488.0","225,904.0","226,768.0","227,804.0","229,044.0","241,024.0","243,792.0","244,712.0","247,012.0","261,292.0","263,620.0","265,076.0","266,828.0","278,568.0","281,744.0","282,848.0","283,944.0","295,568.0","297,064.0","298,552.0","300,556.0","308,800.0","311,776.0","312,956.0","315,112.0","324,784.0","327,504.0","328,632.0","329,780.0","339,100.0","341,412.0","342,632.0","344,876.0","353,920.0","355,872.0","357,524.0","359,052.0","366,632.0","368,208.0","370,704.0","371,184.0","376,964.0","378,944.0","380,800.0","382,748.0","392,512.0","404,664.0","403,872.0","404,524.0","420,812.0","422,668.0","428,384.0","428,472.0","442,872.0","445,488.0","448,080.0","451,196.0","458,144.0","463,080.0","464,764.0","468,136.0","479,684.0","484,800.0","486,184.0","491,380.0","506,484.0","512,872.0","514,044.0","517,512.0","538,036.0","543,664.0","546,108.0","548,576.0","568,276.0","575,020.0","578,224.0","581,092.0","597,324.0","602,856.0","608,876.0","613,112.0","651,872.0","662,424.0","667,932.0","675,652.0","678,856.0","689,248.0","693,592.0","699,000.0","703,144.0","712,040.0","716,020.0","721,840.0","753,212.0","759,408.0","765,124.0","770,812.0","789,824.0","795,056.0","802,512.0","808,784.0","824,452.0","833,168.0","837,180.0","843,760.0","861,632.0","869,428.0","874,528.0","881,712.0","886,280.0"
"38","19","      Medicare \3\","W824RC1","6,428.0","6,632.0","6,800.0","6,920.0","7,020.0","7,164.0","7,324.0","7,508.0","7,760.0","7,960.0","8,148.0","8,328.0","8,480.0","8,692.0","8,940.0","9,232.0","9,544.0","9,960.0","10,452.0","11,020.0","11,700.0","12,368.0","13,060.0","13,776.0","14,492.0","15,244.0","16,008.0","16,788.0","17,584.0","18,384.0","19,196.0","20,016.0","20,864.0","21,688.0","22,512.0","23,340.0","24,164.0","25,044.0","25,980.0","26,984.0","28,004.0","29,208.0","30,536.0","31,996.0","33,632.0","35,300.0","37,036.0","38,836.0","40,688.0","42,556.0","44,436.0","46,316.0","48,220.0","50,056.0","51,844.0","53,588.0","55,168.0","56,904.0","58,668.0","60,448.0","62,452.0","64,088.0","65,564.0","66,888.0","67,868.0","69,072.0","70,316.0","71,624.0","73,004.0","74,468.0","76,004.0","77,600.0","79,648.0","81,068.0","82,280.0","83,344.0","83,436.0","84,956.0","87,048.0","89,716.0","93,824.0","96,872.0","99,712.0","102,292.0","104,284.0","106,524.0","108,744.0","111,000.0","112,924.0","115,684.0","118,876.0","122,464.0","127,232.0","130,972.0","134,468.0","137,712.0","143,376.0","144,736.0","147,452.0","151,576.0","156,904.0","162,164.0","167,056.0","171,568.0","175,688.0","179,556.0","183,160.0","186,476.0","189,596.0","192,912.0","196,524.0","200,440.0","204,364.0","207,084.0","208,280.0","207,940.0","206,416.0","205,332.0","205,016.0","205,468.0","206,596.0","207,936.0","209,404.0","211,008.0","212,960.0","216,112.0","220,688.0","226,708.0","233,848.0","240,360.0","245,840.0","250,272.0","253,816.0","257,316.0","260,944.0","264,680.0","268,664.0","273,440.0","279,120.0","285,716.0","293,060.0","300,460.0","308,608.0","315,460.0","323,224.0","329,216.0","335,172.0","341,032.0","389,516.0","395,584.0","402,224.0","409,408.0","417,016.0","424,884.0","432,980.0","441,296.0","449,828.0","458,484.0","467,260.0","476,144.0","484,912.0","492,392.0","498,356.0","502,796.0","505,104.0","510,704.0","516,620.0","522,852.0","528,648.0","533,824.0","538,596.0","542,960.0","547,592.0","553,148.0","559,172.0","565,400.0","571,816.0","568,416.0","575,408.0","582,564.0","589,460.0","595,600.0","600,796.0","605,308.0","609,824.0","615,320.0","622,460.0","631,442.0","640,872.0"
"39","20","      Medicaid","W729RC1","4,440.0","4,392.0","4,584.0","4,788.0","4,980.0","5,320.0","5,596.0","5,924.0","6,208.0","6,592.0","6,912.0","7,264.0","7,812.0","7,964.0","8,616.0","8,452.0","9,032.0","9,592.0","9,680.0","10,140.0","10,236.0","11,144.0","11,364.0","11,960.0","13,260.0","13,788.0","13,760.0","14,644.0","15,164.0","14,856.0","15,868.0","15,940.0","16,200.0","17,492.0","16,720.0","16,536.0","17,460.0","18,632.0","18,916.0","19,468.0","20,032.0","20,776.0","21,108.0","22,352.0","23,404.0","22,188.0","24,212.0","25,616.0","26,512.0","28,140.0","28,340.0","27,992.0","28,836.0","30,180.0","30,848.0","30,772.0","33,192.0","33,400.0","33,980.0","34,912.0","35,672.0","36,212.0","36,836.0","37,568.0","38,388.0","39,156.0","40,084.0","41,064.0","42,132.0","43,116.0","44,148.0","45,184.0","46,248.0","47,296.0","48,376.0","49,424.0","50,868.0","52,204.0","53,676.0","55,360.0","57,420.0","59,572.0","61,920.0","64,440.0","66,572.0","70,344.0","74,928.0","80,732.0","83,664.0","93,056.0","98,428.0","112,496.0","108,264.0","115,400.0","120,560.0","120,768.0","124,400.0","124,812.0","135,168.0","136,036.0","136,644.0","137,076.0","136,156.0","147,840.0","152,456.0","152,456.0","152,676.0","140,692.0","151,316.0","165,792.0","158,792.0","156,852.0","161,420.0","159,364.0","163,680.0","168,032.0","167,244.0","169,984.0","168,120.0","175,432.0","181,128.0","179,096.0","186,716.0","191,280.0","190,192.0","198,256.0","204,752.0","204,772.0","214,996.0","230,104.0","217,400.0","246,536.0","244,896.0","243,828.0","251,056.0","260,256.0","260,676.0","260,116.0","271,652.0","265,660.0","283,448.0","293,036.0","288,260.0","294,508.0","301,348.0","310,776.0","300,124.0","305,404.0","291,328.0","294,920.0","308,748.0","301,420.0","332,832.0","314,124.0","319,824.0","329,932.0","331,972.0","338,572.0","340,952.0","341,792.0","357,656.0","368,540.0","378,148.0","372,648.0","381,684.0","385,296.0","405,448.0","414,104.0","418,840.0","408,784.0","396,224.0","398,848.0","400,399.0","421,117.0","418,969.0","428,614.0","426,050.0","435,851.0","448,407.0","448,568.0","463,026.0","473,565.0","505,864.0","507,065.0","523,921.0","528,973.0","540,384.0","546,306.0","550,571.0"
"40","21","      Unemployment insurance","W825RC1","2,284.0","2,188.0","2,332.0","2,504.0","2,880.0","3,900.0","4,568.0","5,396.0","5,704.0","6,268.0","6,324.0","6,344.0","6,548.0","6,860.0","5,756.0","4,968.0","4,592.0","4,456.0","4,484.0","4,748.0","5,836.0","6,728.0","6,888.0","8,632.0","14,160.0","19,376.0","20,192.0","18,832.0","17,664.0","16,268.0","16,124.0","15,488.0","15,476.0","13,280.0","11,928.0","11,832.0","10,780.0","9,364.0","9,040.0","8,484.0","9,364.0","9,204.0","9,628.0","10,572.0","11,956.0","15,660.0","18,972.0","17,800.0","16,408.0","15,532.0","14,976.0","16,624.0","19,124.0","23,884.0","26,052.0","31,848.0","30,272.0","32,096.0","23,312.0","19,964.0","17,252.0","15,704.0","15,148.0","15,860.0","16,864.0","15,972.0","15,008.0","15,600.0","15,628.0","16,352.0","16,976.0","16,912.0","15,472.0","15,064.0","14,448.0","13,516.0","13,900.0","13,172.0","13,232.0","13,008.0","13,568.0","13,696.0","14,620.0","15,756.0","16,448.0","17,064.0","18,164.0","20,972.0","24,340.0","27,500.0","25,936.0","29,372.0","39,700.0","41,200.0","39,612.0","37,956.0","35,088.0","35,536.0","35,548.0","33,220.0","27,960.0","24,448.0","22,056.0","21,304.0","20,912.0","21,572.0","21,976.0","22,476.0","23,008.0","22,712.0","21,640.0","21,736.0","20,968.0","20,392.0","19,640.0","19,412.0","19,400.0","19,304.0","20,280.0","19,788.0","20,804.0","20,876.0","20,324.0","20,032.0","20,548.0","19,972.0","20,580.0","21,864.0","25,452.0","28,380.0","33,120.0","40,644.0","42,864.0","60,464.0","57,112.0","53,484.0","51,240.0","54,908.0","54,720.0","51,828.0","43,380.0","35,876.0","33,744.0","32,696.0","33,152.0","31,084.0","30,740.0","32,120.0","30,080.0","29,864.0","30,840.0","30,684.0","31,724.0","30,964.0","33,200.0","35,068.0","36,748.0","37,816.0","58,200.0","71,824.0","100,312.0","128,932.0","145,968.0","149,628.0","159,836.0","140,504.0","130,656.0","124,420.0","117,656.0","109,172.0","102,348.0","99,468.0","96,040.0","85,988.0","78,176.0","74,976.0","68,968.0","64,424.0","59,308.0","56,632.0","39,696.0","35,964.0","34,636.0","32,856.0","35,044.0","33,144.0","32,936.0","32,173.0","32,431.0"
"41","22","      Veterans' benefits","W826RC1","6,292.0","6,580.0","6,672.0","6,904.0","6,924.0","7,272.0","7,644.0","7,988.0","8,228.0","8,288.0","8,476.0","8,624.0","9,680.0","8,572.0","8,812.0","10,432.0","10,080.0","10,032.0","10,252.0","10,604.0","10,808.0","10,784.0","11,820.0","12,912.0","13,892.0","13,532.0","13,892.0","14,484.0","15,292.0","13,736.0","12,844.0","13,188.0","13,896.0","13,352.0","12,888.0","13,260.0","13,764.0","13,376.0","13,368.0","13,880.0","14,192.0","13,936.0","14,120.0","14,364.0","14,460.0","14,376.0","14,532.0","15,272.0","15,596.0","15,576.0","15,708.0","16,248.0","16,256.0","16,136.0","16,208.0","16,560.0","16,648.0","16,356.0","16,392.0","16,384.0","16,248.0","16,228.0","16,392.0","16,232.0","16,704.0","16,636.0","16,488.0","16,376.0","16,868.0","16,712.0","16,476.0","16,300.0","16,576.0","16,528.0","16,356.0","16,392.0","16,928.0","16,688.0","16,724.0","16,600.0","17,436.0","17,176.0","17,152.0","17,092.0","17,904.0","17,628.0","17,560.0","17,656.0","17,956.0","18,536.0","18,136.0","17,896.0","18,732.0","18,764.0","18,468.0","18,516.0","19,392.0","19,492.0","19,192.0","19,152.0","19,652.0","19,568.0","19,756.0","19,836.0","20,620.0","20,496.0","20,580.0","20,476.0","21,420.0","21,656.0","21,272.0","21,352.0","22,388.0","22,204.0","22,196.0","22,436.0","23,332.0","23,212.0","23,164.0","23,356.0","24,208.0","24,112.0","24,100.0","24,136.0","25,068.0","24,936.0","24,908.0","25,104.0","26,048.0","26,320.0","26,420.0","27,600.0","28,784.0","29,300.0","29,804.0","30,276.0","31,340.0","31,760.0","32,128.0","32,088.0","33,492.0","33,752.0","34,276.0","34,672.0","36,120.0","36,284.0","36,480.0","36,640.0","38,396.0","38,740.0","39,032.0","39,336.0","40,580.0","41,744.0","41,912.0","42,564.0","44,168.0","44,740.0","45,448.0","45,800.0","49,720.0","50,488.0","51,996.0","53,940.0","55,900.0","57,140.0","58,884.0","59,920.0","61,588.0","62,388.0","64,600.0","64,484.0","67,210.0","69,020.0","71,287.0","72,927.0","76,208.0","79,101.0","80,129.0","80,786.0","82,034.0","82,302.0","83,814.0","86,686.0","90,747.0","94,083.0","95,055.0","97,751.0","98,600.0"
