"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2016      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 2:42:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19","1","Gross domestic product (GDP)","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,155,255.0","16,663,160.0","17,348,071.0","17,946,980.0"
"20","2","Plus: Income receipts from the rest of the world","B645RC1","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,662.0","111,324.0","123,286.0","152,116.0","177,699.0","188,847.0","168,363.0","152,052.0","155,600.0","184,543.0","229,833.0","246,404.0","280,071.0","286,779.0","321,420.0","382,690.0","325,308.0","315,805.0","356,114.0","451,444.0","575,787.0","724,239.0","875,655.0","856,929.0","648,897.0","720,019.0","792,643.0","801,514.0","826,161.0","854,278.0","830,469.0"
"21","3","Less: Income payments to the rest of the world","A655RC1","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","87,297.0","94,367.0","105,798.0","129,459.0","152,910.0","154,155.0","136,777.0","120,975.0","123,602.0","160,678.0","201,075.0","214,622.0","255,969.0","268,545.0","294,289.0","345,683.0","273,505.0","267,206.0","289,000.0","362,312.0","483,218.0","656,639.0","750,074.0","684,918.0","497,849.0","514,050.0","546,004.0","563,940.0","575,801.0","591,169.0","616,869.0"
"22","4","Equals: Gross national product","A001RC1","1,025,993.0","1,082,277.0","1,175,364.0","1,291,007.0","1,441,168.0","1,564,345.0","1,701,927.0","1,894,434.0","2,106,243.0","2,378,152.0","2,664,074.0","2,896,690.0","3,243,891.0","3,381,501.0","3,675,222.0","4,076,983.0","4,372,099.0","4,607,112.0","4,887,705.0","5,275,286.0","5,682,482.0","6,014,281.0","6,205,629.0","6,570,376.0","6,910,716.0","7,332,620.0","7,692,818.0","8,131,983.0","8,632,617.0","9,107,402.0","9,687,755.0","10,321,786.0","10,673,627.0","11,026,113.0","11,577,784.0","12,364,060.0","13,186,295.0","13,923,488.0","14,603,216.0","14,890,593.0","14,569,787.0","15,170,341.0","15,764,565.0","16,392,828.0","16,913,520.0","17,611,180.0","18,160,580.0"
"23","5","Less: Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,534,207.0","2,632,832.0","2,746,709.0","2,821,312.0"
"24","6","  Private","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,037,976.0","2,126,622.0","2,229,911.0","2,299,155.0"
"25","7","    Domestic business","W276RC1","74,198.0","81,790.0","89,411.0","97,151.0","108,168.0","126,113.0","147,909.0","162,194.0","181,508.0","205,525.0","236,365.0","272,782.0","313,464.0","347,520.0","362,773.0","382,651.0","410,256.0","438,137.0","464,486.0","498,417.0","531,846.0","563,857.0","591,760.0","607,891.0","634,239.0","669,041.0","717,759.0","758,356.0","807,937.0","860,409.0","924,977.0","1,006,511.0","1,067,516.0","1,101,396.0","1,131,585.0","1,185,924.0","1,273,213.0","1,368,807.0","1,451,233.0","1,522,307.0","1,522,385.0","1,523,048.0","1,572,830.0","1,633,390.0","1,699,428.0","1,775,159.0","1,829,783.0"
"26","8","      Capital consumption allowances","Y0000C1","79,698.0","85,864.0","92,343.0","102,330.0","111,886.0","123,946.0","135,924.0","147,391.0","166,980.0","189,360.0","216,143.0","245,842.0","301,152.0","343,142.0","385,602.0","435,570.0","493,482.0","512,032.0","533,080.0","563,704.0","589,541.0","595,967.0","611,597.0","628,406.0","658,915.0","701,647.0","753,911.0","808,329.0","877,031.0","941,400.0","1,023,831.0","1,096,056.0","1,180,124.0","1,284,871.0","1,305,438.0","1,335,350.0","1,174,201.0","1,250,032.0","1,329,997.0","1,584,678.0","1,558,553.0","1,599,941.0","1,823,429.0","1,652,231.0","1,735,012.0","1,815,577.0","1,588,987.0"
"27","9","      Less: Capital consumption adjustment","Y0004C1","5,500.0","4,074.0","2,932.0","5,179.0","3,718.0","-2,167.0","-11,985.0","-14,803.0","-14,528.0","-16,165.0","-20,222.0","-26,940.0","-12,312.0","-4,378.0","22,829.0","52,919.0","83,226.0","73,895.0","68,594.0","65,287.0","57,695.0","32,110.0","19,837.0","20,515.0","24,676.0","32,606.0","36,152.0","49,973.0","69,094.0","80,991.0","98,854.0","89,545.0","112,608.0","183,475.0","173,853.0","149,426.0","-99,012.0","-118,775.0","-121,236.0","62,371.0","36,168.0","76,893.0","250,599.0","18,841.0","35,584.0","40,419.0","-240,796.0"
"28","10","    Households and institutions","W279RC1","15,235.0","16,468.0","18,224.0","20,340.0","23,321.0","27,045.0","30,882.0","34,318.0","39,616.0","46,589.0","54,366.0","62,193.0","68,466.0","72,872.0","76,013.0","80,866.0","86,155.0","93,435.0","101,821.0","109,884.0","118,237.0","125,126.0","130,594.0","136,268.0","145,728.0","155,284.0","164,822.0","172,679.0","182,134.0","194,532.0","210,937.0","230,063.0","250,179.0","266,619.0","290,784.0","323,375.0","362,085.0","396,202.0","413,741.0","414,565.0","403,268.0","400,485.0","398,234.0","404,585.0","427,191.0","454,752.0","469,373.0"
"29","11","  Government","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","496,231.0","506,210.0","516,798.0","522,156.0"
"30","12","    General government","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","422,126.0","436,118.0","444,153.0","452,610.0","456,729.0"
"31","13","    Government enterprises","A266RC1","2,200.0","2,469.0","2,787.0","3,116.0","3,507.0","4,262.0","5,066.0","5,520.0","6,004.0","6,655.0","7,575.0","8,776.0","9,969.0","10,859.0","11,498.0","12,161.0","12,925.0","13,765.0","14,613.0","15,618.0","16,720.0","17,867.0","18,831.0","19,781.0","21,118.0","22,386.0","23,616.0","24,635.0","25,315.0","26,386.0","28,018.0","29,964.0","31,418.0","32,859.0","34,575.0","37,500.0","41,040.0","44,433.0","47,952.0","50,953.0","52,475.0","54,304.0","57,453.0","60,113.0","62,056.0","64,188.0","65,428.0"
"32","14","Equals: Net national product","A027RC1","901,130.0","945,494.0","1,026,499.0","1,130,110.0","1,263,088.0","1,358,177.0","1,464,390.0","1,635,225.0","1,817,909.0","2,053,089.0","2,292,941.0","2,470,683.0","2,758,845.0","2,847,185.0","3,114,676.0","3,482,649.0","3,735,446.0","3,924,949.0","4,159,753.0","4,492,899.0","4,846,372.0","5,127,452.0","5,274,504.0","5,610,651.0","5,907,118.0","6,277,048.0","6,570,035.0","6,955,963.0","7,392,662.0","7,797,131.0","8,286,894.0","8,807,546.0","9,069,648.0","9,364,045.0","9,850,564.0","10,532,361.0","11,204,339.0","11,787,469.0","12,338,866.0","12,527,220.0","12,201,405.0","12,788,750.0","13,313,922.0","13,858,621.0","14,280,688.0","14,864,472.0","15,339,268.0"
"33","15","Less: Statistical discrepancy","A030RC1","1,610.0","5,345.0","9,483.0","7,134.0","6,108.0","7,408.0","13,242.0","20,458.0","19,256.0","23,150.0","44,788.0","43,931.0","36,713.0","6,773.0","54,162.0","38,662.0","51,257.0","76,746.0","40,555.0","-473.0","64,178.0","91,357.0","88,379.0","110,903.0","152,334.0","136,819.0","90,559.0","56,569.0","12,292.0","-60,149.0","-37,505.0","-99,473.0","-114,985.0","-72,778.0","-13,624.0","-8,585.0","-35,481.0","-217,282.0","17,493.0","99,399.0","75,327.0","49,208.0","-38,333.0","-203,256.0","-177,642.0","-212,037.0","-206,958.0"
"34","16","Equals: National income","A032RC1","899,520.0","940,149.0","1,017,016.0","1,122,976.0","1,256,980.0","1,350,769.0","1,451,148.0","1,614,767.0","1,798,653.0","2,029,939.0","2,248,153.0","2,426,752.0","2,722,132.0","2,840,412.0","3,060,514.0","3,443,987.0","3,684,189.0","3,848,203.0","4,119,198.0","4,493,372.0","4,782,194.0","5,036,095.0","5,186,125.0","5,499,748.0","5,754,784.0","6,140,229.0","6,479,476.0","6,899,394.0","7,380,370.0","7,857,280.0","8,324,399.0","8,907,019.0","9,184,633.0","9,436,823.0","9,864,188.0","10,540,946.0","11,239,820.0","12,004,751.0","12,321,373.0","12,427,821.0","12,126,078.0","12,739,542.0","13,352,255.0","14,061,878.0","14,458,333.0","15,076,508.0","15,546,226.0"
"35",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
