"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2016 6:38:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Personal consumption expenditures","DPCERX1","7,775,909.0","8,170,682.0","8,382,636.0","8,598,775.0","8,867,559.0","9,208,180.0","9,531,811.0","9,821,691.0","10,041,554.0","10,007,182.0","9,846,969.0","10,036,322.0","10,263,452.0","10,413,244.0","10,590,418.0","10,875,734.0"
"20","2","Goods","DGDSRX1","2,460,874.0","2,588,250.0","2,666,644.0","2,770,177.0","2,904,451.0","3,051,921.0","3,177,160.0","3,292,529.0","3,381,763.0","3,297,792.0","3,198,444.0","3,308,651.0","3,411,777.0","3,504,263.0","3,612,775.0","3,731,170.0"
"21","3","  Durable goods","DDURRX1","698,312.0","758,332.0","798,016.0","856,587.0","917,639.0","992,924.0","1,046,946.0","1,091,545.0","1,141,662.0","1,083,235.0","1,023,318.0","1,085,658.0","1,151,531.0","1,236,206.0","1,307,562.0","1,384,101.0"
"22","4","    Motor vehicles and parts","DMOTRX1","335,750.0","346,435.0","364,142.0","383,313.0","394,574.0","405,492.0","399,996.0","385,132.0","392,789.0","340,814.0","317,058.0","323,406.0","333,773.0","359,113.0","375,780.0","396,728.0"
"23","5","      New motor vehicles (55)","DNMVRX1","188,192.0","198,449.0","217,821.0","234,467.0","245,747.0","248,207.0","243,507.0","229,474.0","232,036.0","187,157.0","165,623.0","178,589.0","198,494.0","222,548.0","232,060.0","244,876.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRX1","95,114.0","94,866.0","94,549.0","97,085.0","95,320.0","100,568.0","97,730.0","96,229.0","100,059.0","96,913.0","99,660.0","91,035.0","81,094.0","82,352.0","87,981.0","94,432.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRX1","52,582.0","53,314.0","51,378.0","50,987.0","53,448.0","56,805.0","59,609.0","60,480.0","61,543.0","56,969.0","51,775.0","54,414.0","56,458.0","57,276.0","58,788.0","60,525.0"
"26","8","    Furnishings and durable household equipment","DFDHRX1","171,234.0","187,747.0","197,294.0","211,699.0","226,793.0","248,326.0","264,837.0","278,298.0","280,443.0","267,670.0","244,311.0","261,502.0","276,600.0","288,743.0","304,260.0","323,940.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1","96,357.0","106,000.0","110,498.0","117,940.0","126,420.0","140,007.0","152,404.0","162,363.0","167,353.0","158,929.0","144,649.0","155,913.0","165,016.0","173,022.0","182,677.0","194,346.0"
"28","10","      Household appliances (part of 33)","DAPPRX1","31,895.0","34,730.0","36,679.0","39,007.0","41,675.0","46,655.0","48,631.0","49,420.0","47,626.0","45,534.0","41,111.0","43,642.0","45,579.0","45,112.0","47,576.0","50,671.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERX1","27,167.0","30,394.0","32,882.0","36,748.0","39,562.0","41,369.0","43,005.0","45,491.0","45,470.0","43,793.0","41,071.0","43,856.0","47,234.0","51,457.0","54,207.0","58,012.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORX1","16,481.0","17,190.0","17,817.0","18,522.0","19,661.0","20,902.0","21,186.0","21,211.0","19,974.0","19,414.0","17,480.0","18,099.0","18,779.0","19,260.0","19,944.0","21,082.0"
"31","13","    Recreational goods and vehicles","DREQRX1","113,096.0","132,046.0","144,203.0","160,652.0","181,585.0","209,327.0","237,637.0","268,788.0","298,972.0","308,742.0","303,775.0","336,804.0","370,162.0","413,259.0","449,760.0","481,629.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1","38,950.0","47,361.0","54,200.0","63,562.0","75,053.0","91,538.0","110,648.0","133,075.0","157,594.0","173,287.0","184,935.0","217,102.0","244,315.0","280,435.0","309,418.0","334,577.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1","31,929.0","36,707.0","39,591.0","42,447.0","44,786.0","48,322.0","51,742.0","55,944.0","57,743.0","56,334.0","50,894.0","52,853.0","58,499.0","63,847.0","69,042.0","72,866.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRX1","34,398.0","37,048.0","37,009.0","38,417.0","43,502.0","48,492.0","51,021.0","52,020.0","53,448.0","47,548.0","36,950.0","35,465.0","36,046.0","38,592.0","42,071.0","45,288.0"
