"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 8:25:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Chain-type quantity indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","      Personal consumption expenditures","1","B002RA",11.95,11.31,10.97,9.99,9.76,10.44,11.09,12.21,12.67,12.46,13.16,13.84,14.83,14.48,14.88,15.31,16.26,18.27,18.64,19.06,19.58,20.83,21.14,21.81,22.86,23.33,25.02,25.75,26.38,26.6,28.08,28.85,29.43,30.88,32.15,34.08,36.23,38.3,39.45,41.7,43.24,44.25,45.92,48.7,51.09,50.67,51.76,54.78,57.13,59.66,61.16,60.96,61.79,62.54,65.95,69.51,72.95,76.01,78.54,81.71,83.89,85.43,85.28,87.72,90.67,94.09,96.91,100,103.56,108.52,113.88,118.83,121.76
"10","Food and tobacco","2","A495RA",21.2,20.71,20.82,19.42,19.79,21.77,23,26.05,27.31,27.8,28.58,29.84,31.47,32.35,33.26,35.42,38.01,40,38.74,38.35,38.61,39.32,40.43,41.77,43.2,43.84,45.62,47.07,48.09,48.19,49.95,50.35,51,51.61,52.18,54.03,56.91,59.1,59.84,62.5,63.93,65.84,66.45,68.52,68.98,68.04,69.6,73.29,74.44,75.26,76.61,77.26,77.41,78.4,80.27,81.89,83.75,85.41,86.52,89.27,90.76,92.84,92.3,93.05,94.79,97.45,98.92,100,100.95,103.74,106.56,110.22,111.01
"11","  Food purchased for off-premise consumption (n.d.)","3","BOPFRA",22.51,21.9,21.62,19.89,20.7,23.02,24.53,28.18,29.04,29.68,30.03,31.45,32.7,32.58,31.49,33.14,35.01,39.5,39.81,39.58,39.94,40.87,41.18,42.41,44.22,45.5,47.83,49.51,50.86,51.14,53.35,53.87,54.66,55.14,55.64,57.73,60.79,63.25,64.75,67.68,69.59,71.65,72.57,74.01,73.01,71.64,73.01,76.63,77.89,77.65,78.85,79.75,79.64,81.16,83.36,85.18,87.89,89.58,89.21,91.64,92.87,94.9,94.75,94.56,96.13,98.35,99.37,100,100.19,103.24,107.49,111.18,111.94
"12","  Purchased meals and beverages (n.d.) \1\","4","BPMBRA",10.46,10.73,11.39,11.23,9.97,11.37,12.23,13.99,15.98,16.17,17.71,18.7,20.51,21.8,24.45,26.71,30.31,30.17,26.82,26.16,26.55,26.84,28.85,30.18,31.44,31.41,32.35,33.37,33.69,33.22,34.06,34.37,34.35,35.49,36.29,38.24,40.91,42.67,41.8,44.65,45.69,47.55,47.83,51.15,53.72,52.8,54.91,58.07,59.8,62.44,64.31,64.4,64.77,65.5,67.93,69.64,70.54,72.94,76.87,81.67,84.01,87.09,87.03,88.71,92.68,95.68,98.03,100,102.49,105.91,108.28,113.06,114.45
"13","  Food furnished to employees (including military) (n.d.)","5","AFOORA",26.23,26.3,25.52,24.59,24.59,26.44,28.02,30.6,33.86,33.3,34.97,38.7,57.05,97.09,165.13,232.11,255.72,117.46,73.13,67.07,67.94,68.44,96.2,104.72,104.13,99.86,96.14,94.84,94.88,92.61,87.26,85.21,88.37,89.99,88.65,88.73,93.79,106.75,111.64,107.73,105.6,98.87,90.53,88,88.15,97.95,104.29,111.28,107.59,112.84,117.29,120.06,123,124.06,116.87,111.55,104.87,97.03,89.78,91.39,92.97,93.26,92.48,92.86,94.9,96.9,98.99,100,100.77,101.94,103.68,105.11,107.3
"14","  Food produced and consumed on farms (n.d.)","6","BFFDRA",1554.98,1550.93,1651.57,1643.71,1776.25,1696.28,1570.03,1602.37,1595.41,1615.18,1656.96,1622.37,1548.01,1522.63,1619.45,1533.63,1578.11,1621.24,1455.91,1397.95,1306.52,1277.54,1233.06,1202.29,1124.34,1089.52,1051.33,1014.26,919.01,872.51,796.11,715.81,705.42,623.84,598.27,563.64,497.59,459.49,427.58,394.96,366.76,384.48,363.77,370.6,352.23,415.98,385.19,389.98,380.83,310.56,287.42,272.18,268.41,237.41,233.69,219.38,215.11,209.12,160.41,155.24,135.07,127.81,124.33,124.36,116.66,117.33,110.91,100,108.78,109.65,110.9,114.6,106.71
"15","  Tobacco products (n.d.)","7","BTOBRA",49.2,44.64,45.02,39.97,42.03,45.09,47.77,51.47,54.65,55.08,56.45,58.1,63.08,68.82,72.39,70.66,73.65,83.29,86.45,89.12,89.39,90.73,93.88,97.32,96.33,92.71,93.89,96.68,100.45,103.67,109.11,110.7,114.14,114.5,115.42,113.72,116.7,116.7,117.75,116.92,115.37,117.31,118.24,120.57,127.4,129.36,129.05,137.92,133.1,135.8,134.71,136.1,138.12,132.47,125.67,125.52,125.08,122.32,122.92,113.54,112.01,107.96,100.17,104.57,94.5,99.56,99.87,100,98.76,95.76,90.01,88.84,87.25
"16","  Addenda: Food excluding alcoholic beverages (n.d.)","8","BFXARA",25.32,24.89,25.01,23.45,22.44,22.15,22.53,25.12,26.14,27.13,27.85,29.23,30.48,30.89,31.65,34.22,36.74,38.23,36.54,36.47,36.85,37.34,38.47,39.99,41.48,42.55,44.41,45.86,46.94,46.91,48.58,49.05,49.7,50.1,50.58,52.63,55.7,57.94,58.96,61.72,63.05,64.68,64.92,66.66,66.29,64.86,66.54,70.13,71.11,71.67,72.81,73.2,73.2,74.49,76.79,78.75,80.71,82.65,84.04,87.53,89.12,91.15,91.69,92.57,95.14,97.59,98.95,100,100.92,103.9,107.53,111.56,112.49
"17","          Alcoholic beverages purchased for off-premise consumption (n.d.)","9","BAOPRA",NA,NA,NA,NA,1.57,14.04,19.21,24.63,25.51,23.2,23.52,24.13,26.32,28.05,28.06,29.34,31.13,33.33,33.96,30.01,29.47,31,29.91,29.7,30.75,29.85,30.69,31.39,30.9,30.99,32.77,32.95,33.21,35.25,36.33,37.78,39.15,41.32,42.48,46.31,50.61,54.82,59.63,63.37,66.99,69.59,70.85,73.79,78.27,80.02,83.54,86.25,87.59,89.86,91.93,91.51,95.12,97.08,95.59,96.28,98.13,102.63,94.8,89.38,91.66,95.84,98.81,100,101.89,108.23,111.43,116.52,118.55
"18","          Other alcoholic beverages (n.d.)","10","BAPMRA",NA,NA,NA,NA,12.56,14.73,16.74,19.85,24.46,24.71,26.95,27.77,30.69,32.64,36.53,36.49,41.27,44.98,43.59,44.92,44.78,46.86,51.48,50.94,53.48,53.09,55.3,57.39,58.71,58.97,58.84,57.38,56.53,57.5,58.15,59.64,62.05,64.63,58.69,59.27,58.66,60.72,58.93,63.06,67.32,66.74,67.91,70.05,73.22,76.17,80,81.85,81.48,79.05,78.63,78.22,77.05,76.93,77.26,81.26,83.58,89.74,89.01,92.31,93.59,94.82,97.4,100,102.75,104.86,106.4,110.19,111.34
