"","Table 2#8# Personal Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars; months seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 27, 2002 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 2:57:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Personal income","1","A065RC",394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3
"9","  Wage and salary disbursements",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","    All industries","2","A576RC",259.8,272.8,280.5,299.3,314.8,337.7,363.7,400.3,428.9,471.9,518.3,551.5,583.9,638.7,708.7,772.6,814.6,899.5,993.9,1120.7,1255.8,1377.5,1517.2,1593.4,1684.7,1854.6,1995.4,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2982.6,3085.2,3236.7,3424.7,3626.5,3888.9,4192.8,4470.4,4836.3,4950.6
"11","      Private industries","3","A132RC",213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.4,501.2,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.1,1359.8,1507,1621.7,1717.8,1848,2001.8,2117.1,2237.9,2278.6,2414.9,2500.3,2632.8,2802,2985.5,3224.7,3500.1,3746.3,4067.4,4139.8
"12","        Goods-producing industries",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","          Total","4","A206RC",109.9,113.4,114,122.2,127.4,136,146.6,161.6,169,184.1,200.4,203.7,209.1,228.2,255.9,276.5,277.1,309.7,346.1,392.6,442.3,472.3,514.5,514.6,527.7,586.1,620.2,636.8,660.1,706.7,732.2,754.4,746.3,765.7,780.6,824,863.6,908.2,975.1,1038.5,1088.6,1163.7,1142.4
"14","          Manufacturing","5","A552RC",86.9,89.8,89.9,96.8,100.7,107.3,115.7,128.2,134.3,146,157.7,158.4,160.5,175.6,196.6,211.8,211.6,238,266.7,300.1,335.2,356.2,387.6,385.7,400.7,445.4,468.5,480.7,496.9,529.9,547.9,561.4,562.5,583.5,592.4,620.3,647.5,673.7,718.4,756.6,782,829.4,789.4
"15","        Distributive industries","6","A212RC",65.1,68.6,69.6,73.3,76.8,82,87.9,95.1,101.6,110.8,121.7,131.2,140.4,153.3,170.3,186.8,198.1,219.5,242.7,274.9,308.5,336.7,368.5,385.9,405.7,445.2,476.5,501.6,535.4,575.1,606.5,633.6,646.3,680.2,697.3,738.4,782.1,822.4,879.6,948.9,1020.8,1094.8,1109.2
"16","        Service industries","7","A218RC",38.8,41.7,44.4,47.6,50.7,54.9,59.4,65.3,72,80.4,90.6,99.4,107.9,119.7,133.9,148.6,163.4,181.6,202.8,233.7,267.8,307.2,348.6,385.6,426.4,475.6,524.9,579.3,652.4,720.1,778.5,849.9,886,969,1022.4,1070.4,1156.3,1254.9,1369.9,1512.7,1636.9,1808.9,1888.2
"17","      Government","8","B202RC",46,49.2,52.4,56.3,60,64.9,69.9,78.3,86.4,96.6,105.5,117.1,126.5,137.4,148.7,160.9,176,188.6,202.3,219.6,237.1,261.3,285.6,307.3,325,347.6,373.8,396.6,422.2,450.9,479.7,516.7,545.6,567.7,584.9,603.9,622.7,641,664.3,692.7,724.2,768.9,810.8
"18","  Other labor income","9","B040RC",13.4,14.4,15.2,16.7,18,20.3,22.7,25.5,28.2,32.5,36.6,41.9,48,55.3,62.8,73.3,87.6,105.3,125.3,143.4,162.6,185.4,204.8,222.8,238.6,262.1,282.3,298.4,319.1,336.5,360.5,390,415.6,449.5,482.8,507.5,497,490,475.4,490.6,510.2,544.2,570.4
"19","  Proprietors' income with inventory valuation and capital consumption adjustments",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","    Farm","10","B042RC",10.9,11.4,12.1,12.1,11.9,10.8,13.1,14.1,12.8,12.8,14.2,14.3,14.9,18.8,30.7,25.2,23.5,18.7,17.5,21.5,23.7,13.1,20.3,14.4,7.2,21.6,21.5,23,29,26,32.2,31.1,26.4,32.7,30.1,31.9,22.2,34.3,29.7,25.6,27.7,22.6,19
"21","    Nonfarm","11","A045RC",40.9,40.4,42.3,44.4,45.8,49.9,52.2,55.5,58.4,62.6,64.7,65.5,71.2,78.9,84.5,90.3,98.1,115.6,130.8,148.5,160,164.5,165.9,165.4,188.3,225.9,245.5,255.6,274.8,312.7,329.6,349.9,357.8,401.7,431.7,444.6,475.5,510.5,551.5,598.2,650.7,692.2,708.8
"22","  Rental income of persons with capital consumption adjustment","12","A048RC",15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9
"23","  Personal dividend income","13","B703RC",12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,76.1,83.5,90.8,97.5,106.1,112.1,129.4,154.8,165.4,178.3,185.3,203,234.7,254,297.4,334.9,348.3,328,375.7,409.2
"24","  Personal interest income","14","A064RC",23,25.6,27.3,30.2,33,36.9,40.8,45.3,49.4,54.1,62.3,71.5,77.5,84.2,97.6,116.1,128,140.5,161.9,191.3,233.5,286.4,352.7,401.6,431.6,505.3,546.4,579.2,609.7,650.5,736.5,772.4,771.8,750.1,725.5,742.4,792.5,810.6,864,964.4,969.2,1077,1091.3
