"","Table 2#5# Real Personal Consumption Expenditures by Type of Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 2:56:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Personal consumption expenditures","1","A002RX",4113.4,4279.5,4393.7,4474.5,4466.6,4594.5,4748.9,4928.1,5075.6,5237.5,5423.9,5683.7,5964.5,6223.9,6377.2
"9","Food and tobacco","2","A495RX",721.7,744.7,757.1,774.4,769.9,776.2,790.6,812.9,825.1,834.1,842.1,865.3,888.9,919.4,926
"10","  Food purchased for off-premise consumption (n.d.)","3","AOPFRX",425.3,436.9,442.7,452.4,451.7,450.8,458.3,468.8,473.7,476.7,477.6,492.2,512.4,530,533.6
"11","  Purchased meals and beverages (n.d.) \1\","4","APMBRX",231,245.5,252.5,261.8,261.6,266.6,278.5,287.5,294.6,300.5,308,318.3,325.4,339.8,344
"12","  Food furnished to employees (including military) (n.d.)","5","AFOORX",7.4,7.5,7.7,7.7,7.6,7.6,7.8,8,8.2,8.2,8.3,8.4,8.5,8.7,8.8
"13","  Food produced and consumed on farms (n.d.)","6","BFFDRX",0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
