"","Table 8#15# Capital Consumption Adjustment by Legal Form of Orga","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 8:33:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Capital consumption adjustment \1\","1","B026RC",-1.4,-1.2,-0.7,-0.2,-0.2,-0.6,-0.6,-0.6,-1.3,-1.5,-1.3,-1.4,-1.7,-1.7,-1.2,-0.6,-0.5,-3.8,-4.6,-5.3,-5,-5,-5.9,-5.5,-4.6,-3.6,-2.2,-3.1,-3.4,-3.2,-2.4,-1.9,-1.2,1.8,3,3.8,4.1,3.9,3.6,2.9,2.5,0.8,-0.9,0.1,-0.9,-7.2,-17.6,-21.9,-22.5,-27.6,-35.2,-44,-31,-22.4,3.2,30.6,57.1,44.5,37.4,33.1,19,-4.8,-18.9,-29.4,-22.2,-26,-14.3,-2.5,12.1,21.3,38.3,19.1,61.6
"9","    For consistent accounting at historical cost","2","A1400C",-1,-1.1,-1.1,-1.4,-1.4,-1.3,-1.1,-1.1,-1.2,-1.2,-1.2,-1.1,-0.7,0.1,0.7,1.6,1.7,-0.5,0.6,1,1.2,1.2,2,2.5,3.3,3.9,5.2,5.9,6.5,6.5,7.1,7.2,7.2,9.8,10.5,11.1,11.6,12.1,13,14.1,15.8,16.4,17.4,21,23,26,29.1,30.6,37.2,42.5,49.4,58.1,89.9,108.5,126.9,148.7,173.9,162.4,157.8,162.1,158.4,136.7,125.6,119,120.3,127.1,136.4,143.1,160.7,162.8,181.2,170.9,231.4
"10","    For current-cost valuation","3","A1401C",-0.4,-0.1,0.5,1.2,1.2,0.7,0.6,0.4,-0.1,-0.3,-0.1,-0.3,-1,-1.9,-1.9,-2.2,-2.3,-3.3,-5.2,-6.3,-6.3,-6.3,-7.9,-8,-7.9,-7.5,-7.4,-9,-9.9,-9.7,-9.5,-9.1,-8.4,-8,-7.5,-7.4,-7.5,-8.1,-9.4,-11.2,-13.3,-15.6,-18.3,-21,-23.8,-33.2,-46.8,-52.5,-59.8,-70.1,-84.7,-102.1,-120.9,-130.9,-123.6,-118.1,-116.9,-117.8,-120.4,-129.1,-139.4,-141.4,-144.5,-148.4,-142.5,-153.1,-150.7,-145.6,-148.6,-141.5,-142.9,-151.8,-169.8
"11","Domestic corporate business","4","A2201C",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5
"12","    For consistent accounting at historical cost","5","A1402C",-0.6,-0.7,-0.7,-1,-1,-0.9,-0.9,-0.8,-0.9,-1,-1,-0.9,-0.6,0.1,0.5,1.3,1.4,-0.9,-0.3,0,0,0,0.6,1,1.7,2.4,3.7,4.1,4.7,4.7,5.3,5.6,5.9,8.5,9.2,9.8,10.5,11.1,12,13.1,14.5,15,16,18.8,20.2,22.5,24.4,25.1,30.5,34.2,38.6,45,70.4,86.4,96.8,109.3,126.2,109.3,107.8,110.2,104.8,92.2,83.9,74.1,73.2,83.1,89.9,91.1,99.6,96,102,79.8,125.9
"13","    For current-cost valuation","6","A1403C",0.1,0.4,0.7,1,1.1,0.7,0.6,0.6,0.3,0.2,0.3,0.1,-0.3,-0.9,-0.8,-0.9,-0.8,-1.4,-2.3,-2.9,-2.9,-2.9,-3.8,-3.8,-3.7,-3.5,-3.4,-4.5,-5.2,-5,-5,-4.7,-4.2,-3.9,-3.5,-3.4,-3.3,-3.5,-4.1,-5.1,-6,-7.4,-8.7,-9.7,-10.9,-16.5,-25.6,-29,-32.9,-38.2,-46,-55.8,-67.8,-73.2,-66.6,-61.6,-59,-59.1,-59.6,-64.9,-69.5,-72.3,-73.7,-69.8,-69.1,-70.8,-71.3,-66.5,-66.6,-58,-54.1,-59.1,-69.4
"14","  Financial","7","B393RC",0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.6,0.6,0.2,-0.1,-0.1,0.2,-0.6,-2,-2.1,-3.6,-2.9,-3.9,-4.2,-5.5,-6.8,-8.2,-9.6,-14.3,-16.1,-19.4,-19.4,-21.3,-20.1,-21.2,-18.2,-14,-14.7,-18.1,-17.1
"15","    For consistent accounting at historical cost","8","B1404C",-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1,-1,-1,-1.1,-1,-1.2,-1.3,-1.3,-1.3,-1.2,-1.3,-1.4,-1.2,-1,-0.9,-1,-1.4,-1.3,-0.9,-1.4,-2.6,-2.4,-3.7,-3.3,-4.8,-5.3,-6.5,-7,-8,-9.2,-13.5,-14.9,-18.7,-18.9,-20.7,-19.3,-21.7,-17,-14.7,-15.6,-17.6,-16.5
"16","    For current-cost valuation","9","B1405C",0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.5,1.4,1.2,1.2,1.2,1.1,0.9,0.6,0.2,0.1,0.4,0.8,1.1,1,0.2,-0.2,-0.5,-0.8,-1.2,-0.7,-0.6,-0.6,-0.7,0.5,-1.2,0.7,0.9,-0.5,-0.6
"17","  Nonfinancial","10","A2203C",-0.4,-0.3,0,0.1,0.1,-0.2,-0.2,-0.2,-0.7,-0.8,-0.7,-0.8,-0.9,-0.7,-0.2,0.5,0.7,-2.3,-2.4,-2.8,-2.8,-2.8,-3.1,-2.7,-1.9,-1,0.4,-0.3,-0.4,-0.2,0.4,1,1.8,4.6,5.6,6.2,7.1,7.5,7.8,7.8,8.2,7.4,7.1,8.7,8.8,5.3,-1.4,-3.8,-2.3,-4.2,-6.9,-8.8,4.8,16.9,33.1,51.7,71.4,55.8,55,53.4,45,34.3,26.3,23.7,23.6,33.5,38.7,45.8,51.1,52,62.6,38.8,73.6
