"","Table 3#15# Government Consumption Expenditures and Gross Invest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1952 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 7:51:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Government","1","A822RC",83.9,90.8,86.5,86.8,91.8,100.1,106.5,112.5,113.8,121.5,132.2,138.5,145.1,153.7,174.3,195.3,212.8,224.6,237.1,251,270.1,287.9,322.4,361.1,384.5,415.3,455.6,503.5,569.7,631.4,684.4,735.9,800.8,878.3,942.3,997.9,1036.9,1100.2,1181.4,1235.5,1270.5,1293,1327.9,1372,1421.9,1487.9,1538.5,1641,1751,1858
"9","General public service","2","G15002",3.8,3.5,3.7,4.1,4.2,4.5,4.9,5.3,5.8,6.2,6.7,7.1,7.6,8.6,9.2,9.8,11.1,13,14.7,17,19.2,22.1,26.6,30.4,32.6,36.1,38.9,43.1,48.4,51.2,54.5,57.5,61.9,68.2,74.2,79.6,82.7,88.9,98,104,108.7,112.1,118.7,125.2,125.3,140.7,147.9,160.9,172.5,183.7
"10","  Executive and legislative","3","G15003",2.3,2.1,2,2.1,2.3,2.2,2.2,2.4,2.7,2.7,3,3.1,3.3,3.7,3.8,3.6,2.5,3.2,3.9,4.7,5.2,5.8,7.3,8,8.5,9.4,9.4,11.3,13.1,13.5,15,13.8,14.8,16.1,16.9,19,18.7,19.6,23.5,24.8,25,25.2,26.4,29.6,27.4,30.8,32.5,34.9,37.2,39.6
