"","Table 1#2C# Real Gross Domestic Product, Chained (1972) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1972) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1962 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 7:38:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
"8","    Gross domestic product","1","A191CX1C",820.6,856,905.7,963.6,1026.9,1052.7,1102.9,1136.4,1138.5,1176.5,1240.4,1312,1304.3,1299.6,1371.9,1435.6,1514.7,1563,1559.4,1597.6,1565.3
"9","Personal consumption expenditures","2","A002CX1C",488.7,508.9,539.4,573.4,606.2,624.4,660,684.4,700.3,726.8,770.7,808.6,801.9,819.2,866.9,904.2,944.2,968,964.9,977.9,989.8
"10","  Durable goods","3","B003CX1C",53.8,59,64.5,72.7,78.8,80,88.9,92,89,97.9,110.4,121.8,113.4,113.4,127.8,139.7,147.1,146.6,135.1,136.8,136.8
"11","  Nondurable goods","4","B004CX1C",218.2,222.8,233.7,246.1,259.6,263.7,275.7,283,289.8,295,308,318.1,311.7,316.3,331.7,339.7,352.4,361.8,361.3,365.5,369
"12","  Services","5","B005CX1C",218,227.9,241.8,254.7,267.6,280.7,295.2,309.2,321.7,333.9,352.3,368.9,377,389.8,408.2,426.3,446.5,460.9,468.6,475.6,483.7
"13","Gross private domestic investment","6","A006CX1C",116.7,124.5,134.8,153.7,167.2,159.5,168.7,178.5,166.8,185.7,207.6,231.9,214.8,176.7,212.4,244.5,272.6,281.2,250.5,273.6,235.2
"14","  Fixed investment","7","A007CX1C",109.8,118.3,129.8,143,151.1,148.3,158.6,168.4,164.9,177.3,198.5,216.6,203,181.2,199,227.6,253.9,268.1,251,256.4,238.5
