"","Table 5#7# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 7:58:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Private fixed investment in structures","1","A349RX",509.1,510.1,503.7,483.4,425.2,448.3,468.3,496.4,494.5,530.6,557.2,599,617.9,638.5,634.9
"9","  Nonresidential","2","B009RX",224.3,227.1,232.7,236.1,210.1,197.3,198.9,200.5,210.1,225,245.4,262.2,258.6,275.5,270.9
"10","    New","3","A771RX",224,226.6,232.3,236.1,210.2,197.7,199.1,200.4,209.7,224.6,243.9,261.5,258,274.7,267.7
"11","      Nonresidential buildings, excluding farm","4","E306RX",159.2,163.5,168.4,170.4,139.5,126.4,127.9,133.8,144.5,158,173.3,184.3,181,187.1,173.6
"12","        Industrial","5","C307RX",26.4,28.5,34.8,39.4,36.2,33.1,29.2,30.8,33.2,32.7,32.1,33.3,25.8,24,21.1
"13","        Commercial","6","C308RX",91.5,93,91.9,86.8,65.2,59,61.3,65.8,72.4,78.7,86.9,94.1,98.7,105.5,97.9
"14","          Office buildings \1\","7","B346RX",44.8,45.5,44.3,40.9,32.2,26.9,26.9,27.4,30.5,32.4,38.7,45.9,49.6,55.6,50
