"","Table 8#13# Real Housing Sector Output, Real Gross Product, and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 8:33:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Housing output \1\","1","A2007X",620.5,638.1,654.1,670,683.5,691.4,699.8,719.9,734,742.3,756.1,777.2,802.5,817.2,833.6
"9","  Nonfarm housing","2","A2008X",613.5,631.1,647.2,663.1,676.7,684.7,693.2,713.5,727.7,736.1,750.1,771.2,796.4,811.2,827.8
"10","    Owner-occupied","3","AOWNRX",445.5,462.3,477.4,488.3,501.6,509,520.8,535.7,546.1,555.4,569,588.3,610.7,627.3,643.5
"11","    Tenant-occupied","4","ATENRX",167.7,168.6,169.6,174.6,174.9,175.6,172.4,177.8,181.6,180.6,181,182.9,185.8,184,184.3
"12","  Farm housing","5","BFARRX",7.2,7.2,7,6.9,7,6.8,6.6,6.4,6.3,6.2,6,6,6.1,6,5.9
"13","Less: Intermediate goods and services consumed","6","B1027X",88.4,88.7,87,92.3,91.4,86.2,94.9,93.3,92.6,94.4,102,107.4,105.5,101.3,115.9
"14","Equals: Gross housing product","7","A2009X",531.8,549.2,567,577.5,592,605.3,604.9,626.7,641.4,648,654,669.8,697,716.1,717.5
"15","          Nonfarm housing","8","B499RX",526.3,543.5,561.4,571.8,586.4,599.8,599.5,621.6,636.2,642.8,649,664.7,691.9,711,712.6
"16","            Owner-occupied","9","B1300X",382.7,399.6,417,425.4,436.5,444.2,449.6,465,474.9,482.3,490.3,504.2,529.1,549.9,552.1
"17","            Tenant-occupied","10","B1301X",143.5,143.8,144.4,146.4,149.9,155.5,149.9,156.6,161.3,160.5,158.7,160.5,162.8,161.1,160.5
"18","          Farm housing","11","B1302X",5.6,5.9,5.7,5.8,5.7,5.5,5.4,5.1,5.2,5.1,5,5.1,5.1,5.1,4.9
"19","Less: Consumption of fixed capital","12","B1028X",96.8,99.7,107.3,105,108.8,123.8,113.5,128.2,118.5,119.6,122.7,125.8,132.2,132.7,140
"20","Equals: Net housing product","13","B952RX",435,449.6,459.4,472.4,483.1,481.2,491.3,498.4,523,528.4,531.3,544,478.7,494.5,489.4
"21"," 1. Equals personal consumption expenditures for housing less expenditures for other housing as shown in table 2.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","value of the corresponding series, divided by 100.  Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
