"","Table 8#25# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 8:35:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,"2000","2001"
"8","Total receipts less total deductions, IRS","1","B1174C",11.9,4.6,-0.8,-3.8,-0.9,3,5.4,7.8,7.8,4.1,7.2,9.3,16.7,23.4,28.1,26.5,21.3,25.4,31.6,34.6,28.4,42.8,43.8,38.7,39.8,36.7,47.9,47.4,45.1,39.2,47.7,44.5,47,50.8,55.7,63.1,74.7,81.3,79.3,87.5,82.1,68,81.9,99.5,122.6,148.2,146,186.6,219.5,247.4,283,235.9,212.5,154.8,190,232.5,240.1,274.4,336.8,412.1,391.6,378.8,352.1,415,507.9,585.1,717.8,797.6,905.5,834.5,925.4,".....","....."
"9","Plus: Adjustment for misreporting on income tax returns","2","B1633C",0.7,0.6,0.4,0.3,0.4,0.6,0.5,0.6,0.7,0.5,0.6,0.6,0.7,0.7,0.8,0.5,0.4,1.1,1.1,1.2,1.3,1.2,1.3,1.4,1.5,1.7,2,2.3,2.9,3,2.9,3,3.1,3.6,4.2,3.8,3.9,4.3,5,5.4,6.5,7.6,7.3,7.2,9.6,10.4,10,11.6,12.2,14.8,16.5,20.1,26.3,29.8,41.4,41.2,48.8,53.8,56.6,60.9,66.7,65.2,67.6,70.7,72.5,78.1,85.7,94.1,107.7,119.5,136.1,".....","....."
"10","      Posttabulation amendments and revisions \1\","3","B1175C",0.1,0.1,0.1,0.2,0.5,0.2,0.2,0.4,0.3,0.4,0.4,0.5,0.5,-2.6,-4,-2.9,-1.4,-0.5,-1,-0.8,-0.8,-1,-1.1,-1.2,-1.4,-0.4,-1.9,-2.1,-2.1,-0.2,0.6,1.4,0.7,0.4,0.4,0.5,0.7,0.5,0.5,0.7,1,1,1.8,1.8,1.5,2.6,3,2.4,0.6,-0.8,1.8,5.1,8.2,18.3,16.4,9.4,5.4,5.3,-20.2,-19.2,-17.2,-17.3,-3.6,1.1,5.1,-13.5,-6.4,-4.3,8.4,23.6,33.4,".....","....."
"11","      Income of organizations not filing corporation income tax returns","4","A1629C",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.8,1,1.2,1,1.1,1.1,1.3,1.6,2,2.2,2.8,3.4,3.8,3.6,3.7,5,6.4,6.2,6.6,7,8.8,10.6,12.8,15.9,17.4,16.5,19,18.2,15.9,17,19.8,22.8,24.5,24,23.8,22.5,23.6,27.8,28.4,29.2,31.9,33.4,".....","....."
"12","        Federal Reserve banks","5","B1630C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,15.7,17.6,20.2,21.4,20.3,17.8,16.1,17.8,22.2,21.8,23.4,24.6,25.8,".....","....."
"13","        Federally sponsored credit agencies \2\","6","B1631C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.3,0.4,0.6,0.8,0.8,1,1.6,1.2,1.4,0.7,0,0.6,1.5,2.2,2,2,1.9,2.1,2.1,2.6,2.7,3.1,3.4,3.7,".....","....."
"14","        Other \3\","7","B1632C",0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.4,0.2,0.6,0.5,0.7,1.2,1.1,0.4,0.6,0.7,0.4,1.1,1.7,4,4.3,3.7,3,4,2.7,4,3.9,".....","....."
"15","      Depletion on domestic minerals","8","B1176C",0.6,0.5,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.9,1.5,1.2,1.4,1.6,1.6,1.7,1.8,2.1,2.4,2.6,2.4,2.5,2.7,2.7,2.8,2.9,3.3,3.4,3.6,3.9,4.3,4.2,4,4.2,4.5,5.8,9.3,4.5,4.8,5,5.7,6.8,7.6,6.7,5.8,6.2,6.5,6.4,7.6,6.9,6.9,7.3,7.6,6.8,7.3,6.9,7.6,8.1,8.2,8.4,8,8,".....","....."
"16","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","9","B1177C",0.1,0,0,0,-0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.1,0.8,0.8,0.6,0.5,0.6,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0,0.3,0.6,1.7,2.7,3.5,4.3,6.8,9.8,13.4,19.6,19.9,10.2,11.2,7.5,-3.9,-7.2,-5.1,-7.7,-4.9,-8.1,-7.4,-6.3,-3.8,-2.1,0.6,6.4,3.5,0.5,".....","....."
"17","      State and local corporate profits tax accruals","10","B1179C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.2,34.6,34.8,".....","....."
"18","      Interest payments of regulated investment companies","11","B1181C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-57.1,-59.6,-77.3,-79.2,-86.4,-96.1,-119,-118.2,".....","....."
