"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1968 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2007     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/26/2007 3:10:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","    Exports of goods and services","B020RL1",7.9,4.8,10.7,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3,7.7,10.8,16,11.5,9,6.6,6.9,3.2,8.7,10.1,8.4,11.9,2.4,4.3,8.7,-5.4,-2.3,1.3,9.7,6.9,8.4
"9","2","Exports of goods \1\","A253RL1",7.9,5.2,11.4,-0.4,10.7,23,7.9,-2.3,4.7,1.3,11.2,11.8,11.9,-1.1,-9,-2.9,7.9,3.7,5.1,11.1,18.8,11.9,8.4,6.9,7.5,3.3,9.7,11.7,8.8,14.3,2.2,3.8,11.2,-6.1,-4,1.8,9,7.5,9.9
"10","3","  Foods, feeds, and beverages","B638RL1",-1.6,-2.1,20.7,-2.6,18,29.5,-10.4,5.8,13.5,-0.1,23.5,6.1,12.7,2.1,-6,-4.4,-2.7,-13.5,3.2,7,9.9,4.3,3.5,2,13.2,-0.6,0,10.9,-1.6,0.2,-1,3.9,5.9,2.9,-2,1.7,-6.3,5.6,8
"11","4","  Industrial supplies and materials","A639RL1",13.8,4.6,12,-9.6,6.5,23,2.9,-12.5,8,0.8,10.5,14.5,13.5,-6.7,-3,-4.9,5.1,0.6,4.5,2.5,12.7,11.1,5.8,6.9,1.8,-2.6,5.6,7.7,4.7,8.6,-1.1,1.2,10,-3.9,0.3,2.5,6.4,2.7,7.5
"12","5","    Durable goods","B686RL1",17.9,10.6,13.7,-24.7,6.2,35.7,-4.4,-16.4,6.1,-3.5,20.8,17.4,18.8,-19.1,-12.6,-0.9,1.3,-0.8,3.2,8.9,21.8,12.8,7.8,4.9,-2.3,-3.8,5.9,12.7,5.9,9.1,1.6,3.7,15.2,-8.6,-6.5,2.6,8.2,7.7,9.6
"13","6","    Nondurable goods","B687RL1",11.4,0.9,10.8,0.7,6.7,16.5,7.2,-10.5,8.9,2.9,5.9,13,10.7,0.4,1.4,-6.4,6.7,1.1,5,-0.2,8.6,10.2,4.8,8,4.2,-1.9,5.4,5.1,4,8.4,-2.6,-0.4,7,-0.9,4.3,2.5,5.4,0.1,6.3
"14","7","  Capital goods, except automotive","A640RL1",3,5.9,11.9,4.4,9.5,27,24.8,1.6,-1.4,-1.6,14.1,20.1,16.7,0.4,-11.6,-3.6,10.8,9.9,9.1,15.5,27.1,16,15.7,9.4,9.6,6.6,15.4,19.1,15.9,22.6,4.3,5.5,15.4,-9.8,-8.7,2.2,13.1,9.1,13.3
"15","8","    Civilian aircraft, engines, and parts","B688RL1",72.3,-13.3,14.6,20.1,-14.2,32.4,31.4,-11.3,-10.7,-21.6,143.2,31.6,18.8,-9.8,-33.8,5.2,-11.3,30,12.4,8.2,25.6,21.4,13.4,5,-0.1,-15.4,-6.8,-19.7,13.3,29.9,27.8,-3.3,-12.8,3.7,-6.7,-10.8,3.6,16.7,18.8
"16","9","    Computers, peripherals, and parts","B850RL1",6.7,31.3,81,15.8,25,41.8,62.8,10.2,34.3,45.7,55.5,54.2,70,24,11.5,46,59.6,23.9,24.5,40.8,36.4,10.2,20.9,16.8,20.9,17,24.4,33.6,31.4,31.4,4.4,13.9,25,-11.4,-13.6,6.1,8.8,15.3,9.4
"17","10","    Other","B689RL1",-3.4,6.9,7.2,1,11.9,25,21,2.5,-2.6,-3,-0.1,14,10.3,-0.1,-9.6,-12.5,5.9,2.4,4.1,10.5,24.7,16.2,15.1,9,10.3,11.7,19.4,24.8,12.9,19.3,-0.6,6.1,20.6,-12.1,-8.1,4.9,16.1,6.4,12.7
