"","Table 5#4#2B# Contributions to Percent Change in Real Private Fi","F2","F3","F4","F5","F6","F7"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2001",NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA
"5","File created 7/26/2007 3:14:52 PM",NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",2.18,-0.18,2.74,-0.94
"12","3","  Commercial and health care","W001RW2",1.02,0.56,1.11,-0.96
"13","4","    Office \1\","W031RW2",1.1,0.45,0.86,-0.62
"14","5","    Health care","W032RW2",-0.05,-0.02,0.04,-0.12
"15","6","      Hospitals and special care","C311RW2",-0.04,-0.13,0.05,-0.02
"16","7","        Hospitals","W033RW2",-0.16,-0.06,0.04,0.1
"17","8","        Special care","W034RW2",0.12,-0.06,0.01,-0.12
"18","9","      Medical buildings","W035RW2",-0.02,0.11,-0.01,-0.09
"19","10","    Multimerchandise shopping","W036RW2",0.08,0.21,-0.12,0.11
"20","11","    Food and beverage establishments","W037RW2",0.02,-0.17,0.02,-0.04
"21","12","    Warehouses","W038RW2",-0.07,0.07,0.08,0.04
"22","13","    Other commercial \2\","W039RW2",-0.06,0.02,0.24,-0.32
"23","14","  Manufacturing","C307RW2",0.21,-1.39,-0.28,-0.43
"24","15","  Power and communication","W003RW2",0.73,0.88,0.83,0.19
"25","16","    Power","W028RW2",0.72,-0.04,0.82,0.16
"26","17","      Electric","C571RW2",0.14,0.31,0.94,0.14
"27","18","      Other power","W029RW2",0.59,-0.35,-0.12,0.02
"28","19","    Communication","C314RW2",0.01,0.92,0,0.03
"29","20","  Mining exploration, shafts, and wells","E318RW2",-0.31,-0.3,0.81,0.7
"30","21","    Petroleum and natural gas","C319RW2",-0.25,-0.28,0.77,0.71
"31","22","    Mining","C320RW2",-0.06,-0.02,0.04,-0.02
"32","23","  Other structures","W004RW2",0.52,0.07,0.27,-0.43
"33","24","    Religious","C309RW2",0.1,0.07,0.04,0
"34","25","    Educational and vocational","W044RW2",0.12,-0.08,0.23,0.09
"35","26","    Lodging","W045RW2",0.29,0.09,-0.06,-0.39
"36","27","    Amusement and recreation","W046RW2",-0.04,0.11,-0.2,-0.2
"37","28","    Transportation","W047RW2",0.15,-0.14,0.01,0
"38","29","      Air","W048RW2",0.02,0.02,0.07,0.01
"39","30","      Land \3\","W049RW2",0.13,-0.16,-0.06,-0.02
"40","31","    Farm","C316RW2",0.05,0.09,0.1,-0.14
"41","32","    Other \4\","W050RW2",0,-0.06,0.12,-0.15
"42","33","    Brokers' commissions on sale of structures","C321RW2",0.02,0.01,0.02,-0.02
"43","34","    Net purchases of used structures","E322RW2",-0.18,-0.01,0,0.38
"44","35","Residential","A012RW2",4.43,3.48,0.41,0.21
"45","36","  Permanent site","A943RW2",3.17,2.55,0.29,0.21
"46","37","    Single-family structures","A944RW2",3.21,2.26,0.36,0.05
"47","38","    Multifamily structures","C292RW2",-0.04,0.3,-0.07,0.16
"48","39","  Other structures","A863RW2",1.26,0.93,0.12,0
"49","40","    Manufactured homes","A945RW2",0.2,-0.12,-0.51,-0.3
"50","41","    Dormitories","C295RW2",0.02,0.04,0,0.02
"51","42","    Improvements","A946RW2",0.08,0.51,0.39,0.2
"52","43","    Brokers' commissions on sale of structures","A758RW2",1.05,0.53,-0.05,0.11
"53","44","    Net purchases of used structures","A759RW2",-0.11,-0.03,0.28,-0.02
"54",NA,"Addenda:"," ",NA,NA,NA,NA
"55","45","  Private fixed investment in new structures \5\","W040RW2",5.81,2.81,2.9,-1.19
"56","46","    Nonresidential structures","A771RW2",2.33,-0.18,2.72,-1.31
"57","47","    Residential structures","A756RW2",3.48,2.98,0.17,0.12
"58",NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA
