"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:51:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Noncorporate capital consumption allowances","A1700C0",4611,5438,6022,6695,7178,7612,7972,8278,9024,9459,9784,10028,10247,10437,10939,11416,11994,12424,13160,13973,15049,16360
"9","2","Agriculture, forestry, and fishing","A1701C0",1138,1382,1614,1810,1949,2075,2181,2274,2319,2349,2488,2536,2564,2585,2645,2741,2898,3089,3295,3564,3735,3906
"10","3","  Farms","B1702C0",1107,1343,1570,1758,1888,2011,2110,2188,2225,2245,2359,2419,2429,2457,2512,2613,2733,2910,3129,3354,3545,3700
"11","4","  Agricultural services, forestry, and fishing","B1703C0",31,39,44,52,61,64,71,86,94,104,129,117,135,128,133,128,165,179,166,210,190,206
"12","5","Mining","B1704C0",164,165,181,213,222,245,265,305,356,316,343,274,352,333,312,302,308,308,324,385,393,420
"13","6","Construction","B1705C0",225,282,331,378,422,454,484,563,634,627,648,677,641,577,586,614,618,649,689,697,732,775
"14","7","Manufacturing","A1706C0",301,351,370,417,430,447,430,473,484,513,488,506,500,473,463,482,506,526,534,556,585,568
"15","8","  Durable goods","B1707C0",143,173,190,225,236,246,236,267,271,306,261,308,298,274,267,288,305,330,344,353,350,349
"16","9","  Nondurable goods","B1708C0",158,178,180,192,194,201,194,206,213,207,227,198,202,199,196,194,201,196,190,203,235,219
"17","10","Transportation and public utilities","A1709C0",293,336,352,389,397,413,412,480,566,647,681,646,649,663,675,779,780,855,855,867,949,976
"18","11","  Transportation","B1710C0",225,256,259,282,282,286,270,324,399,467,483,438,436,436,432,514,496,561,550,546,620,630
"19","12","  Communication","B1711C0",7,8,11,16,20,24,30,35,41,49,56,81,88,95,104,116,128,132,137,118,114,117
"20","13","  Electric, gas, and sanitary services","B1712C0",61,72,82,91,95,103,112,121,126,131,142,127,125,132,139,149,156,162,168,203,215,229
"21","14","Wholesale trade","B1713C0",287,267,308,378,381,401,371,418,467,515,492,528,532,500,483,480,473,409,428,441,401,430
"22","15","Retail trade","B1714C0",652,919,985,1042,1223,1312,1260,1177,1311,1352,1364,1442,1450,1351,1399,1380,1414,1325,1343,1363,1416,1477
