"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:19:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Personal consumption expenditures (PCE)","DPCERA3",7.931,7.506,7.272,6.621,6.475,6.937,7.358,8.107,8.407,8.272,8.735,9.188,9.837,9.604,9.871,10.152,10.78,12.121,12.353,12.632,12.983,13.816,14.032,14.475,15.165,15.484,16.627,17.113,17.536,17.688,18.691,19.203,19.599,20.569,21.416,22.691,24.13,25.496,26.257,27.765,28.803
"9","2","Goods","DGDSRA3",8.646,7.962,7.673,6.777,6.728,7.343,7.941,8.996,9.263,9.059,9.688,10.289,11.102,10.245,10.144,10.22,10.918,12.938,13.314,13.582,13.993,15.078,14.898,15.233,16.022,16.194,17.686,17.951,18.259,18.072,19.209,19.547,19.67,20.682,21.508,22.79,24.405,25.952,26.46,28.098,28.957
"10","3","  Durable goods","DDURRA3",3.133,2.594,2.241,1.704,1.659,1.899,2.298,2.808,2.954,2.448,2.901,3.321,3.831,2.432,2.183,2.013,2.236,4.039,4.737,5.048,5.458,6.618,6.068,5.936,6.629,6.6,8.008,7.709,7.779,7.187,8.033,8.196,7.921,8.826,9.638,10.538,11.844,12.828,13.018,14.463,15.005
