"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars; quarterly totals not seasonally adjusted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1952 To 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:27:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Cash receipts from the public","L318011",68,71.5,71.6,67.8,77.1,82.1,81.9,81.7,95.1,97.2,101.9,109.7,115.5,119.7,134.5,153.6
"10","2","Less: Coverage differences","L318021",1.8,1.8,2.1,2.4,2.7,2.9,2.9,3.1,3.5,4.1,3.6,4.2,4.2,4.7,5.1,6
"11","3","  Contributions received by federal employee pension and insurance funds \1\","L318041",0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2
"12","4","  Capital transfers received \2\","L318051",0.8,0.9,0.9,0.9,1.2,1.4,1.4,1.3,1.6,1.9,2,2.2,2.4,2.7,3.1,3
"13","5","  Financial transactions","L318061",0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.7,0.6,1.1,0.4,0.7,0.5,0.3,0.3,0.6
"14","6","  District of Columbia","L318071",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"15","7","  Other \3\","L318081",0.1,0.1,0.4,0.5,0.4,0.2,0.3,0.2,0.3,0.1,0.1,0.2,0.1,0.3,0.3,0.8
