"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 17, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:26:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government \1\","W022RC1",124.2,131.2,141,152,160,168.6,181,203.9,231.7,260.7,283.5
"9","2","General public service","G160021",20.8,23.8,25,26.7,28.5,30.5,32.7,35.3,37.6,42.1,47.4
"10","3","  Executive and legislative","G160031",4.4,4.5,5,5.1,5.3,5.5,5.8,5.8,5.6,4.5,5.1
"11","4","  Tax collection and financial management","G160041",1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.8,2.1,3.5,4.4
"12","5","  Interest payments \2\","G160051",14.1,16.9,17.2,18.6,20.1,21.6,23.1,25.2,27.2,30.6,34
"13","6","  Other \3\","G160061",1.1,1.2,1.5,1.6,1.6,1.9,2.2,2.5,2.8,3.4,3.9
"14","7","National defense","G160071",44,44.3,45.6,50.1,52.1,52.7,55.5,65.6,75.8,84,85.2
"15","8","Public order and safety","G160081",4.4,4.8,5.2,5.4,5.7,6.1,6.6,7.2,8,9.3,10.3
"16","9","  Police","G160091",2.1,2.3,2.4,2.6,2.8,2.9,3.2,3.5,3.8,4.7,5.1
"17","10","  Fire","G160101",1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.2
"18","11","  Law courts","G160111",0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.6
"19","12","  Prisons","G160121",0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.2,1.3,1.5
"20","13","Economic affairs","G160131",12.7,11.4,12.5,14.5,14.8,16.6,17.9,19.3,21.2,23.4,26.2
"21","14","  Transportation","G160181",5.8,6.1,6.6,6.9,7.3,7.7,8.1,8.8,9.6,10.3,11.3
"22","15","    Highways","G160191",4.6,4.9,5.1,5.4,5.7,6,6.5,7,7.6,8.2,9.1
"23","16","    Air","G160201",0.5,0.5,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,1
"24","17","    Water","G160211",0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1
"25","18","    Transit and railroad","G160221",0,0,0,0,0,0,0,0,0,0,0.1
"26","19","  Space","G160241",0.2,0.3,0.4,0.9,1.8,2.3,2.7,2.6,1.9,1.9,1.8
"27","20","  Other economic affairs","W690RC1",6.8,5,5.4,6.6,5.7,6.6,7.1,7.9,9.7,11.2,13.1
"28","21","    General economic and labor affairs","G160141",1.2,1.5,1.7,2.1,2.3,2.3,2.8,3.5,4.3,4.3,4.4
"29","22","    Agriculture","G160151",4.6,2.7,2.8,3.8,3,3.6,3.6,3.5,3.9,5.6,6.8
"30","23","    Energy","G160161",0.4,0.3,0.4,0.4,0.2,0.3,0.2,0.2,0.4,0.3,0.5
"31","24","    Natural resources","G160171",0.6,0.5,0.5,0.4,0.3,0.5,0.5,0.7,1.1,1,1.4
"32","25","    Postal service","G160231",0,0,0,0,0,0,0,0,0,0,0
"33","26","    Other \4\","G160251",0,0,0,0,0,0,0,0,0,0,0
"34","27","Housing and community services","G160261",0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6
"35","28","Health","G160271",5.2,5.5,6.3,6.5,7,7.4,7.8,10.1,15.2,18.6,21.1
"36","29","Recreation and culture","G160281",0.7,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7
"37","30","Education","G160291",14.7,16.2,17.6,18.9,20.6,22.8,25.3,29,32.9,37.1,42.4
"38","31","  Elementary and secondary","G160301",12,13.4,14.7,15.9,17.3,19.1,21.1,23.7,26,29.1,32.8
"39","32","  Higher","G160311",1.5,1.7,1.9,2,2.2,2.4,2.7,3.3,4.2,5.1,6
"40","33","  Libraries and other","W691RC1",1.2,1.1,1,1.1,1.2,1.3,1.6,2.1,2.6,2.9,3.5
"41","34","    Libraries","G160321",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6
"42","35","    Other","G160331",0.9,0.8,0.7,0.7,0.8,0.9,1.1,1.6,2.1,2.3,2.9
"43","36","Income security","G160341",21.9,23.6,27.1,28.1,29.4,30.4,33,35,38.4,43.3,47.5
"44","37","  Disability","G160351",4.4,4.7,5.3,5.5,6,6.2,6.8,6.9,7.5,8.1,9
"45","38","  Retirement \5\","G160361",10.5,11.6,12.8,14.4,15.2,16,17.8,19.3,20.7,24.1,25.8
"46","39","  Welfare and social services","G160371",4.2,4.2,4.5,4.9,5.1,5.3,6,6.7,7.7,8.6,10.2
"47","40","  Unemployment","G160381",2.8,3,4.4,3.2,3,2.7,2.3,1.9,2.2,2.2,2.3
