"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 12:04:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Personal income","A065RC1",5410.8,5646.8,5934.7,6276.5,6661.9,7075,7587.7,7983.8,8632.8,8987.1,9149.5,9486.6,10048.3,10609.3,11389,11994.9,12429.6,12087.5,12429.3,13202,13887.7,14166.9
"9","2","  Compensation of employees","W209RC1",3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8606.5,8844.8
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8
"12","5","  Personal income receipts on assets","W210RC1",982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818,1739.6,1913.9,2088.6,2079.7
"13","6","    Personal interest income","A064RC1",793.1,783.9,794.2,856,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1264.3,1195,1231.6,1255.9,1255.2
"14","7","    Personal dividend income","B703RC1",189.1,204.7,235.2,258,302.2,337.9,355.4,346.4,383.3,369.2,398.6,432.3,562.1,578.3,723.7,816.5,805.4,553.7,544.6,682.2,832.7,824.5
"15","8","  Personal current transfer receipts","A577RC1",745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1280.3,1342.9,1416.7,1512,1609.6,1722.8,1884,2140.2,2276.9,2307.9,2350.7,2414.5
"16","9","    Government social benefits to persons","A063RC1",729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1246.2,1316.6,1399.9,1486.3,1588.2,1692.2,1847.3,2101.5,2234,2257.7,2307.6,2372.2
"17","10","    Other current transfer receipts, from business (net)","B931RC1",16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,50.2,43.1,42.3
"18","11","  Less: Contributions for government social insurance, domestic","A061RC1",455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.2,1104.5
"19","12","Less: Personal current taxes","W055RC1",610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.3,1000.9,1046,1208.5,1352.1,1487.9,1435.2,1144.9,1191.5,1400.6,1503.7,1661.8
"20","13","Equals: Disposable personal income","A067RC1",4800.3,5000.2,5244.2,5532.6,5829.9,6148.9,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12384,12505.1
"21","14","Less: Personal outlays","A068RC1",4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6573.4,7093.3,7417.3,7694.1,8077.1,8592.3,9162.9,9707.4,10196.7,10452.2,10270.5,10609.8,11090.2,11487.9,11897.1
"22","15","  Personal consumption expenditures","DPCERC1",4215.7,4471,4741,4984.2,5268.1,5560.7,5903,6307,6792.4,7103.1,7384.1,7765.5,8260,8794.1,9304,9750.5,10013.6,9847,10202.2,10689.3,11083.1,11484.3
"23","16","  Personal interest payments \1\","B069RC1",118.1,116,122,142.6,159.1,172.1,183.4,190.2,217.5,223.2,213,209.8,221.8,248.8,275.1,305.9,289.6,273.9,250.8,241.4,241.6,247.1
"24","17","  Personal current transfer payments","W211RC1",40.5,45.6,49.8,52.9,57.6,63.9,69.5,76.2,83.4,91,97,101.7,110.5,120,128.2,140.3,148.9,149.6,156.9,159.5,163.1,165.6
"25","18","    To government","W062RC1",26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,90,91.4
"26","19","    To the rest of the world (net)","B070RC1",14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,59.3,66.2,66.1,73,74.1,73.1,74.3
"27","20","Equals: Personal saving","A071RC1",426,367.6,331.4,352.9,345.2,352.2,405.3,302.9,307.2,335,405.1,408.7,410,237.9,329.5,310.3,542.2,672,628,711.1,896.2,608.1
"28","21","    Personal saving as a percentage of disposable personal income","A072RC1",8.9,7.4,6.3,6.4,5.9,5.7,6.2,4.4,4.2,4.3,5,4.8,4.6,2.5,3.3,3,4.9,6.1,5.6,6,7.2,4.9
"29","22","Household income","W380RC1",5384.6,5621.5,5907.5,6242.5,6628.5,7040.1,7561.9,7956.5,8604,8968.6,9139.1,9478.8,10039.8,10593.7,11369.1,11976,12427.1,12083.3,12424.6,13198,13880.8,14163.5
"30","23","  Compensation of employees","W209RC1",3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8606.5,8844.8
