"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:39:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RV1",-3.8,-9.9,-11.4,-2.7,4.9,2,1.2,3.7,-1.8,-1.3,0.9,6.6,8.3,4.8,2.4,2.5,12.6,11.2,5.6,-0.1,0.9,6.8,2.2,1.3,1,1.4,3.4,3.5,2.3,1.3,1.4,1.1,1.2,1.1,1.5,1.8,2.8,2.9,4.3,4.9
"9","2","Personal consumption expenditures","DPCERV1",-4.2,-10.7,-11.8,-3.6,4.5,2.5,0.9,3.6,-2.3,-1,0.8,6.2,12.5,9.2,5.7,4,7,10.1,5.7,-0.8,1.2,6.8,2.1,1.3,0.9,0.4,2,3,2.4,1.5,1.6,1,1.2,1.2,1.5,1.4,2.5,2.5,3.9,4.5
"10","3","  Goods","DGDSRV1",-5.3,-13.8,-13.8,-0.8,9.9,2.7,0.4,3.6,-4.1,-1.5,0.9,8.2,16.5,11.5,6.7,4.6,7.6,12,5.9,-2.3,0.3,8.1,1,-0.5,-0.4,-0.6,1.7,3.1,2.3,0.5,0.8,0.4,0.5,0.8,1.1,1.1,2.2,1.8,3.5,3.9
"11","4","    Durable goods","DDURRV1",-5.9,-10.7,-11.9,-2.4,6,-0.6,0.6,4.1,-0.1,-1.2,1,7.4,17.1,9.1,12.4,5.8,4.1,8.8,5.1,0.7,0.5,6.7,0.6,-0.8,-2.2,-0.4,2.4,3.7,1.8,1.6,-0.4,0.3,0.4,0.4,0.5,-0.8,-0.2,1.6,3.2,2.8
"12","5","    Nondurable goods","DNDGRV1",-5.2,-14.5,-14.3,-0.5,10.6,3.3,0.4,3.5,-4.9,-1.6,0.9,8.4,16.4,11.9,5.8,4.4,8.3,12.9,6.1,-3.3,0.2,8.6,1.1,-0.3,0.2,-0.7,1.4,2.9,2.4,0.1,1.2,0.4,0.5,1,1.3,1.8,3.2,1.8,3.6,4.3
"13","6","  Services","DSERRV1",-2.9,-7.1,-9.7,-6.3,-1.3,2.2,1.6,3.7,0.1,-0.3,0.8,3.5,7.1,6.2,4.6,3.3,6.1,7.3,5.3,1.7,2.6,4.9,3.7,3.9,2.5,1.7,2.4,2.9,2.5,2.7,2.7,1.8,1.9,1.5,1.9,1.9,2.9,3.3,4.3,5.2
"14","7","Gross private domestic investment","A006RV1",-4.3,-8.5,-15.4,-8.4,0.3,-1.2,1.2,7.4,-2.9,-0.7,2.4,7.3,10.7,4.9,3.9,2.7,9.1,18.4,8.1,1.2,2.1,8.9,1.8,0.2,0.7,1.5,5.7,3.3,0.3,0.9,0.6,-0.2,0.1,-0.3,0.7,1.5,2,2.6,3.8,4.8
"15","8","  Fixed investment","A007RV1",-4.1,-7.5,-11.6,-2.3,4.8,0.5,1.2,8.4,1.3,-0.5,2.5,7.3,9.8,5.2,4.1,3.2,9.8,17,8.4,1.9,2.2,8.5,2.4,0.9,0.7,1.7,5.7,3.4,0.4,1,0.6,-0.2,0.1,-0.2,0.7,1.6,2.1,2.7,4,5
"16","9","    Nonresidential","A008RV1",-4.7,-6.9,-9.4,-2.5,3.2,1.1,0.1,8,0.7,-0.9,2.2,6.5,10.7,4.4,3,2.6,10,15.7,8.4,2.2,2.1,9.3,2.2,1,0.9,1.5,7.5,4.9,0.7,1.4,0.6,-0.4,0.1,0,0.7,1.1,1.5,2.4,3.6,4.2
"17","10","      Structures","A009RV1",-5.3,-8.5,-13.2,1,0.3,4.7,-0.2,13.6,-1.9,-1.1,1.6,7,11.6,8.7,2.2,4.4,12,21.2,11.2,-0.3,1.2,11.5,2.7,2,-1.2,2,8.5,4.3,-1.6,0.5,-0.1,-0.6,0.8,0.9,1.4,2.9,3.6,3.1,5,6.6
"18","11","      Equipment","Y033RV1",-4,-5.2,-5.7,-3.9,5.6,-0.9,-0.2,5.7,2.4,-1.1,2.7,6.4,10,0.5,1.9,1.7,9.5,13.3,7.2,4,2.5,8.5,2,0.2,2.4,1,7.4,5.6,1.9,1.8,0.8,-0.5,-0.5,-0.5,-0.1,0.1,0.3,2.3,2.7,2.8
"19","12","      Intellectual property products","Y001RV1",-4.3,-6.3,-9.1,-7,1.8,1.6,2.4,3.9,-0.5,0.5,1.6,5.7,11.1,10.5,8.6,2.8,5.3,9.8,5.2,0.2,2.3,6.1,1.3,1.7,0.7,2.6,3.7,3.2,2.4,1.6,1.5,0.6,0.5,0.1,1.5,0.7,1.5,1.5,3.5,4.4
"20","13","    Residential","A011RV1",-2.2,-9.5,-18.5,-1.5,11,-1.4,4.9,9.8,3.2,0.6,3,9.2,7.4,8.2,9.7,6.8,8.6,19.8,8.4,1.3,2.5,7.2,2.7,0.7,0.4,2.1,2.5,0.3,-0.2,0.3,0.7,0.2,0.2,-0.8,0.8,2.8,3.6,3.4,5.3,7
"21","14","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","A020RV1",-9.5,-21.3,-13.3,0,16,2.5,3.4,6.6,-4.6,-1.3,8.5,9.2,20.9,9.4,12.6,-0.8,-3.4,16.1,5.3,-6,-2.6,13,0.6,-0.3,-1.4,0.9,3.3,3.8,-1,0.2,1.4,1.5,0.2,-0.2,0.8,3.2,3,3.8,2.2,3.3
"24","17","    Goods","A253RV1",-10.5,-23.2,-13.8,4.6,17,2.4,2.4,6,-7.5,-2.2,7.2,7.2,21.8,10.3,14.5,-0.4,-5.1,19,6.4,-7.4,-3.3,14.6,-0.4,-1,-1.4,0.9,3.8,3.3,-1.1,1,0.7,1.9,-0.8,-0.3,0.7,3.5,3.4,4.2,1.5,3.1
"25","18","    Services","A646RV1",0,-6.9,-10.3,-24.2,9.1,3.2,9.7,10.7,13.6,3.5,15.2,19.9,17.5,7,7.7,-2.3,4,1.6,-1.1,2.2,1,5.3,5.7,3,-1.1,0.5,1.3,6.3,-0.7,-2.3,3.6,0.3,3.4,0.1,1.3,2.3,1.9,2.8,4,4.1
"26","19","  Imports","A021RV1",-14.7,-19.2,-19.8,-4.2,13.6,1.7,7,11.6,-7.6,5,6.7,5.6,14.5,7.6,5,2.8,11.5,19.8,8.7,-4.7,6.2,20.9,-3.6,-4.3,1.4,-0.5,1.8,1.1,-4.2,0.9,1,0,-1.2,1.9,2.1,1.4,2.3,0.4,1.5,2.6
"27","20","    Goods","A255RV1",-17.5,-21.8,-21.6,0.1,14.2,1.6,7.3,11.7,-10.4,1.8,6.7,7.3,15.8,8.4,6.8,2.4,12.7,22.8,10.4,-5.3,8.2,25.5,-4.9,-4.3,2.1,-0.3,2,0.9,-5.2,0.7,1.1,-1,-2.4,0.9,2.7,0.5,2.3,0.1,1.3,2.8
