"","Table 6#4C# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 10:50:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Full-time and part-time employees","A4201C0",109754,112864,115501,116964,115525,115968,117604,120379,123236,125461,128316,131563,134350,137228
"9","2","Domestic industries","A4202C0",109820,112939,115584,117046,115607,116046,118030,120858,123713,125901,128788,132031,134864,137691
"10","3","  Private industries \1\","A4203C0",89270,92033,94300,95233,93763,94151,96106,98853,101636,103832,106698,109709,112253,114597
"11","4","    Agriculture, forestry, and fishing","A4204C0",1671,1765,1723,1740,1735,1694,1724,1761,1819,1841,1919,1961,2055,2068
"12","5","      Farms","B4205C0",964,1002,928,919,909,865,857,839,867,831,875,879,922,889
"13","6","      Agricultural services, forestry, and fishing","B4206C0",707,763,795,820,826,829,866,922,951,1009,1044,1082,1132,1179
"14","7","    Mining","A4207C0",727,729,704,721,700,644,617,608,590,583,599,591,537,537
"15","8","      Metal mining","B4208C0",46,52,58,60,57,55,52,50,53,55,54,49,44,40
"16","9","      Coal mining","B4209C0",164,153,147,148,138,128,114,114,106,98,97,92,86,78
"17","10","      Oil and gas extraction","B4210C0",405,409,384,399,398,356,347,340,323,321,339,338,295,306
"18","11","      Nonmetallic minerals, except fuels","B4211C0",113,115,114,113,106,104,104,105,108,109,110,111,112,113
"19","12","    Construction","B4212C0",5069,5212,5269,5226,4794,4635,4790,5121,5304,5579,5859,6178,6570,6870
"20","13","    Manufacturing","A4213C0",19091,19450,19482,19173,18507,18148,18141,18388,18548,18529,18706,18849,18605,18500
"21","14","      Durable goods","A4214C0",11193,11437,11435,11153,10618,10310,10268,10485,10698,10815,11030,11231,11141,11142
"22","15","        Lumber and wood products","B4215C0",759,780,766,743,687,691,719,762,775,785,803,821,838,829
"23","16","        Furniture and fixtures","B4216C0",516,528,526,510,475,476,488,504,510,505,514,533,549,559
"24","17","        Stone, clay, and glass products","B4217C0",558,572,572,560,526,515,521,534,540,546,553,564,570,580
"25","18","        Primary metal industries","B4218C0",744,774,778,758,726,696,683,699,708,709,711,715,699,701
"26","19","        Fabricated metal products","B4219C0",1408,1435,1445,1424,1358,1333,1345,1396,1444,1453,1486,1516,1528,1543
"27","20","        Industrial machinery and equipment","B4220C0",2044,2112,2128,2093,2012,1929,1937,1997,2067,2114,2166,2206,2138,2116
"28","21","        Electronic and other electric equipment","B4221C0",1781,1773,1754,1687,1602,1535,1536,1581,1624,1659,1694,1706,1669,1718
"29","22","        Motor vehicles and equipment","B4222C0",854,851,850,824,786,820,837,899,969,967,982,996,1022,1019
"30","23","        Other transportation equipment","B4223C0",1171,1188,1199,1180,1103,1017,921,853,818,822,859,900,874,837
"31","24","        Instruments and related products","B4224C0",975,1031,1023,991,965,923,891,860,842,854,865,872,853,842
"32","25","        Miscellaneous manufacturing industries","B4225C0",384,394,396,383,377,376,389,400,401,399,398,399,400,398
"33","26","      Nondurable goods","A4226C0",7898,8012,8046,8020,7889,7837,7874,7902,7849,7714,7676,7618,7465,7358
"34","27","        Food and kindred products","B4227C0",1621,1633,1639,1662,1668,1653,1675,1680,1684,1693,1690,1691,1693,1695
"35","28","        Tobacco products","B4228C0",55,55,52,51,50,48,46,43,41,41,41,40,37,35
"36","29","        Textile mill products","B4229C0",729,730,723,698,672,674,679,679,663,629,616,596,559,533
"37","30","        Apparel and other textile products","B4230C0",1099,1094,1086,1041,1011,1006,991,977,940,869,825,765,693,637
"38","31","        Paper and allied products","B4231C0",680,689,696,699,690,691,693,694,694,684,687,681,671,659
"39","32","        Printing and publishing","B4232C0",1522,1577,1589,1594,1563,1528,1534,1557,1560,1547,1556,1569,1556,1550
"40","33","        Chemicals and allied products","B4233C0",1031,1067,1079,1093,1086,1085,1076,1058,1040,1034,1033,1040,1036,1036
"41","34","        Petroleum and coal products","B4234C0",161,158,155,156,158,155,150,147,143,140,137,135,131,126
"42","35","        Rubber and miscellaneous plastics products","B4235C0",856,867,890,892,866,879,912,955,979,981,1001,1017,1012,1017
"43","36","        Leather and leather products","B4236C0",144,143,138,134,125,119,118,113,106,96,90,84,77,70
