"","Table 5#8#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/16/2014 4:14:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private inventories \1\","A371RD3",22.788,23.119,24.663,26.549,25.477,25.515,24.905,24.105,23.654,22.806,22.686,22.385,22.67,23.286,24.573,26.344,27.762,27.296,27.097,27.46,26.919,26.592,26.07,24.993,24.508,24.185,24.143,24.231,24.364,24.197,24.246,24.173,24.329,23.942,23.77,23.491,23.843,24.459,24.415,24.613,24.74,24.873,25.005,25.074,25.827,25.747,25.965,25.839,25.935,25.832,25.646,25.379,25.565,25.272,25.33,25.389,25.4,25.101,25.331,25.464,25.582,25.503,25.826,25.722,25.476,25.361,25.247,25.18,25.059,24.939,25.1,25.139,25.381,25.724,25.579,26.031,26.333,26.482,26.7,26.416,26.164,26.28,26.242,26.319,26.648,26.743,26.79,26.885,27.264,27.624,27.749,28.174
"10","2","Farm","A372RD3",33.805,34.279,38.191,42.513,38.647,38.395,35.749,33.381,32.677,31.254,31.288,30.213,31.08,32.508,34.545,37.94,40.341,38.97,39.08,40.222,38.668,38.03,36.249,33.075,31.467,30.163,29.557,29.992,30.377,29.833,29.825,29.555,29.87,28.436,27.262,25.805,26.387,27.823,27.399,27.481,27.469,27.879,27.997,28.182,30.64,30.491,31.061,30.345,30.559,30.181,29.452,28.497,29.151,28.139,28.308,28.531,28.594,27.76,28.604,29.101,29.678,29.472,30.521,30.269,29.486,29.141,28.736,28.337,27.841,27.358,27.806,27.712,28.571,29.712,28.893,30.391,31.426,31.829,32.418,30.797,29.569,29.981,29.49,29.182,30.082,30.461,30.413,30.277,31.022,32.243,31.823,32.786
"11","3","Nonfarm","A373RD3",18.512,18.79,19.082,19.726,20.163,20.371,20.88,20.918,20.572,19.978,19.758,19.877,19.854,20.064,21.043,22.076,23.076,23.041,22.675,22.678,22.595,22.401,22.464,22.348,22.38,22.512,22.737,22.665,22.682,22.69,22.769,22.789,22.88,22.985,23.284,23.541,23.808,24.091,24.213,24.473,24.664,24.687,24.83,24.852,24.901,24.841,24.905,25.037,25.091,25.108,25.148,25.159,25.163,25.145,25.164,25.159,25.149,25.058,25.046,25.038,24.976,24.946,24.999,24.948,24.9,24.868,24.858,24.912,24.924,24.929,24.993,25.077,25.118,25.207,25.277,25.404,25.488,25.569,25.687,25.791,25.809,25.844,25.932,26.117,26.296,26.315,26.39,26.55,26.839,26.979,27.249,27.545
"12","4","    Durable goods","A374RD3",18.105,18.429,18.804,19.206,19.679,20.025,21.075,21.581,21.628,21.075,20.834,21.194,21.017,21.27,21.995,23.089,23.878,23.929,23.812,23.914,23.987,23.907,24.037,24.088,24.26,24.564,24.844,24.799,24.755,24.805,24.998,25.146,25.314,25.535,26.22,26.786,27.142,27.416,27.658,28.104,28.245,28.212,28.429,28.554,28.625,28.551,28.655,28.916,28.977,29.067,29.094,29.141,29.148,29.146,29.139,29.128,29.109,29.102,29.053,28.996,28.906,28.862,28.859,28.807,28.747,28.714,28.705,28.766,28.833,28.922,28.979,29.056,29.057,29.101,29.153,29.225,29.309,29.397,29.496,29.681,29.784,29.764,29.995,30.313,30.564,30.547,30.724,30.958,31.334,31.333,31.634,32.032
"13","5","    Nondurable goods","A375RD3",18.663,18.899,19.115,19.961,20.36,20.447,20.494,20.14,19.472,18.853,18.654,18.579,18.679,18.856,20.027,20.999,22.168,22.064,21.486,21.403,21.179,20.882,20.884,20.617,20.521,20.491,20.665,20.568,20.64,20.607,20.581,20.486,20.509,20.51,20.459,20.435,20.619,20.908,20.922,21.014,21.248,21.321,21.396,21.327,21.354,21.306,21.335,21.353,21.383,21.336,21.388,21.367,21.37,21.337,21.378,21.38,21.377,21.217,21.237,21.269,21.233,21.214,21.313,21.265,21.227,21.198,21.186,21.234,21.198,21.131,21.2,21.289,21.363,21.491,21.577,21.753,21.837,21.911,22.049,22.074,22.009,22.096,22.047,22.103,22.214,22.267,22.244,22.332,22.538,22.815,23.057,23.253
"14","6","  Manufacturing","A376RD3",18.783,19.158,19.376,20.082,20.618,20.831,21.272,21.435,21.107,20.374,20.109,20.058,20.273,20.569,21.661,22.917,24.094,23.984,23.427,23.477,23.362,23.103,23.21,23.097,23.17,23.345,23.608,23.544,23.52,23.567,23.68,23.711,23.843,23.99,24.426,24.763,25.113,25.418,25.537,25.785,25.996,25.973,26.126,26.103,26.058,25.943,26.064,26.181,26.236,26.29,26.35,26.373,26.421,26.49,26.559,26.602,26.633,26.589,26.562,26.521,26.455,26.467,26.48,26.446,26.394,26.362,26.307,26.351,26.379,26.435,26.495,26.577,26.618,26.681,26.758,26.871,26.924,27.026,27.164,27.276,27.379,27.378,27.465,27.676,27.851,27.881,28.003,28.178,28.512,28.66,29.036,29.29
"15","7","    Durable goods","A377RD3",18.269,18.667,19.063,19.451,20.05,20.48,21.628,22.253,22.296,21.51,21.231,21.233,21.51,21.824,22.691,23.957,24.861,24.859,24.701,24.817,24.861,24.741,24.979,25.021,25.256,25.611,25.965,25.89,25.804,25.89,26.16,26.277,26.48,26.792,27.747,28.371,28.81,29.121,29.4,29.797,29.916,29.83,30.109,30.151,30.108,29.914,30.185,30.459,30.586,30.695,30.78,30.85,30.94,31.05,31.114,31.151,31.145,31.102,31.093,31.01,30.913,30.867,30.877,30.851,30.795,30.746,30.702,30.773,30.842,30.973,31.088,31.167,31.205,31.246,31.309,31.426,31.471,31.595,31.764,31.923,32.098,32.055,32.255,32.601,32.846,32.833,32.994,33.232,33.611,33.688,34.101,34.496
"16","8","    Nondurable goods","A378RD3",18.864,19.203,19.203,20.266,20.702,20.656,20.318,19.979,19.273,18.619,18.379,18.281,18.426,18.695,19.98,21.188,22.617,22.402,21.432,21.41,21.118,20.703,20.657,20.364,20.243,20.195,20.342,20.294,20.342,20.341,20.266,20.195,20.242,20.196,20.027,20.027,20.265,20.557,20.487,20.558,20.872,20.926,20.925,20.826,20.78,20.756,20.703,20.637,20.608,20.599,20.63,20.599,20.599,20.617,20.693,20.74,20.812,20.767,20.722,20.728,20.696,20.772,20.786,20.745,20.699,20.685,20.621,20.635,20.617,20.591,20.588,20.67,20.713,20.8,20.892,20.996,21.058,21.134,21.234,21.285,21.297,21.349,21.289,21.327,21.409,21.496,21.567,21.662,21.938,22.178,22.508,22.577
"17","9","  Wholesale trade","A379RD3",17.178,17.339,17.695,18.326,18.676,18.801,19.399,19.075,18.653,18.299,18.141,18.873,18.123,18.318,19.249,20.036,21.063,21.076,20.776,20.762,20.666,20.561,20.588,20.328,20.203,20.242,20.469,20.351,20.491,20.472,20.447,20.38,20.436,20.499,20.561,20.62,20.791,21.133,21.288,21.511,21.717,21.816,22.044,22.083,22.339,22.399,22.303,22.34,22.444,22.461,22.4,22.385,22.387,22.36,22.227,22.202,22.163,22.132,22.121,22.151,22.094,22.051,22.094,22.025,21.97,21.997,22.028,22.025,22.064,22.057,22.122,22.147,22.185,22.346,22.382,22.442,22.555,22.591,22.654,22.724,22.645,22.639,22.66,22.852,23.046,22.969,22.955,23.073,23.31,23.409,23.547,23.835
"18","10","    Durable goods","A380RD3",14.79,15.026,15.314,15.66,15.923,16.095,17.022,17.196,17.259,16.992,16.852,18.384,16.936,17.11,17.658,18.501,19.113,19.168,19.138,19.198,19.287,19.254,19.225,19.286,19.342,19.576,19.804,19.805,19.839,19.804,19.894,20.067,20.185,20.299,20.645,21.112,21.345,21.606,21.834,22.298,22.479,22.532,22.706,22.879,23.139,23.256,22.995,23.204,23.421,23.522,23.472,23.586,23.53,23.361,23.251,23.213,23.136,23.218,23.117,23.102,23.029,22.986,23.029,22.953,22.906,22.924,22.986,23.002,23.132,23.237,23.286,23.35,23.33,23.447,23.543,23.57,23.764,23.822,23.897,24.1,24.109,24.051,24.289,24.572,24.908,24.83,25.025,25.292,25.678,25.658,25.93,26.366
"19","11","    Nondurable goods","A381RD3",20.089,20.17,20.606,21.568,22.029,22.105,22.311,21.391,20.379,19.918,19.737,19.533,19.587,19.814,21.191,21.928,23.454,23.422,22.792,22.69,22.358,22.162,22.254,21.624,21.294,21.112,21.339,21.088,21.343,21.341,21.19,20.861,20.851,20.86,20.608,20.222,20.323,20.756,20.83,20.804,21.037,21.186,21.472,21.37,21.623,21.624,21.699,21.557,21.544,21.472,21.399,21.249,21.313,21.443,21.282,21.271,21.272,21.122,21.204,21.285,21.245,21.201,21.245,21.182,21.117,21.156,21.15,21.127,21.064,20.933,21.014,20.994,21.099,21.314,21.279,21.38,21.397,21.408,21.457,21.364,21.175,21.232,20.987,21.071,21.095,21.015,20.749,20.688,20.745,20.993,20.968,21.076
"20","12","      Merchant wholesalers","A802RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.138,21.241,21.281,21.206,21.18,21.187,21.119,20.996,20.99,20.975,20.976,21.034,21.054,21.007,20.997,21.022,20.99,20.976,21.025,21.044,21.07,21.093,21.061,21.146,21.19,21.269,21.405,21.446,21.562,21.712,21.75,21.793,21.847,21.788,21.797,21.849,22.077,22.348,22.368,22.442,22.618,22.89,23.041,23.205,23.503
"21","13","        Durable goods","A803RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.599,21.872,21.994,21.945,21.991,21.91,21.742,21.6,21.568,21.509,21.57,21.538,21.504,21.462,21.411,21.403,21.381,21.374,21.383,21.395,21.414,21.54,21.682,21.749,21.835,21.857,21.946,22.054,22.09,22.257,22.318,22.357,22.519,22.524,22.483,22.751,23.013,23.382,23.373,23.63,23.911,24.313,24.308,24.564,24.97
"22","14","        Nondurable goods","A804RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.994,20.877,20.811,20.701,20.589,20.707,20.775,20.671,20.696,20.741,20.667,20.84,20.934,20.878,20.925,20.996,20.949,20.925,21.03,21.06,21.096,20.981,20.72,20.829,20.815,20.974,21.177,21.127,21.358,21.486,21.495,21.545,21.444,21.289,21.37,21.119,21.303,21.443,21.501,21.326,21.355,21.453,21.83,21.865,22.015
"23","15","      Nonmerchant wholesalers","A805RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.583,26.699,26.662,26.63,26.637,26.632,26.701,26.536,26.466,26.364,26.253,26.072,26.13,26.046,25.92,26.008,25.848,25.693,25.675,25.732,25.659,25.74,25.797,25.816,25.794,25.728,25.966,25.991,25.903,25.919,25.95,26.071,26.189,26.049,25.998,25.931,26.025,26.006,25.644,25.369,25.328,25.469,25.423,25.491,25.758
"24","16","        Durable goods","A806RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.192,33.245,33.285,33.215,33.605,33.637,33.435,33.423,33.354,33.204,33.375,33.004,33.057,32.857,32.832,33.065,32.784,32.591,32.645,32.889,32.897,33.064,33.062,33.059,33.049,32.864,33.111,33.179,33.174,33.502,33.559,33.793,34.194,34.216,34.08,34.239,34.643,34.897,34.527,34.497,34.745,35.128,35.044,35.416,36.039
"25","17","        Nondurable goods","A807RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.515,19.648,19.578,19.57,19.386,19.362,19.564,19.341,19.279,19.216,18.977,18.917,18.969,18.959,18.793,18.793,18.719,18.607,18.55,18.494,18.386,18.41,18.491,18.521,18.495,18.503,18.71,18.706,18.581,18.41,18.422,18.462,18.391,18.167,18.177,17.976,17.865,17.676,17.357,16.96,16.747,16.721,16.705,16.572,16.588
"26","18","  Retail trade","A382RD3",24.202,24.245,24.566,25.212,25.656,25.799,26.375,26.342,25.83,25.319,25.139,25.104,25.115,25.158,26.15,27.111,27.974,28.042,27.935,27.811,27.787,27.627,27.592,27.467,27.501,27.598,27.772,27.721,27.756,27.739,27.794,27.831,27.85,27.886,28.032,28.235,28.415,28.645,28.776,29.113,29.308,29.377,29.486,29.649,29.789,29.81,29.867,29.899,29.898,29.896,29.883,29.791,29.793,29.768,29.731,29.694,29.645,29.505,29.468,29.503,29.467,29.37,29.421,29.297,29.185,29.254,29.229,29.329,29.316,29.291,29.268,29.289,29.337,29.425,29.43,29.602,29.705,29.679,29.792,29.866,29.703,29.903,30.062,30.195,30.363,30.56,30.657,30.786,31.021,31.158,31.205,31.529
"27","19","    Durable goods","A383RD3",23.383,23.572,24.015,24.568,24.918,25.244,26.223,26.816,26.856,26.62,26.34,26.263,26.425,26.622,27.211,28.234,28.995,29.186,29.072,29.184,29.349,29.344,29.308,29.387,29.501,29.741,29.858,29.857,29.858,29.894,29.98,30.211,30.335,30.414,30.73,31.285,31.559,31.753,31.916,32.551,32.741,32.781,32.864,33.221,33.45,33.534,33.537,33.84,33.93,33.923,33.877,33.776,33.592,33.482,33.407,33.297,33.309,33.287,33.175,33.15,33.025,32.989,32.882,32.776,32.67,32.604,32.584,32.695,32.663,32.597,32.488,32.59,32.49,32.428,32.379,32.374,32.397,32.388,32.323,32.605,32.595,32.714,33.04,33.36,33.46,33.498,33.701,33.842,34.139,33.98,33.994,34.394
"28","20","      Motor vehicle dealers","A864RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.144,30.033,29.888,29.932,29.734,29.42,29.376,29.356,29.177,29.259,29.258,29.191,29.194,29.034,29.041,28.964,28.767,28.673,28.497,28.463,28.624,28.506,28.352,28.158,28.352,28.226,28.157,28.061,27.961,27.892,27.707,27.549,28.013,27.974,28.154,28.614,28.957,28.988,28.982,29.16,29.093,29.422,29.393,29.35,29.906
"29","21","      Other","A865RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.564,38.801,38.899,38.776,38.737,38.649,38.475,38.35,38.301,38.251,38.209,38.053,38.003,37.901,37.825,37.688,37.657,37.54,37.573,37.567,37.633,37.688,37.71,37.687,37.692,37.614,37.555,37.559,37.664,37.8,38.008,38.055,38.119,38.139,38.178,38.364,38.655,38.835,38.923,39.157,39.542,39.797,39.479,39.562,39.764
"30","22","    Nondurable goods","A384RD3",25.48,25.415,25.651,26.392,26.93,26.932,27.199,26.66,25.683,24.944,24.84,24.84,24.738,24.673,25.991,26.931,27.907,27.875,27.774,27.432,27.236,26.931,26.897,26.591,26.556,26.525,26.759,26.659,26.724,26.66,26.689,26.559,26.489,26.493,26.493,26.392,26.492,26.758,26.865,26.964,27.168,27.264,27.4,27.4,27.467,27.434,27.533,27.351,27.279,27.282,27.294,27.208,27.353,27.394,27.386,27.406,27.31,27.082,27.101,27.179,27.205,27.066,27.226,27.09,26.974,27.134,27.107,27.2,27.201,27.205,27.242,27.206,27.356,27.555,27.597,27.904,28.068,28.029,28.282,28.196,27.915,28.174,28.215,28.216,28.435,28.751,28.773,28.894,29.087,29.453,29.527,29.797
"31","23","  Other","A385RD3",9.718,10.086,10.481,10.809,10.933,11.327,11.824,12.028,12.009,11.513,11.326,11.345,11.554,11.702,12.238,12.881,13.326,13.328,13.25,13.268,13.268,13.186,13.248,13.371,13.475,13.618,13.739,13.677,13.64,13.538,13.686,13.782,13.869,13.969,14.341,14.691,14.899,15.059,15.121,15.373,15.434,15.455,15.452,15.417,15.373,15.208,15.311,15.864,15.919,15.792,16.026,16.219,16.021,15.618,15.795,15.674,15.594,15.263,15.362,15.355,15.266,15.176,15.435,15.471,15.567,15.252,15.393,15.522,15.449,15.295,15.537,15.856,15.885,15.946,16.175,16.415,16.554,16.827,16.974,17.166,17.309,17.306,17.413,17.54,17.729,17.576,17.563,17.788,18.063,18.253,18.698,19.166
"32","24","    Durable goods","A386RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.462,17.667,17.999,17.837,17.836,17.835,17.567,17.35,17.188,17.189,17.262,17.197,17.14,17.251,17.198,17.143,17.09,17.09,17.142,17.312,17.262,17.365,17.417,17.416,17.418,17.47,17.578,17.686,17.732,18.059,18.315,18.215,18.167,18.263,18.263,18.576,18.631,19.165,19.334,19.601,20.181,21.236,20.391,20.234,20.395
"33","25","    Nondurable goods","A387RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.426,15.464,15.29,15.563,15.773,15.558,15.148,15.363,15.248,15.16,14.783,14.901,14.901,14.783,14.689,14.99,15.04,15.15,14.783,14.918,15.072,14.975,14.794,15.067,15.426,15.451,15.504,15.748,16.013,16.125,16.397,16.577,16.799,16.946,16.943,17.021,17.156,17.298,17.108,17.064,17.248,17.447,17.729,18.224,18.717
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
