"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA
"5","File created 8/20/2014 3:19:36 PM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969
"8","1","    Exports of goods and services","B020RC1",43.5,47.9,51.9
"9","2","Exports of goods \1\","A253RC1",32.5,35.7,38.7
"10","3","  Foods, feeds, and beverages","B638RC1",5,4.8,4.7
"11","4","  Industrial supplies and materials","A639RC1",10,11,11.7
"12","5","    Durable goods","B686RC1",3.7,4.2,4.7
"13","6","    Nondurable goods","B687RC1",6.3,6.9,7
"14","7","  Capital goods, except automotive","A640RC1",9.9,11.1,12.4
"15","8","    Civilian aircraft, engines, and parts","B688RC1",0.8,1.4,1.3
"16","9","    Computers, peripherals, and parts","B850RC1",0.5,0.6,0.8
"17","10","    Other","B689RC1",8.6,9.1,10.4
"18","11","  Automotive vehicles, engines, and parts","B641RC1",2.8,3.5,3.9
"19","12","  Consumer goods, except food and automotive","A642RC1",2.1,2.3,2.6
"20","13","    Durable goods","B690RC1",0.9,1,1.2
"21","14","    Nondurable goods","B691RC1",1.2,1.3,1.4
"22","15","  Other \2\","A643RC1",2.7,3,3.4
"23","16","Exports of services \1\","A646RC1",10.9,12.2,13.2
"24","17","  Transport","Y800RC1",2.8,3,3.1
"25","18","  Travel (for all purposes including education)","Y801RC1",1.6,1.8,2
"26","19","  Charges for the use of intellectual property n.e.c.","B684RC1",1.7,1.9,2
"27","20","  Other business services \3\","Y802RC1",0.7,0.8,0.9
"28","21","  Government goods and services n.e.c.","Y803RC1",3.2,3.8,4
"29","22","  Other","B980RC1",0.8,0.9,1.1
"30","23","    Imports of goods and services","B021RC1",39.9,46.6,50.5
"31","24","Imports of goods \1\","A255RC1",27.8,33.9,36.8
"32","25","  Foods, feeds, and beverages","B647RC1",4.6,5.3,5.2
"33","26","  Industrial supplies and materials, except petroleum and products","A649RC1",9.9,12,11.7
"34","27","    Durable goods","A820RC1",6,7.6,7.1
"35","28","    Nondurable goods","B696RC1",3.9,4.4,4.5
"36","29","  Petroleum and products","B648RC1",2.1,2.4,2.6
"37","30","  Capital goods, except automotive","A650RC1",2.5,2.8,3.4
"38","31","    Civilian aircraft, engines, and parts","B932RC1",0.1,0.2,0.2
"39","32","    Computers, peripherals, and parts","B852RC1",NA,NA,NA
"40","33","    Other","B853RC1",2.2,2.6,3.1
"41","34","  Automotive vehicles, engines, and parts","B651RC1",2.4,4,5.1
"42","35","  Consumer goods, except food and automotive","A652RC1",4.2,5.4,6.5
"43","36","    Durable goods","B697RC1",2.6,3.3,4
"44","37","    Nondurable goods","B698RC1",1.6,2,2.5
"45","38","  Other","A653RC1",2,2.1,2.3
"46","39","Imports of services \1\","B656RC1",12.2,12.6,13.7
"47","40","  Transport","Y804RC1",3,3.3,3.5
"48","41","  Travel (for all purposes including education)","Y805RC1",3.2,3,3.4
"49","42","  Charges for the use of intellectual property n.e.c.","B908RC1",0.2,0.2,0.2
"50","43","  Other business services \3\","Y806RC1",0.4,0.5,0.6
"51","44","  Government goods and services n.e.c.","Y807RC1",4.9,5.2,5.4
"52","45","  Other","B910RC1",0.4,0.5,0.5
"53",NA,"Addenda:"," ",NA,NA,NA
"54","46","  Exports of durable goods","A332RC1",18.6,21.2,23.9
"55","47","  Exports of nondurable goods","A339RC1",13.9,14.5,14.8
"56","48","  Exports of agricultural goods \4\","B181RC1",6.5,6.3,6.1
"57","49","  Exports of nonagricultural goods","A182RC1",26.1,29.4,32.6
"58","50","  Imports of durable goods","A333RC1",14.5,18.8,20.8
"59","51","  Imports of nondurable goods","A340RC1",13.2,15.1,16.1
"60","52","  Imports of nonpetroleum goods","A187RC1",25.7,31.6,34.2
"61",NA,NA,NA,NA,NA,NA
"62","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA
"63","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA
"64","in services.",NA,NA,NA,NA,NA
"65","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA
"66","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA
"67","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA
"68","services and",NA,NA,NA,NA,NA
"69","other other business services.",NA,NA,NA,NA,NA
"70","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA
"71","nonautomotive consumer goods.",NA,NA,NA,NA,NA
